model	gene_id	gene_symbol	pooled_log2cpm_flt_minus_gc	pooled_p	pooled_fdr	accession_mean_log2cpm_flt_minus_gc	accession_t_p	accession_t_fdr	n_accessions_tested	n_accessions_same_direction	n_accessions_nonzero_direction	pooled_deg_fdr05	accession_deg_fdr05	any_deg_fdr05	nominal_p05
thymus_hvg	ENSMUSG00000000028	Cdc45	-0.9937774382174354	0.005147362996966397	0.026798542600394246	-1.304021597540617	0.07392783788588829	0.22962313110246593	5	5	5	True	False	True	True
thymus_hvg	ENSMUSG00000000058	Cav2	0.34267004749040275	0.31096948153713466	0.4429093901321761	0.5973187487090235	0.01349129203117555	0.1495698477914014	5	5	5	False	False	False	True
thymus_hvg	ENSMUSG00000000120	Ngfr	0.6458287405742804	0.026275658176773454	0.07831638625483746	0.40728626631035275	0.20734639670542265	0.3673548576000428	5	4	5	False	False	False	True
thymus_hvg	ENSMUSG00000000184	Ccnd2	0.506385609104349	2.734273046805161e-05	0.0008793774927950791	0.3276350585927766	0.1833093076350971	0.34679199186374154	5	4	5	True	False	True	True
thymus_hvg	ENSMUSG00000000253	Gmpr	0.4623468651708018	0.03129906926046429	0.08896153957151778	0.4417033897460412	8.64957753764676e-05	0.03163415160466911	5	5	5	False	True	True	True
thymus_hvg	ENSMUSG00000000276	Dgke	-0.6344839996457345	0.006301484644121641	0.03064673263506964	-0.6812910342147085	0.032138899170571444	0.1868366324959751	5	5	5	True	False	True	True
thymus_hvg	ENSMUSG00000000290	Itgb2	0.05743071003723266	0.7930805538787088	0.8662566250457661	-0.1089915272699992	0.5688476852490846	0.6857813085771914	5	2	5	False	False	False	False
thymus_hvg	ENSMUSG00000000305	Cdh4	-0.06975847945686375	0.7910651756244298	0.8657431175604352	-0.09474740709483634	0.7960718114996078	0.8557235537090123	5	3	5	False	False	False	False
thymus_hvg	ENSMUSG00000000308	Ckmt1	0.9369944515157091	0.0040202993649591096	0.02310223900209932	0.7404929599814708	0.0008702860753631438	0.08263573496543375	5	5	5	True	False	True	True
thymus_hvg	ENSMUSG00000000394	Gcg	0.24997746751798267	0.09489689534248627	0.18587859460993872	0.305802429669506	0.21934517618544647	0.37769799768029383	5	3	5	False	False	False	False
thymus_hvg	ENSMUSG00000000409	Lck	-0.501965157472263	0.05781784432877463	0.13405672278090303	-0.5564594422491688	0.06394452660732183	0.22265928536461665	5	5	5	False	False	False	False
thymus_hvg	ENSMUSG00000000489	Pdgfb	0.7270321019247872	0.000453163787899456	0.005669045938813195	0.5680284623688516	0.020105637241511844	0.16573787063848625	5	5	5	True	False	True	True
thymus_hvg	ENSMUSG00000000530	Acvrl1	0.5125184131634466	0.024399868231409595	0.07473630914505489	0.275913990005295	0.375603334110961	0.5244901651887	5	3	5	False	False	False	True
thymus_hvg	ENSMUSG00000000552	Zfp385a	0.6667548708066704	0.00876474527154679	0.03841077378343802	0.39543817084658617	0.11288456472072839	0.2768811826454064	5	4	5	True	False	True	True
thymus_hvg	ENSMUSG00000000555	Itga5	0.2838079166913037	0.2714293019813997	0.39825609135460704	-0.009119806941728203	0.9717415938640226	0.9825825244243717	5	2	5	False	False	False	False
thymus_hvg	ENSMUSG00000000567	Sox9	0.3160156866398527	0.09299227274245107	0.18388584431174326	0.2844647089831545	0.2693803865946965	0.4300596404081864	5	4	5	False	False	False	False
thymus_hvg	ENSMUSG00000000579		-0.19011532039676027	0.47126511784815306	0.598630696474064	-0.29468889267997456	0.05224655747815935	0.20955058395189963	5	5	5	False	False	False	False
thymus_hvg	ENSMUSG00000000594	Gm2a	0.3063473055571144	0.0008106626855318739	0.008122921582666113	0.23643328673905728	0.24233406534592555	0.40167425295076936	5	3	5	True	False	True	True
thymus_hvg	ENSMUSG00000000673	Haao	0.6104719170436188	0.019673067740592826	0.06585509657045555	0.36981962664284385	0.3659949251303583	0.5163198912663258	5	4	5	False	False	False	True
thymus_hvg	ENSMUSG00000000682	Cd52	0.07372609644605355	0.7047961721500723	0.7995943290086008	0.1265486815125058	0.43436280557655277	0.5766440974165421	5	4	5	False	False	False	False
thymus_hvg	ENSMUSG00000000732	Icosl	0.6389391189731022	0.045488696988461565	0.112816494769891	0.4051079172305253	0.13984698239815663	0.30812694243306554	5	3	5	False	False	False	True
thymus_hvg	ENSMUSG00000000782	Tcf7	-0.6094893049640913	0.02350176939259475	0.07288107024702012	-0.7264971230344603	0.034592304505562534	0.19389423656729213	5	5	5	False	False	False	True
thymus_hvg	ENSMUSG00000000791	Il12rb1	0.04562169704832275	0.8803916114146872	0.9220067611139109	-0.11675523212560064	0.5996212991677417	0.7098846439287887	5	4	5	False	False	False	False
thymus_hvg	ENSMUSG00000000794	Kcnn3	0.168122815808454	0.3698335461486346	0.49760330028365546	0.15044342377902103	0.6239549846323187	0.7254613640564685	5	2	5	False	False	False	False
thymus_hvg	ENSMUSG00000000805	Car4	0.60202598923793	0.0057038926336154	0.028721115937952294	0.8411292264295506	0.005038373091487537	0.12622748764411715	5	5	5	True	False	True	True
thymus_hvg	ENSMUSG00000000817	Fasl	0.38820127878759125	0.06717128703257245	0.14931944965769173	0.38065162351679793	0.1582856827177588	0.3254307013786351	5	3	5	False	False	False	False
thymus_hvg	ENSMUSG00000000861	Bcl11a	0.6029539274673432	0.00047163759577281716	0.005805218308462946	0.5465135437527197	0.01582734650103607	0.15588007926478642	5	5	5	True	False	True	True
thymus_hvg	ENSMUSG00000000915	Hip1r	0.7204647207509263	0.0022707485291441924	0.016113425505742063	0.5719520982774998	0.019050516724727684	0.16573787063848625	5	5	5	True	False	True	True
thymus_hvg	ENSMUSG00000000957	Mmp14	0.6198518533798305	0.00012869974496568424	0.002467570110207446	0.47540630526595146	0.0201595567093996	0.16573787063848625	5	4	5	True	False	True	True
thymus_hvg	ENSMUSG00000000982	Ccl3	0.15628773624997527	0.37192553768341835	0.49974361330238287	0.2910073411933363	0.40885632355583074	0.5545983055580452	5	3	5	False	False	False	False
thymus_hvg	ENSMUSG00000001119	Col6a1	0.741953942742148	0.009910368854257594	0.042406170590964895	0.46517114692256667	0.2573250379988788	0.4179299721994954	5	3	5	True	False	True	True
thymus_hvg	ENSMUSG00000001128		0.5926420256532587	0.00016998140845988954	0.002824524403908498	0.517272463912235	0.09036226179688708	0.25025326392082337	5	4	5	True	False	True	True
thymus_hvg	ENSMUSG00000001240	Ramp2	0.6566403008437351	0.0025370755324606825	0.017033429669113132	0.7528934438248812	0.011164226629150344	0.1495698477914014	5	5	5	True	False	True	True
thymus_hvg	ENSMUSG00000001270	Ckb	0.6274873283993623	0.011765238787930963	0.047935749804857014	0.42027189375568297	0.07436342352779914	0.22962313110246593	5	5	5	True	False	True	True
thymus_hvg	ENSMUSG00000001281	Itgb7	0.6296847009874034	0.008230013824916128	0.03675817291217238	0.3968561292242255	0.26025832529809595	0.42088815948451197	5	4	5	True	False	True	True
thymus_hvg	ENSMUSG00000001288	Rarg	0.45647767339447043	0.08843738085357504	0.17776626756252886	0.17080870023274297	0.6756688857003639	0.7668091964066737	5	4	5	False	False	False	False
thymus_hvg	ENSMUSG00000001348	Acp5	0.26768251894803363	0.06386854773033836	0.14422863439897474	0.16324709642307872	0.23906929179291342	0.39791666764196104	5	4	5	False	False	False	False
thymus_hvg	ENSMUSG00000001403	Ube2c	-1.3450761181653155	3.631617536257513e-07	5.172460976641058e-05	-1.543055055049122	0.045127077379680046	0.20177848578800017	5	5	5	True	False	True	True
