model	term	observed_direction	gene_id	gene_symbol	pooled_log2cpm_flt_minus_gc	pooled_fdr	accession_mean_log2cpm_flt_minus_gc	accession_t_fdr	same_direction_as_pathway
liver_hvg	R-MMU-9006936_SIGNALING_BY_TGFB_FAMILY_MEMBERS	FLT_up	ENSMUSG00000068876		0.35914017598000836	0.043439681851956916	-0.07693333629054948	0.8301246115426855	True
liver_hvg	R-MMU-166663_INITIAL_TRIGGERING_OF_COMPLEMENT	FLT_up	ENSMUSG00000024371	C2	-0.28385399374753817	0.018759524635788432	-0.28505275879025255	0.08776183597099733	False
liver_hvg	R-MMU-977606_REGULATION_OF_COMPLEMENT_CASCADE	FLT_up	ENSMUSG00000024371	C2	-0.28385399374753817	0.018759524635788432	-0.28505275879025255	0.08776183597099733	False
liver_hvg	R-MMU-195721_SIGNALING_BY_WNT	FLT_up	ENSMUSG00000036904	Fzd8	-0.31090090805332427	0.04533486839431575	-0.2770448926628626	0.2116783811812561	False
liver_hvg	R-MMU-3247509_CHROMATIN_MODIFYING_ENZYMES	FLT_up	ENSMUSG00000070348	Ccnd1	-0.5349074300012902	0.018759524635788432	-0.4708298648967624	0.21016561544643644	False
liver_hvg	R-MMU-421270_CELL_CELL_JUNCTION_ORGANIZATION	FLT_up	ENSMUSG00000072115	Ang	-0.27232003191884857	0.025326090945140805	-0.21135477708257863	0.3009259525514778	False
liver_hvg	R-MMU-421270_CELL_CELL_JUNCTION_ORGANIZATION	FLT_up	ENSMUSG00000038642	Ctss	-0.2914017105970572	0.035972138997241374	-0.37361204703281414	0.1535524900347801	False
liver_hvg	R-MMU-1474228_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	FLT_up	ENSMUSG00000006205	Htra1	-0.2917581500589512	0.028851520742278057	-0.3354092206632931	0.14044877180928142	False
liver_hvg	R-MMU-1474228_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	FLT_up	ENSMUSG00000038642	Ctss	-0.2914017105970572	0.035972138997241374	-0.37361204703281414	0.1535524900347801	False
liver_hvg	R-MMU-2029480_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS	FLT_up	ENSMUSG00000021457	Syk	-0.26011260865471586	0.04094610784562972	-0.3122757667543054	0.21040980121058556	False
