model	gene_id	gene_symbol	pooled_log2cpm_flt_minus_gc	pooled_p	pooled_fdr	accession_mean_log2cpm_flt_minus_gc	accession_t_p	accession_t_fdr	n_accessions_tested	n_accessions_same_direction	n_accessions_nonzero_direction	pooled_deg_fdr05	accession_deg_fdr05	any_deg_fdr05	nominal_p05
soleus_hvg	ENSMUSG00000000058	Cav2	0.010169369110066384	0.9709234418769446	0.996047848953337	-0.10072804400566178	0.4611259599042961	0.938821262490848	3	2	3	False	False	False	False
soleus_hvg	ENSMUSG00000000120	Ngfr	0.5068886091219373	0.024945068687422432	0.1715782038044737	0.43469450745048926	0.0014037210948576343	0.938821262490848	3	3	3	False	False	False	True
soleus_hvg	ENSMUSG00000000183	Fgf6	0.05499781461966613	0.7879208253959854	0.9591613693941862	0.007735148709132241	0.9883822588905381	0.9958577675199163	3	1	3	False	False	False	False
soleus_hvg	ENSMUSG00000000184	Ccnd2	-0.43281767127884674	0.2666040359757753	0.6292366078765874	-0.581057123633571	0.13945008481475743	0.938821262490848	3	3	3	False	False	False	False
soleus_hvg	ENSMUSG00000000223	Drp2	0.032987158240418424	0.8855677689951345	0.9841229991063817	-0.08699986237124484	0.7345296284258747	0.9615129220906343	3	2	3	False	False	False	False
soleus_hvg	ENSMUSG00000000290	Itgb2	0.37107598988113644	0.41340153847130084	0.7523121835487527	0.17332761680516273	0.8167069326277702	0.9738460519251219	3	2	3	False	False	False	False
soleus_hvg	ENSMUSG00000000305	Cdh4	0.0012294577141573892	0.9941596381956499	0.9982050487274735	-0.03908108692524185	0.7142779844256123	0.9600765604685947	3	2	3	False	False	False	False
soleus_hvg	ENSMUSG00000000308	Ckmt1	-0.023640698141222383	0.7503869390099488	0.9416807486367698	0.04135425333374019	0.8655246043130499	0.9786999124617198	3	1	3	False	False	False	False
soleus_hvg	ENSMUSG00000000409	Lck	-0.01821131500815648	0.8289225511833497	0.9676174517739969	-0.03717009748201097	0.017213677681439245	0.938821262490848	3	3	3	False	False	False	True
soleus_hvg	ENSMUSG00000000435	Myf5	0.4356368274634561	0.020340367599086053	0.14982046880819352	0.3591395683476451	0.061049224527269096	0.938821262490848	3	3	3	False	False	False	True
soleus_hvg	ENSMUSG00000000489	Pdgfb	0.5733459215859673	0.34878289021713854	0.7061512054242374	0.24025584841456057	0.7309937879647479	0.9601043229523256	3	1	3	False	False	False	False
soleus_hvg	ENSMUSG00000000532	Acvr1b	0.3647810663770059	0.10874381285092469	0.3938720854453676	0.3151099698575616	0.21008900050547202	0.938821262490848	3	2	3	False	False	False	False
soleus_hvg	ENSMUSG00000000552	Zfp385a	-0.2590433808843926	0.5698972076878212	0.8536419418138118	-0.24817489403851978	0.47887429373344004	0.938821262490848	3	2	3	False	False	False	False
soleus_hvg	ENSMUSG00000000555	Itga5	0.7034834443672366	0.048952346283631654	0.2536271169655876	0.4449101657033306	0.3099292654944883	0.938821262490848	3	2	3	False	False	False	True
soleus_hvg	ENSMUSG00000000567	Sox9	-1.055409307620839	0.004997482168732499	0.06052165522133713	-1.2858821549787691	0.19218499618002857	0.938821262490848	3	2	3	False	False	False	True
soleus_hvg	ENSMUSG00000000594	Gm2a	0.16649505363973205	0.5637778937402934	0.8504769810970199	0.06054075007386247	0.807290542585058	0.9738460519251219	3	2	3	False	False	False	False
soleus_hvg	ENSMUSG00000000628	Hk2	0.11960823758036554	0.7219604687677952	0.929819318662512	-0.03901071620427743	0.960653156738797	0.9886280962746885	3	2	3	False	False	False	False
soleus_hvg	ENSMUSG00000000682	Cd52	0.40006794096072484	0.2770720194804592	0.6379630105462398	0.20715116444169626	0.7661205253801031	0.9693991708550169	3	2	3	False	False	False	False
soleus_hvg	ENSMUSG00000000794	Kcnn3	0.20101074392898788	0.4737964216473013	0.7900985604119481	0.09121351007262923	0.8536550173631839	0.9786999124617198	3	1	3	False	False	False	False
