profile	id.accession	condition_inferred	official_sample_name	official_source_name	official_material_type	official_tissue_type	official_tissue	sample_name_tissue_inferred	official_vs_inferred_match	tissue_final	tissue_source	official_sample_match_method	official_study_url	official_api_url
Mmus_C57-6J_LVR_FLT_I_Rep2_M22	OSD-48	flight	Mmus_C57-6J_LVR_FLT_I_Rep2_M22	RR1_FLT_M22	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-48	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-48
Mmus_C57-6J_LVR_GC_C_Rep1_M36	OSD-48	ground_control	Mmus_C57-6J_LVR_GC_C_Rep1_M36	RR1_GC_M36	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-48	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-48
Mmus_C57-6J_LVR_GC_C_Rep2_M37	OSD-48	ground_control	Mmus_C57-6J_LVR_GC_C_Rep2_M37	RR1_GC_M37	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-48	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-48
Mmus_C57-6J_LVR_GC_C_Rep3_M38	OSD-48	ground_control	Mmus_C57-6J_LVR_GC_C_Rep3_M38	RR1_GC_M38	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-48	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-48
Mmus_C57-6J_LVR_GC_C_Rep4_M39	OSD-48	ground_control	Mmus_C57-6J_LVR_GC_C_Rep4_M39	RR1_GC_M39	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-48	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-48
Mmus_C57-6J_LVR_GC_C_Rep5_M40	OSD-48	ground_control	Mmus_C57-6J_LVR_GC_C_Rep5_M40	RR1_GC_M40	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-48	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-48
Mmus_C57-6J_LVR_GC_I_Rep1_M31	OSD-48	ground_control	Mmus_C57-6J_LVR_GC_I_Rep1_M31	RR1_GC_M31	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-48	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-48
Mmus_C57-6J_LVR_GC_I_Rep2_M32	OSD-48	ground_control	Mmus_C57-6J_LVR_GC_I_Rep2_M32	RR1_GC_M32	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-48	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-48
Mmus_C57-6J_LVR_DI_1y_Rep1	OSD-49	unknown	Mmus_C57-6J_LVR_DI_1y_Rep1	25min 1	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-49	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-49
Mmus_C57-6J_LVR_DI_1y_Rep2	OSD-49	unknown	Mmus_C57-6J_LVR_DI_1y_Rep2	25min 2	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-49	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-49
Mmus_C57-6J_LVR_DI_1y_Rep3	OSD-49	unknown	Mmus_C57-6J_LVR_DI_1y_Rep3	25min 3	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-49	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-49
Mmus_C57-6J_LVR_LN2_1y_Rep1	OSD-49	unknown	Mmus_C57-6J_LVR_LN2_1y_Rep1	ASAP 1	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-49	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-49
Mmus_C57-6J_LVR_LN2_1y_Rep2	OSD-49	unknown	Mmus_C57-6J_LVR_LN2_1y_Rep2	ASAP 2	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-49	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-49
Mmus_C57-6J_LVR_LN2_1y_Rep3	OSD-49	unknown	Mmus_C57-6J_LVR_LN2_1y_Rep3	ASAP 3	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-49	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-49
Mmus_C57-6J_LVR_LN2_3d_Rep1	OSD-49	unknown	Mmus_C57-6J_LVR_LN2_3d_Rep1	PC 1	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-49	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-49
Mmus_C57-6J_LVR_LN2_3d_Rep2	OSD-49	unknown	Mmus_C57-6J_LVR_LN2_3d_Rep2	PC 2	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-49	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-49
Mmus_C57-6J_LVR_LN2_3d_Rep3	OSD-49	unknown	Mmus_C57-6J_LVR_LN2_3d_Rep3	PC 3	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-49	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-49
Mmus_BAL-TAL_LVR_BSL_Rep1_B1	OSD-137	baseline_control	Mmus_BAL-TAL_LVR_BSL_Rep1_B1	RR3_BSL_B1	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-137	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-137
Mmus_BAL-TAL_LVR_BSL_Rep2_B2	OSD-137	baseline_control	Mmus_BAL-TAL_LVR_BSL_Rep2_B2	RR3_BSL_B2	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-137	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-137
Mmus_BAL-TAL_LVR_BSL_Rep3_B3	OSD-137	baseline_control	Mmus_BAL-TAL_LVR_BSL_Rep3_B3	RR3_BSL_B3	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-137	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-137
Mmus_BAL-TAL_LVR_BSL_Rep4_B4	OSD-137	baseline_control	Mmus_BAL-TAL_LVR_BSL_Rep4_B4	RR3_BSL_B4	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-137	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-137
Mmus_BAL-TAL_LVR_BSL_Rep5_B6	OSD-137	baseline_control	Mmus_BAL-TAL_LVR_BSL_Rep5_B6	RR3_BSL_B6	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-137	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-137
Mmus_BAL-TAL_LVR_BSL_Rep6_B7	OSD-137	baseline_control	Mmus_BAL-TAL_LVR_BSL_Rep6_B7	RR3_BSL_B7	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-137	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-137
Mmus_BAL-TAL_LVR_FLT_Rep1_F1	OSD-137	flight	Mmus_BAL-TAL_LVR_FLT_Rep1_F1	RR3_FLT_F1	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-137	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-137
