location	cluster	gene_count	deg_count	deg_proportion	up_count	down_count	median_log2_fold_change	fisher_odds_ratio	fisher_p_value	fisher_fdr_bh
FLT	10	743	5	0.006729475100942127	3	2	0.0386999968230628	2.4842440284867964	0.06296587001559245	0.766846396381752
FLT	8	807	4	0.004956629491945477	2	2	-0.0774696745156566	1.777651986867429	0.20515748826381033	0.766846396381752
FLT	3	1391	6	0.004313443565780014	4	2	-0.125178013528454	1.55956678700361	0.21296050610099254	0.766846396381752
FLT	2	1748	7	0.004004576659038902	6	1	0.03689648601775075	1.4478362589484597	0.2396394988692975	0.766846396381752
FLT	0	3209	12	0.00373948270489249	8	4	-0.209847705556294	1.3875508289020957	0.20721221804213058	0.766846396381752
FLT	1	1924	6	0.0031185031185031187	3	3	-0.0015839979336809999	1.0864740056606583	0.49078833751775686	1.0
FLT	5	1320	4	0.0030303030303030303	3	1	0.03888639028877015	1.04925393755181	0.5394106566139382	1.0
FLT	7	1118	3	0.0026833631484794273	3	0	0.06208416638243815	0.9201793721973094	0.6380737284859759	1.0
FLT	4	1357	1	0.0007369196757553427	0	1	0.0577311037806044	0.23769848741605473	0.9836214579392176	1.0
FLT	6	1308	0	0.0	0	0	0.030309499502350852	0.0	1.0	1.0
FLT	9	771	0	0.0	0	0	-0.605727229836696	0.0	1.0	1.0
FLT	11	572	0	0.0	0	0		0.0	1.0	1.0
FLT	12	237	0	0.0	0	0		0.0	1.0	1.0
FLT	13	38	0	0.0	0	0	-0.19144912136957098	0.0	1.0	1.0
FLT	14	6	0	0.0	0	0	0.0922190708834236	0.0	1.0	1.0
FLT	15	4	0	0.0	0	0	0.05377388017703945	0.0	1.0	1.0
GC	12	3	1	0.3333333333333333	0	1	-2.12351137928685	175.56382978723406	0.008674650252254144	0.06505987689190608
GC	1	2663	15	0.005632745024408562	12	3	-0.14656181186868	2.3786391101345785	0.0066508439761857234	0.06505987689190608
GC	11	368	4	0.010869565217391304	2	2	0.0211564696506577	4.031218781218781	0.02168901245084267	0.10844506225421334
GC	10	884	5	0.005656108597285068	4	1	-0.07758184602147425	2.067095272111543	0.11160957806213402	0.4185359177330026
GC	3	1270	5	0.003937007874015748	2	3	0.0411339188227612	1.400864050004596	0.30672927366887875	0.9201878210066363
GC	5	1042	3	0.0028790786948176585	1	2	0.00671635568168	0.9923644529996791	0.5893445213706197	1.0
GC	4	1198	3	0.0025041736227045075	2	1	0.053896253039608405	0.8541143654114366	0.6850448780707789	1.0
GC	9	887	2	0.002254791431792559	1	1	0.0249306901805662	0.7673790223532302	0.7360868431263496	1.0
GC	6	1037	2	0.0019286403085824494	1	1	-0.0221653884077796	0.6498634740600714	0.8118735729883958	1.0
GC	2	2130	3	0.0014084507042253522	2	1	0.0429053219324056	0.4506503682808337	0.9562592561419953	1.0
GC	8	892	1	0.0011210762331838565	1	0	0.026796486255895098	0.37285383384674164	0.9302467859951186	1.0
GC	7	897	1	0.0011148272017837235	1	0	0.0394548561228562	0.3706544452887538	0.9313093349218157	1.0
GC	0	3279	3	0.0009149130832570906	3	0	0.339628570532233	0.2692104192104192	0.9979792075850054	1.0
GC	13	2	0	0.0	0	0	0.24603712377497794	0.0	1.0	1.0
GC	14	1	0	0.0	0	0	-2.71416877893529	0.0	1.0	1.0
