method	term	description	query_size	universe_size	term_size	overlap	enrichment_ratio	p_value	overlap_gene_ids	fdr_bh
DESeq2_DEG	REACTOME_CYCLIN_E_ASSOCIATED_EVENTS_DURING_G1_S_TRANSITION_	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_CYCLIN_E_ASSOCIATED_EVENTS_DURING_G1_S_TRANSITION_	48	12962	61	2	8.853825136612022	0.021389676516018565	ENSMUSG00000023067,ENSMUSG00000031016	0.03881830182536703
DESeq2_DEG	REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR	48	12962	76	2	7.1063596491228065	0.032167363877820904	ENSMUSG00000020431,ENSMUSG00000023067	0.05629288678618658
DESeq2_DEG	REACTOME_DOWNSTREAM_SIGNAL_TRANSDUCTION	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_DOWNSTREAM_SIGNAL_TRANSDUCTION	48	12962	84	2	6.429563492063492	0.03862110531358153	ENSMUSG00000020431,ENSMUSG00000023067	0.06302429315257692
DESeq2_DEG	REACTOME_HEMOSTASIS	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_HEMOSTASIS	48	12962	350	4	3.086190476190476	0.04008309280842009	ENSMUSG00000029663,ENSMUSG00000030302,ENSMUSG00000031016,ENSMUSG00000033717	0.06302429315257692
DESeq2_DEG	REACTOME_SIGNALING_BY_ERBB2	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_SIGNALING_BY_ERBB2	48	12962	87	2	6.207854406130267	0.04115872205882574	ENSMUSG00000020431,ENSMUSG00000023067	0.06302429315257692
DESeq2_DEG	REACTOME_SIGNALING_BY_FGFR	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_SIGNALING_BY_FGFR	48	12962	87	2	6.207854406130267	0.04115872205882574	ENSMUSG00000020431,ENSMUSG00000023067	0.06302429315257692
DESeq2_DEG	REACTOME_SIGNALING_BY_EGFR_IN_CANCER	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_SIGNALING_BY_EGFR_IN_CANCER	48	12962	96	2	5.625868055555555	0.04913419910224093	ENSMUSG00000020431,ENSMUSG00000023067	0.07123336301180892
DESeq2_DEG	REACTOME_GPCR_DOWNSTREAM_SIGNALING	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_GPCR_DOWNSTREAM_SIGNALING	48	12962	226	3	3.58462389380531	0.05098926922644828	ENSMUSG00000020431,ENSMUSG00000029663,ENSMUSG00000033717	0.07123336301180892
DESeq2_DEG	REACTOME_SIGNALING_BY_FGFR_IN_DISEASE	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_SIGNALING_BY_FGFR_IN_DISEASE	48	12962	100	2	5.400833333333333	0.05284533367770154	ENSMUSG00000020431,ENSMUSG00000023067	0.07123336301180892
DESeq2_DEG	REACTOME_S_PHASE	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_S_PHASE	48	12962	100	2	5.400833333333333	0.05284533367770154	ENSMUSG00000023067,ENSMUSG00000031016	0.07123336301180892
