method	term	description	query_size	universe_size	term_size	overlap	enrichment_ratio	p_value	overlap_gene_ids	fdr_bh
GLARE_top_latent_shift	REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2_	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2_	48	12962	76	8	28.425438596491226	2.9923256230954637e-10	ENSMUSG00000028001,ENSMUSG00000029368,ENSMUSG00000033831,ENSMUSG00000033860,ENSMUSG00000059481,ENSMUSG00000066366,ENSMUSG00000071178,ENSMUSG00000079015	1.0173907118524577e-08
GLARE_top_latent_shift	REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION	48	12962	172	8	12.560077519379844	1.961001296757692e-07	ENSMUSG00000028001,ENSMUSG00000029368,ENSMUSG00000033831,ENSMUSG00000033860,ENSMUSG00000059481,ENSMUSG00000066366,ENSMUSG00000071178,ENSMUSG00000079015	3.3337022044880764e-06
GLARE_top_latent_shift	REACTOME_HEMOSTASIS	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_HEMOSTASIS	48	12962	350	9	6.943928571428572	4.556413114666805e-06	ENSMUSG00000020609,ENSMUSG00000028001,ENSMUSG00000029368,ENSMUSG00000033831,ENSMUSG00000033860,ENSMUSG00000059481,ENSMUSG00000066366,ENSMUSG00000071178,ENSMUSG00000079015	5.163934863289045e-05
GLARE_top_latent_shift	REACTOME_COMMON_PATHWAY	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_COMMON_PATHWAY	48	12962	11	3	73.64772727272728	7.702090491658736e-06	ENSMUSG00000028001,ENSMUSG00000033831,ENSMUSG00000033860	6.546776917909925e-05
GLARE_top_latent_shift	REACTOME_P130CAS_LINKAGE_TO_MAPK_SIGNALING_FOR_INTEGRINS	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_P130CAS_LINKAGE_TO_MAPK_SIGNALING_FOR_INTEGRINS	48	12962	14	3	57.86607142857143	1.6859003547263953e-05	ENSMUSG00000028001,ENSMUSG00000033831,ENSMUSG00000033860	9.553435343449572e-05
GLARE_top_latent_shift	REACTOME_GRB2_SOS_PROVIDES_LINKAGE_TO_MAPK_SIGNALING_FOR_INTERGRINS_	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_GRB2_SOS_PROVIDES_LINKAGE_TO_MAPK_SIGNALING_FOR_INTERGRINS_	48	12962	14	3	57.86607142857143	1.6859003547263953e-05	ENSMUSG00000028001,ENSMUSG00000033831,ENSMUSG00000033860	9.553435343449572e-05
GLARE_top_latent_shift	REACTOME_FATTY_ACYL_COA_BIOSYNTHESIS	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_FATTY_ACYL_COA_BIOSYNTHESIS	48	12962	16	3	50.63281250000001	2.580218122592314e-05	ENSMUSG00000020532,ENSMUSG00000020917,ENSMUSG00000025153	0.00012532488024019812
GLARE_top_latent_shift	REACTOME_GLUCOSE_METABOLISM	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_GLUCOSE_METABOLISM	48	12962	55	4	19.63939393939394	4.914444895959079e-05	ENSMUSG00000001891,ENSMUSG00000027513,ENSMUSG00000028307,ENSMUSG00000069805	0.00020886390807826088
GLARE_top_latent_shift	REACTOME_METABOLISM_OF_LIPIDS_AND_LIPOPROTEINS	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_METABOLISM_OF_LIPIDS_AND_LIPOPROTEINS	48	12962	392	8	5.511054421768708	8.51435100412314e-05	ENSMUSG00000016194,ENSMUSG00000020532,ENSMUSG00000020538,ENSMUSG00000020609,ENSMUSG00000020917,ENSMUSG00000025153,ENSMUSG00000029368,ENSMUSG00000054422	0.0003199700513386112
GLARE_top_latent_shift	REACTOME_INTEGRIN_ALPHAIIB_BETA3_SIGNALING	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_INTEGRIN_ALPHAIIB_BETA3_SIGNALING	48	12962	25	3	32.405	0.00010351972249190363	ENSMUSG00000028001,ENSMUSG00000033831,ENSMUSG00000033860	0.0003199700513386112
