gene_id	procrustes_latent_shift	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	significant_padj05_abs_lfc1	direction	SYMBOL	entrez_id	is_deg	abs_log2_fold_change	latent_shift_rank
ENSMUSG00000027068	0.4252087	76.0976966953514	1.36203539947007	0.176485975068961	7.71752768987934	1.18607767713637e-14	1.01480806055788e-10	True	up	Dhrs9	241452	True	1.36203539947007	3706.0
ENSMUSG00000058672	3.272027	2649.95471063029	1.37196252658741	0.188214592720835	7.28935257757798	3.1144801960756e-13	1.33237462788114e-09	True	up	Tubb2a	22151	True	1.37196252658741	328.0
ENSMUSG00000026077	0.6836311	111.628411385074	2.56155336219028	0.37066697419822	6.91065981190019	4.82404637561218e-12	1.37581802632459e-08	True	up	Npas2	18143	True	2.56155336219028	2786.0
ENSMUSG00000055116	0.86005306	265.786932219651	1.75633469289462	0.273859890894009	6.41326003293548	1.42440251735112e-10	2.01034125884373e-07	True	up	Bmal1	11865	True	1.75633469289462	2351.0
ENSMUSG00000029188	0.40729988	30.6495489492911	1.4253549391154	0.232526599925369	6.12985757144721	8.7957778711685e-10	7.16730242530644e-07	True	up	Slc34a2	20531	True	1.4253549391154	3807.0
ENSMUSG00000024843	1.3406458	777.820931461932	1.2767553744284	0.214296541046748	5.95789072558981	2.55514266642425e-09	1.57796086324698e-06	True	up	Chka	12660	True	1.2767553744284	1498.0
ENSMUSG00000044646	0.39543757	56.6969927862104	1.01155262783329	0.173430418195431	5.83261366926659	5.4565807563112905e-09	2.61908688298823e-06	True	up	Zbtb7c	207259	True	1.01155262783329	3898.0
ENSMUSG00000026839	6.3499727	7021.81026947383	-1.04703658659628	0.186545924369849	-5.61275509037876	1.99130342854886e-08	7.57226317096179e-06	True	down	Upp2	76654	True	1.04703658659628	104.0
ENSMUSG00000026348	1.197931	602.705176971691	1.22657536069809	0.219635390230364	5.58459799858117	2.34241404026386e-08	8.35070605354066e-06	True	up	Acmsd	266645	True	1.22657536069809	1689.0
ENSMUSG00000052632	0.5499755	324.313990833321	1.03231462712012	0.185402292251365	5.56797121861111	2.57722379853599e-08	9.00029666133629e-06	True	up	Asap2	211914	True	1.03231462712012	3201.0
ENSMUSG00000020431	0.4542394	48.6902664383314	1.75363400585366	0.319458670258028	5.48939242887739	4.0331865435161e-08	1.23242657379728e-05	True	up	Adcy1	432530	True	1.75363400585366	3569.0
ENSMUSG00000015357	5.64488	4528.97321804386	1.02049348845993	0.189463191924834	5.38623612371523	7.194843018931e-08	1.86153175118491e-05	True	up	Clpx	270166	True	1.02049348845993	122.0
ENSMUSG00000023873	0.3967528	16.3623150870972	1.0703784919629	0.202774981942389	5.27865164484149	1.3013794159306e-07	2.85502622633391e-05	True	up	1700010I14Rik	66931	True	1.0703784919629	3885.0
ENSMUSG00000074469	0.39844596	5.6047031169651	1.74648849435348	0.33732687825996	5.177436507172	2.24955464505683e-07	4.3252111332823e-05	True	up	Gm15348	100038554	True	1.74648849435348	3870.0
ENSMUSG00000027577	0.4636891	99.5403573734492	1.99870724453898	0.395331076643407	5.05578074334348	4.2863356257716e-07	7.40886618466703e-05	True	up	Chrna4	11438	True	1.99870724453898	3526.0
ENSMUSG00000005547	7.8939886	15792.8460885803	-1.0285569339123	0.203823610676201	-5.04630906350829	4.50426584034857e-07	7.70769970600447e-05	True	down	Cyp2a5	13087	True	1.0285569339123	61.0
ENSMUSG00000020131	0.10520634	140.498724121445	-1.33116761171012	0.269433101457375	-4.94062386733397	7.7873002911644e-07	0.0001148761056744	True	down	Pcsk4	18551	True	1.33116761171012	15878.0
ENSMUSG00000059743	3.0902069	2592.08788704511	1.02589151007089	0.21157470850771	4.84883811163802	1.24186715862204e-06	0.0001700066465467	True	up	Fdps	110196	True	1.02589151007089	366.0
ENSMUSG00000029663	0.39105392	11.4885204065778	1.06184954606183	0.219122303286408	4.84592179863096	1.26025153350133e-06	0.000171154160645	True	up	Gngt1	14699	True	1.06184954606183	4032.0
ENSMUSG00000027533	1.8283644	950.34234694284	1.34196364720414	0.2781333219087	4.82489346474154	1.40078122661262e-06	0.0001824889920953	True	up	Fabp5	16592	True	1.34196364720414	984.0
ENSMUSG00000022389	3.59365	1974.95509479179	-1.15477349177412	0.241884068263806	-4.77407834283112	1.80532099755411e-06	0.0002175538937334	True	down	Tef	21685	True	1.15477349177412	274.0
ENSMUSG00000056738	0.36985457	7.81864733047446	-1.31544659008875	0.278034414368519	-4.7312365739919	2.23156268217192e-06	0.0002615513740912	True	down	A730036I17Rik	329513	True	1.31544659008875	9295.0
ENSMUSG00000030302	0.5645448	321.968487583923	1.08483246924985	0.240727435060364	4.50647625177337	6.5913058520885e-06	0.0005644154743851	True	up	Atp2b2	11941	True	1.08483246924985	3149.0
ENSMUSG00000038550	0.23868318	115.127817573019	-2.05851185026185	0.475958664940528	-4.32498030163829	1.52545492906447e-05	0.0010698190469734	True	down	Ciart	229599	True	2.05851185026185	13149.0
ENSMUSG00000023067	0.9511489	171.01373628744	1.96700017207403	0.467287835521051	4.20939734046515	2.5605275005709e-05	0.0015817959057678	True	up	Cdkn1a	12575	True	1.96700017207403	2150.0
