gene_id	procrustes_latent_shift	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	significant_padj05_abs_lfc1	direction	SYMBOL	entrez_id	is_deg	abs_log2_fold_change	latent_shift_rank
ENSMUSG00000025153	33.339985	25407.0728100251	1.03050255843568	0.320207301149051	3.21823567026036	0.0012898179324718	0.0223620713885089	True	up	Fasn	14104	True	1.03050255843568	1.0
ENSMUSG00000028186	25.748459	40878.5777262227	-0.0107371996095756	0.134240204249066	-0.0799849767038048	0.93624920453866	0.972438838200683	False	not_deg	Uox	22262	False	0.0107371996095756	2.0
ENSMUSG00000050440	22.705471	35349.9854705462	0.220536767744108	0.270766918201722	0.814489337208497	0.415364678198727	0.657270239812892	False	not_deg	Hamp	84506	False	0.220536767744108	3.0
ENSMUSG00000052305	20.0753	14869.0386797424	-0.420165357789604	0.275608022948456	-1.5245033627638	0.127383017468774	0.34392208818644	False	not_deg	Hbb-b1|Hbb-bs	15129|100503605	False	0.420165357789604	4.0
ENSMUSG00000050708	19.697647	48151.6920020144	-0.122561014281108	0.135675721046998	-0.903337850982589	0.366346613559	0.614030345539862	False	not_deg	Ftl1	14325	False	0.122561014281108	5.0
ENSMUSG00000054422	18.236473	231758.34244627	0.0323537742337734	0.158829406585692	0.203701411025029	0.838586839478008	0.925359799668778	False	not_deg	Fabp1	14080	False	0.0323537742337734	6.0
ENSMUSG00000079015	17.704113	104584.355533099	0.383169570930272	0.175106161106121	2.18821295898353	0.0286540935856813	0.144725162171835	False	not_deg	Serpina1c	20702	False	0.383169570930272	7.0
ENSMUSG00000040564	17.667957	169407.01865298	0.0603290370112882	0.152504481050942	0.395588618744496	0.692408534558515	0.847853229443253	False	not_deg	Apoc1	11812	False	0.0603290370112882	8.0
ENSMUSG00000029368	16.938023	2299590.38554562	0.0867193675326189	0.0874516947567972	0.991625923017102	0.321380038850787	0.57336736021139	False	not_deg	Alb	11657	False	0.0867193675326189	9.0
ENSMUSG00000028307	16.403862	141926.551431182	0.198257906318948	0.135084909425712	1.46765399008523	0.142198234493757	0.367179144206605	False	not_deg	Aldob	230163	False	0.198257906318948	10.0
ENSMUSG00000020917	15.992681	12157.1404982504	1.02187194278443	0.251035638350239	4.07062498974245	4.68871760848325e-05	0.0024094094809719	True	up	Acly	104112	True	1.02187194278443	11.0
ENSMUSG00000066154	15.600637	42708.8421622345	-0.172841593133983	0.165436597166774	-1.04476032567174	0.296133755743634	0.548500721121619	False	not_deg	Mup3	17842	False	0.172841593133983	12.0
ENSMUSG00000071178	15.338839	112431.587636958	0.22453496524815	0.118790374971013	1.89017809989185	0.0587341446213941	0.219760601276451	False	not_deg	Serpina1b	20701	False	0.22453496524815	13.0
ENSMUSG00000037071	14.328456	180948.714270626	0.405354880017337	0.307521564408941	1.31813481372089	0.187458522218168	0.427823461650781	False	not_deg	Scd1	20249	False	0.405354880017337	14.0
ENSMUSG00000069805	14.216803	27375.1819089213	-0.260179473814847	0.104516429702652	-2.4893643473572	0.0127971744148715	0.0913362247419274	False	not_deg	Fbp1	14121	False	0.260179473814847	15.0
ENSMUSG00000002769	13.931042	31124.4851889477	-0.0948362477978728	0.127554324471302	-0.743496923298826	0.45718088355994	0.692190798628968	False	not_deg	Gnmt	14711	False	0.0948362477978728	16.0
ENSMUSG00000027513	13.378742	48175.0104959808	-0.357011587823331	0.185925624429492	-1.92018496061966	0.0548345406022152	0.211948842702948	False	not_deg	Pck1	18534	False	0.357011587823331	17.0
ENSMUSG00000076441	13.154041	55096.4738239963	0.157935611204404	0.110674836367454	1.42702367031327	0.153573071971958	0.383529248042053	False	not_deg	Ass1	11898	False	0.157935611204404	18.0
ENSMUSG00000025479	13.061586	150196.720485126	-0.344569594326958	0.118736769398351	-2.90196201288716	0.0037083350504988	0.0432563254152256	False	not_deg	Cyp2e1	13106	False	0.344569594326958	19.0
ENSMUSG00000032080	13.000958	24007.2411310208	0.103277642604383	0.161583906936463	0.639157974098204	0.522720168541458	0.740401251889862	False	not_deg	Apoa4	11808	False	0.103277642604383	20.0
ENSMUSG00000024164	12.772508	300544.234377169	0.218270158492813	0.0959922540773477	2.27383095220305	0.0229761524783773	0.128612339290151	False	not_deg	C3	12266	False	0.218270158492813	21.0
ENSMUSG00000066366	12.324371	138138.725450265	0.246677136650627	0.130811847521197	1.88574002527298	0.0593299964091628	0.221092094632751	False	not_deg	Serpina1a	20700	False	0.246677136650627	22.0
