GO,Description,_LogP_FLT_cluster_02,_LogP_FLT_cluster_04,_LogP_FLT_cluster_05,_LogP_FLT_cluster_06,_LogP_FLT_cluster_08,_LogP_FLT_cluster_09,_LogP_FLT_cluster_10,_LogP_FLT_cluster_11,_LogP_FLT_cluster_12,_LogP_FLT_cluster_14,_LogP_GC_cluster_02,_LogP_GC_cluster_03,_LogP_GC_cluster_04,_LogP_GC_cluster_05,_LogP_GC_cluster_06,_LogP_GC_cluster_08,_LogP_GC_cluster_09,_LogP_GC_cluster_10,_LogP_GC_cluster_11,_LogP_GC_cluster_12,_LogP_GC_cluster_13
PGB:00214,Tissue-specific: epidermis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.82564208022591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGB:00221,Tissue-specific: eye,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.6480360045842675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGB:00211,Tissue-specific: stomach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.99879014609451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGB:00015,Tissue-specific: retina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.796500576354582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGB:00265,Cell-specific: embryonic stem line V26_2_p16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.6321674422793855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGB:00256,Cell-specific: min6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.885852842180377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGB:00006,Tissue-specific: small intestine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.695591218189158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGB:00010,Tissue-specific: brain,0.0,0.0,0.0,0.0,-2.917255110203349,0.0,0.0,0.0,0.0,0.0,-18.71220762875949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGB:00269,Cell-specific: retinal pigment epithelium,0.0,0.0,0.0,0.0,-4.028133742607615,0.0,0.0,0.0,0.0,0.0,-10.36598570087339,0.0,0.0,0.0,0.0,0.0,0.0,-2.0874250279408053,0.0,0.0,0.0
PGB:00217,Tissue-specific: adipose brown,0.0,0.0,0.0,0.0,-5.2691057517979845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGB:00278,Cell-specific: nih 3T3,0.0,0.0,0.0,0.0,-6.128317536410484,0.0,0.0,0.0,0.0,0.0,-2.448216543398227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGB:00226,Tissue-specific: umbilical cord,0.0,0.0,0.0,0.0,-5.645993364900709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5102140286951813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGB:00258,Cell-specific: medial olfactory epithelium,0.0,0.0,0.0,0.0,-7.078727374076154,0.0,-2.1656165828086507,-2.0255780831596475,0.0,0.0,-6.306479036444152,0.0,0.0,0.0,0.0,0.0,-2.5281643256248882,-2.3612089928351403,0.0,0.0,0.0
PGB:00045,Tissue-specific: mammary gland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.612918393175179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.024305471664713,0.0
PGB:00273,Cell-specific: dendritic plasmacytoid B220+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.6489816421863175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.046206255055606,0.0
PGB:00259,Cell-specific: c2c12,0.0,0.0,0.0,0.0,-2.245242274835356,0.0,0.0,0.0,-47.459459328236036,-12.714453997674415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.268006702370124,-31.94473639212938,-62.854425370287885,0.0
PGB:00028,Tissue-specific: skeletal muscle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.16346548268221,-7.421851797144589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.52139178900949,-36.6494454523781,-50.573108325649756,0.0
PGB:00023,Tissue-specific: heart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.636942101694334,-4.146726858634262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.195974620425787,-7.669175499510601,-10.717132460714843,0.0
PGB:00276,Cell-specific: MEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.9148672565607665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.69184315396678,-3.670326263845284,-2.792821969713738,0.0
PGB:00001,Tissue-specific: liver,0.0,0.0,-7.697201255289385,-42.63473029407064,0.0,-24.27155669831928,-64.22421391561309,-50.06260467008568,0.0,0.0,0.0,0.0,0.0,0.0,-51.01558601743062,-4.988128937945041,-90.48032359112709,0.0,0.0,0.0,-40.71577111069078
