gene_cluster	n_genes	direction	rank	id.accession	mean_expression	z_score_across_studies
0	1781	high	1	OSD-273	158.63438	2.2868662817905023
0	1781	high	2	OSD-168	139.84866	1.7608382790026211
0	1781	high	3	OSD-463	121.31755	1.2419397335786222
0	1781	high	4	OSD-245	110.57312	0.9410797689888066
0	1781	high	5	OSD-137	98.31867	0.5979370063603872
0	1781	high	6	OSD-235	81.81021	0.13567565875680201
0	1781	high	7	OSD-379	72.02722	-0.1382625608586192
0	1781	high	8	OSD-47	67.32244	-0.2700033739313344
0	1781	high	9	OSD-48	67.18661	-0.27380681524839207
0	1781	high	10	OSD-242	64.087296	-0.36059220081958776
0	1781	high	11	OSD-173	59.694927	-0.48358504286010573
0	1781	high	12	OSD-49	55.087593	-0.6125972235056546
0	1781	high	13	OSD-322	53.06388	-0.6692641869015676
0	1781	high	14	OSD-294	50.889202	-0.7301583940465024
0	1781	high	15	OSD-164	42.79899	-0.9566963207530936
0	1781	high	16	OSD-686	35.896873	-1.1499658265542172
0	1781	high	17	OSD-457	29.845802	-1.3194047829986688
0	1781	low	1	OSD-457	29.845802	-1.3194047829986688
0	1781	low	2	OSD-686	35.896873	-1.1499658265542172
0	1781	low	3	OSD-164	42.79899	-0.9566963207530936
0	1781	low	4	OSD-294	50.889202	-0.7301583940465024
0	1781	low	5	OSD-322	53.06388	-0.6692641869015676
0	1781	low	6	OSD-49	55.087593	-0.6125972235056546
0	1781	low	7	OSD-173	59.694927	-0.48358504286010573
0	1781	low	8	OSD-242	64.087296	-0.36059220081958776
0	1781	low	9	OSD-48	67.18661	-0.27380681524839207
0	1781	low	10	OSD-47	67.32244	-0.2700033739313344
0	1781	low	11	OSD-379	72.02722	-0.1382625608586192
0	1781	low	12	OSD-235	81.81021	0.13567565875680201
0	1781	low	13	OSD-137	98.31867	0.5979370063603872
0	1781	low	14	OSD-245	110.57312	0.9410797689888066
0	1781	low	15	OSD-463	121.31755	1.2419397335786222
0	1781	low	16	OSD-168	139.84866	1.7608382790026211
0	1781	low	17	OSD-273	158.63438	2.2868662817905023
1	1679	high	1	OSD-235	2.1473577	2.0232470806903287
1	1679	high	2	OSD-322	1.9303355	1.6678315400542973
1	1679	high	3	OSD-294	1.5944809	1.1178051177154862
1	1679	high	4	OSD-168	1.582627	1.0983920794311748
1	1679	high	5	OSD-273	1.4776171	0.9264181966641789
1	1679	high	6	OSD-379	1.1014577	0.31038492211288843
1	1679	high	7	OSD-48	0.9881732	0.12485979236495243
1	1679	high	8	OSD-245	0.8323256	-0.1303705896458645
1	1679	high	9	OSD-463	0.71104157	-0.32899648641111073
