library	gene_cluster	term	description	overlap	cluster_genes_in_universe	term_genes_in_universe	universe_genes	p_value	enrichment_ratio	overlap_genes	fdr_bh
panglao	7	panglao_Distal_tubule_cells	/	4	343	52	4072	0.6492823503125036	0.9132092397398519	ENSMUSG00000041248,ENSMUSG00000050520,ENSMUSG00000060177,ENSMUSG00000063903	0.9109122738246039
panglao	7	panglao_Enteric_neurons	/	5	343	65	4072	0.6506516241604314	0.913209239739852	ENSMUSG00000019772,ENSMUSG00000032297,ENSMUSG00000032303,ENSMUSG00000034098,ENSMUSG00000038253	0.9109122738246039
panglao	7	panglao_Luminal_epithelial_cells	/	5	343	65	4072	0.6506516241604314	0.913209239739852	ENSMUSG00000020303,ENSMUSG00000031870,ENSMUSG00000032496,ENSMUSG00000060177,ENSMUSG00000063903	0.9109122738246039
panglao	7	panglao_Mammary_epithelial_cells	/	3	343	42	4072	0.6998020936581884	0.8479800083298625	ENSMUSG00000000706,ENSMUSG00000063157,ENSMUSG00000070702	0.9135718543897486
panglao	7	panglao_Purkinje_neurons	/	4	343	56	4072	0.7066401134731213	0.8479800083298625	ENSMUSG00000026452,ENSMUSG00000034825,ENSMUSG00000037996,ENSMUSG00000070880	0.9135718543897486
panglao	7	panglao_Megakaryocytes	/	3	343	43	4072	0.7150960493940021	0.8282595430198658	ENSMUSG00000004933,ENSMUSG00000030742,ENSMUSG00000045322	0.9135718543897486
panglao	7	panglao_B_cells	/	6	343	84	4072	0.7229446489302964	0.8479800083298625	ENSMUSG00000010142,ENSMUSG00000024353,ENSMUSG00000024669,ENSMUSG00000028965,ENSMUSG00000037944,ENSMUSG00000045322	0.9135718543897486
panglao	7	panglao_Ependymal_cells	/	3	343	44	4072	0.7297824650542757	0.8094354624966871	ENSMUSG00000020932,ENSMUSG00000034227,ENSMUSG00000079259	0.9135718543897486
panglao	7	panglao_Kupffer_cells	/	3	343	44	4072	0.7297824650542757	0.8094354624966871	ENSMUSG00000042265,ENSMUSG00000045322,ENSMUSG00000050578	0.9135718543897486
panglao	7	panglao_Proximal_tubule_cells	/	5	343	72	4072	0.7377921707369854	0.8244250080984775	ENSMUSG00000001827,ENSMUSG00000020062,ENSMUSG00000041644,ENSMUSG00000055373,ENSMUSG00000092212	0.9135718543897486
panglao	7	panglao_Endothelial_cells_(aorta)	/	6	343	86	4072	0.7439088026719304	0.8282595430198658	ENSMUSG00000019789,ENSMUSG00000023000,ENSMUSG00000024529,ENSMUSG00000025213,ENSMUSG00000031377,ENSMUSG00000064023	0.9135718543897486
panglao	7	panglao_Cardiomyocytes	/	7	343	100	4072	0.7504340232487221	0.8310204081632653	ENSMUSG00000000182,ENSMUSG00000002100,ENSMUSG00000019789,ENSMUSG00000024529,ENSMUSG00000024803,ENSMUSG00000061086,ENSMUSG00000074652	0.9135718543897486
panglao	7	panglao_Chondrocytes	/	3	343	47	4072	0.7702865414959981	0.7577693691458347	ENSMUSG00000022483,ENSMUSG00000050578,ENSMUSG00000089661	0.9243438497951977
panglao	7	panglao_Enterocytes	/	10	343	144	4072	0.785094807853933	0.8244250080984775	ENSMUSG00000003051,ENSMUSG00000022824,ENSMUSG00000025726,ENSMUSG00000026175,ENSMUSG00000038602,ENSMUSG00000040808,ENSMUSG00000043501,ENSMUSG00000052396,ENSMUSG00000070419,ENSMUSG00000079071	0.9288445614046532
panglao	7	panglao_Microglia	/	4	343	65	4072	0.8100660510534651	0.7305673917918816	ENSMUSG00000000318,ENSMUSG00000021384,ENSMUSG00000040950,ENSMUSG00000054675	0.9394739499566322
panglao	7	panglao_Basal_cells	/	3	343	51	4072	0.8164475993670733	0.6983364774481221	ENSMUSG00000018623,ENSMUSG00000019853,ENSMUSG00000059430	0.9394739499566322
panglao	7	panglao_Mesangial_cells	/	3	343	53	4072	0.8364259597444876	0.6719841575444194	ENSMUSG00000029838,ENSMUSG00000037944,ENSMUSG00000049892	0.9494564948450941
panglao	7	panglao_Pericytes	/	3	343	55	4072	0.854506410130617	0.6475483699973497	ENSMUSG00000032911,ENSMUSG00000034164,ENSMUSG00000048939	0.9539191025573321
panglao	7	panglao_Adipocytes	/	7	343	117	4072	0.8752290775499992	0.7102738531309959	ENSMUSG00000022053,ENSMUSG00000024529,ENSMUSG00000025723,ENSMUSG00000027208,ENSMUSG00000027230,ENSMUSG00000028965,ENSMUSG00000051314	0.9539191025573321
panglao	7	panglao_Smooth_muscle_cells	/	4	343	74	4072	0.8817217631275063	0.6417146008982744	ENSMUSG00000001349,ENSMUSG00000024529,ENSMUSG00000024803,ENSMUSG00000059430	0.9539191025573321
panglao	7	panglao_Monocytes	/	7	343	119	4072	0.885782023803237	0.698336477448122	ENSMUSG00000025163,ENSMUSG00000026582,ENSMUSG00000031551,ENSMUSG00000034362,ENSMUSG00000049307,ENSMUSG00000059108,ENSMUSG00000074139	0.9539191025573321
