gene_cluster	gene
0	ENSMUSG00000021645
0	ENSMUSG00000021675
0	ENSMUSG00000021684
0	ENSMUSG00000021700
0	ENSMUSG00000021708
0	ENSMUSG00000021719
0	ENSMUSG00000021725
0	ENSMUSG00000021765
0	ENSMUSG00000021773
0	ENSMUSG00000021795
0	ENSMUSG00000021822
0	ENSMUSG00000021835
0	ENSMUSG00000021958
0	ENSMUSG00000021974
0	ENSMUSG00000021986
0	ENSMUSG00000021994
0	ENSMUSG00000022014
0	ENSMUSG00000022034
0	ENSMUSG00000022099
0	ENSMUSG00000022102
0	ENSMUSG00000022103
0	ENSMUSG00000022113
0	ENSMUSG00000022120
0	ENSMUSG00000022159
0	ENSMUSG00000022179
0	ENSMUSG00000022180
0	ENSMUSG00000022286
0	ENSMUSG00000022306
0	ENSMUSG00000022311
0	ENSMUSG00000022322
0	ENSMUSG00000022335
0	ENSMUSG00000022340
0	ENSMUSG00000022346
0	ENSMUSG00000022369
0	ENSMUSG00000022414
0	ENSMUSG00000022420
0	ENSMUSG00000022422
0	ENSMUSG00000022438
0	ENSMUSG00000022442
0	ENSMUSG00000022456
0	ENSMUSG00000022469
0	ENSMUSG00000022526
0	ENSMUSG00000022537
0	ENSMUSG00000022554
0	ENSMUSG00000022584
0	ENSMUSG00000022610
0	ENSMUSG00000022667
0	ENSMUSG00000022722
0	ENSMUSG00000022748
0	ENSMUSG00000022773
0	ENSMUSG00000022802
0	ENSMUSG00000022805
0	ENSMUSG00000022833
0	ENSMUSG00000022838
0	ENSMUSG00000022840
0	ENSMUSG00000022847
0	ENSMUSG00000022860
0	ENSMUSG00000022861
0	ENSMUSG00000022881
0	ENSMUSG00000022941
0	ENSMUSG00000022952
0	ENSMUSG00000022978
0	ENSMUSG00000023011
0	ENSMUSG00000023017
0	ENSMUSG00000023018
0	ENSMUSG00000023021
0	ENSMUSG00000023034
0	ENSMUSG00000023039
0	ENSMUSG00000023078
0	ENSMUSG00000023132
0	ENSMUSG00000023191
0	ENSMUSG00000023216
0	ENSMUSG00000023232
0	ENSMUSG00000023259
0	ENSMUSG00000023393
0	ENSMUSG00000023411
0	ENSMUSG00000023781
0	ENSMUSG00000023795
0	ENSMUSG00000023827
0	ENSMUSG00000023868
0	ENSMUSG00000023905
0	ENSMUSG00000023912
0	ENSMUSG00000023927
0	ENSMUSG00000023935
0	ENSMUSG00000023947
0	ENSMUSG00000023972
0	ENSMUSG00000023982
0	ENSMUSG00000024008
0	ENSMUSG00000024013
0	ENSMUSG00000024029
0	ENSMUSG00000024036
0	ENSMUSG00000024056
0	ENSMUSG00000024076
0	ENSMUSG00000024134
0	ENSMUSG00000024246
0	ENSMUSG00000024258
0	ENSMUSG00000024268
0	ENSMUSG00000024270
0	ENSMUSG00000024300
0	ENSMUSG00000024376
0	ENSMUSG00000024437
0	ENSMUSG00000024462
0	ENSMUSG00000024511
0	ENSMUSG00000024524
0	ENSMUSG00000024525
0	ENSMUSG00000024575
0	ENSMUSG00000024598
0	ENSMUSG00000024660
0	ENSMUSG00000024667
0	ENSMUSG00000024672
0	ENSMUSG00000024673
0	ENSMUSG00000024675
0	ENSMUSG00000024679
0	ENSMUSG00000024742
0	ENSMUSG00000024743
0	ENSMUSG00000024776
0	ENSMUSG00000024790
0	ENSMUSG00000024810
0	ENSMUSG00000024824
0	ENSMUSG00000024885
0	ENSMUSG00000024909
0	ENSMUSG00000024939
0	ENSMUSG00000024940
0	ENSMUSG00000024944
0	ENSMUSG00000024957
0	ENSMUSG00000024962
0	ENSMUSG00000024970
0	ENSMUSG00000025010
0	ENSMUSG00000025083
0	ENSMUSG00000025092
0	ENSMUSG00000025185
0	ENSMUSG00000025202
0	ENSMUSG00000025212
0	ENSMUSG00000025226
0	ENSMUSG00000025227
0	ENSMUSG00000025272
0	ENSMUSG00000025321
0	ENSMUSG00000025422
0	ENSMUSG00000025491
0	ENSMUSG00000025586
0	ENSMUSG00000025592
0	ENSMUSG00000025597
0	ENSMUSG00000025602
0	ENSMUSG00000025758
0	ENSMUSG00000025779
0	ENSMUSG00000025856
0	ENSMUSG00000025867
0	ENSMUSG00000025877
0	ENSMUSG00000025888
0	ENSMUSG00000025909
0	ENSMUSG00000025933
0	ENSMUSG00000025938
0	ENSMUSG00000025997
0	ENSMUSG00000026070
0	ENSMUSG00000026080
0	ENSMUSG00000026110
0	ENSMUSG00000026114
0	ENSMUSG00000026121
0	ENSMUSG00000026126
0	ENSMUSG00000026156
0	ENSMUSG00000026162
0	ENSMUSG00000026173
0	ENSMUSG00000026196
0	ENSMUSG00000026235
0	ENSMUSG00000026239
0	ENSMUSG00000026343
0	ENSMUSG00000026404
0	ENSMUSG00000026429
0	ENSMUSG00000026442
0	ENSMUSG00000026494
0	ENSMUSG00000026520
0	ENSMUSG00000026536
0	ENSMUSG00000026556
0	ENSMUSG00000026566
0	ENSMUSG00000026578
0	ENSMUSG00000026580
0	ENSMUSG00000026581
0	ENSMUSG00000026586
0	ENSMUSG00000026605
0	ENSMUSG00000026616
0	ENSMUSG00000026620
0	ENSMUSG00000026627
0	ENSMUSG00000026628
0	ENSMUSG00000026646
0	ENSMUSG00000026748
0	ENSMUSG00000026770
0	ENSMUSG00000026784
0	ENSMUSG00000026786
0	ENSMUSG00000026797
0	ENSMUSG00000026818
0	ENSMUSG00000026832
0	ENSMUSG00000026833
0	ENSMUSG00000026873
0	ENSMUSG00000026875
0	ENSMUSG00000026890
0	ENSMUSG00000026971
0	ENSMUSG00000026975
0	ENSMUSG00000026981
0	ENSMUSG00000027068
0	ENSMUSG00000027070
0	ENSMUSG00000027115
0	ENSMUSG00000027160
0	ENSMUSG00000027168
0	ENSMUSG00000027186
0	ENSMUSG00000027219
0	ENSMUSG00000027246
0	ENSMUSG00000027313
0	ENSMUSG00000027323
0	ENSMUSG00000027324
0	ENSMUSG00000027326
0	ENSMUSG00000027327
0	ENSMUSG00000027331
0	ENSMUSG00000027347
0	ENSMUSG00000027350
0	ENSMUSG00000027353
0	ENSMUSG00000027364
0	ENSMUSG00000027378
0	ENSMUSG00000027387
0	ENSMUSG00000027398
0	ENSMUSG00000027454
0	ENSMUSG00000027478
0	ENSMUSG00000027490
0	ENSMUSG00000027560
0	ENSMUSG00000027646
0	ENSMUSG00000027670
0	ENSMUSG00000027684
0	ENSMUSG00000027715
0	ENSMUSG00000027824
0	ENSMUSG00000027831
0	ENSMUSG00000027843
0	ENSMUSG00000027848
0	ENSMUSG00000027855
0	ENSMUSG00000027858
0	ENSMUSG00000027859
0	ENSMUSG00000027935
0	ENSMUSG00000027950
0	ENSMUSG00000027955
0	ENSMUSG00000027971
0	ENSMUSG00000027985
0	ENSMUSG00000028017
0	ENSMUSG00000028020
0	ENSMUSG00000028033
0	ENSMUSG00000028041
0	ENSMUSG00000028044
0	ENSMUSG00000028068
0	ENSMUSG00000028128
0	ENSMUSG00000028159
0	ENSMUSG00000028176
0	ENSMUSG00000028182
0	ENSMUSG00000028214
0	ENSMUSG00000028318
0	ENSMUSG00000028354
0	ENSMUSG00000028364
0	ENSMUSG00000028373
0	ENSMUSG00000028378
0	ENSMUSG00000028427
0	ENSMUSG00000028457
0	ENSMUSG00000028459
0	ENSMUSG00000028487
0	ENSMUSG00000028488
0	ENSMUSG00000028532
0	ENSMUSG00000028540
0	ENSMUSG00000028555
0	ENSMUSG00000028600
0	ENSMUSG00000028629
0	ENSMUSG00000028634
0	ENSMUSG00000028689
0	ENSMUSG00000028698
0	ENSMUSG00000028702
0	ENSMUSG00000028712
0	ENSMUSG00000028716
0	ENSMUSG00000028780
0	ENSMUSG00000028789
0	ENSMUSG00000028795
0	ENSMUSG00000028807
0	ENSMUSG00000028832
0	ENSMUSG00000028840
0	ENSMUSG00000028843
0	ENSMUSG00000028850
0	ENSMUSG00000028859
0	ENSMUSG00000028860
0	ENSMUSG00000028874
0	ENSMUSG00000028883
0	ENSMUSG00000028896
0	ENSMUSG00000028933
0	ENSMUSG00000028958
0	ENSMUSG00000028970
0	ENSMUSG00000028977
0	ENSMUSG00000028978
0	ENSMUSG00000028989
0	ENSMUSG00000029027
0	ENSMUSG00000029033
0	ENSMUSG00000029072
0	ENSMUSG00000029082
0	ENSMUSG00000029094
0	ENSMUSG00000029095
0	ENSMUSG00000029108
0	ENSMUSG00000029122
0	ENSMUSG00000029161
0	ENSMUSG00000029184
0	ENSMUSG00000029204
0	ENSMUSG00000029279
0	ENSMUSG00000029312
0	ENSMUSG00000029326
0	ENSMUSG00000029334
0	ENSMUSG00000029335
0	ENSMUSG00000029346
0	ENSMUSG00000029361
0	ENSMUSG00000029375
0	ENSMUSG00000029402
0	ENSMUSG00000029408
0	ENSMUSG00000029469
0	ENSMUSG00000029490
0	ENSMUSG00000029516
0	ENSMUSG00000029552
0	ENSMUSG00000029570
0	ENSMUSG00000029581
0	ENSMUSG00000029600
0	ENSMUSG00000029605
0	ENSMUSG00000029659
0	ENSMUSG00000029674
0	ENSMUSG00000029675
0	ENSMUSG00000029700
0	ENSMUSG00000029715
0	ENSMUSG00000029720
0	ENSMUSG00000029752
0	ENSMUSG00000029762
0	ENSMUSG00000029778
0	ENSMUSG00000029790
0	ENSMUSG00000029797
0	ENSMUSG00000029832
0	ENSMUSG00000029882
0	ENSMUSG00000029919
0	ENSMUSG00000030004
0	ENSMUSG00000030047
0	ENSMUSG00000030051
0	ENSMUSG00000030074
0	ENSMUSG00000030075
0	ENSMUSG00000030086
0	ENSMUSG00000030089
0	ENSMUSG00000030124
0	ENSMUSG00000030148
0	ENSMUSG00000030149
0	ENSMUSG00000030208
0	ENSMUSG00000030209
0	ENSMUSG00000030217
0	ENSMUSG00000030218
0	ENSMUSG00000030222
0	ENSMUSG00000030254
0	ENSMUSG00000030263
0	ENSMUSG00000030271
0	ENSMUSG00000030278
0	ENSMUSG00000030283
0	ENSMUSG00000030303
0	ENSMUSG00000030319
0	ENSMUSG00000030322
0	ENSMUSG00000030323
0	ENSMUSG00000030428
0	ENSMUSG00000030431
0	ENSMUSG00000030474
0	ENSMUSG00000030486
0	ENSMUSG00000030499
0	ENSMUSG00000030577
0	ENSMUSG00000030616
0	ENSMUSG00000030650
0	ENSMUSG00000030657
0	ENSMUSG00000030659
0	ENSMUSG00000030685
0	ENSMUSG00000030722
0	ENSMUSG00000030725
0	ENSMUSG00000030731
0	ENSMUSG00000030745
0	ENSMUSG00000030752
0	ENSMUSG00000030757
0	ENSMUSG00000030768
0	ENSMUSG00000030772
0	ENSMUSG00000030774
0	ENSMUSG00000030786
0	ENSMUSG00000030789
0	ENSMUSG00000030793
0	ENSMUSG00000030800
0	ENSMUSG00000030811
0	ENSMUSG00000030839
0	ENSMUSG00000030844
0	ENSMUSG00000030878
0	ENSMUSG00000030945
0	ENSMUSG00000030970
