gene_id	pc1	pc2	pc3	inspection_cluster
ENSMUSG00000029015	-0.6877586	-0.057444137	0.0075145867	0
ENSMUSG00000045179	-0.6881402	-0.057421602	0.007440738	0
ENSMUSG00000063779	-0.6879416	-0.057473652	0.007585771	0
ENSMUSG00000070531	-0.6881092	-0.057419278	0.007421329	0
ENSMUSG00000074183	-0.6464801	-0.046705667	0.02824296	0
ENSMUSG00000042849	-0.6860126	-0.057766944	0.0076976134	0
ENSMUSG00000069939	-0.6772288	-0.055713754	0.007796456	0
ENSMUSG00000025873	0.13962871	0.013641358	-0.04058655	0
ENSMUSG00000034456	5.6406503	-0.40885973	-0.3125881	0
ENSMUSG00000070817	-0.67066765	-0.060461175	0.012167478	0
ENSMUSG00000024294	1.479221	-0.16617638	0.3857241	0
ENSMUSG00000066463	-0.68803835	-0.05744739	0.007655244	0
ENSMUSG00000035376	-0.12220408	-0.013221226	0.065602034	0
ENSMUSG00000044252	1.3007495	0.1682765	0.12051626	0
ENSMUSG00000055917	-0.40198147	-0.07728355	0.06038299	0
ENSMUSG00000071815	-0.6881402	-0.057421602	0.007440738	0
ENSMUSG00000068882	0.2539079	0.0788774	0.21270536	0
ENSMUSG00000022685	-0.39863685	-0.049320687	0.034339983	0
ENSMUSG00000036292	-0.019554263	-0.012876974	0.15207103	0
ENSMUSG00000041202	-0.6842467	-0.058017284	0.008785939	0
ENSMUSG00000116360	-0.6881221	-0.057436116	0.0074384357	0
ENSMUSG00000024528	-0.55979824	-0.04238234	0.0025395984	0
ENSMUSG00000029861	-0.6877005	-0.057571046	0.007351893	0
ENSMUSG00000077221	-0.687096	-0.0576592	0.0072761723	0
ENSMUSG00000070469	-0.6792161	-0.05816345	0.007635332	0
ENSMUSG00000115791	-0.68499434	-0.058114998	0.008683942	0
ENSMUSG00000097665	-0.68649656	-0.057550427	0.007569324	0
ENSMUSG00000046650	-0.68082184	-0.05868123	0.011593871	0
ENSMUSG00000046667	-0.47803384	-0.05449999	0.03796148	0
ENSMUSG00000106902	-0.68810046	-0.057412066	0.007440965	0
ENSMUSG00000037169	-0.67469263	-0.06024491	0.006205935	0
ENSMUSG00000049565	-0.6853532	-0.05746465	0.008487131	0
ENSMUSG00000033862	-0.43184903	-0.05990474	-0.036091935	0
ENSMUSG00000033774	-0.6850217	-0.05749568	0.0079004895	0
ENSMUSG00000084592	-0.6852986	-0.05797941	0.009025852	0
ENSMUSG00000077998	-0.68811756	-0.057423286	0.007430395	0
ENSMUSG00000021278	-0.6873841	-0.057446133	0.0070994804	0
ENSMUSG00000027971	-0.6787456	-0.05847094	0.009088026	0
ENSMUSG00000024758	0.30946255	-0.08150438	0.18375996	0
ENSMUSG00000044921	-0.67259717	-0.058620222	0.009784714	0
ENSMUSG00000054387	0.076925725	-0.07456957	0.16830897	0
ENSMUSG00000062822	-0.31939843	-0.050063703	0.05120105	0
ENSMUSG00000028013	0.0042083883	-0.07283914	0.034361187	0
ENSMUSG00000042846	-0.6839755	-0.056216136	0.008364212	0
ENSMUSG00000025403	1.2080477	0.27916268	-0.32764503	0
ENSMUSG00000031831	-0.6872232	-0.057286005	0.0075372676	0
ENSMUSG00000087045	-0.6881402	-0.057421602	0.007440738	0
ENSMUSG00000030739	-0.41456723	-0.1019093	-0.035603918	0
ENSMUSG00000037235	0.458543	0.01955465	-0.19254935	0
ENSMUSG00000021559	0.9454878	-0.31073567	-0.08559959	0
ENSMUSG00000049252	-0.6876781	-0.057490963	0.008256204	0
ENSMUSG00000035805	-0.6881328	-0.057418756	0.0074415053	0
ENSMUSG00000050870	-0.6881402	-0.057421602	0.007440738	0
ENSMUSG00000022931	-0.6881402	-0.057421602	0.007440738	0
ENSMUSG00000067360	-0.68811506	-0.057430476	0.007487587	0
ENSMUSG00000035262	-0.68722546	-0.057525165	0.007189275	0
ENSMUSG00000087223	-0.6823244	-0.05827718	0.0081568165	0
ENSMUSG00000046791	-0.6190054	-0.04845442	-0.006311705	0
ENSMUSG00000086745	-0.6880978	-0.057436712	0.007431231	0
ENSMUSG00000055826	-0.68813044	-0.057423063	0.0074329893	0
