profile	id.accession	investigation.study.comment.project type	investigation.study assays.study assay technology type	source_profile_index	condition_inferred	official_sample_name	official_source_name	official_material_type	official_tissue_type	official_tissue	sample_name_tissue_inferred	official_vs_inferred_match	tissue_final	tissue_source	official_sample_match_method	official_study_url	official_api_url	h5_accession	h5_sample_name	h5_accession_sample_name	project_identifier	project_type	assay_technology	source_name	material_type	tissue_type	spaceflight_factor	sex	strain	genotype	age_at_launch	age	duration	sample_preservation_method	library_selection	library_layout	sequencing_instrument	condition_label	accession_order
RR8_LVR_FLT_ISS-T_YNG_FI1	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1668	flight	RR8_LVR_FLT_ISS-T_YNG_FI1	FL_ISS_01	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379	OSD-379	RR8_LVR_FLT_ISS-T_YNG_FI1	OSD-379_RR8_LVR_FLT_ISS-T_YNG_FI1	RRRM-1 (RR-8)	Spaceflight Study	RNA Sequencing (RNA-Seq)	FL_ISS_01	Left Lobe of the Liver		Space Flight	Female	BALB/cAnNTac	Wild Type				Liquid Nitrogen	ribo-depletion	PAIRED	Illumina NovaSeq 6000	FLT	0
RR8_LVR_FLT_ISS-T_YNG_FI10	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1669	flight	RR8_LVR_FLT_ISS-T_YNG_FI10	FL_ISS_10	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379	OSD-379	RR8_LVR_FLT_ISS-T_YNG_FI10	OSD-379_RR8_LVR_FLT_ISS-T_YNG_FI10	RRRM-1 (RR-8)	Spaceflight Study	RNA Sequencing (RNA-Seq)	FL_ISS_10	Left Lobe of the Liver		Space Flight	Female	BALB/cAnNTac	Wild Type				Liquid Nitrogen	ribo-depletion	PAIRED	Illumina NovaSeq 6000	FLT	0
RR8_LVR_FLT_ISS-T_YNG_FI2	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1670	flight	RR8_LVR_FLT_ISS-T_YNG_FI2	FL_ISS_02	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379	OSD-379	RR8_LVR_FLT_ISS-T_YNG_FI2	OSD-379_RR8_LVR_FLT_ISS-T_YNG_FI2	RRRM-1 (RR-8)	Spaceflight Study	RNA Sequencing (RNA-Seq)	FL_ISS_02	Left Lobe of the Liver		Space Flight	Female	BALB/cAnNTac	Wild Type				Liquid Nitrogen	ribo-depletion	PAIRED	Illumina NovaSeq 6000	FLT	0
RR8_LVR_FLT_ISS-T_YNG_FI3	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1671	flight	RR8_LVR_FLT_ISS-T_YNG_FI3	FL_ISS_03	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379	OSD-379	RR8_LVR_FLT_ISS-T_YNG_FI3	OSD-379_RR8_LVR_FLT_ISS-T_YNG_FI3	RRRM-1 (RR-8)	Spaceflight Study	RNA Sequencing (RNA-Seq)	FL_ISS_03	Left Lobe of the Liver		Space Flight	Female	BALB/cAnNTac	Wild Type				Liquid Nitrogen	ribo-depletion	PAIRED	Illumina NovaSeq 6000	FLT	0
RR8_LVR_FLT_ISS-T_YNG_FI4	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1672	flight	RR8_LVR_FLT_ISS-T_YNG_FI4	FL_ISS_04	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379	OSD-379	RR8_LVR_FLT_ISS-T_YNG_FI4	OSD-379_RR8_LVR_FLT_ISS-T_YNG_FI4	RRRM-1 (RR-8)	Spaceflight Study	RNA Sequencing (RNA-Seq)	FL_ISS_04	Left Lobe of the Liver		Space Flight	Female	BALB/cAnNTac	Wild Type				Liquid Nitrogen	ribo-depletion	PAIRED	Illumina NovaSeq 6000	FLT	0
RR8_LVR_FLT_ISS-T_YNG_FI5	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1673	flight	RR8_LVR_FLT_ISS-T_YNG_FI5	FL_ISS_05	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379	OSD-379	RR8_LVR_FLT_ISS-T_YNG_FI5	OSD-379_RR8_LVR_FLT_ISS-T_YNG_FI5	RRRM-1 (RR-8)	Spaceflight Study	RNA Sequencing (RNA-Seq)	FL_ISS_05	Left Lobe of the Liver		Space Flight	Female	BALB/cAnNTac	Wild Type				Liquid Nitrogen	ribo-depletion	PAIRED	Illumina NovaSeq 6000	FLT	0
RR8_LVR_FLT_ISS-T_YNG_FI6	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1674	flight	RR8_LVR_FLT_ISS-T_YNG_FI6	FL_ISS_06	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379	OSD-379	RR8_LVR_FLT_ISS-T_YNG_FI6	OSD-379_RR8_LVR_FLT_ISS-T_YNG_FI6	RRRM-1 (RR-8)	Spaceflight Study	RNA Sequencing (RNA-Seq)	FL_ISS_06	Left Lobe of the Liver		Space Flight	Female	BALB/cAnNTac	Wild Type				Liquid Nitrogen	ribo-depletion	PAIRED	Illumina NovaSeq 6000	FLT	0
RR8_LVR_FLT_ISS-T_YNG_FI7	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1675	flight	RR8_LVR_FLT_ISS-T_YNG_FI7	FL_ISS_07	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379	OSD-379	RR8_LVR_FLT_ISS-T_YNG_FI7	OSD-379_RR8_LVR_FLT_ISS-T_YNG_FI7	RRRM-1 (RR-8)	Spaceflight Study	RNA Sequencing (RNA-Seq)	FL_ISS_07	Left Lobe of the Liver		Space Flight	Female	BALB/cAnNTac	Wild Type				Liquid Nitrogen	ribo-depletion	PAIRED	Illumina NovaSeq 6000	FLT	0
RR8_LVR_FLT_ISS-T_YNG_FI8	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1676	flight	RR8_LVR_FLT_ISS-T_YNG_FI8	FL_ISS_08	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379	OSD-379	RR8_LVR_FLT_ISS-T_YNG_FI8	OSD-379_RR8_LVR_FLT_ISS-T_YNG_FI8	RRRM-1 (RR-8)	Spaceflight Study	RNA Sequencing (RNA-Seq)	FL_ISS_08	Left Lobe of the Liver		Space Flight	Female	BALB/cAnNTac	Wild Type				Liquid Nitrogen	ribo-depletion	PAIRED	Illumina NovaSeq 6000	FLT	0
RR8_LVR_FLT_ISS-T_YNG_FI9	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1677	flight	RR8_LVR_FLT_ISS-T_YNG_FI9	FL_ISS_09	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379	OSD-379	RR8_LVR_FLT_ISS-T_YNG_FI9	OSD-379_RR8_LVR_FLT_ISS-T_YNG_FI9	RRRM-1 (RR-8)	Spaceflight Study	RNA Sequencing (RNA-Seq)	FL_ISS_09	Left Lobe of the Liver		Space Flight	Female	BALB/cAnNTac	Wild Type				Liquid Nitrogen	ribo-depletion	PAIRED	Illumina NovaSeq 6000	FLT	0
