profile	id.accession	investigation.study.comment.project type	investigation.study assays.study assay technology type	source_profile_index	condition_inferred	official_sample_name	official_source_name	official_material_type	official_tissue_type	official_tissue	sample_name_tissue_inferred	official_vs_inferred_match	tissue_final	tissue_source	official_sample_match_method	official_study_url	official_api_url	h5_accession	h5_sample_name	h5_accession_sample_name	project_identifier	project_type	assay_technology	source_name	material_type	tissue_type	spaceflight_factor	sex	strain	genotype	age_at_launch	age	duration	sample_preservation_method	library_selection	library_layout	sequencing_instrument	condition_label	accession_order
RR8_LVR_FLT_LAR_YNG_FL17	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1688	flight	RR8_LVR_FLT_LAR_YNG_FL17	FL_LAR_17	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379	OSD-379	RR8_LVR_FLT_LAR_YNG_FL17	OSD-379_RR8_LVR_FLT_LAR_YNG_FL17	RRRM-1 (RR-8)	Spaceflight Study	RNA Sequencing (RNA-Seq)	FL_LAR_17	Left Lobe of the Liver		Space Flight	Female	BALB/cAnNTac	Wild Type				Liquid Nitrogen	ribo-depletion	PAIRED	Illumina NovaSeq 6000	FLT	0
RR8_LVR_FLT_LAR_YNG_FL18	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1689	flight	RR8_LVR_FLT_LAR_YNG_FL18	FL_LAR_18	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379	OSD-379	RR8_LVR_FLT_LAR_YNG_FL18	OSD-379_RR8_LVR_FLT_LAR_YNG_FL18	RRRM-1 (RR-8)	Spaceflight Study	RNA Sequencing (RNA-Seq)	FL_LAR_18	Left Lobe of the Liver		Space Flight	Female	BALB/cAnNTac	Wild Type				Liquid Nitrogen	ribo-depletion	PAIRED	Illumina NovaSeq 6000	FLT	0
RR8_LVR_FLT_LAR_YNG_FL2	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1690	flight	RR8_LVR_FLT_LAR_YNG_FL2	FL_LAR_02	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379	OSD-379	RR8_LVR_FLT_LAR_YNG_FL2	OSD-379_RR8_LVR_FLT_LAR_YNG_FL2	RRRM-1 (RR-8)	Spaceflight Study	RNA Sequencing (RNA-Seq)	FL_LAR_02	Left Lobe of the Liver		Space Flight	Female	BALB/cAnNTac	Wild Type				Liquid Nitrogen	ribo-depletion	PAIRED	Illumina NovaSeq 6000	FLT	0
RR8_LVR_FLT_LAR_YNG_FL5	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1691	flight	RR8_LVR_FLT_LAR_YNG_FL5	FL_LAR_05	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379	OSD-379	RR8_LVR_FLT_LAR_YNG_FL5	OSD-379_RR8_LVR_FLT_LAR_YNG_FL5	RRRM-1 (RR-8)	Spaceflight Study	RNA Sequencing (RNA-Seq)	FL_LAR_05	Left Lobe of the Liver		Space Flight	Female	BALB/cAnNTac	Wild Type				Liquid Nitrogen	ribo-depletion	PAIRED	Illumina NovaSeq 6000	FLT	0
RR8_LVR_FLT_LAR_YNG_FL6	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1692	flight	RR8_LVR_FLT_LAR_YNG_FL6	FL_LAR_06	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379	OSD-379	RR8_LVR_FLT_LAR_YNG_FL6	OSD-379_RR8_LVR_FLT_LAR_YNG_FL6	RRRM-1 (RR-8)	Spaceflight Study	RNA Sequencing (RNA-Seq)	FL_LAR_06	Left Lobe of the Liver		Space Flight	Female	BALB/cAnNTac	Wild Type				Liquid Nitrogen	ribo-depletion	PAIRED	Illumina NovaSeq 6000	FLT	0
Mmus_C57-6T_LVR_FLT_ISS-T_Rep10_F6	OSD-245	Spaceflight Study	RNA Sequencing (RNA-Seq)	855	flight	Mmus_C57-6T_LVR_FLT_ISS-T_Rep10_F6	ISS-T Flight 6	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-245	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-245	OSD-245	Mmus_C57-6T_LVR_FLT_ISS-T_Rep10_F6	OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep10_F6	RR-6	Spaceflight Study	RNA Sequencing (RNA-Seq)	ISS-T Flight 6	Liver		Space Flight	Female	C57BL/6NTac		36 {week}			Liquid Nitrogen	Ribo-depletion	PAIRED	Illumina NovaSeq 6000	FLT	1
Mmus_C57-6T_LVR_FLT_ISS-T_Rep1_F5	OSD-245	Spaceflight Study	RNA Sequencing (RNA-Seq)	856	flight	Mmus_C57-6T_LVR_FLT_ISS-T_Rep1_F5	ISS-T Flight 5	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-245	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-245	OSD-245	Mmus_C57-6T_LVR_FLT_ISS-T_Rep1_F5	OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep1_F5	RR-6	Spaceflight Study	RNA Sequencing (RNA-Seq)	ISS-T Flight 5	Liver		Space Flight	Female	C57BL/6NTac		36 {week}			Liquid Nitrogen	Ribo-depletion	PAIRED	Illumina NovaSeq 6000	FLT	1
Mmus_C57-6T_LVR_FLT_ISS-T_Rep2_F8	OSD-245	Spaceflight Study	RNA Sequencing (RNA-Seq)	857	flight	Mmus_C57-6T_LVR_FLT_ISS-T_Rep2_F8	ISS-T Flight 8	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-245	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-245	OSD-245	Mmus_C57-6T_LVR_FLT_ISS-T_Rep2_F8	OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep2_F8	RR-6	Spaceflight Study	RNA Sequencing (RNA-Seq)	ISS-T Flight 8	Liver		Space Flight	Female	C57BL/6NTac		36 {week}			Liquid Nitrogen	Ribo-depletion	PAIRED	Illumina NovaSeq 6000	FLT	1
Mmus_C57-6T_LVR_FLT_ISS-T_Rep3_F9	OSD-245	Spaceflight Study	RNA Sequencing (RNA-Seq)	858	flight	Mmus_C57-6T_LVR_FLT_ISS-T_Rep3_F9	ISS-T Flight 9	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-245	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-245	OSD-245	Mmus_C57-6T_LVR_FLT_ISS-T_Rep3_F9	OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep3_F9	RR-6	Spaceflight Study	RNA Sequencing (RNA-Seq)	ISS-T Flight 9	Liver		Space Flight	Female	C57BL/6NTac		36 {week}			Liquid Nitrogen	Ribo-depletion	PAIRED	Illumina NovaSeq 6000	FLT	1
Mmus_C57-6T_LVR_FLT_ISS-T_Rep4_F10	OSD-245	Spaceflight Study	RNA Sequencing (RNA-Seq)	859	flight	Mmus_C57-6T_LVR_FLT_ISS-T_Rep4_F10	ISS-T Flight 10	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-245	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-245	OSD-245	Mmus_C57-6T_LVR_FLT_ISS-T_Rep4_F10	OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep4_F10	RR-6	Spaceflight Study	RNA Sequencing (RNA-Seq)	ISS-T Flight 10	Liver		Space Flight	Female	C57BL/6NTac		36 {week}			Liquid Nitrogen	Ribo-depletion	PAIRED	Illumina NovaSeq 6000	FLT	1
Mmus_C57-6T_LVR_FLT_ISS-T_Rep5_F7	OSD-245	Spaceflight Study	RNA Sequencing (RNA-Seq)	860	flight	Mmus_C57-6T_LVR_FLT_ISS-T_Rep5_F7	ISS-T Flight 7	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-245	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-245	OSD-245	Mmus_C57-6T_LVR_FLT_ISS-T_Rep5_F7	OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep5_F7	RR-6	Spaceflight Study	RNA Sequencing (RNA-Seq)	ISS-T Flight 7	Liver		Space Flight	Female	C57BL/6NTac		36 {week}			Liquid Nitrogen	Ribo-depletion	PAIRED	Illumina NovaSeq 6000	FLT	1
Mmus_C57-6T_LVR_FLT_ISS-T_Rep6_F1	OSD-245	Spaceflight Study	RNA Sequencing (RNA-Seq)	861	flight	Mmus_C57-6T_LVR_FLT_ISS-T_Rep6_F1	ISS-T Flight 1	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-245	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-245	OSD-245	Mmus_C57-6T_LVR_FLT_ISS-T_Rep6_F1	OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep6_F1	RR-6	Spaceflight Study	RNA Sequencing (RNA-Seq)	ISS-T Flight 1	Liver		Space Flight	Female	C57BL/6NTac		36 {week}			Liquid Nitrogen	Ribo-depletion	PAIRED	Illumina NovaSeq 6000	FLT	1
Mmus_C57-6T_LVR_FLT_ISS-T_Rep7_F2	OSD-245	Spaceflight Study	RNA Sequencing (RNA-Seq)	862	flight	Mmus_C57-6T_LVR_FLT_ISS-T_Rep7_F2	ISS-T Flight 2	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-245	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-245	OSD-245	Mmus_C57-6T_LVR_FLT_ISS-T_Rep7_F2	OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep7_F2	RR-6	Spaceflight Study	RNA Sequencing (RNA-Seq)	ISS-T Flight 2	Liver		Space Flight	Female	C57BL/6NTac		36 {week}			Liquid Nitrogen	Ribo-depletion	PAIRED	Illumina NovaSeq 6000	FLT	1
Mmus_C57-6T_LVR_FLT_ISS-T_Rep8_F3	OSD-245	Spaceflight Study	RNA Sequencing (RNA-Seq)	863	flight	Mmus_C57-6T_LVR_FLT_ISS-T_Rep8_F3	ISS-T Flight 3	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-245	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-245	OSD-245	Mmus_C57-6T_LVR_FLT_ISS-T_Rep8_F3	OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep8_F3	RR-6	Spaceflight Study	RNA Sequencing (RNA-Seq)	ISS-T Flight 3	Liver		Space Flight	Female	C57BL/6NTac		36 {week}			Liquid Nitrogen	Ribo-depletion	PAIRED	Illumina NovaSeq 6000	FLT	1
Mmus_C57-6T_LVR_FLT_ISS-T_Rep9_F4	OSD-245	Spaceflight Study	RNA Sequencing (RNA-Seq)	864	flight	Mmus_C57-6T_LVR_FLT_ISS-T_Rep9_F4	ISS-T Flight 4	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-245	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-245	OSD-245	Mmus_C57-6T_LVR_FLT_ISS-T_Rep9_F4	OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep9_F4	RR-6	Spaceflight Study	RNA Sequencing (RNA-Seq)	ISS-T Flight 4	Liver		Space Flight	Female	C57BL/6NTac		36 {week}			Liquid Nitrogen	Ribo-depletion	PAIRED	Illumina NovaSeq 6000	FLT	1
Mmus_C57-6T_LVR_FLT_LAR_Rep10_F5	OSD-245	Spaceflight Study	RNA Sequencing (RNA-Seq)	865	flight	Mmus_C57-6T_LVR_FLT_LAR_Rep10_F5	LAR Flight 5	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-245	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-245	OSD-245	Mmus_C57-6T_LVR_FLT_LAR_Rep10_F5	OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep10_F5	RR-6	Spaceflight Study	RNA Sequencing (RNA-Seq)	LAR Flight 5	Liver		Space Flight	Female	C57BL/6NTac		36 {week}			Liquid Nitrogen	Ribo-depletion	PAIRED	Illumina NovaSeq 6000	FLT	1
Mmus_C57-6T_LVR_FLT_LAR_Rep1_F1	OSD-245	Spaceflight Study	RNA Sequencing (RNA-Seq)	866	flight	Mmus_C57-6T_LVR_FLT_LAR_Rep1_F1	LAR Flight 1	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-245	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-245	OSD-245	Mmus_C57-6T_LVR_FLT_LAR_Rep1_F1	OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep1_F1	RR-6	Spaceflight Study	RNA Sequencing (RNA-Seq)	LAR Flight 1	Liver		Space Flight	Female	C57BL/6NTac		36 {week}			Liquid Nitrogen	Ribo-depletion	PAIRED	Illumina NovaSeq 6000	FLT	1
Mmus_C57-6T_LVR_FLT_LAR_Rep2_F2	OSD-245	Spaceflight Study	RNA Sequencing (RNA-Seq)	867	flight	Mmus_C57-6T_LVR_FLT_LAR_Rep2_F2	LAR Flight 2	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-245	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-245	OSD-245	Mmus_C57-6T_LVR_FLT_LAR_Rep2_F2	OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep2_F2	RR-6	Spaceflight Study	RNA Sequencing (RNA-Seq)	LAR Flight 2	Liver		Space Flight	Female	C57BL/6NTac		36 {week}			Liquid Nitrogen	Ribo-depletion	PAIRED	Illumina NovaSeq 6000	FLT	1
Mmus_C57-6T_LVR_FLT_LAR_Rep3_F3	OSD-245	Spaceflight Study	RNA Sequencing (RNA-Seq)	868	flight	Mmus_C57-6T_LVR_FLT_LAR_Rep3_F3	LAR Flight 3	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-245	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-245	OSD-245	Mmus_C57-6T_LVR_FLT_LAR_Rep3_F3	OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep3_F3	RR-6	Spaceflight Study	RNA Sequencing (RNA-Seq)	LAR Flight 3	Liver		Space Flight	Female	C57BL/6NTac		36 {week}			Liquid Nitrogen	Ribo-depletion	PAIRED	Illumina NovaSeq 6000	FLT	1
Mmus_C57-6T_LVR_FLT_LAR_Rep4_F6	OSD-245	Spaceflight Study	RNA Sequencing (RNA-Seq)	869	flight	Mmus_C57-6T_LVR_FLT_LAR_Rep4_F6	LAR Flight 6	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-245	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-245	OSD-245	Mmus_C57-6T_LVR_FLT_LAR_Rep4_F6	OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep4_F6	RR-6	Spaceflight Study	RNA Sequencing (RNA-Seq)	LAR Flight 6	Liver		Space Flight	Female	C57BL/6NTac		36 {week}			Liquid Nitrogen	Ribo-depletion	PAIRED	Illumina NovaSeq 6000	FLT	1
Mmus_C57-6T_LVR_FLT_LAR_Rep5_F7	OSD-245	Spaceflight Study	RNA Sequencing (RNA-Seq)	870	flight	Mmus_C57-6T_LVR_FLT_LAR_Rep5_F7	LAR Flight 7	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-245	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-245	OSD-245	Mmus_C57-6T_LVR_FLT_LAR_Rep5_F7	OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep5_F7	RR-6	Spaceflight Study	RNA Sequencing (RNA-Seq)	LAR Flight 7	Liver		Space Flight	Female	C57BL/6NTac		36 {week}			Liquid Nitrogen	Ribo-depletion	PAIRED	Illumina NovaSeq 6000	FLT	1
Mmus_C57-6T_LVR_FLT_LAR_Rep6_F10	OSD-245	Spaceflight Study	RNA Sequencing (RNA-Seq)	871	flight	Mmus_C57-6T_LVR_FLT_LAR_Rep6_F10	LAR Flight 10	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-245	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-245	OSD-245	Mmus_C57-6T_LVR_FLT_LAR_Rep6_F10	OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep6_F10	RR-6	Spaceflight Study	RNA Sequencing (RNA-Seq)	LAR Flight 10	Liver		Space Flight	Female	C57BL/6NTac		36 {week}			Liquid Nitrogen	Ribo-depletion	PAIRED	Illumina NovaSeq 6000	FLT	1
Mmus_C57-6T_LVR_FLT_LAR_Rep7_F8	OSD-245	Spaceflight Study	RNA Sequencing (RNA-Seq)	872	flight	Mmus_C57-6T_LVR_FLT_LAR_Rep7_F8	LAR Flight 8	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-245	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-245	OSD-245	Mmus_C57-6T_LVR_FLT_LAR_Rep7_F8	OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep7_F8	RR-6	Spaceflight Study	RNA Sequencing (RNA-Seq)	LAR Flight 8	Liver		Space Flight	Female	C57BL/6NTac		36 {week}			Liquid Nitrogen	Ribo-depletion	PAIRED	Illumina NovaSeq 6000	FLT	1
Mmus_C57-6T_LVR_FLT_LAR_Rep8_F9	OSD-245	Spaceflight Study	RNA Sequencing (RNA-Seq)	873	flight	Mmus_C57-6T_LVR_FLT_LAR_Rep8_F9	LAR Flight 9	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-245	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-245	OSD-245	Mmus_C57-6T_LVR_FLT_LAR_Rep8_F9	OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep8_F9	RR-6	Spaceflight Study	RNA Sequencing (RNA-Seq)	LAR Flight 9	Liver		Space Flight	Female	C57BL/6NTac		36 {week}			Liquid Nitrogen	Ribo-depletion	PAIRED	Illumina NovaSeq 6000	FLT	1
Mmus_C57-6T_LVR_FLT_LAR_Rep9_F4	OSD-245	Spaceflight Study	RNA Sequencing (RNA-Seq)	874	flight	Mmus_C57-6T_LVR_FLT_LAR_Rep9_F4	LAR Flight 4	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-245	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-245	OSD-245	Mmus_C57-6T_LVR_FLT_LAR_Rep9_F4	OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep9_F4	RR-6	Spaceflight Study	RNA Sequencing (RNA-Seq)	LAR Flight 4	Liver		Space Flight	Female	C57BL/6NTac		36 {week}			Liquid Nitrogen	Ribo-depletion	PAIRED	Illumina NovaSeq 6000	FLT	1
RR23_LVR_FLT_F1	OSD-463	Spaceflight Study	RNA Sequencing (RNA-Seq)	2051	flight	RR23_LVR_FLT_F1	RR-23_F1	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-463	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-463	OSD-463	RR23_LVR_FLT_F1	OSD-463_RR23_LVR_FLT_F1	RR-23	Spaceflight Study	RNA Sequencing (RNA-Seq)	RR-23_F1	Left Lobe of the Liver		Space Flight	Male	C57BL/6J	Wild Type	16-17 {week}		38 {day}	Liquid Nitrogen	ribo-depletion	PAIRED	Illumina NovaSeq 6000	FLT	2
RR23_LVR_FLT_F2	OSD-463	Spaceflight Study	RNA Sequencing (RNA-Seq)	2052	flight	RR23_LVR_FLT_F2	RR-23_F2	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-463	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-463	OSD-463	RR23_LVR_FLT_F2	OSD-463_RR23_LVR_FLT_F2	RR-23	Spaceflight Study	RNA Sequencing (RNA-Seq)	RR-23_F2	Left Lobe of the Liver		Space Flight	Male	C57BL/6J	Wild Type	16-17 {week}		38 {day}	Liquid Nitrogen	ribo-depletion	PAIRED	Illumina NovaSeq 6000	FLT	2
RR23_LVR_FLT_F3	OSD-463	Spaceflight Study	RNA Sequencing (RNA-Seq)	2053	flight	RR23_LVR_FLT_F3	RR-23_F3	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-463	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-463	OSD-463	RR23_LVR_FLT_F3	OSD-463_RR23_LVR_FLT_F3	RR-23	Spaceflight Study	RNA Sequencing (RNA-Seq)	RR-23_F3	Left Lobe of the Liver		Space Flight	Male	C57BL/6J	Wild Type	16-17 {week}		38 {day}	Liquid Nitrogen	ribo-depletion	PAIRED	Illumina NovaSeq 6000	FLT	2
RR23_LVR_FLT_F4	OSD-463	Spaceflight Study	RNA Sequencing (RNA-Seq)	2054	flight	RR23_LVR_FLT_F4	RR-23_F4	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-463	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-463	OSD-463	RR23_LVR_FLT_F4	OSD-463_RR23_LVR_FLT_F4	RR-23	Spaceflight Study	RNA Sequencing (RNA-Seq)	RR-23_F4	Left Lobe of the Liver		Space Flight	Male	C57BL/6J	Wild Type	16-17 {week}		38 {day}	Liquid Nitrogen	ribo-depletion	PAIRED	Illumina NovaSeq 6000	FLT	2
RR23_LVR_FLT_F5	OSD-463	Spaceflight Study	RNA Sequencing (RNA-Seq)	2055	flight	RR23_LVR_FLT_F5	RR-23_F5	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-463	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-463	OSD-463	RR23_LVR_FLT_F5	OSD-463_RR23_LVR_FLT_F5	RR-23	Spaceflight Study	RNA Sequencing (RNA-Seq)	RR-23_F5	Left Lobe of the Liver		Space Flight	Male	C57BL/6J	Wild Type	16-17 {week}		38 {day}	Liquid Nitrogen	ribo-depletion	PAIRED	Illumina NovaSeq 6000	FLT	2
RR23_LVR_FLT_F6	OSD-463	Spaceflight Study	RNA Sequencing (RNA-Seq)	2056	flight	RR23_LVR_FLT_F6	RR-23_F6	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-463	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-463	OSD-463	RR23_LVR_FLT_F6	OSD-463_RR23_LVR_FLT_F6	RR-23	Spaceflight Study	RNA Sequencing (RNA-Seq)	RR-23_F6	Left Lobe of the Liver		Space Flight	Male	C57BL/6J	Wild Type	16-17 {week}		38 {day}	Liquid Nitrogen	ribo-depletion	PAIRED	Illumina NovaSeq 6000	FLT	2
RR23_LVR_FLT_F7_techrep1	OSD-463	Spaceflight Study	RNA Sequencing (RNA-Seq)	2057	flight	RR23_LVR_FLT_F7_techrep1	RR-23_F7	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-463	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-463	OSD-463	RR23_LVR_FLT_F7_techrep1	OSD-463_RR23_LVR_FLT_F7_techrep1	RR-23	Spaceflight Study	RNA Sequencing (RNA-Seq)	RR-23_F7	Left Lobe of the Liver		Space Flight	Male	C57BL/6J	Wild Type	16-17 {week}		38 {day}	Liquid Nitrogen	ribo-depletion	PAIRED	Illumina NovaSeq 6000	FLT	2
RR23_LVR_FLT_F7_techrep2	OSD-463	Spaceflight Study	RNA Sequencing (RNA-Seq)	2058	flight	RR23_LVR_FLT_F7_techrep2	RR-23_F7	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-463	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-463	OSD-463	RR23_LVR_FLT_F7_techrep2	OSD-463_RR23_LVR_FLT_F7_techrep2	RR-23	Spaceflight Study	RNA Sequencing (RNA-Seq)	RR-23_F7	Left Lobe of the Liver		Space Flight	Male	C57BL/6J	Wild Type	16-17 {week}		38 {day}	Liquid Nitrogen	ribo-depletion	PAIRED	Illumina NovaSeq 6000	FLT	2
RR23_LVR_FLT_F8_techrep1	OSD-463	Spaceflight Study	RNA Sequencing (RNA-Seq)	2059	flight	RR23_LVR_FLT_F8_techrep1	RR-23_F8	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-463	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-463	OSD-463	RR23_LVR_FLT_F8_techrep1	OSD-463_RR23_LVR_FLT_F8_techrep1	RR-23	Spaceflight Study	RNA Sequencing (RNA-Seq)	RR-23_F8	Left Lobe of the Liver		Space Flight	Male	C57BL/6J	Wild Type	16-17 {week}		38 {day}	Liquid Nitrogen	ribo-depletion	PAIRED	Illumina NovaSeq 6000	FLT	2
RR23_LVR_FLT_F8_techrep2	OSD-463	Spaceflight Study	RNA Sequencing (RNA-Seq)	2060	flight	RR23_LVR_FLT_F8_techrep2	RR-23_F8	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-463	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-463	OSD-463	RR23_LVR_FLT_F8_techrep2	OSD-463_RR23_LVR_FLT_F8_techrep2	RR-23	Spaceflight Study	RNA Sequencing (RNA-Seq)	RR-23_F8	Left Lobe of the Liver		Space Flight	Male	C57BL/6J	Wild Type	16-17 {week}		38 {day}	Liquid Nitrogen	ribo-depletion	PAIRED	Illumina NovaSeq 6000	FLT	2
