gene_id	latent_1	latent_2	latent_3	latent_4	latent_5	latent_6	latent_7	latent_8	latent_9	latent_10	latent_11	latent_12	latent_13	latent_14	latent_15	latent_16
ENSMUSG00000063142	1.259878	-0.7190263	0.016603876	0.5928268	0.0017567365	0.034305833	-0.6747296	0.053945784	-0.23670202	-0.8382309	-0.1155928	-0.5530479	-0.5464922	0.5088707	0.5985295	0.8735135
ENSMUSG00000031574	1.2643031	-0.7178393	0.014979412	0.5937462	0.0017532799	0.034177937	-0.67740124	0.053838886	-0.23620072	-0.837254	-0.11957922	-0.553322	-0.5446495	0.5196228	0.6067564	0.86465883
ENSMUSG00000030223	1.2656226	-0.7174486	0.015574955	0.6002445	0.0017760531	0.034641385	-0.67315716	0.054604594	-0.23815595	-0.83942777	-0.10680653	-0.55057013	-0.5434284	0.5055623	0.6040366	0.8829276
ENSMUSG00000052581	1.2650716	-0.7175962	0.0158059	0.60029906	0.0017750636	0.03466993	-0.6726833	0.054641664	-0.23827657	-0.83961535	-0.10592016	-0.5504591	-0.54364175	0.5037567	0.6028701	0.8846
ENSMUSG00000000346	1.2137644	-0.6983747	-0.016756885	0.4172169	0.00037244987	0.022258705	-0.7705893	0.034333497	-0.1822685	-0.73941165	-0.39716786	-0.6016979	-0.53766185	0.94815254	0.7250497	0.2963547
ENSMUSG00000060049	1.2661097	-0.7172863	0.015796665	0.6027162	0.0017838995	0.034814604	-0.6715251	0.054894336	-0.23889929	-0.840237	-0.10190413	-0.5495098	-0.542944	0.5002358	0.6030102	0.8898304
ENSMUSG00000029725	1.2696034	-0.71636635	0.013047897	0.5950629	0.001758418	0.034018055	-0.68045354	0.053704575	-0.23565954	-0.83609617	-0.12407195	-0.5535645	-0.54232126	0.5321877	0.61656564	0.854347
ENSMUSG00000079534	1.2663087	-0.717234	0.015720543	0.6027337	0.0017839754	0.03480652	-0.67166644	0.054885767	-0.23886749	-0.84018505	-0.102141395	-0.54953414	-0.5428656	0.50078154	0.60339606	0.889356
ENSMUSG00000038576	1.2914959	-0.70999694	0.0073740976	0.61434764	0.0018375944	0.034547944	-0.6819276	0.054973256	-0.23806714	-0.83682764	-0.11158346	-0.548124	-0.5308718	0.5456551	0.6460191	0.85833573
ENSMUSG00000093528	1.2661607	-0.7172718	0.015788179	0.6027866	0.0017841798	0.03481789	-0.6715072	0.05490062	-0.23891348	-0.84024906	-0.10181479	-0.54948527	-0.5429159	0.50019425	0.6030555	0.88992846
ENSMUSG00000032062	1.2699193	-0.71514726	0.0076642213	0.5694714	0.0016515353	0.031978935	-0.7006013	0.050442353	-0.22670755	-0.82458746	-0.17931883	-0.5642131	-0.5433265	0.60708463	0.64117116	0.7639856
ENSMUSG00000022339	1.2524885	-0.7181813	0.0082263155	0.5390342	0.0015015136	0.03031321	-0.7110707	0.047476925	-0.2193321	-0.8157593	-0.21981911	-0.5738167	-0.550964	0.6439865	0.63515604	0.702812
ENSMUSG00000030108	1.1912855	-0.6614437	-0.042946286	0.35393545	-0.00036385367	0.018978253	-0.79735017	0.028176496	-0.1602177	-0.6618728	-0.4704213	-0.60123014	-0.4994181	1.1547192	0.8158628	0.02470085
ENSMUSG00000038467	1.2773093	-0.7065254	-0.0058187544	0.5333691	0.0014428603	0.028639354	-0.73242813	0.045331296	-0.21233948	-0.80028135	-0.26172242	-0.5772018	-0.5350138	0.74811596	0.70104957	0.59945464
ENSMUSG00000041293	1.2643337	-0.7178234	0.014696437	0.59226817	0.0017466522	0.034057997	-0.67863107	0.053646367	-0.23572704	-0.8366252	-0.122999996	-0.55399936	-0.54473484	0.5239674	0.6081406	0.8593977
ENSMUSG00000118889	1.2661643	-0.7172709	0.015786964	0.6027878	0.001784177	0.03481783	-0.671509	0.054900594	-0.23891327	-0.8402485	-0.10181699	-0.54948527	-0.54291433	0.5002017	0.6030618	0.8899229
ENSMUSG00000020034	1.2524966	-0.71942186	0.010977219	0.5500355	0.0015593637	0.031155592	-0.70286304	0.04884272	-0.22318782	-0.82153744	-0.19778715	-0.56989664	-0.5515239	0.61022365	0.6231883	0.74369395
ENSMUSG00000069920	1.2654122	-0.7175256	0.0153538855	0.5984433	0.0017688666	0.03450364	-0.67445755	0.054384243	-0.23757567	-0.8387907	-0.11057048	-0.5513663	-0.5437273	0.5098828	0.6050772	0.8775011
ENSMUSG00000024993	1.2411127	-0.7201797	0.009279785	0.5229529	0.0014088899	0.029547991	-0.7149976	0.046053767	-0.21578754	-0.8115901	-0.23778501	-0.5783664	-0.5555746	0.6572833	0.62797755	0.6759968
ENSMUSG00000057093	1.2654932	-0.717487	0.0155782	0.5999528	0.0017747101	0.03462442	-0.67328995	0.05457537	-0.23807853	-0.8393568	-0.107267305	-0.5506812	-0.54351974	0.5059584	0.60400176	0.882333
ENSMUSG00000063884	1.2039192	-0.7158876	0.00013508089	0.4390767	0.0007311348	0.024328586	-0.7498325	0.037444524	-0.19210392	-0.7711354	-0.35021016	-0.59961325	-0.5591006	0.81807894	0.6551243	0.44545203
ENSMUSG00000022911	1.2590294	-0.71875393	0.01264659	0.5703994	0.0016610664	0.032561015	-0.6918939	0.05114222	-0.22918065	-0.82897353	-0.16328087	-0.562565	-0.54839206	0.5700514	0.61682934	0.798638
ENSMUSG00000038725	1.2467146	-0.7224561	0.018917855	0.5761586	0.0017057746	0.033570282	-0.67805076	0.052495144	-0.2334032	-0.8355192	-0.13459575	-0.5584144	-0.5532411	0.5157678	0.58596104	0.8528032
ENSMUSG00000039099	1.2666428	-0.71718067	0.015130055	0.60002995	0.0017744224	0.034576062	-0.6741252	0.0545232	-0.23789434	-0.83903867	-0.10870189	-0.55083203	-0.5430548	0.50921404	0.6062741	0.8794633
ENSMUSG00000034127	1.2617	-0.7185339	0.01624586	0.5949642	0.0017626197	0.034394465	-0.6744012	0.054126803	-0.23708495	-0.8385343	-0.113274574	-0.55236167	-0.54556394	0.5083793	0.60042185	0.87583125
ENSMUSG00000026288	1.2647184	-0.7175201	0.0125814015	0.5818975	0.0017089793	0.03319646	-0.68716776	0.05228917	-0.23200262	-0.8321595	-0.14619839	-0.558568	-0.54542	0.5543783	0.61805195	0.8229337
ENSMUSG00000034690	1.266001	-0.7173173	0.015815787	0.6025707	0.0017833794	0.034808006	-0.67155886	0.054881517	-0.23887108	-0.8402131	-0.1020834	-0.54955983	-0.5430036	0.50031066	0.6029086	0.88963765
ENSMUSG00000036826	1.2664443	-0.71720433	0.015613454	0.60241395	0.0017827079	0.034773488	-0.67203504	0.054836888	-0.23873074	-0.840022	-0.103060886	-0.5497069	-0.54285365	0.5020631	0.60392904	0.8879296
