	OSD-137	OSD-173	OSD-242	OSD-245	OSD-379	OSD-463
OSD-137	7	0	0	0	4	0
OSD-173	0	2	0	2	0	0
OSD-242	0	0	4	1	0	3
OSD-245	0	1	1	35	0	0
OSD-379	15	0	0	0	47	0
OSD-463	0	0	5	0	0	17
