gene_cluster	n_genes	direction	rank	study.source name	n_profiles	mean_expression	z_score_across_sources
13	122	high	1	RR-4_NSG3-W	1	469124.28125	10.588891983032227
13	122	high	2	GCRerun_20	1	289952.65625	6.089798450469971
13	122	high	3	RR-4_NSF4-W	1	277053.59375	5.765896320343018
13	122	high	4	GCRerun_14	1	267093.6875	5.5157976150512695
13	122	high	5	GCRerun_38	1	259343.3125	5.321181774139404
13	122	high	6	GCRerun_18	1	237438.71875	4.771145820617676
13	122	high	7	GCRerun_17	1	215990.40625	4.232567310333252
13	122	high	8	GCRerun_39	1	203705.078125	3.9240763187408447
13	122	high	9	GCRerun_29	1	197415.140625	3.7661325931549072
13	122	high	10	GCRerun_19	1	189123.046875	3.5579137802124023
13	122	high	11	GCRerun_22	1	187626.984375	3.5203468799591064
13	122	high	12	GCRerun_16	1	172280.890625	3.134998321533203
13	122	high	13	Old Mouse Number 1 in Hind Limb Unloading + Reloading Group	1	154585.015625	2.690645694732666
13	122	high	14	RR-4_NSF9-W	1	152020.625	2.6262524127960205
13	122	high	15	Old Mouse Number 4 in Hind Limb Unloading + Reloading Group	1	146608.125	2.4903416633605957
13	122	high	16	Old Mouse Number 2 in Control Group	1	145489.21875	2.462245464324951
13	122	high	17	Old Mouse Number 2 in Hind Limb Unloading + Reloading Group	1	145456.0625	2.4614129066467285
13	122	high	18	M60	2	143865.5	2.4214730262756348
13	122	high	19	Old Mouse Number 4 in Control Group	1	142890.78125	2.3969972133636475
13	122	high	20	GCRerun_32	1	142821.34375	2.3952536582946777
13	122	low	1	EU190	1	125.73770141601562	-1.187908411026001
13	122	low	2	A1402_2JR - CAPE17	1	132.5327911376953	-1.1877378225326538
13	122	low	3	control 1_1	1	709.6802978515625	-1.1732454299926758
13	122	low	4	micro-gravity R1_1	1	746.4508056640625	-1.1723220348358154
13	122	low	5	control 1_2	1	758.38525390625	-1.1720223426818848
13	122	low	6	micro-gravity R1_3	1	887.2786865234375	-1.168785810470581
13	122	low	7	control 1_3	1	899.1311645507812	-1.1684881448745728
13	122	low	8	micro-gravity R1_2	1	902.3524780273438	-1.1684073209762573
13	122	low	9	GSM8596805	1	1309.1065673828125	-1.1581934690475464
13	122	low	10	A1402_1FR - SHAM21	1	1314.1229248046875	-1.1580675840377808
13	122	low	11	GSM8596802	1	1315.9508056640625	-1.1580216884613037
13	122	low	12	A1402_3KR - GAMMA13	1	1355.1884765625	-1.157036304473877
13	122	low	13	A1402_3EL - GAMMA12	1	1383.6065673828125	-1.156322717666626
13	122	low	14	A1402_3DL - GAMMA11	1	1485.7049560546875	-1.1537590026855469
13	122	low	15	A1402_1JR - SHAM22	1	1486.9097900390625	-1.153728723526001
13	122	low	16	GSM8596806	1	1655.7786865234375	-1.1494883298873901
13	122	low	17	GSM8596804	1	1729.2786865234375	-1.147642731666565
13	122	low	18	RR-10_VIV-07	1	1749.2950439453125	-1.1471400260925293
13	122	low	19	GSM8596803	1	1771.2376708984375	-1.1465890407562256
13	122	low	20	GSM8596801	1	1780.6802978515625	-1.1463520526885986
10	807	high	1	RRRM-2_FL_ISS_16	1	17183.2890625	9.786706924438477
10	807	high	2	RRRM-2_HGC_ISS_02	1	15005.23828125	8.456559181213379
10	807	high	3	RRRM-2_FL_ISS_08	1	14051.724609375	7.874242305755615
10	807	high	4	RRRM-2_FL_ISS_02	1	13315.32421875	7.42451810836792
10	807	high	5	RRRM-2_HGC_ISS_19	1	13197.4501953125	7.352531909942627
10	807	high	6	RRRM-2_HGC_ISS_18	1	13186.2431640625	7.3456878662109375
10	807	high	7	RRRM-2_FL_ISS_14	1	11002.6572265625	6.0121588706970215
10	807	high	8	RRRM-2_FL_ISS_20	1	10973.9462890625	5.994625091552734
10	807	high	9	RR3_GC_G9	2	9414.5576171875	5.042296886444092
10	807	high	10	RRRM-2_HGC_ISS_07	1	9084.5625	4.8407673835754395
10	807	high	11	RR-10_GC-09	4	8939.001953125	4.751872539520264
10	807	high	12	RRRM-2_HGC_ISS_09	1	8402.197265625	4.424042701721191
10	807	high	13	RRRM-2_FL_ISS_07	3	8296.2314453125	4.359328746795654
10	807	high	14	RRRM-2_FL_ISS_05	3	7899.51611328125	4.1170525550842285
10	807	high	15	MHU-8_HGC02	2	7720.6494140625	4.00781774520874
10	807	high	16	MHU-8_FLT20	2	7573.09228515625	3.91770339012146
10	807	high	17	RR-10_FL-01	4	7563.98779296875	3.9121432304382324
10	807	high	18	RRRM-2_HGC_ISS_01	3	7480.51416015625	3.8611655235290527
10	807	high	19	MHU-8_FLT17	2	7065.78955078125	3.6078906059265137
10	807	high	20	MHU-8_FLT14	2	6849.00830078125	3.47550106048584
10	807	low	1	A1402_2JR - CAPE17	1	8.177199363708496	-0.7022349238395691
10	807	low	2	EU190	1	43.48698806762695	-0.6806710958480835
10	807	low	3	RR-10_VIV-07	1	71.72490692138672	-0.6634260416030884
10	807	low	4	RR-10_BL-18	1	87.03717803955078	-0.6540746688842773
10	807	low	5	EU230	1	88.13630676269531	-0.6534034609794617
10	807	low	6	A1402_3AL - GAMMA10	1	89.90086364746094	-0.6523258090019226
10	807	low	7	Non-Irradiated Control_4 months [B13_S45]	1	106.65179443359375	-0.6420959830284119
10	807	low	8	EU191	1	111.20074462890625	-0.6393178701400757
10	807	low	9	EU183	1	117.8537826538086	-0.6352548599243164
10	807	low	10	Non-Irradiated Control_9 months [B17_S47]	1	120.99380493164062	-0.6333371996879578
10	807	low	11	BL_LAR_09	1	121.5886001586914	-0.6329739689826965
10	807	low	12	RR-10_VIV-06	1	123.53655242919922	-0.6317843794822693
10	807	low	13	RR-10_VIV-21	1	124.92813110351562	-0.630934476852417
10	807	low	14	K4	1	126.61214447021484	-0.6299059987068176
10	807	low	15	28Si Irradiated_9 months [A17_S38]	1	126.93927764892578	-0.6297062635421753
10	807	low	16	BL_LAR_07	1	129.15118408203125	-0.6283553838729858
10	807	low	17	28Si Irradiated_2 months [A6_S43]	1	129.7298583984375	-0.6280020475387573
10	807	low	18	H4	1	130.16851806640625	-0.6277341246604919
10	807	low	19	K2	1	133.29739379882812	-0.6258233189582825
10	807	low	20	BL_LAR_04	1	133.5130157470703	-0.6256915926933289
8	789	high	1	RRRM-2_FL_ISS_16	1	14550.19921875	7.743095397949219
8	789	high	2	RRRM-2_HGC_ISS_19	1	10784.7412109375	5.415013313293457
8	789	high	3	RRRM-2_HGC_ISS_02	1	10634.4345703125	5.322082996368408
8	789	high	4	RRRM-2_FL_ISS_02	1	10020.1708984375	4.942299842834473
8	789	high	5	RRRM-2_FL_ISS_08	1	9825.80859375	4.8221306800842285
8	789	high	6	RR-10_GC-09	4	9070.861328125	4.355367183685303
8	789	high	7	RR-10_GC-01	4	8994.6435546875	4.308243751525879
8	789	high	8	RR-10_FL-09	3	8799.41015625	4.187536239624023
8	789	high	9	RRRM-2_HGC_ISS_18	1	8630.701171875	4.083227634429932
8	789	high	10	RRRM-2_FL_ISS_14	1	8577.533203125	4.050355434417725
8	789	high	11	MHU-8_FLT14	2	8378.537109375	3.927321434020996
8	789	high	12	RR-10_GC-05	4	8187.92236328125	3.80946946144104
8	789	high	13	RRRM-2_FL_ISS_20	1	8072.5107421875	3.7381136417388916
8	789	high	14	MHU-8_FLT02	2	8065.51171875	3.7337863445281982
