gene_cluster	gene
13	ENSMUSG00000001175
13	ENSMUSG00000001506
13	ENSMUSG00000002100
13	ENSMUSG00000002985
13	ENSMUSG00000005089
13	ENSMUSG00000005716
13	ENSMUSG00000006457
13	ENSMUSG00000013936
13	ENSMUSG00000015090
13	ENSMUSG00000015568
13	ENSMUSG00000017300
13	ENSMUSG00000018339
13	ENSMUSG00000018893
13	ENSMUSG00000020609
13	ENSMUSG00000021268
13	ENSMUSG00000022097
13	ENSMUSG00000023927
13	ENSMUSG00000024041
13	ENSMUSG00000024164
13	ENSMUSG00000024365
13	ENSMUSG00000024610
13	ENSMUSG00000024617
13	ENSMUSG00000024653
13	ENSMUSG00000025153
13	ENSMUSG00000025393
13	ENSMUSG00000025428
13	ENSMUSG00000026208
13	ENSMUSG00000026414
13	ENSMUSG00000026531
13	ENSMUSG00000026950
13	ENSMUSG00000027022
13	ENSMUSG00000027070
13	ENSMUSG00000027273
13	ENSMUSG00000027485
13	ENSMUSG00000027559
13	ENSMUSG00000027871
13	ENSMUSG00000028255
13	ENSMUSG00000028464
13	ENSMUSG00000028773
13	ENSMUSG00000029064
13	ENSMUSG00000029288
13	ENSMUSG00000029368
13	ENSMUSG00000029467
13	ENSMUSG00000029552
13	ENSMUSG00000029580
13	ENSMUSG00000029661
13	ENSMUSG00000030324
13	ENSMUSG00000030399
13	ENSMUSG00000030592
13	ENSMUSG00000030672
13	ENSMUSG00000030695
13	ENSMUSG00000030730
13	ENSMUSG00000031097
13	ENSMUSG00000031354
13	ENSMUSG00000031574
13	ENSMUSG00000031633
13	ENSMUSG00000031972
13	ENSMUSG00000032294
13	ENSMUSG00000032366
13	ENSMUSG00000032554
13	ENSMUSG00000032648
13	ENSMUSG00000032758
13	ENSMUSG00000033196
13	ENSMUSG00000034837
13	ENSMUSG00000035202
13	ENSMUSG00000035458
13	ENSMUSG00000037071
13	ENSMUSG00000037465
13	ENSMUSG00000038170
13	ENSMUSG00000038583
13	ENSMUSG00000038670
13	ENSMUSG00000038891
13	ENSMUSG00000040752
13	ENSMUSG00000041534
13	ENSMUSG00000041607
13	ENSMUSG00000041616
13	ENSMUSG00000042240
13	ENSMUSG00000047419
13	ENSMUSG00000047517
13	ENSMUSG00000047730
13	ENSMUSG00000051747
13	ENSMUSG00000052305
13	ENSMUSG00000052415
13	ENSMUSG00000052727
13	ENSMUSG00000053093
13	ENSMUSG00000053268
13	ENSMUSG00000056328
13	ENSMUSG00000057003
13	ENSMUSG00000057666
13	ENSMUSG00000059741
13	ENSMUSG00000060600
13	ENSMUSG00000061311
13	ENSMUSG00000061462
13	ENSMUSG00000061723
13	ENSMUSG00000061816
13	ENSMUSG00000064373
13	ENSMUSG00000066760
13	ENSMUSG00000068614
13	ENSMUSG00000069833
13	ENSMUSG00000069917
13	ENSMUSG00000069919
13	ENSMUSG00000070796
13	ENSMUSG00000071753
13	ENSMUSG00000072849
13	ENSMUSG00000073830
13	ENSMUSG00000073940
13	ENSMUSG00000074359
13	ENSMUSG00000074657
13	ENSMUSG00000075604
13	ENSMUSG00000077714
13	ENSMUSG00000078672
13	ENSMUSG00000078673
13	ENSMUSG00000078680
13	ENSMUSG00000078683
13	ENSMUSG00000078998
13	ENSMUSG00000086503
13	ENSMUSG00000088088
13	ENSMUSG00000090733
13	ENSMUSG00000092274
13	ENSMUSG00000092341
13	ENSMUSG00000092837
13	ENSMUSG00000094793
10	ENSMUSG00000000416
10	ENSMUSG00000000538
10	ENSMUSG00000000560
10	ENSMUSG00000000632
10	ENSMUSG00000000881
10	ENSMUSG00000001227
10	ENSMUSG00000001270
10	ENSMUSG00000001911
10	ENSMUSG00000001986
10	ENSMUSG00000002006
10	ENSMUSG00000002265
10	ENSMUSG00000002341
10	ENSMUSG00000003273
10	ENSMUSG00000003279
10	ENSMUSG00000003352
10	ENSMUSG00000003363
10	ENSMUSG00000003378
10	ENSMUSG00000003410
10	ENSMUSG00000003469
10	ENSMUSG00000003863
10	ENSMUSG00000003934
10	ENSMUSG00000003949
10	ENSMUSG00000003974
10	ENSMUSG00000004110
10	ENSMUSG00000004113
10	ENSMUSG00000004187
10	ENSMUSG00000004263
10	ENSMUSG00000004267
10	ENSMUSG00000004366
10	ENSMUSG00000004383
10	ENSMUSG00000004849
10	ENSMUSG00000004892
10	ENSMUSG00000004933
10	ENSMUSG00000005034
10	ENSMUSG00000005045
10	ENSMUSG00000005338
10	ENSMUSG00000005583
10	ENSMUSG00000005873
10	ENSMUSG00000006273
10	ENSMUSG00000006412
10	ENSMUSG00000006435
10	ENSMUSG00000006476
10	ENSMUSG00000006575
10	ENSMUSG00000006651
10	ENSMUSG00000006930
10	ENSMUSG00000007021
10	ENSMUSG00000007207
10	ENSMUSG00000007594
10	ENSMUSG00000007617
10	ENSMUSG00000007656
10	ENSMUSG00000007950
10	ENSMUSG00000008140
10	ENSMUSG00000008153
10	ENSMUSG00000008489
10	ENSMUSG00000008658
10	ENSMUSG00000009216
10	ENSMUSG00000009394
10	ENSMUSG00000009569
10	ENSMUSG00000009681
10	ENSMUSG00000009894
10	ENSMUSG00000010066
10	ENSMUSG00000010086
10	ENSMUSG00000011751
10	ENSMUSG00000011832
10	ENSMUSG00000013089
10	ENSMUSG00000013236
10	ENSMUSG00000013419
10	ENSMUSG00000013523
10	ENSMUSG00000013921
10	ENSMUSG00000014592
10	ENSMUSG00000014602
10	ENSMUSG00000015094
10	ENSMUSG00000015222
10	ENSMUSG00000015476
10	ENSMUSG00000015501
10	ENSMUSG00000015599
10	ENSMUSG00000015709
10	ENSMUSG00000015829
10	ENSMUSG00000015944
10	ENSMUSG00000015981
10	ENSMUSG00000016346
10	ENSMUSG00000016349
10	ENSMUSG00000017167
10	ENSMUSG00000017314
10	ENSMUSG00000017400
10	ENSMUSG00000017631
10	ENSMUSG00000017639
10	ENSMUSG00000017670
10	ENSMUSG00000017740
10	ENSMUSG00000018395
10	ENSMUSG00000018398
10	ENSMUSG00000018411
10	ENSMUSG00000018451
10	ENSMUSG00000018547
10	ENSMUSG00000018865
10	ENSMUSG00000018965
10	ENSMUSG00000019082
10	ENSMUSG00000019124
10	ENSMUSG00000019146
10	ENSMUSG00000019194
10	ENSMUSG00000019302
10	ENSMUSG00000019467
10	ENSMUSG00000019775
10	ENSMUSG00000019831
10	ENSMUSG00000019852
10	ENSMUSG00000019923
10	ENSMUSG00000019986
10	ENSMUSG00000020032
10	ENSMUSG00000020135
10	ENSMUSG00000020181
10	ENSMUSG00000020262
10	ENSMUSG00000020297
10	ENSMUSG00000020331
10	ENSMUSG00000020340
10	ENSMUSG00000020483
10	ENSMUSG00000020589
10	ENSMUSG00000020598
10	ENSMUSG00000020657
10	ENSMUSG00000020658
10	ENSMUSG00000020668
10	ENSMUSG00000020827
10	ENSMUSG00000020866
10	ENSMUSG00000020882
10	ENSMUSG00000020886
10	ENSMUSG00000020894
10	ENSMUSG00000020900
10	ENSMUSG00000020926
10	ENSMUSG00000020932
10	ENSMUSG00000020950
10	ENSMUSG00000021061
10	ENSMUSG00000021062
10	ENSMUSG00000021066
10	ENSMUSG00000021071
10	ENSMUSG00000021087
10	ENSMUSG00000021130
10	ENSMUSG00000021198
10	ENSMUSG00000021259
10	ENSMUSG00000021288
10	ENSMUSG00000021301
10	ENSMUSG00000021314
10	ENSMUSG00000021373
10	ENSMUSG00000021448
10	ENSMUSG00000021476
10	ENSMUSG00000021508
10	ENSMUSG00000021536
10	ENSMUSG00000021573
10	ENSMUSG00000021684
10	ENSMUSG00000021700
10	ENSMUSG00000021701
10	ENSMUSG00000021708
10	ENSMUSG00000021719
10	ENSMUSG00000021772
10	ENSMUSG00000021820
10	ENSMUSG00000021913
10	ENSMUSG00000021986
10	ENSMUSG00000021991
10	ENSMUSG00000022044
10	ENSMUSG00000022048
10	ENSMUSG00000022054
10	ENSMUSG00000022075
10	ENSMUSG00000022099
10	ENSMUSG00000022199
10	ENSMUSG00000022201
10	ENSMUSG00000022208
10	ENSMUSG00000022212
10	ENSMUSG00000022240
10	ENSMUSG00000022296
10	ENSMUSG00000022332
10	ENSMUSG00000022415
10	ENSMUSG00000022416
10	ENSMUSG00000022421
10	ENSMUSG00000022456
10	ENSMUSG00000022474
10	ENSMUSG00000022489
10	ENSMUSG00000022594
10	ENSMUSG00000022602
10	ENSMUSG00000022619
10	ENSMUSG00000022623
10	ENSMUSG00000022629
10	ENSMUSG00000022762
10	ENSMUSG00000022791
10	ENSMUSG00000022840
10	ENSMUSG00000022957
10	ENSMUSG00000022973
10	ENSMUSG00000022995
10	ENSMUSG00000023011
10	ENSMUSG00000023018
10	ENSMUSG00000023032
10	ENSMUSG00000023033
10	ENSMUSG00000023050
10	ENSMUSG00000023353
10	ENSMUSG00000023805
10	ENSMUSG00000023868
10	ENSMUSG00000024008
10	ENSMUSG00000024044
10	ENSMUSG00000024083
10	ENSMUSG00000024121
10	ENSMUSG00000024127
10	ENSMUSG00000024163
10	ENSMUSG00000024213
10	ENSMUSG00000024220
10	ENSMUSG00000024268
10	ENSMUSG00000024277
10	ENSMUSG00000024304
10	ENSMUSG00000024403
10	ENSMUSG00000024429
10	ENSMUSG00000024462
10	ENSMUSG00000024500
10	ENSMUSG00000024524
10	ENSMUSG00000024558
10	ENSMUSG00000024639
10	ENSMUSG00000024736
10	ENSMUSG00000024743
10	ENSMUSG00000024758
10	ENSMUSG00000024767
10	ENSMUSG00000024777
10	ENSMUSG00000024862
10	ENSMUSG00000024873
10	ENSMUSG00000024897
10	ENSMUSG00000025092
10	ENSMUSG00000025189
10	ENSMUSG00000025212
10	ENSMUSG00000025221
10	ENSMUSG00000025237
10	ENSMUSG00000025272
10	ENSMUSG00000025318
10	ENSMUSG00000025372
10	ENSMUSG00000025375
10	ENSMUSG00000025404
10	ENSMUSG00000025422
10	ENSMUSG00000025468
10	ENSMUSG00000025576
10	ENSMUSG00000025579
10	ENSMUSG00000025582
10	ENSMUSG00000025658
10	ENSMUSG00000025813
10	ENSMUSG00000025855
10	ENSMUSG00000025867
10	ENSMUSG00000025876
10	ENSMUSG00000025889
10	ENSMUSG00000025986
10	ENSMUSG00000026000
10	ENSMUSG00000026113
10	ENSMUSG00000026179
10	ENSMUSG00000026204
10	ENSMUSG00000026235
10	ENSMUSG00000026259
10	ENSMUSG00000026275
10	ENSMUSG00000026426
10	ENSMUSG00000026442
10	ENSMUSG00000026587
10	ENSMUSG00000026620
10	ENSMUSG00000026764
10	ENSMUSG00000026782
10	ENSMUSG00000026787
10	ENSMUSG00000026797
10	ENSMUSG00000026825
10	ENSMUSG00000026833
10	ENSMUSG00000026851
10	ENSMUSG00000026944
10	ENSMUSG00000026959
10	ENSMUSG00000027220
10	ENSMUSG00000027221
10	ENSMUSG00000027223
10	ENSMUSG00000027254
10	ENSMUSG00000027270
10	ENSMUSG00000027298
