library	gene_cluster	term	description	overlap	cluster_genes_in_universe	term_genes_in_universe	universe_genes	p_value	enrichment_ratio	overlap_genes	fdr_bh
reactome	0	REACTOME_AMYLOIDS	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_AMYLOIDS	4	132	49	5218	0.03448734504484861	3.2269635126777985	ENSMUSG00000026542,ENSMUSG00000028001,ENSMUSG00000032083,ENSMUSG00000061808	0.05453812704766756
reactome	0	REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_ACTIVITY_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_ACTIVITY_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS	3	132	29	5218	0.03580375914470106	4.089341692789969	ENSMUSG00000017493,ENSMUSG00000027249,ENSMUSG00000059481	0.055333082314538
reactome	0	REACTOME_AMINO_ACID_TRANSPORT_ACROSS_THE_PLASMA_MEMBRANE	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_AMINO_ACID_TRANSPORT_ACROSS_THE_PLASMA_MEMBRANE	3	132	30	5218	0.03906665589904841	3.953030303030303	ENSMUSG00000010064,ENSMUSG00000022464,ENSMUSG00000031596	0.05775070872033244
reactome	0	REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	3	132	30	5218	0.03906665589904841	3.953030303030303	ENSMUSG00000025194,ENSMUSG00000032083,ENSMUSG00000044749	0.05775070872033244
reactome	0	REACTOME_INNATE_IMMUNE_SYSTEM	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_INNATE_IMMUNE_SYSTEM	11	132	253	5218	0.054375911580664654	1.7187088274044793	ENSMUSG00000022149,ENSMUSG00000022887,ENSMUSG00000024863,ENSMUSG00000026405,ENSMUSG00000026874,ENSMUSG00000035031,ENSMUSG00000037942,ENSMUSG00000038521,ENSMUSG00000058952,ENSMUSG00000073418,ENSMUSG00000090231	0.0786715316486212
reactome	0	REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS	4	132	72	5218	0.10832601966362194	2.1961279461279464	ENSMUSG00000017344,ENSMUSG00000028001,ENSMUSG00000033831,ENSMUSG00000033860	0.15346186119013108
reactome	0	REACTOME_AMINO_ACID_AND_OLIGOPEPTIDE_SLC_TRANSPORTERS	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_AMINO_ACID_AND_OLIGOPEPTIDE_SLC_TRANSPORTERS	3	132	47	5218	0.11504676744660552	2.52321083172147	ENSMUSG00000010064,ENSMUSG00000022464,ENSMUSG00000031596	0.15965673849733011
reactome	0	REACTOME_GLUCOSE_METABOLISM	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_GLUCOSE_METABOLISM	3	132	58	5218	0.18046682945172568	2.0446708463949843	ENSMUSG00000015112,ENSMUSG00000021069,ENSMUSG00000041237	0.2454348880543469
reactome	0	REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS	3	132	76	5218	0.3018808215484553	1.5604066985645935	ENSMUSG00000000301,ENSMUSG00000025137,ENSMUSG00000070644	0.4025077620646071
reactome	0	REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS	5	132	153	5218	0.3450618532818768	1.2918399683105566	ENSMUSG00000022875,ENSMUSG00000026874,ENSMUSG00000027249,ENSMUSG00000031980,ENSMUSG00000042770	0.45123473121476193
