_MEMBER_DESeq2_meta_sig_12filter,_MEMBER_FLT_cluster_13_muscle_contractile,_MEMBER_FLT_cluster_14_liver_secreted,_MEMBER_FLT_cluster_15_contractile_mito,_MEMBER_FLT_cluster_3_mixed_stress,_MEMBER_GC_cluster_1_DE_enriched,_LogP_DESeq2_meta_sig_12filter,_LogP_FLT_cluster_13_muscle_contractile,_LogP_FLT_cluster_14_liver_secreted,_LogP_FLT_cluster_15_contractile_mito,_LogP_FLT_cluster_3_mixed_stress,_LogP_GC_cluster_1_DE_enriched,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,1,0,1,0,0,-3.6,-2,0,-3,0,0,TRR00844,M110100,3,0,TRRUST,34,Regulated by: Myod1,,-3.6,24,8.2,17423,49,44,3,6.8,3.8,12023|12575|17901,Barx2|Cdkn1a|Myl1,-2.3,0
1,0,0,0,0,0,-3.4,0,0,0,0,0,TRR00315,M100000,1,0,TRRUST,34,Regulated by: Ep300,,-3.4,21,7.5,17423,57,44,3,6.8,3.8,12575|16193|19225,Cdkn1a|Il6|Ptgs2,-2.1,0
0,0,0,0,1,1,0,0,0,0,-2.4,-3,TRR01084,M000011,2,0,TRRUST,34,Regulated by: Pbx1,,-3,4.7,4.4,17423,14,1604,6,0.37,0.15,12579|13176|14165|17200|18505|216285,Cdkn2b|Dcc|Fgf10|Mc2r|Pax3|Alx1,-1.8,0
1,0,0,0,0,0,-2.9,0,0,0,0,0,TRR01349,M100000,1,0,TRRUST,34,Regulated by: Sp3,,-2.9,14,6.1,17423,83,44,3,6.8,3.8,12575|16193|19225,Cdkn1a|Il6|Ptgs2,-1.7,0
0,1,0,0,0,0,0,-2.8,0,0,0,0,TRR01126,M010000,1,0,TRRUST,34,Regulated by: Pparg,,-2.8,5.9,4.5,17423,51,291,5,1.7,0.76,11450|12224|12683|57264|103968,Adipoq|Klf5|Cidea|Retn|Plin1,-1.6,0
0,0,0,0,0,1,0,0,0,0,0,-2.7,TRR00722,M000001,1,0,TRRUST,34,Regulated by: Lhx2,,-2.7,6.2,4.4,17423,7,1604,4,0.25,0.12,12640|19434|19649|22094,Cga|Rax|Robo3|Tshb,-1.6,0
0,0,0,0,0,1,0,0,0,0,0,-2.5,TRR00165,M000001,1,0,TRRUST,34,Regulated by: Creb3l1,,-2.5,8.1,4.6,17423,4,1604,3,0.19,0.11,14531|17392|107889,Gcm1|Mmp3|Gcm2,-1.5,0
0,0,0,0,0,1,0,0,0,0,0,-2.5,TRR00942,M000001,1,0,TRRUST,34,Regulated by: Nfatc4,,-2.5,8.1,4.6,17423,4,1604,3,0.19,0.11,19225|59006|59011,Ptgs2|Myoz2|Myoz1,-1.5,0
0,0,0,0,1,1,0,0,0,0,-2.5,-2.2,TRR00939,M000011,2,0,TRRUST,34,Regulated by: Nfatc2,,-2.5,3.9,3.8,17423,19,1402,6,0.43,0.17,13655|16153|16183|16189|21926|60505,Egr3|Il10|Il2|Il4|Tnf|Il21,-1.5,0
0,0,0,0,0,1,0,0,0,0,0,-2.5,TRR00826,M000001,1,0,TRRUST,34,Regulated by: Msx1,,-2.5,4.5,3.9,17423,12,1604,5,0.31,0.14,12640|14174|18505|20899|214384,Cga|Fgf3|Pax3|Stra8|Myocd,-1.5,0
0,0,0,0,1,1,0,0,0,0,-2,-2.5,TRR00619,M000011,2,0,TRRUST,34,Regulated by: Ikzf1,,-2.5,3.8,3.7,17423,17,1604,6,0.37,0.15,16153|16183|18126|18386|18387|23967,Il10|Il2|Nos2|Oprd1|Oprk1|Osr1,-1.5,0
0,0,0,0,1,1,0,0,0,0,-2.4,-2.1,TRR01370,M000011,2,0,TRRUST,34,Regulated by: Stat5a,,-2.4,3.3,3.5,17423,26,1402,7,0.5,0.19,12579|12990|12991|13075|16153|20388|27278,Cdkn2b|Csn1s1|Csn2|Cyp19a1|Il10|Sftpb|Clnk,-1.4,0
0,0,1,0,0,0,0,0,-2.4,0,0,0,TRR01316,M001000,1,0,TRRUST,34,Regulated by: Smad4,,-2.4,6.3,4.2,17423,40,278,4,1.4,0.71,12550|12575|12739|15951,Cdh1|Cdkn1a|Cldn3|Ifi204,-1.4,0
1,0,0,0,0,0,-2.4,0,0,0,0,0,TRR00652,M100000,1,0,TRRUST,34,Regulated by: Jun,,-2.4,9.3,4.7,17423,128,44,3,6.8,3.8,16193|19225|20310,Il6|Ptgs2|Cxcl2,-1.4,0
0,0,0,0,0,1,0,0,0,0,0,-2.2,TRR00695,M000001,1,0,TRRUST,34,Regulated by: Klf4,,-2.2,3.4,3.4,17423,19,1604,6,0.37,0.15,11604|12579|13406|18126|19225|57277,Agrp|Cdkn2b|Dmp1|Nos2|Ptgs2|Slurp1,-1.3,0
0,0,0,0,0,1,0,0,0,0,0,-2.2,TRR00389,M000001,1,0,TRRUST,34,Regulated by: Foxg1,,-2.2,4.8,3.7,17423,9,1604,4,0.25,0.12,12579|13592|14049|228598,Cdkn2b|Ebf2|Eya2|Ebf4,-1.2,0
0,0,1,0,0,0,0,0,-2.2,0,0,0,TRR01313,M001000,1,0,TRRUST,34,Regulated by: Smad1,,-2.2,7.8,4.3,17423,24,278,3,1.1,0.62,12575|15951|76737,Cdkn1a|Ifi204|Creld2,-1.2,0
0,0,1,0,0,0,0,0,-2.1,0,0,0,TRR00238,M001000,1,0,TRRUST,34,Regulated by: E2f1,,-2.1,5.1,3.7,17423,49,278,4,1.4,0.71,12122|12443|12575|50490,Bid|Ccnd1|Cdkn1a|Nox4,-1.2,0
0,0,0,0,1,0,0,0,0,0,-2.1,0,TRR00460,M000010,1,0,TRRUST,34,Regulated by: Gtf2ird1,,-2.1,6.2,3.8,17423,6,1402,3,0.21,0.12,13386|14275|20306,Dlk1|Folr1|Ccl7,-1.1,0
0,0,0,0,1,0,0,0,0,0,-2.1,0,TRR00545,M000010,1,0,TRRUST,34,Regulated by: Hesx1,,-2.1,6.2,3.8,17423,6,1402,3,0.21,0.12,12640|18736|19127,Cga|Pou1f1|Prop1,-1.1,0
0,0,0,0,1,0,0,0,0,0,-2,0,TRR01114,M000010,1,0,TRRUST,34,Regulated by: Pou2f2,,-2,3.7,3.2,17423,17,1402,5,0.36,0.16,11572|16183|16189|18126|58205,Crisp3|Il2|Il4|Nos2|Pdcd1lg2,-1.1,0
0,0,0,0,1,0,0,0,0,0,-2,0,TRR01535,M000010,1,0,TRRUST,34,Regulated by: Wt1,,-2,3.7,3.2,17423,17,1402,5,0.36,0.16,11705|16153|54631|110542|271127,Amh|Il10|Nphs1|Amhr2|Adamts16,-1.1,0
0,0,1,0,0,0,0,0,-2,0,0,0,TRR01346,M001000,1,0,TRRUST,34,Regulated by: Sox9,,-2,6.7,3.9,17423,28,278,3,1.1,0.62,12550|12575|22361,Cdh1|Cdkn1a|Vnn1,-1.1,0
