_MEMBER_DESeq2_meta_sig_12filter,_MEMBER_FLT_cluster_13_muscle_contractile,_MEMBER_FLT_cluster_14_liver_secreted,_MEMBER_FLT_cluster_15_contractile_mito,_MEMBER_FLT_cluster_3_mixed_stress,_MEMBER_GC_cluster_1_DE_enriched,_LogP_DESeq2_meta_sig_12filter,_LogP_FLT_cluster_13_muscle_contractile,_LogP_FLT_cluster_14_liver_secreted,_LogP_FLT_cluster_15_contractile_mito,_LogP_FLT_cluster_3_mixed_stress,_LogP_GC_cluster_1_DE_enriched,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,0,0,0,0,0,-5.2,0,0,0,0,0,TRR00845,M100000,1,0,TRRUST,34,Regulated by: Myog,,-5.2,79,15,17423,15,44,3,6.8,3.8,12023|12575|17901,Barx2|Cdkn1a|Myl1,-3.5,0
1,0,0,0,0,0,-5,0,0,0,0,0,TRR00834,M100000,1,0,TRRUST,34,Regulated by: Myb,,-5,70,14,17423,17,44,3,6.8,3.8,12575|19152|19225,Cdkn1a|Prtn3|Ptgs2,-3.4,0
0,1,1,0,0,0,0,-3.6,-4.8,0,0,0,TRR01360,M011000,2,0,TRRUST,34,Regulated by: Srebf1,,-4.8,11,7.5,17423,34,278,6,2.2,0.87,12575|12686|21835|23957|26874|27410,Cdkn1a|Elovl3|Thrsp|Nr0b2|Abcd2|Abca3,-3.3,0
0,0,1,0,0,0,0,0,-4.8,0,0,0,TRR00976,M001000,1,0,TRRUST,34,Regulated by: Nr1d1,,-4.8,47,12,17423,4,278,3,1.1,0.62,11865|18030|23957,Bmal1|Nfil3|Nr0b2,-3.2,0
0,1,0,0,0,0,0,-4.1,0,0,0,0,TRR00810,M010000,1,0,TRRUST,34,Regulated by: Mef2c,,-4.1,11,6.8,17423,27,291,5,1.7,0.76,12715|17879|17884|17929|17930,Ckm|Myh1|Myh4|Myom1|Myom2,-2.7,0
0,1,0,0,0,0,0,-4.1,0,0,0,0,TRR00694,M010000,1,0,TRRUST,34,Regulated by: Klf3,,-4.1,30,9.2,17423,6,291,3,1,0.59,11459|12715|20474,Acta1|Ckm|Six4,-2.6,0
0,0,1,0,0,0,0,0,-4,0,0,0,TRR00159,M001000,1,0,TRRUST,34,Regulated by: Clock,,-4,16,7.5,17423,16,278,4,1.4,0.71,12952|13170|20720|23957,Cry1|Dbp|Serpine2|Nr0b2,-2.6,0
1,0,0,0,0,0,-3.9,0,0,0,0,0,TRR00951,M100000,1,0,TRRUST,34,Regulated by: Nfkb1,,-3.9,10,6.5,17423,192,44,5,11,4.8,11450|12575|16193|19225|20310,Adipoq|Cdkn1a|Il6|Ptgs2|Cxcl2,-2.5,0
0,0,0,0,1,1,0,0,0,0,-3.9,-3.4,TRR00721,M000011,2,0,TRRUST,34,Regulated by: Lef1,,-3.9,3.9,4.8,17423,32,1402,10,0.71,0.22,12814|13380|15223|16189|17386|17702|18736|19225|20306|50701,Col11a1|Dkk1|Foxj1|Il4|Mmp13|Msx2|Pou1f1|Ptgs2|Ccl7|Elane,-2.5,0
0,0,1,0,0,0,0,0,-3.7,0,0,0,TRR00564,M001000,1,0,TRRUST,34,Regulated by: Hnf4a,,-3.7,9.2,6.1,17423,34,278,5,1.8,0.8,11808|13086|13094|53973|266645,Apoa4|Cyp2a4|Cyp2b9|Cyp3a41a|Acmsd,-2.4,0
1,0,0,0,0,0,-3.6,0,0,0,0,0,TRR00149,M100000,1,0,TRRUST,34,Regulated by: Cebpb,,-3.6,25,8.3,17423,48,44,3,6.8,3.8,12575|16193|19225,Cdkn1a|Il6|Ptgs2,-2.3,0
