_MEMBER_DESeq2_meta_sig_12filter,_MEMBER_FLT_cluster_13_muscle_contractile,_MEMBER_FLT_cluster_14_liver_secreted,_MEMBER_FLT_cluster_15_contractile_mito,_MEMBER_FLT_cluster_3_mixed_stress,_MEMBER_GC_cluster_1_DE_enriched,_LogP_DESeq2_meta_sig_12filter,_LogP_FLT_cluster_13_muscle_contractile,_LogP_FLT_cluster_14_liver_secreted,_LogP_FLT_cluster_15_contractile_mito,_LogP_FLT_cluster_3_mixed_stress,_LogP_GC_cluster_1_DE_enriched,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,1,0,1,0,1,-9.1,-31,0,-15,0,-7,PGB:00259,M110101,4,0,PaGenBase,36,Cell-specific: c2c12,,-31,8.5,18,17423,354,291,50,17,2.2,11443|11459|11468|11472|11733|11752|11937|12295|12715|16600|17189|17879|17884|17885|17901|17907|17929|17930|17965|18175|18772|19223|20190|20474|21916|21924|21925|21953|21956|21957|24053|24131|26549|53318|56012|56642|56741|68655|68760|68794|69454|109272|140781|223513|233199|237611|238161|244923|320078|378431,Chrnb1|Acta1|Actg2|Actn2|Ank1|Anxa8|Atp2a1|Cacnb1|Ckm|Klf4|Mb|Myh1|Myh4|Myh8|Myl1|Mylpf|Myom1|Myom2|Nbl1|Nrap|Pkp1|Ptgis|Ryr1|Six4|Tmod1|Tnnc1|Tnnc2|Tnni2|Tnnt2|Tnnt3|Sgcg|Ldb3|Itgb1bp2|Pdlim3|Pgam2|Ankrd2|Igdcc4|Fndc1|Synpo2l|Flnc|Clic3|Mybpc1|Myh7|Abra|Mybpc2|Stac3|Akap6|Klhl31|Olfml2b|Txlnb,-28,0
0,0,0,0,1,1,0,0,0,0,-24,-20,PGB:00010,M000011,2,0,PaGenBase,36,Tissue-specific: brain,,-24,2.7,12,17423,558,1402,121,8.6,0.75,11803|11864|11922|12032|12287|12801|13386|13390|13655|14126|14403|14405|14415|14417|14545|14608|14623|14704|14799|14804|15444|15569|16508|18040|18183|18197|18231|18667|18752|19051|19085|19415|20203|20257|20262|20265|20394|20420|20965|20974|20980|21375|22773|23836|26414|26938|26950|54377|54419|56370|56846|57340|57754|57780|58807|59058|64450|66995|67254|67790|68553|70357|70638|72301|72834|72902|74002|74189|74342|75141|75610|76183|76982|77288|77531|83766|103978|105439|105653|108699|116837|170638|208158|209966|215085|215378|215890|216049|217480|227632|229791|229949|231605|234593|235180|239157|239857|240121|240332|245684|269643|270028|272009|319216|319586|319642|319984|320705|320840|328789|329178|330166|330941|331461|380702|381112|381813|434128|497097|547109|628779,Aplp1|Arnt2|Neurod6|Bcan|Cacna1b|Cnr1|Dlk1|Dlx1|Egr3|Ms4a2|Gabrd|Gabrg1|Gad1|Gad2|Gdap1|Gpr83|Gjb6|Gng3|Gria1|Grid2|Hpca|Elavl2|Kcnd2|Nefm|Nrg3|Nsg2|Nxph1|Pgr|Prkcg|Ppp1r17|Prkar1b|Rasal1|S100b|Stmn2|Stmn3|Scn1a|Scg5|Shd|Syn2|Syngr3|Syt2|Tbr1|Zic3|Cdh20|Mapk10|St6galnac5|Vsnl1|Cacng4|Cldn6|Tagln3|Necab3|Jph3|Cend1|Fxyd7|Slco1c1|Bhlhe22|Gpr85|Zcchc18|Bmerb1|Rab39b|Col6a4|Kcnip1|Entrep2|Shisal1|Cerox1|Spock3|Psd2|Phactr3|Lrrtm1|Rasd2|2010109A12Rik|Celf6|Vxn|9430021M05Rik|Anks1b|Actl6b|Gpc5|Slain1|Phyhip|Chn1|Rims1|Hpcal4|Map6d1|Pgbd5|Slc35f1|Brinp3|Clvs2|Zfp365|Dgkb|Kcnt1|Plppr4|Ak5|Galnt9|Ndrg4|Fez1|Pnma2|Cadm2|Fsd1|Slc6a7|Cnksr2|Ppp2r2c|Nalf1|Srsf12|4932441J04Rik|Celf5|Rab9b|Jph4|Bend6|Negr1|Lhfpl5|Unc80|Miat|AI593442|Il1rapl1|Shisa6|Arhgef33|Prmt8|Pnma8b|Xkr4|Trim43a|Hs3st4,-21,0
0,0,1,0,0,0,0,0,-20,0,0,0,PGB:00001,M001000,1,0,PaGenBase,36,Tissue-specific: liver,,-20,5.8,13,17423,462,278,43,15,2.2,12274|12401|12686|13094|13097|13098|13099|13105|13123|17840|18559|18671|19116|19734|20219|20703|23957|26464|27367|27400|28248|28250|66438|67664|68054|76654|109222|171281|171405|226143|244152|244209|269378|320204|321018|337924|380780|402734|625018|668215|100039008|100039054|100126824,C6|Serpina6|Elovl3|Cyp2b9|Cyp2c38|Cyp2c39|Cyp2c40|Cyp2d9|Cyp7b1|Mup1|Pctp|Abcb1a|Prlr|Rgs16|Apcs|Serpina1d|Nr0b2|Vnn3|Rpl3|Hsd17b6|Slco1a1|Slco1a4|Hamp2|Rnf125|Serpina12|Upp2|Rarres1|Acot3|Slc22a27|Cyp2c23|Tsku|Cyp2r1|Ahcy|Etfbkmt|Serpina4-ps1|Cyp3a44|Serpina11|C730036E19Rik|C4a|Hectd2os|Mup10|Mup12|Sco2,-18,0
1,1,0,1,0,1,-7.8,-17,0,-14,0,-9.9,PGB:00028,M110101,4,0,PaGenBase,36,Tissue-specific: skeletal muscle,,-17,7,13,17423,266,291,31,11,1.8,11636|12295|12715|17879|17882|17884|17885|17907|18125|18175|20190|21953|21957|24053|24131|53318|56012|56642|68760|73284|76469|109272|116904|140781|219134|223513|233199|237611|241431|244923|276829,Ak1|Cacnb1|Ckm|Myh1|Myh2|Myh4|Myh8|Mylpf|Nos1|Nrap|Ryr1|Tnni2|Tnnt3|Sgcg|Ldb3|Pdlim3|Pgam2|Ankrd2|Synpo2l|Ddit4l|Cmya5|Mybpc1|Alpk3|Myh7|Shisa2|Abra|Mybpc2|Stac3|Xirp2|Klhl31|Smtnl2,-15,0
0,0,0,1,1,1,0,0,0,-3.5,-7.2,-7.7,PGB:00269,M000111,3,0,PaGenBase,36,Cell-specific: retinal pigment epithelium,,-7.7,2,6.2,17423,346,1604,65,4.1,0.49,11500|11932|12035|12057|12788|12959|14805|17152|17690|17879|18241|18431|18784|19879|20473|20745|21907|22095|22173|26950|53896|54612|56808|57274|58807|59058|63859|64176|66042|66770|67749|68952|70405|72301|73040|74410|75124|76459|77490|77630|102680|108096|116837|140474|170571|209195|210027|214111|216739|217480|218038|231004|232156|232680|233040|239857|268859|269615|278507|319922|320343|327958|329731|606497|100038570,Adam7|Atp1b2|Bcat1|Opn1sw|Cnga1|Cryba4|Grik1|Mak|Msi1|Myh1|Gpr143|Oca2|Pla2g5|Slc22a8|Six3|Spock1|Nr2e1|Tshr|Tyr|Vsnl1|Slc7a10|Sfrp5|Cacna2d2|Slc16a8|Slco1c1|Bhlhe22|Impg1|Sv2b|Sostdc1|4933429O19Rik|Mgarp|Tlcd3b|Calml3|Shisal1|2900052N01Rik|Ttll11|Nxnl2|Car12|Zfp593os|Prdm8|Slc6a20a|Slco1a5|Rims1|Muc4|Cntnap4|Clic6|Slc35f3|Slc24a1|Acsl6|Dgkb|Amph|Samd11|Slc4a5|Cpa2|Fbxo27|Cadm2|Rbfox1|Plch2|Wfikkn2|Vwc2|Lypd6|Pitpnm3|Tafa3|Otx2os1|Prcd,-5.8,0
0,0,0,0,1,1,0,0,0,0,-7.2,-6.7,PGB:00256,M000011,2,0,PaGenBase,36,Cell-specific: min6,,-7.2,2.3,6.2,17423,247,1402,46,3.3,0.48,11551|12652|14169|14545|14652|17286|19085|19275|20394|20464|20562|20607|20980|23964|26938|53626|56843|58226|58869|64051|66793|69539|70059|70357|70638|72413|78303|83766|93688|209268|209837|209966|213262|215085|215821|239436|244579|269643|319504|319642|320500|328643|329178|381813|434128|627191,Adra2a|Chga|Fgf14|Gdap1|Glp1r|Meox2|Prkar1b|Ptprn|Scg5|Sim1|Slit1|Sstr3|Syt2|Tenm2|St6galnac5|Insm1|Trpm5|Cacna1h|Pex5l|Sv2a|Clxn|Trnp1|Degs2|Kcnip1|Entrep2|Kcnmb2|H2bc27|Actl6b|Klhl1|Igsf1|Slc38a5|Pgbd5|Fstl5|Slc35f1|Arfgef3|Slc30a8|Tox3|Ppp2r2c|Nrcam|Rab9b|Tmem215|Vwa5b2|Unc80|Prmt8|Pnma8b|Syndig1l,-5.3,0
0,0,0,1,0,0,0,0,0,-6.5,0,0,PGB:00226,M000100,1,0,PaGenBase,36,Tissue-specific: umbilical cord,,-6.5,7.3,7.8,17423,98,267,11,4.1,1.2,12873|17228|19011|21827|50530|51795|71872|74511|99151|121021|242939,Cpa3|Cma1|Endou|Thbs3|Mfap5|Srpx|Aox4|Lrrc17|Cercam|Cspg4|Cpz,-4.7,0
0,0,0,1,0,1,0,0,0,-6.5,0,-2.8,PGB:00211,M000101,2,0,PaGenBase,36,Tissue-specific: stomach,,-6.5,4.4,6.8,17423,251,267,17,6.4,1.5,12661|16939|18788|18947|20248|21818|57911|67133|68416|68468|69457|71869|71872|76943|214112|228765|232680,Chl1|Loricrin|Serpinb2|Pnliprp2|Serpinb3a|Tgm3|Gsdma|Gp2|Sycn|Ly6g6c|Tmem45a2|Serpinb12|Aox4|Psapl1|Nipal4|Sdcbp2|Cpa2,-4.7,0
0,1,0,1,0,1,0,-4.3,0,-6.3,0,-2.6,PGB:00023,M010101,3,0,PaGenBase,36,Tissue-specific: heart,,-6.3,6.2,7.3,17423,126,267,12,4.5,1.3,11464|12373|17898|17906|29818|59006|68828|69642|74249|76757|244202|668940,Actc1|Casq2|Myl7|Myl2|Hspb7|Myoz2|Sync|Mlip|Lrrc2|Trdn|Nlrp10|Myh7b,-4.5,0
0,1,0,1,0,1,0,-4.9,0,-6.2,0,-3.7,PGB:00018,M010101,3,0,PaGenBase,36,Tissue-specific: pancreas,,-6.2,9,8.1,17423,65,267,9,3.4,1.1,18947|19692|19752|22072|29866|66473|67133|68416|232680,Pnliprp2|Reg1|Rnase1|Prss2|Cabp2|Ctrb1|Gp2|Sycn|Cpa2,-4.5,0
