module	definition	gene_count	overlap_with_FLT14_genes	fraction_of_FLT14	overlap_with_GC8_genes	fraction_of_GC8	mean_latent_shift	median_latent_shift	p90_latent_shift	eligible_dgea_genes	significant_dgea_genes	significant_up_genes	significant_down_genes	mean_meta_log2fc_eligible	mean_meta_log2fc_significant	top_shift_genes	top_significant_genes
FLT14_all	All genes in FLT cluster 14	303	303	1.0	163	0.13895993179880647	3.258796338537209	3.034398756076601	4.688033533624059	303	4	2	2	-0.04376115364673425	0.0013239527756350178	Myh11,Snord17,Scarna6,Neb,Slc25a4,Snora23,Snora74a,Fhl1,Sult2a1,Snord22,Cyp3a44,Hao2,Sult2a2,Cyp3a16,Snord104,Eno1b,Cyp2a4,Cyp2b13,Cyp2b9,Ifi27l2a	Apoa4,Mup15,Mup17,Cdkn1a
FLT14_and_GC8	FLT 14 genes that also map to GC 8	163	163	0.5379537953795379	163	0.13895993179880647	3.4192445315599422	3.257203888650005	4.810635686897376	163	3	1	2	-0.06771594320696667	-0.5284340953104433	Scarna6,Slc25a4,Snora23,Snord22,Cyp3a44,Cyp3a16,Snord104,Cyp2a4,Cyp2b13,Cyp2b9,Ifi27l2a,Sult3a1,Sec61g,Fmo3,4930470H14Rik,Slc22a26,Cyp3a41a,Mup18,Serpina1e,Pcp4l1	Mup15,Mup17,Cdkn1a
FLT14_not_GC8	FLT 14 genes outside GC 8	140	140	0.46204620462046203	0	0.0	3.0719887995178836	2.7685535069600604	4.3889642040048376	140	1	1	0	-0.01587093437303507	1.59059809703387	Myh11,Snord17,Neb,Snora74a,Fhl1,Sult2a1,Hao2,Sult2a2,Eno1b,Rps2,Dio1,Cyp2a22,Rpl22l1,Slc22a27,Ndufb4,Gpat3,Ankrd55,Snord15b,Gbp11,Vldlr	Apoa4
GC8_all	All genes in GC cluster 8	1173	163	0.5379537953795379	1173	1.0	2.504838974336182	2.299571461740856	3.798395143907662	1173	4	2	2	-0.04161983450340871	-0.09206601243740498	Rnu12,Scarna6,Slc25a4,Snora23,Snora44,Snord22,Cyp3a44,Cyp3a16,Snord104,Dpt,Snora78,Snora7a,Gstp2,Cyp2a4,Cyp2b13,Snord118,Gvin1,Cyp2b9,Adgrf1,AI506816	Mup15,Cyp4a14,Mup17,Cdkn1a
GC8_not_FLT14	GC 8 genes outside FLT 14	1010	0	0.0	1010	0.8610400682011935	2.357266592328782	2.1991117611154865	3.3792398390594087	1010	1	1	0	-0.037408284286893904	1.21703823618171	Rnu12,Snora44,Dpt,Snora78,Snora7a,Gstp2,Snord118,Gvin1,Adgrf1,AI506816,Vaultrc5,Mcm6,Ctla2a,Trim30d,Trim12a,Snora68,Rrm2,Ciart,Top2a,Serpina3g	Cyp4a14
