gene_id	flt_cluster	gc_cluster	procrustes_latent_shift	gene_symbol	studies_tested	meta_log2_fold_change	meta_se	meta_z	meta_p_value	direction_up_studies	direction_down_studies	q_heterogeneity	i2_percent	heterogeneity_p_value	meta_fdr_bh	eligible_meta	significant_fdr05_abs_log2fc1	consistent_direction	gene_label	in_FLT14_all	in_FLT14_and_GC8	in_FLT14_not_GC8	in_GC8_all	in_GC8_not_FLT14
ENSMUSG00000030098	14	8	3.118016051352244	Grip2	6.0	0.152526407625726	0.108009350672956	1.41215928690808	0.157903065237072	5.0	1.0	5.07759727092708	1.52822815175556	0.406483763894722	0.411596267708243	True	False	mixed	Grip2	True	True	False	True	False
ENSMUSG00000060038	2	8	3.2257261983653565	Dhps	6.0	0.0129664446787864	0.0534393584077535	0.242638479673533	0.808285469340895	4.0	2.0	5.85383810004994	14.5859534455293	0.3207019482147	0.920720413744657	True	False	mixed	Dhps	False	False	False	True	True
ENSMUSG00000030278	9	8	2.902824463596641	Cidec	6.0	0.834594080184966	0.140211975277308	5.95237374364299	2.6428099856503502e-09	4.0	2.0	110.101317367204	95.4587282699586	3.90022018863983e-22	7.15981271945773e-07	True	False	mixed	Cidec	False	False	False	True	True
ENSMUSG00000037419	2	8	2.640529956359729	Endod1	6.0	-0.17179374788063	0.0604105402830985	-2.84377108821676	0.00445830655841	0.0	6.0	6.37474545110105	21.5654956209052	0.271442681494015	0.0441082003085551	True	False	all_down	Endod1	False	False	False	True	True
ENSMUSG00000029380	2	8	2.6093987223462944	Cxcl1	6.0	-0.433424847459656	0.118093118972218	-3.67019561539078	0.0002423649220888	2.0	4.0	61.945826124263	91.92843115859	4.8120439375120386e-12	0.0056190400784334	True	False	mixed	Cxcl1	False	False	False	True	True
ENSMUSG00000078597	9	8	4.083067448468679	Cyp4a12b	2.0	0.0985969137765125	0.130062549286879	0.758073052674351	0.448407250750199	1.0	1.0	15.3983918957582	93.5058153684511	8.70623536590252e-05	0.70654923238944	True	False	mixed	Cyp4a12b	False	False	False	True	True
ENSMUSG00000021661	2	8	1.3208247774141209	Ankra2	6.0	-0.0319565115440575	0.0383602523453808	-0.833063121074738	0.404809131168963	3.0	3.0	5.4724854566893	8.63383668040187	0.360972384460205	0.670873662565	True	False	mixed	Ankra2	False	False	False	True	True
ENSMUSG00000056035	11	8	2.0209194206317043	Cyp3a11	6.0	0.447356782735622	0.101270090148025	4.41746207672696	9.98665853611012e-06	5.0	1.0	9.63202038843565	48.0898108770298	0.0863590333011897	0.0005322397852605	True	False	mixed	Cyp3a11	False	False	False	True	True
ENSMUSG00000091537	14	5	2.3705986947788644	Tma7	6.0	-0.103560992681081	0.0733134279387218	-1.41257878117009	0.157779611639396	2.0	4.0	4.67312067906682	0.0	0.457059685784404	0.411488797111142	True	False	mixed	Tma7	True	False	True	False	False
ENSMUSG00000027550	6	8	2.1153734030295	Lrrcc1	6.0	0.158974117348289	0.0749624617747063	2.12071633701242	0.0339456808616132	4.0	2.0	10.4222992180285	52.0259407698544	0.0641165496770191	0.165499388001133	True	False	mixed	Lrrcc1	False	False	False	True	True
ENSMUSG00000075273	2	8	2.079958155013395	Ttc30b	6.0	-0.0423898344029935	0.0575755634227651	-0.73624697498371	0.461580409285546	2.0	4.0	4.44853047922921	0.0	0.486799277231434	0.713958469210823	True	False	mixed	Ttc30b	False	False	False	True	True
ENSMUSG00000046675	2	8	1.9318919165417037	Tmem251	6.0	-0.104009093351642	0.0550579497248323	-1.88908402640231	0.058880570470954	1.0	5.0	5.66009746685604	11.6622985862237	0.340709720999486	0.232025132849784	True	False	mixed	Tmem251	False	False	False	True	True
ENSMUSG00000051098	2	8	1.5459592122676993	Mblac2	6.0	0.208373195057956	0.0740901934400838	2.81242611718197	0.0049169317822436	5.0	1.0	11.107712000648	54.9862293899202	0.0492857043765039	0.0468961147436327	True	False	mixed	Mblac2	False	False	False	True	True
ENSMUSG00000073830	14	8	3.54094856581383	Mup14	6.0	-0.546966824273232	0.143037755807953	-3.82393320689124	0.0001313395091717	0.0	6.0	12.7111013915694	60.664305586326	0.0262418323814415	0.0035056218745278	True	False	all_down	Mup14	True	True	False	True	False
ENSMUSG00000097162	2	8	3.056298533998524	2310010J17Rik	6.0	-0.0469128443285189	0.0656533799168342	-0.714553376961632	0.474885062557474	4.0	2.0	7.6840715666563	34.9303301429852	0.174528097983804	0.724604256538255	True	False	mixed	2310010J17Rik	False	False	False	True	True
ENSMUSG00000002109	2	8	2.041544855415571	Ddb2	6.0	-0.0018223915779259	0.0551103193599628	-0.0330680641863586	0.973620309902416	3.0	3.0	17.937891189056	72.1260434278332	0.0030252598616636	0.99191311590285	True	False	mixed	Ddb2	False	False	False	True	True
ENSMUSG00000041840	2	8	1.412239047570901	Haus1	6.0	-0.0260101183915729	0.0505498705303471	-0.514543719275363	0.606871902234877	3.0	3.0	2.35251056686785	0.0	0.798524589849595	0.81553428991633	True	False	mixed	Haus1	False	False	False	True	True
ENSMUSG00000087579	14	8	3.409509047718049	Hectd2os	6.0	-0.654123222754672	0.0937485189978931	-6.97742460090887	3.0064006825038e-12	2.0	4.0	130.803031361027	96.1774586200532	1.6074970164214698e-26	2.2213201406408703e-09	True	False	mixed	Hectd2os	True	True	False	True	False
ENSMUSG00000027845	2	8	2.8002192355267956	Dclre1b	6.0	0.0417347172223765	0.051142107428652	0.816053919573031	0.414469297574119	5.0	1.0	4.03325473825088	0.0	0.544638089718852	0.67881092514532	True	False	mixed	Dclre1b	False	False	False	True	True
ENSMUSG00000000739	9	8	3.886487608034475	Sult5a1	6.0	-0.222488449443768	0.0900499284973138	-2.4707232216226	0.0134840135526275	2.0	4.0	25.8033057149865	80.6226378308729	9.74250530923865e-05	0.0916048066060427	True	False	mixed	Sult5a1	False	False	False	True	True
ENSMUSG00000069184	2	8	1.7480056635784438	Zfp72	6.0	0.0528622720377323	0.060999683896037	0.866599114313879	0.386161698983832	3.0	3.0	4.05221852475802	0.0	0.541922541939034	0.655362123301544	True	False	mixed	Zfp72	False	False	False	True	True
ENSMUSG00000015342	2	8	2.532029229672585	Xk	6.0	-0.0043856581142258	0.0686379262150017	-0.0638955509886505	0.949053394838674	2.0	4.0	21.0400039468518	76.2357459027561	0.0007960827274443	0.981998095040473	True	False	mixed	Xk	False	False	False	True	True
ENSMUSG00000027965	2	8	1.8817719515485092	Olfm3	6.0	0.186508995144428	0.0821612185015713	2.27003686831715	0.0232053461921426	3.0	3.0	24.0150064783859	79.1796849836367	0.0002156760460119	0.130753756342136	True	False	mixed	Olfm3	False	False	False	True	True
ENSMUSG00000090862	14	8	2.757680332178115	Rps13	6.0	-0.0224926779455767	0.0923671816576388	-0.243513740940439	0.807607441702193	3.0	3.0	4.83448271172708	0.0	0.436412465615025	0.920454937229738	True	False	mixed	Rps13	True	True	False	True	False
ENSMUSG00000041135	2	8	1.6405433295618188	Ripk2	6.0	-0.222002780291752	0.0675455718181956	-3.28671109468569	0.0010136476899805	2.0	4.0	10.8991960160032	54.125056631163	0.0534156690770487	0.015401933473935	True	False	mixed	Ripk2	False	False	False	True	True
ENSMUSG00000002910	2	8	4.102845337971391	Arrdc2	6.0	0.0666734725892665	0.0897121785981966	0.743193105229157	0.457364777063995	5.0	1.0	3.37866225370665	0.0	0.641821719959568	0.711537622258328	True	False	mixed	Arrdc2	False	False	False	True	True
ENSMUSG00000078453	2	8	2.800868832473994	Abracl	6.0	0.0287768681691237	0.0708219957575719	0.40632670487893	0.684502566177787	4.0	2.0	11.8270392103625	57.7239923613413	0.0372361599043304	0.859419001585373	True	False	mixed	Abracl	False	False	False	True	True
ENSMUSG00000023092	14	4	6.256550583072972	Fhl1	6.0	0.0279345343571846	0.0539182419155997	0.518090600967881	0.604395057715043	2.0	4.0	11.4889516706526	56.479928340442	0.0425025687509843	0.814014813767317	True	False	mixed	Fhl1	True	False	True	False	False
ENSMUSG00000045438	8	8	2.115263665075086	Cox19	6.0	0.0822564458149666	0.0717506211758229	1.14642137541081	0.251620842407575	3.0	3.0	2.87993263616644	0.0	0.718490299295303	0.528847995431753	True	False	mixed	Cox19	False	False	False	True	True
ENSMUSG00000031616	2	8	1.567956135274517	Ednra	6.0	-0.0825218291582188	0.0483781862235497	-1.70576525496213	0.0880517945732613	2.0	4.0	8.07190695680787	38.0567686575848	0.152316966278764	0.296700232335896	True	False	mixed	Ednra	False	False	False	True	True
ENSMUSG00000086628	2	8	2.160645875982282	Gm16157	6.0	0.137871289940982	0.0875001957992258	1.57566835915814	0.115102253030597	4.0	2.0	20.9575356305282	76.1422330938727	0.00082516069046	0.345215351208588	True	False	mixed	Gm16157	False	False	False	True	True
ENSMUSG00000027962	2	8	2.25046776990579	Vcam1	6.0	-0.15267598220134	0.0793249607102817	-1.92469029715575	0.0542681150929744	2.0	4.0	16.9759228805416	70.5465202971016	0.0045456869724901	0.220683788002903	True	False	mixed	Vcam1	False	False	False	True	True
ENSMUSG00000015968	6	8	2.7096537123138025	Cacna1d	6.0	0.0153612495578056	0.0519159162410514	0.295887093400829	0.767316307958397	4.0	2.0	3.0522512816754	0.0	0.691930321697054	0.903531324290406	True	False	mixed	Cacna1d	False	False	False	True	True
ENSMUSG00000026134	2	8	2.426754339542623	Prim2	6.0	0.071984516571512	0.0444026965501433	1.62117443678721	0.10498023351825	4.0	2.0	7.6591056206522	34.7182262832637	0.176050752084501	0.327911932328814	True	False	mixed	Prim2	False	False	False	True	True
ENSMUSG00000038047	2	8	1.9473885827201272	Haus6	6.0	0.0414482039129913	0.0471100521289021	0.879816558036937	0.378958693211769	3.0	3.0	3.605823901394	0.0	0.607439071873023	0.649172355153511	True	False	mixed	Haus6	False	False	False	True	True
ENSMUSG00000038155	9	8	5.428007553251978	Gstp2	6.0	0.0769388589542348	0.148762229344393	0.517193505994837	0.605021084845801	4.0	2.0	10.0105302837593	50.0525960336806	0.0749374244839471	0.814326217948869	True	False	mixed	Gstp2	False	False	False	True	True
ENSMUSG00000025270	14	8	2.0670773223577124	Alas2	6.0	-0.224461769194109	0.0658690556476785	-3.40769678549383	0.0006551365016497	2.0	4.0	31.2886702050799	84.0197746748974	8.21470234791002e-06	0.0113275696184203	True	False	mixed	Alas2	True	True	False	True	False
ENSMUSG00000087480	9	8	2.734452297549693	Gm15910	6.0	-0.13302064311817	0.059921260850319	-2.21992396739532	0.0264239292593775	3.0	3.0	8.81605637997405	43.2852991802814	0.116629837126619	0.14212761139498	True	False	mixed	Gm15910	False	False	False	True	True
ENSMUSG00000024427	14	3	2.9690340803158697	Spry4	6.0	-0.40505416516383	0.083500434127934	-4.85092286518214	1.22888334401144e-06	0.0	6.0	30.4560498184653	83.5829005081003	1.19928267831913e-05	0.0001029664884376	True	False	all_down	Spry4	True	False	True	False	False
ENSMUSG00000037788	2	8	1.9983737537867203	Vopp1	6.0	-0.062271621163675	0.0501353127943493	-1.2420710611522	0.21421034464839	2.0	4.0	6.82678384889145	26.7590697072984	0.233844639724985	0.487536985754632	True	False	mixed	Vopp1	False	False	False	True	True
ENSMUSG00000078672	14	8	3.709604619203716	Mup20	6.0	0.0363510447678212	0.115797707369893	0.313918518712162	0.753582924941881	4.0	2.0	33.596779129814	85.117621005631	2.86412496509482e-06	0.895823493120541	True	False	mixed	Mup20	True	True	False	True	False
