gene	gene_cluster	pc1	pc2	pc3	pc4	pc5	pc6	pc7	pc8	pc9	pc10
ENSMUSG00000029422	9	-5.686755	-2.4508896	-0.48429552	-0.60655177	2.8032694	-2.0509226	0.3731048	0.19066028	0.2840689	-0.038218096
ENSMUSG00000076126	1	3.859184	0.48048413	0.26730326	0.5287827	-0.26782632	-0.009473034	-0.24086523	-0.039930888	-0.052452546	-0.03558894
ENSMUSG00000049036	1	3.8566482	0.47915664	0.26596427	0.52629894	-0.26556796	-0.0088049965	-0.23964263	-0.03996792	-0.051764876	-0.035393365
ENSMUSG00000029577	8	-8.4108515	1.5242797	-7.087048	-1.7338485	1.0395201	0.6975432	0.19828355	0.33185416	0.026312789	-0.101045154
ENSMUSG00000040746	14	-1.3389904	-1.94097	-3.5326219	-1.2348604	-0.79630744	1.4884353	1.045618	-0.07349839	0.18022881	-0.07444352
ENSMUSG00000020590	4	-13.386798	-4.5627093	4.0675945	-0.9004682	2.1577966	-0.32153514	-0.09296307	0.21595418	-0.28147888	-0.22265108
ENSMUSG00000030263	1	3.3102376	0.19326833	0.25475454	0.14199845	-0.09253423	0.021839138	-0.08677156	0.009144225	-0.0029573971	0.017926646
ENSMUSG00000038914	10	-12.191117	-0.46593973	-3.349552	-0.24686615	3.5436947	-1.1501386	-0.25007287	0.096705996	-0.07752616	-0.18501961
ENSMUSG00000026878	11	-16.888	-3.1413586	-0.06505599	1.0692041	1.9104165	0.17017037	-0.6227644	-0.19692524	-0.17375548	-0.3092171
ENSMUSG00000093241	1	3.8533986	0.4758674	0.26820102	0.52595276	-0.26443508	-0.009556716	-0.23955236	-0.039209526	-0.05207798	-0.0349813
ENSMUSG00000030098	13	-9.674376	7.0638576	8.236798	-9.448757	5.6011333	6.1251483	-1.3829466	1.360192	0.2536374	-0.7722164
ENSMUSG00000078908	0	1.6298707	-1.3545277	-0.35234016	-0.042733893	-0.12805459	0.14946534	0.29598323	-0.015351033	0.11350431	0.056617808
ENSMUSG00000025056	1	3.8586571	0.47941732	0.2649098	0.5293601	-0.26871306	-0.009136391	-0.24055226	-0.040369105	-0.052000564	-0.035777424
ENSMUSG00000090129	1	3.7330642	0.3926822	0.28376186	0.48135775	-0.17759855	-0.035061218	-0.22218005	-0.022295877	-0.038245764	-0.025462298
ENSMUSG00000026407	7	6.2159753	10.546248	0.53159195	-6.7682385	5.446028	2.7601	2.3725865	-1.2429883	0.38642272	0.015610506
ENSMUSG00000034239	1	3.7822025	0.4210888	0.29167998	0.51171696	-0.22132689	-0.03300303	-0.23315768	-0.028297884	-0.046889182	-0.02933122
ENSMUSG00000020818	0	1.9595145	-0.715877	-0.2990053	-0.23713179	0.5260367	0.0061263377	0.21499306	0.026317367	0.20257653	0.037806407
ENSMUSG00000060038	1	2.6137028	-0.4792218	0.051680796	0.15406187	-0.6640923	0.011687973	0.07681719	-0.04544481	0.023708982	0.03813513
ENSMUSG00000020029	4	-18.456257	-2.3318303	3.3844304	-0.28827104	-0.3852605	0.7094885	-0.7016328	-0.24665904	0.049228154	-0.37660864
ENSMUSG00000085958	1	3.6309679	0.25826305	0.26234517	0.46580735	-0.14625163	-0.009639077	-0.19803219	-0.01532241	-0.036703534	-0.016985407
ENSMUSG00000024292	2	-15.717719	2.557019	-4.4530153	-1.2221159	0.9676602	1.7353501	-1.0422026	0.26751584	-0.095245	-0.049569987
ENSMUSG00000111356	1	3.8224523	0.46958232	0.2586773	0.5052154	-0.22695087	-0.01979869	-0.23495188	-0.034870267	-0.042144474	-0.033610802
ENSMUSG00000016831	9	-7.253323	-2.9960313	-1.7392545	-0.82265836	-1.3016607	-1.2290759	0.4980812	0.20832124	-0.052789517	-0.037168156
ENSMUSG00000024791	1	3.8007364	0.43220365	0.26579928	0.50401324	-0.2501284	-0.008360005	-0.22691362	-0.035191152	-0.047999423	-0.030400544
ENSMUSG00000028398	14	-0.7148764	-0.5829717	1.9963348	-1.5613065	-1.9766794	-1.123449	0.4462156	0.23390076	-0.14419827	0.3698347
ENSMUSG00000113338	1	3.8434217	0.46738836	0.2719858	0.5258248	-0.25915155	-0.013892273	-0.23923424	-0.037646495	-0.051445566	-0.034311652
ENSMUSG00000022586	1	3.810893	0.4505257	0.27587557	0.5081737	-0.23986927	-0.020176044	-0.23302834	-0.033615697	-0.047217987	-0.031515956
