gene_cluster	n_entities	pc1_mean	pc2_mean
0	3374	1.7042916	-0.70752776
1	12218	3.6423004	0.36017027
2	502	-13.253499	3.3168733
3	167	-17.514393	4.9328456
4	485	-15.175241	-4.219243
5	122	-22.749416	-4.2668242
6	96	-22.553986	9.725729
7	80	4.2734675	17.07187
8	696	-5.7598386	0.068608314
9	626	-6.446852	-3.9537606
10	632	-11.734178	-2.0350957
11	424	-17.463676	0.15787841
12	42	-18.56507	23.986418
13	252	-13.414588	5.6011415
14	1294	-1.3057454	-2.3238995
