location	variable	clusters_tested	median_eta_squared	max_eta_squared	strong_driver_clusters
FLT	h5_accession	16	0.8179324888170041	0.9981291893038707	16
FLT	mission	16	0.8179324888170041	0.9981291893038707	16
FLT	strain	16	0.8133176021837443	0.9981291893038707	16
FLT	sex	16	0.560228988487533	0.9976567727236778	8
FLT	sequencing_instrument	16	0.03091760742332091	0.38786703581715737	1
FLT	library_selection	16	0.0354808002188126	0.09855834292479994	0
FLT	library_layout	16			0
GC	h5_accession	15	0.7846828360724234	0.998766551188354	15
GC	mission	15	0.7846828360724234	0.998766551188354	15
GC	strain	15	0.7846472308568385	0.998766551188354	15
GC	sex	15	0.48046099733301356	0.9982993792252786	8
GC	library_selection	15	0.057441433863495844	0.14547864210083483	0
GC	sequencing_instrument	15	0.027776051106069132	0.10644193778190508	0
GC	library_layout	15			0
