sample	strain	sex	condition	location	project_identifier	h5_accession	z_0	z_1	z_2	z_3	z_4	z_5	z_6	z_7	z_8	z_9	z_10	z_11	z_12	z_13	z_14	z_15	z_16	z_17	z_18	z_19	z_20	z_21	z_22	z_23	z_24	z_25	z_26	z_27	z_28	z_29	z_30	z_31	z_32	z_33	z_34	z_35	z_36	z_37	z_38	z_39	z_40	z_41	z_42	z_43	z_44	z_45	z_46	z_47	z_48	z_49	z_50	z_51	z_52	z_53	z_54	z_55	z_56	z_57	z_58	z_59	z_60	z_61	z_62	z_63
OSD-379_RR8_LVR_GC_LAR_OLD_GL8	BALB/cAnNTac	Female	GC	GC	RRRM-1 (RR-8)	OSD-379	-0.3167	1.1722	0.4082	-1.4292	-0.848	-0.3166	-3.8099	1.3338	-3.718	-2.7253	-2.8024	-1.906	1.3322	0.1107	-3.6419	-2.3969	0.7565	-1.8249	-2.4573	-0.1678	1.3073	-4.9581	-3.0533	-0.1683	0.3224	1.1978	0.5899	0.9189	-2.9623	-2.9645	0.1312	-0.046	-4.1318	-1.3029	2.3784	-0.5339	-2.2143	-1.078	-3.2687	-1.2413	-2.7496	-1.5888	-1.151	3.2858	2.4918	-1.0353	1.6518	2.7843	-3.189	-1.2252	0.6725	-3.611	1.1065	-2.8295	-0.515	-0.633	-2.0176	-0.2281	2.8312	0.9562	1.0333	2.8733	-2.0316	1.7871
OSD-379_RR8_LVR_GC_LAR_YNG_GL1	BALB/cAnNTac	Female	GC	GC	RRRM-1 (RR-8)	OSD-379	0.1428	-0.7114	-3.4725	-1.1883	-1.2509	1.763	-1.3209	0.064	-1.8642	-0.6472	2.552	-3.008	5.6894	-4.348	-3.1517	-2.4198	4.4434	0.6283	0.547	-3.1146	-4.3136	-0.1983	-1.1466	-0.5365	-0.7402	5.118	-2.9498	2.7816	-6.937	-1.8546	1.4096	0.9929	-3.4097	0.8302	0.9236	-5.1972	-2.8455	1.7003	-4.986	1.3697	2.199	-3.0548	-0.5192	3.2313	3.4805	-5.8146	2.337	4.8781	-1.5791	-2.3618	1.3458	-3.7388	1.5162	-1.7459	-0.1621	1.2314	-3.6217	6.5057	-3.8378	-2.5401	3.079	3.6868	-0.4079	4.613
OSD-379_RR8_LVR_GC_LAR_YNG_GL13	BALB/cAnNTac	Female	GC	GC	RRRM-1 (RR-8)	OSD-379	-1.4135	2.3818	0.4454	-3.5695	2.5417	-0.05	-4.2238	1.786	-5.2519	-0.2216	-1.5226	-2.8681	1.3718	-4.5878	-4.5008	-4.3374	-0.3527	-1.0918	-1.0085	-3.0489	-1.673	-2.6422	-1.2012	-2.6204	-0.442	2.5975	-1.083	1.2126	-4.6179	1.3879	0.7665	2.2285	-5.5974	-0.0328	0.2289	-5.5142	-2.3877	-1.0601	-3.5626	-0.4168	0.7201	-4.7751	0.5739	4.1317	2.5085	-0.8119	1.9039	4.0236	-3.5102	-2.2897	3.137	-4.6851	1.6983	-3.0304	1.9552	0.474	-2.8619	5.1153	5.8192	0.0984	4.1424	4.785	-2.4098	1.9766
OSD-379_RR8_LVR_GC_LAR_YNG_GL14	BALB/cAnNTac	Female	GC	GC	RRRM-1 (RR-8)	OSD-379	-1.252	0.7688	1.7153	-5.8011	2.5216	-0.0865	-4.2831	3.7372	-4.111	-1.4066	-1.9618	-1.8568	5.4848	-3.165	-6.4993	-4.83	-0.4506	-1.2068	-2.045	-3.2894	-1.2899	-2.8907	-1.9468	-2.4189	-0.0162	1.6544	-0.2376	2.0499	-4.8992	1.2658	0.4447	1.3748	-5.489	0.8427	1.4074	-7.6843	-3.4221	-1.3569	-2.7095	0.3406	0.3397	-4.5758	-0.9523	5.5777	-0.0554	-0.5588	4.2771	2.9482	-3.5908	-1.8154	4.6979	-4.7275	1.9878	-3.035	1.7692	0.486	-2.0215	3.544	6.2427	-0.5685	4.6552	3.7389	-2.4028	2.2514
OSD-379_RR8_LVR_GC_LAR_YNG_GL17	BALB/cAnNTac	Female	GC	GC	RRRM-1 (RR-8)	OSD-379	-1.872	2.4698	0.6665	-4.1776	2.9636	-1.3389	-3.9612	0.7135	-5.7566	-2.7708	-1.2989	-1.34	3.8747	-3.2135	-5.8743	-4.6561	-0.7819	1.6587	-0.8388	-1.6533	-0.8225	-2.1848	-0.5647	-0.9578	-0.3856	3.3601	-1.3663	-0.1951	-3.2976	1.8152	0.9799	-0.2111	-4.1248	0.1129	1.7261	-6.1555	-1.8305	-1.2452	-1.6687	1.7122	-0.9273	-3.529	0.2997	3.6194	1.6394	1.3112	4.5629	1.5531	-4.8501	-2.5997	3.4627	-4.0327	3.6373	-2.2625	3.5523	0.7302	-1.6314	4.2846	6.019	0.8823	2.8891	0.85	-3.1476	1.7116
OSD-379_RR8_LVR_GC_LAR_YNG_GL2	BALB/cAnNTac	Female	GC	GC	RRRM-1 (RR-8)	OSD-379	0.3581	-0.1493	-1.4493	-1.4706	0.8304	0.3511	-2.0317	1.0911	-3.1305	-2.0148	1.5931	-0.3626	5.1979	-3.8655	-2.1807	-5.1728	3.3196	1.6261	0.1135	-2.6471	-0.3282	1.0665	0.5167	1.41	2.0583	5.1708	-0.3514	-0.2026	-5.3617	0.4877	1.0904	-0.0892	-3.6254	0.4573	1.6489	-3.6925	-1.9578	0.9297	-3.0166	2.6356	2.4539	-3.1033	-0.2282	3.1849	2.0819	-2.2086	2.8455	4.1564	0.0751	-2.9059	2.8223	-3.6951	3.9545	-1.8323	3.778	2.1986	-1.5615	5.4259	2.4076	-0.7846	3.295	4.031	-3.2427	3.7786
OSD-379_RR8_LVR_GC_LAR_YNG_GL6	BALB/cAnNTac	Female	GC	GC	RRRM-1 (RR-8)	OSD-379	0.0606	1.7468	-0.6966	-3.2106	1.6056	-0.1259	-2.2174	0.9294	-2.8693	-0.3339	1.3954	-0.9926	1.826	-3.597	-3.3423	-4.1634	0.9967	2.1471	-0.8245	-2.578	-2.1145	-0.2037	0.873	-1.3527	2.3164	4.7913	0.1243	-0.5059	-5.309	0.061	1.2949	1.3665	-5.5157	0.7182	-0.0112	-4.4596	-1.9447	1.2605	-1.7779	2.4129	1.9126	-1.2405	0.8315	4.226	2.3307	-1.1846	0.7666	4.4667	-2.3864	-1.984	3.3265	-3.9174	2.9133	-2.4441	2.6411	1.0763	-2.2363	5.8051	0.4567	-2.4406	3.0229	2.9416	-1.9625	3.6021
OSD-245_Mmus_C57-6T_LVR_GC_ISS-T_Rep10_G6	C57BL/6NTac	Female	GC	GC	RR-6	OSD-245	-0.0266	-2.2033	1.1068	8.1426	-7.3996	-1.0234	6.845	0.4389	6.803	1.2396	-2.5793	4.3016	-8.4377	7.271	5.1086	5.5832	-1.0178	-2.6985	1.668	7.5508	6.8707	-1.3547	0.0049	2.3723	1.7904	-3.2694	5.7116	-3.639	7.152	-5.2743	-3.141	-3.0265	8.7848	0.4046	2.4787	9.7786	3.5907	2.4211	3.6852	-3.4735	-0.7948	6.8414	-3.2069	-4.5241	-0.3819	1.8163	-3.7361	-4.5789	2.4543	4.3595	-5.8417	5.173	-6.3837	0.7736	-1.8359	-4.4184	2.0846	-8.6812	-3.6432	3.5821	-7.0598	-6.449	0.9333	-1.4686
OSD-245_Mmus_C57-6T_LVR_GC_ISS-T_Rep1_G4	C57BL/6NTac	Female	GC	GC	RR-6	OSD-245	1.2781	-2.4067	-4.5793	0.7946	0.187	0.9427	0.8675	-0.8131	1.4404	-0.6833	3.7015	-0.0597	2.6271	-3.0866	3.2244	-0.7896	2.4375	4.9596	2.6926	-2.4095	-3.4286	3.9561	3.0944	0.7766	-0.1271	5.9917	-1.7761	0.442	-3.9398	0.0169	1.3063	0.161	-0.6147	0.7157	-1.4902	-2.289	-1.0185	0.6207	-3.4735	4.3136	4.55	-0.3635	0.0126	1.1509	0.8282	-3.0173	-2.9066	0.7768	5.2508	-1.7842	0.4364	-1.4569	3.0477	0.3691	1.9804	1.8799	-1.4614	3.8769	-6.7548	-4.7803	3.7884	1.8315	0.517	3.8437
OSD-245_Mmus_C57-6T_LVR_GC_ISS-T_Rep2_G9	C57BL/6NTac	Female	GC	GC	RR-6	OSD-245	-0.3182	-1.5496	-3.851	0.2259	-0.4252	-0.9312	1.87	-1.1008	3.8419	1.0264	3.696	1.409	1.5154	-2.1798	3.1402	1.0956	2.7324	4.2765	2.0639	0.0679	0.0181	3.8831	2.7172	-0.0223	2.2778	4.1343	-1.9417	-1.3374	-1.9898	-0.0492	0.7388	-0.5161	2.2944	-0.1417	-1.2271	-0.0319	1.047	3.9303	-1.4301	3.7771	4.5008	1.1344	-0.0531	-0.9397	1.4012	-1.407	-3.2006	1.5806	4.2407	-2.0564	-0.2073	0.1976	3.4152	0.2547	2.2786	0.7626	-0.2426	1.7145	-6.8329	-3.3008	2.8112	1.7356	0.5506	2.6444
