sample	strain	sex	condition	location	project_identifier	h5_accession	z_0	z_1	z_2	z_3	z_4	z_5	z_6	z_7	z_8	z_9	z_10	z_11	z_12	z_13	z_14	z_15	z_16	z_17	z_18	z_19	z_20	z_21	z_22	z_23	z_24	z_25	z_26	z_27	z_28	z_29	z_30	z_31	z_32	z_33	z_34	z_35	z_36	z_37	z_38	z_39	z_40	z_41	z_42	z_43	z_44	z_45	z_46	z_47	z_48	z_49	z_50	z_51	z_52	z_53	z_54	z_55	z_56	z_57	z_58	z_59	z_60	z_61	z_62	z_63
OSD-245_Mmus_C57-6T_LVR_GC_LAR_Rep4_G5	C57BL/6NTac	Female	GC	GC	RR-6	OSD-245	0.7798	-1.3026	-4.2602	0.0292	1.8249	-0.5064	1.3555	-0.0164	0.1472	0.2962	3.7392	2.1187	0.6243	-3.4455	0.9023	-2.5945	0.5207	5.6987	2.5468	-1.2521	-0.0915	3.0585	4.1918	2.1581	0.4124	4.8617	-0.6986	-0.9972	-3.2035	0.7108	0.5043	-0.3956	-0.5044	-0.0964	-1.1465	-2.5895	0.467	2.109	0.2435	4.2729	2.4131	-0.6092	1.3551	0.2975	2.2262	-1.1644	-2.2458	1.9649	2.0567	-1.9087	0.0569	-0.8526	6.3291	-1.4013	2.2371	1.4928	-0.3718	4.0786	-3.638	-3.7655	0.783	1.9317	0.7963	3.523
OSD-245_Mmus_C57-6T_LVR_GC_LAR_Rep5_G7	C57BL/6NTac	Female	GC	GC	RR-6	OSD-245	0.9476	-2.4394	-4.8522	1.329	1.0473	0.1539	1.223	-0.4302	1.2828	0.3241	4.323	0.0191	2.1474	-3.2779	-1.4091	-1.7899	1.9158	5.4676	2.4251	-1.6143	-1.4735	4.4293	2.2177	0.6792	0.711	5.2484	-2.1362	-0.4098	-5.6014	0.4439	0.3177	0.6344	-2.2646	1.0166	0.0232	-3.289	1.7157	3.7092	-2.2195	5.5055	3.5582	-0.6492	0.0555	1.0791	0.4612	-1.4379	-0.4158	1.45	4.0855	-2.4904	-0.3193	-0.6076	3.8484	-1.6979	2.0563	2.8498	-0.5916	4.114	-5.8607	-3.8878	2.3327	2.1489	-0.517	3.4219
OSD-245_Mmus_C57-6T_LVR_GC_LAR_Rep6_G8	C57BL/6NTac	Female	GC	GC	RR-6	OSD-245	0.6037	-2.5166	-5.0039	-0.6862	1.8652	-0.1621	1.2793	-0.7497	0.5337	2.562	4.8803	0.5832	2.5225	-2.7498	2.4624	-1.849	2.5608	5.1466	1.2305	-1.3648	-3.0775	4.5358	2.948	0.6889	1.1446	3.9168	0.1667	0.2622	-3.5183	0.4373	0.5664	0.6385	0.9851	0.7226	-0.7243	-1.1566	-0.0687	1.2228	-2.2576	3.4598	5.1993	-0.2102	1.1804	0.1615	1.3191	-1.3648	-3.0136	1.4106	2.1533	-2.209	-0.6347	-0.9749	2.6396	2.8229	0.3377	2.2252	0.3131	4.5118	-6.7127	-3.6815	1.6439	2.1268	1.224	2.2626
OSD-245_Mmus_C57-6T_LVR_GC_LAR_Rep7_G9	C57BL/6NTac	Female	GC	GC	RR-6	OSD-245	1.0401	-2.3223	-5.1511	-0.6504	-0.9402	-0.1398	2.1047	-0.9423	0.0042	1.5275	4.78	1.7161	2.3161	-3.0674	1.7283	-1.088	2.8714	6.7175	3.4029	-2.227	-2.6849	4.3699	2.2824	0.9926	-1.0537	5.4661	-1.6162	0.4034	-5.3644	0.4184	0.6614	0.6082	-3.7087	1.7819	-2.3199	-2.7011	-0.2582	1.3074	-0.9003	5.8915	4.9959	0.3556	-0.8182	-0.5948	1.6787	-4.1938	-2.7633	1.5599	5.3202	-0.6809	0.2294	0.1699	4.9725	-0.8827	0.9561	3.4029	0.0095	4.0633	-6.4966	-5.1335	2.9551	2.468	1.2168	4.2588
OSD-245_Mmus_C57-6T_LVR_GC_LAR_Rep8_G2	C57BL/6NTac	Female	GC	GC	RR-6	OSD-245	-0.5908	-2.6502	-0.0049	8.2073	-7.7311	-1.752	6.5872	-1.4245	6.3948	-0.6603	0.2679	4.3541	-7.8133	3.6804	5.8406	3.6945	0.7845	-0.3139	0.787	5.2391	1.7814	-0.3153	1.6588	3.8886	1.0536	-2.0962	3.9486	-3.8605	4.6548	-3.5152	-2.1676	-2.1546	8.963	-0.091	0.1805	10.7895	3.8094	2.9776	2.5176	-2.8572	-1.5738	7.2271	-3.6412	-6.1545	0.4756	-0.0638	-3.3861	-3.569	3.8692	2.889	-7.5036	6.2039	-6.0891	0.9485	-4.9691	-1.2478	0.5027	-6.5698	-7.3417	-0.1679	-6.2762	-3.5375	6.04	-1.9507
OSD-245_Mmus_C57-6T_LVR_GC_LAR_Rep9_G3	C57BL/6NTac	Female	GC	GC	RR-6	OSD-245	0.5369	-1.6345	0.9784	8.8674	-8.0228	-3.2406	6.8679	-1.358	6.9238	-0.329	0.6866	4.4841	-8.5331	10.3189	4.7322	10.2263	1.0559	-1.627	1.8535	4.2711	5.1775	1.0837	-0.1213	4.8012	2.7692	-6.9914	2.3347	-3.4774	7.0407	-6.2173	-2.094	-3.1412	3.6256	-4.9113	1.2832	10.9746	3.4355	4.2007	2.8892	-1.6789	-0.9866	5.9503	-2.1782	-7.0653	-0.326	1.8474	-3.5675	-2.9217	3.3276	2.8067	-7.4372	8.5549	-3.9669	2.3906	-4.4859	-2.4628	1.6263	-7.7966	-7.5445	4.4463	-6.7026	-4.563	3.6065	-2.1929
OSD-463_RR23_LVR_GC_G1_techrep1	C57BL/6J	Male	GC	GC	RR-23	OSD-463	4.5321	-5.5817	-4.4188	-0.3603	3.1744	4.7177	6.3681	-4.9408	5.0792	7.5489	5.196	-0.4813	0.2861	3.641	8.6215	8.6467	-5.9613	4.8908	4.4969	-0.2396	-2.736	7.5092	4.0756	-2.5399	-2.5184	-4.9681	1.0221	1.0545	8.3979	4.2798	1.8465	4.4137	6.5175	1.4089	-6.0625	4.3118	4.5204	-3.3315	7.7638	1.6001	2.8536	3.3623	4.666	-6.7856	-3.761	1.8968	-7.4974	-5.7047	6.3695	5.4859	1.59	8.4995	-2.3501	6.9283	-0.7217	1.4262	7.629	-0.5807	-5.5767	-1.6206	-0.9628	-5.1203	1.6236	-3.1564
OSD-463_RR23_LVR_GC_G1_techrep2	C57BL/6J	Male	GC	GC	RR-23	OSD-463	4.9858	-4.9907	-4.5769	-2.1676	3.7869	1.2844	2.8219	-3.0581	8.9209	7.6043	5.7085	1.6053	1.5508	2.7004	9.8078	6.8562	-6.7092	4.7273	5.7293	0.3454	-4.6716	7.7216	5.619	-2.3245	-2.7734	-6.1974	4.5168	2.7938	6.4997	5.6895	1.2608	5.35	3.8263	1.7205	-6.8411	3.4085	4.3659	-1.7508	5.1474	1.6658	5.5616	3.4286	4.6179	-7.2733	-5.3687	1.5693	-7.2178	-7.2151	7.3911	3.8822	1.9268	7.6357	-3.2261	7.3103	-2.4399	2.7157	5.8737	-0.6283	-6.0205	-2.4335	-2.5279	-4.8723	5.2814	-3.5771
OSD-463_RR23_LVR_GC_G2	C57BL/6J	Male	GC	GC	RR-23	OSD-463	4.0521	-4.2546	-4.7945	-0.3011	5.8787	2.4953	3.7316	-2.8532	3.9834	7.9506	7.5075	1.2224	0.7552	1.2625	9.1212	7.2421	-6.5559	6.135	3.589	0.0373	-2.7276	6.4008	6.4919	-0.3827	-2.6498	-6.0711	4.8188	4.8841	5.9946	5.3494	1.9403	4.6411	4.6695	0.2959	-5.2331	2.4203	2.8272	-1.0815	5.9472	3.0762	3.4684	0.149	8.5028	-6.9168	-4.9398	1.9671	-6.3531	-7.4823	7.1264	2.8851	1.668	8.1106	-4.154	5.8943	-3.2719	2.3688	6.8477	-0.4311	-7.2699	-3.4836	-1.4814	-3.8432	4.9832	-3.8404
OSD-463_RR23_LVR_GC_G3	C57BL/6J	Male	GC	GC	RR-23	OSD-463	3.7817	-5.5126	-5.2449	-0.0665	2.045	4.6705	5.3885	-4.1012	6.8558	8.4958	5.5819	0.0717	1.666	2.7984	8.6367	8.2514	-5.3333	3.9767	3.4065	-1.2602	-3.9671	6.4493	4.8837	-1.7309	-3.2162	-5.8131	5.1575	3.9574	5.7725	4.8177	1.0985	3.3964	4.6824	3.3215	-6.208	4.9209	3.1821	-0.8725	5.98	1.0041	5.4126	2.3683	5.8667	-5.8821	-5.545	-1.9237	-6.0612	-6.4921	7.9093	4.7558	0.1065	12.0339	-5.8781	5.5234	-1.9162	3.1899	5.2422	-0.7313	-9.8695	-2.8223	2.4585	-3.1604	7.4145	-3.1676
OSD-463_RR23_LVR_GC_G4	C57BL/6J	Male	GC	GC	RR-23	OSD-463	6.5405	-6.4473	-5.0839	-2.4144	4.7097	9.3403	2.7606	-5.1731	8.1865	9.391	6.022	0.7237	1.3519	4.1325	10.5103	9.361	-7.8456	4.5792	1.8121	-0.0855	-4.1351	7.2689	7.9424	-2.9014	-3.5442	-8.5292	4.1218	3.808	6.7211	5.8564	-0.1047	3.7201	5.4781	3.6476	-6.9489	4.6689	3.9598	-2.9686	7.8567	1.1681	4.2113	2.4817	4.7262	-8.674	-5.7295	1.8576	-7.616	-10.7003	7.7883	2.9331	1.7032	11.8945	-4.5459	7.8604	-3.4457	3.3655	6.1282	-0.0214	-7.1633	-2.6822	-0.487	-5.9847	6.0671	-4.1078
OSD-463_RR23_LVR_GC_G5	C57BL/6J	Male	GC	GC	RR-23	OSD-463	5.1637	-5.201	-6.2899	-0.8341	0.5965	4.3716	3.4376	-3.9331	6.5833	6.1022	6.878	1.68	1.7948	0.952	7.1103	5.6328	-3.3719	4.7593	2.6962	-0.3828	-5.2774	7.7769	5.291	0.4923	-1.5558	-2.509	1.7617	2.7271	2.8338	2.7313	1.5337	4.0344	4.3806	3.5999	-6.82	2.0834	4.0387	0.5209	5.572	3.4459	6.2535	1.8321	4.1304	-4.8797	-4.9893	-1.0114	-5.7662	-3.4398	6.8657	1.8152	2.7505	5.3985	-1.0751	5.5847	-1.1411	2.57	5.6885	2.1176	-8.469	-4.1577	-2.2535	-1.3367	5.5263	-1.0641
OSD-463_RR23_LVR_GC_G6	C57BL/6J	Male	GC	GC	RR-23	OSD-463	6.6015	-6.3933	-4.8585	-1.4729	5.0799	0.9958	5.3445	-5.3112	4.807	9.2503	5.638	-0.7891	0.945	2.6631	9.2194	8.0001	-7.6552	2.4164	3.6604	0.2625	-4.5063	6.6175	6.9653	-3.6683	-3.5105	-8.0114	4.9019	2.2579	7.1613	5.3821	1.0029	6.7429	5.6592	2.3606	-5.1019	2.9234	4.7771	-0.6926	7.0207	2.5572	3.1709	0.8428	5.6654	-6.6627	-6.7334	0.583	-6.9508	-7.5199	6.7269	3.2717	1.2952	17.6513	-4.1247	7.6958	-3.8621	4.4982	6.8966	-1.4298	-6.6332	-1.3363	-1.533	-4.5678	5.4822	-4.2935
OSD-463_RR23_LVR_GC_G7	C57BL/6J	Male	GC	GC	RR-23	OSD-463	7.1923	-5.6417	-5.115	-2.4863	5.2177	4.7783	5.4415	-3.2408	7.2494	8.6442	5.7193	1.9032	1.3517	3.5643	10.1143	6.7913	-7.7105	3.2262	3.5031	-1.7318	-3.7242	6.5158	7.5184	-2.2062	-2.8624	-7.5984	5.0509	3.6632	7.5653	8.0899	-0.5444	5.4204	5.5928	2.5515	-6.1972	3.9941	5.5617	-1.0406	6.9355	2.2134	4.7673	3.8039	8.0048	-7.8464	-6.5877	4.6907	-7.4612	-7.5319	7.4388	7.9972	1.783	10.0821	-4.6531	8.2235	-2.4175	1.2727	7.7062	-1.4633	-8.5124	-1.7438	-2.0154	-5.2111	7.3778	-4.1859
OSD-463_RR23_LVR_GC_G8	C57BL/6J	Male	GC	GC	RR-23	OSD-463	6.3068	-6.2235	-6.0051	-1.7439	2.9293	1.6824	3.5665	-3.3627	5.2067	7.8637	6.7374	-0.0415	3.0872	1.7837	7.6092	8.5774	-4.2214	6.0202	3.735	-1.5738	-4.9524	7.4254	4.8029	1.9818	-3.4512	-5.262	4.9012	4.7465	2.9081	3.8228	0.5285	4.9395	3.2762	3.5541	-6.7249	2.4221	2.6479	-1.2159	4.7849	2.2062	5.8807	4.3878	4.7506	-6.0464	-5.2385	-0.3557	-5.602	-6.0736	7.7851	4.8104	1.0417	6.0049	-3.4213	5.4743	-0.1115	3.3275	6.3909	0.8235	-9.706	-3.5668	0.2724	-2.7205	6.8703	-1.9261
OSD-463_RR23_LVR_GC_G9	C57BL/6J	Male	GC	GC	RR-23	OSD-463	4.277	-4.1761	-4.7238	-1.8693	2.6627	4.3984	4.7215	-3.6526	6.5392	6.6108	7.003	-0.502	2.4591	2.0908	7.4226	6.165	-3.932	5.3028	4.4578	-1.3087	-4.5673	5.0559	3.2874	-1.795	-2.5436	-3.132	2.2045	3.969	3.3281	3.2478	1.5907	5.1512	2.5581	2.2529	-5.2379	2.5976	2.6011	-1.7393	3.608	2.5518	2.5136	1.6335	5.5643	-5.2606	-5.9644	-0.6499	-5.9628	-3.7403	6.5277	3.6257	0.4611	8.2495	-4.3061	4.7211	-0.5237	3.843	6.6575	0.1391	-7.6332	-2.4741	1.2889	-3.1688	5.8568	-1.8523
OSD-242_Mmus_C57-6J_LVR_GC_C2_Rep1_G1	C57BL/6J	Male	GC	GC	RR-9	OSD-242	1.0569	-4.0282	-5.7234	-0.2589	-0.1515	1.1799	1.9614	-2.0673	1.7897	2.2388	5.4831	0.7506	1.9178	-2.2824	3.5721	-0.5227	0.6528	5.9856	2.384	-1.8876	-2.7329	5.4925	3.1091	2.3866	0.1586	4.0753	0.0061	1.1992	-3.5245	0.9104	1.1059	1.9413	1.1627	3.3126	-2.6388	-1.2895	1.2069	2.5666	0.2369	4.9573	4.5288	1.5821	0.6567	-1.7701	-1.1414	-2.7872	-3.913	-0.0061	5.4278	-0.2655	-1.1025	-0.2461	2.8453	1.0802	0.2768	3.435	1.2986	3.4252	-9.0054	-5.1079	3.212	2.0993	-0.8196	1.6571
OSD-242_Mmus_C57-6J_LVR_GC_C2_Rep2_G3	C57BL/6J	Male	GC	GC	RR-9	OSD-242	2.3648	-2.143	-4.6604	-1.0892	0.1055	0.6689	2.1056	-1.6416	1.3368	1.1766	4.4625	0.3881	2.2241	-2.3862	-0.7754	-0.1561	-1.0343	5.7611	1.9831	-1.7515	-3.2938	4.6472	2.0502	-0.6454	-1.2174	3.0912	-0.5734	1.3051	-4.6933	0.1442	1.2447	1.4473	-0.8951	1.0757	-1.7414	-1.7009	0.4987	3.5169	-1.3516	1.4048	3.7918	-0.1332	1.4529	-0.5219	0.113	-3.7323	-1.9178	1.4878	4.6184	-1.5104	0.45	1.7402	1.6924	0.4437	-0.0885	2.2804	0.5436	3.1894	-6.498	-4.2902	1.4672	0.9861	1.5744	2.3464
OSD-242_Mmus_C57-6J_LVR_GC_C2_Rep3_G4	C57BL/6J	Male	GC	GC	RR-9	OSD-242	2.1723	-2.3196	-4.9867	-0.0275	-2.8497	0.5872	3.8541	-1.8238	2.2744	1.975	5.1687	-0.1343	0.9707	-0.3847	5.2107	1.4856	1.688	4.7208	3.1534	-0.5669	-2.7126	4.8967	2.1546	-0.5083	-0.6066	2.182	0.4857	-0.2092	-2.8505	0.6718	1.6655	1.9047	-1.1653	1.4912	-1.3152	-0.6659	-1.2535	3.3934	0.3677	2.0268	6.3003	1.7523	1.9765	-1.7555	-0.0903	-2.861	-2.82	1.3762	5.2127	0.0976	0.5282	0.2089	3.3153	-0.1036	-0.3846	0.9191	0.1832	2.1295	-7.7354	-4.6903	-0.5792	1.2413	2.1981	2.3224
OSD-242_Mmus_C57-6J_LVR_GC_C2_Rep4_G5	C57BL/6J	Male	GC	GC	RR-9	OSD-242	0.0598	-4.3519	-5.208	2.0989	-1.5919	1.0277	4.0869	-1.9444	4.4958	2.9256	5.6149	-0.4596	2.1137	-0.453	4.1739	1.5476	0.202	4.4987	3.6147	-2.912	-2.3252	4.9804	3.3102	0.4128	-0.9281	3.656	-0.2849	-0.3307	-3.4075	0.4549	0.6589	0.2399	0.1218	0.5976	-2.0341	0.6961	1.5254	2.3607	0.4331	3.7334	5.6717	2.2652	0.1458	-1.768	0.0353	-3.9892	-4.7687	0.0717	6.1756	0.1126	-0.9165	2.2667	1.6206	1.588	-0.3617	2.3573	1.8754	0.5989	-9.9993	-5.1936	-0.8488	0.918	2.3082	2.7496
OSD-137_Mmus_BAL-TAL_LVR_GC_Rep1_G1	BALB/c	Female	GC	GC	RR-3	OSD-137	-6.049	4.7667	2.348	3.0671	-6.2411	-3.4075	-2.3847	3.1713	-3.0989	-4.9092	-8.3429	2.3529	-5.4952	1.8904	-4.6264	-3.6909	1.3785	-5.6246	-3.828	3.752	7.0838	-8.9861	-5.7939	-0.7614	0.067	0.7011	-4.4746	-4.3723	0.2059	-3.5842	-2.3887	-5.0443	0.6624	-3.2939	5.4523	2.0685	-1.8565	2.1139	0.4105	-2.5878	-6.1365	-1.2988	-4.7836	1.13	2.9057	0.6164	3.5514	2.0189	-6.592	-2.6955	-3.8296	-4.1328	1.5832	-3.282	0.9599	-4.9752	-3.5491	-5.1308	8.4709	5.9894	-3.5443	1.4717	-2.4866	1.0432
OSD-137_Mmus_BAL-TAL_LVR_GC_Rep2_G2	BALB/c	Female	GC	GC	RR-3	OSD-137	-4.9202	1.3475	4.7228	2.4047	-3.5747	-3.5931	-4.0152	4.3474	-3.0276	-4.4804	-4.3603	0.0938	-3.8038	0.796	-4.921	-3.505	-1.5933	-6.1088	-2.6308	1.877	5.0022	-7.2605	-2.5473	0.8145	1.0331	0.4764	-2.7066	-3.9616	-1.5516	-3.8668	-0.6663	-5.5261	-0.7398	-2.572	4.6017	-1.0811	-4.8224	0.6229	-1.6165	-2.2859	-4.0014	0.5944	-4.9111	2.38	1.489	1.9974	3.9643	0.7116	-6.3179	-1.1784	-3.087	-5.4105	1.1613	-3.1488	0.3689	-3.0938	-2.4735	-0.7292	7.5434	2.9873	-2.4106	-0.5954	-4.7772	-0.6859
OSD-137_Mmus_BAL-TAL_LVR_GC_Rep3_G3	BALB/c	Female	GC	GC	RR-3	OSD-137	-4.7688	6.1157	12.0511	1.5604	-3.3668	-2.7527	-4.8798	0.7748	-5.0256	-8.5616	-9.8425	1.23	-6.4531	3.2437	-6.1723	-4.5805	-0.1627	-5.4143	-2.9734	4.4795	7.6668	-8.9138	-5.5069	-0.6342	2.3238	-0.4282	-1.5787	-3.4523	2.0841	-4.7552	-1.9047	-3.6728	0.7564	-3.8075	6.6961	1.2125	-1.9661	0.2861	-0.303	-3.7811	-7.8852	-1.6021	-5.9643	3.0265	4.4248	3.7517	4.1052	2.2113	-9.7305	-0.9793	-1.729	-4.345	0.591	-3.0621	0.8567	-5.0071	-2.8913	-5.26	11.3656	4.992	-4.7399	0.9845	-4.0599	-2.6429
OSD-137_Mmus_BAL-TAL_LVR_GC_Rep4_G5	BALB/c	Female	GC	GC	RR-3	OSD-137	-4.5343	5.1523	12.7418	3.8274	-3.7775	-2.7417	0.1818	4.0792	-3.2634	-8.2407	-7.1926	0.9416	-6.3816	1.8398	-5.3375	-1.9044	0.6865	-6.9696	-1.6151	5.9899	6.2475	-7.2065	-6.212	1.0125	2.8548	-0.3397	-1.3601	-4.1133	2.4148	-4.9753	-3.3	-6.0315	1.9825	-3.219	6.0653	3.2695	-2.1117	1.8921	0.1145	-5.3298	-6.9361	-0.5876	-6.6874	2.3951	3.4997	1.507	4.2884	0.2561	-6.5193	-2.4167	-2.0531	-3.9978	0.6376	-3.3634	0.2173	-4.1813	-2.0719	-5.6841	9.0537	6.5715	-5.9273	-3.4697	-3.037	-2.7403
OSD-137_Mmus_BAL-TAL_LVR_GC_Rep5_G6	BALB/c	Female	GC	GC	RR-3	OSD-137	-4.3144	6.014	7.1623	3.5592	-4.9305	-2.6048	-2.5138	3.369	-3.8168	-7.1447	-10.0793	-0.631	-5.6133	0.2767	-6.1599	-2.5843	-1.122	-7.1871	-2.4991	3.9935	6.0628	-6.8577	-4.3393	0.1479	3.1604	-0.6871	-4.0578	-3.4142	1.677	-3.1384	-3.9112	-5.3464	-2.1455	-3.6405	5.999	1.5913	-1.4704	1.1554	-1.8735	-3.8445	-7.6476	0.7003	-5.7087	4.5636	3.6596	0.532	5.5041	2.6698	-6.1546	-2.5433	-3.7101	-4.9153	-0.0313	-4.3181	0.7171	-3.8762	-3.3513	-3.8093	9.0725	6.0966	-3.2728	-1.1702	-4.327	-1.5183
OSD-137_Mmus_BAL-TAL_LVR_GC_Rep6_G7	BALB/c	Female	GC	GC	RR-3	OSD-137	-5.0304	4.6026	7.7579	4.457	-4.1184	-3.5769	-0.3606	2.2842	-3.2539	-6.7208	-6.5425	0.7926	-5.3894	1.7723	-4.7925	-3.3133	2.9426	-5.5122	-0.3676	3.7068	6.6087	-7.7315	-5.3714	1.2951	2.4976	0.2182	-3.9755	-3.8823	2.0486	-5.3273	-3.7279	-5.2454	-2.5499	-2.6159	5.628	2.1821	-1.4957	2.3889	-1.7965	-2.5808	-5.3579	-0.3343	-5.2668	3.1586	4.4526	2.1745	2.9591	2.3594	-4.4864	-2.8956	-4.3185	-4.2205	2.3964	-3.8559	-0.2358	-3.9077	-3.625	-4.4812	7.9245	4.6503	-3.7231	-1.9117	-3.2891	-1.1922
OSD-173_Mmus_C57-6CR_LVR_GC_Rep1_G40	C57BL/6NCrl	Female	GC	GC	BSP135	OSD-173	1.8464	-2.172	-5.7699	-0.7576	0.8312	-0.2599	2.7327	-1.3655	1.6275	1.2285	5.4189	2.4687	2.9161	-2.5075	4.0136	-2.2548	2.036	6.987	3.4965	-2.6811	-2.2146	5.5458	3.7808	-0.4823	0.756	4.4854	-2.6164	-0.775	-3.826	0.8781	0.4462	0.7583	-1.5006	0.8545	-1.7003	-2.3011	1.774	3.067	1.496	4.7366	6.9056	1.2134	1.3561	-2.332	-0.5476	-1.8376	-4.368	2.8425	6.1288	0.8208	-2.0927	-1.0378	3.8632	-0.416	1.4019	3.0082	0.5045	3.4354	-8.3175	-5.6466	1.7888	1.4111	1.2732	4.1474
OSD-173_Mmus_C57-6CR_LVR_GC_Rep2_G44	C57BL/6NCrl	Female	GC	GC	BSP135	OSD-173	2.259	-2.256	-5.3159	-0.306	0.7364	0.5867	1.2981	-1.3008	1.6924	0.4797	5.1464	1.6545	3.5414	-3.7662	0.755	-2.2018	1.5244	5.9584	2.6583	-3.3233	-2.943	5.1219	3.1339	-0.6149	0.6597	5.2451	-1.3619	-0.2521	-3.1584	0.8901	2.0808	1.198	-1.2428	1.2065	-2.2314	-2.2928	1.5972	2.0168	-0.8418	4.6727	3.6658	1.4883	3.761	-0.6627	0.1655	-3.8241	-0.6082	3.8931	4.9816	-1.2609	0.5546	-0.2816	3.8748	-0.2688	1.8663	3.2337	-1.1485	3.2586	-8.213	-5.1403	0.2252	2.4101	0.3603	4.7095
