_MEMBER_FLT14_all,_MEMBER_FLT14_and_GC8,_MEMBER_FLT14_not_GC8,_MEMBER_GC8_all,_MEMBER_GC8_not_FLT14,_LogP_FLT14_all,_LogP_FLT14_and_GC8,_LogP_FLT14_not_GC8,_LogP_GC8_all,_LogP_GC8_not_FLT14,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,1,0,1,0,-7.07955670250026,-9.47401326571802,0.0,-4.710488954070404,0.0,mmu00591,M11010,3,0,KEGG Pathway,24,Linoleic acid metabolism - Mus musculus (house mouse),,-9.47401326571802,21.190135135135133,13.232979888551176,17423,50,148,9,6.081081081081081,1.9644278463382392,13097|13098|13099|13113|13114|53973|226143|337924|100043108,Cyp2c38|Cyp2c39|Cyp2c40|Cyp3a13|Cyp3a16|Cyp3a41a|Cyp2c23|Cyp3a44|Cyp2c69,-6.831870380962997,0,1,0,0,-17.701873541914367,31.392792792792793,
1,1,0,1,0,-8.53867671720719,-9.36209937597437,0.0,-3.919026821102925,0.0,GO:0019373,M11010,3,0,GO Biological Processes,19,epoxygenase P450 pathway,19_GO:0009987 cellular process,-9.36209937597437,26.908108108108106,14.200895819891187,17423,35,148,8,5.405405405405405,1.858730555149667,13086|13089|13094|13097|13098|13099|226143|100043108,Cyp2a4|Cyp2b13|Cyp2b9|Cyp2c38|Cyp2c39|Cyp2c40|Cyp2c23|Cyp2c69,-6.741145790289286,0,1,0,0,-17.701873541914367,31.392792792792793,
1,1,0,1,0,-8.466055333687287,-8.84416586021109,0.0,-3.6645899149237855,0.0,GO:0001676,M11010,3,0,GO Biological Processes,19,long-chain fatty acid metabolic process,19_GO:0009987 cellular process,-8.84416586021109,10.621621621621623,10.309733332254059,17423,133,148,12,8.108108108108109,2.243714032638082,13086|13089|13094|13097|13098|13099|13105|26897|66447|171281|226143|100043108,Cyp2a4|Cyp2b13|Cyp2b9|Cyp2c38|Cyp2c39|Cyp2c40|Cyp2d9|Acot1|Mgst3|Acot3|Cyp2c23|Cyp2c69,-6.262720815809679,0,1,0,0,-17.701873541914367,31.392792792792793,
1,1,0,1,0,-6.925178606244718,-8.531918618760905,0.0,-3.980767728804823,0.0,GO:0019369,M11010,3,0,GO Biological Processes,19,arachidonate metabolic process,19_GO:0009987 cellular process,-8.531918618760905,13.688717787554998,10.918194423789648,17423,86,148,10,6.756756756756757,2.063226798733351,13086|13089|13094|13097|13098|13099|13105|66447|226143|100043108,Cyp2a4|Cyp2b13|Cyp2b9|Cyp2c38|Cyp2c39|Cyp2c40|Cyp2d9|Mgst3|Cyp2c23|Cyp2c69,-6.01199161227871,0,1,0,0,-17.701873541914367,31.392792792792793,
1,1,0,1,0,-8.300825371449198,-7.856215573832105,0.0,-2.6707760631599977,0.0,GO:0006631,M11010,3,0,GO Biological Processes,19,fatty acid metabolic process,19_GO:0009987 cellular process,-8.300825371449198,4.120942150389277,7.67309815562554,17423,365,278,24,8.633093525179856,1.6844389889712499,11770|12686|13086|13089|13094|13097|13098|13099|13105|17319|26874|26897|56185|57742|66447|170439|171281|225884|226143|233005|234671|382044|432720|100043108,Fabp4|Elovl3|Cyp2a4|Cyp2b13|Cyp2b9|Cyp2c38|Cyp2c39|Cyp2c40|Cyp2d9|Mif|Abcd2|Acot1|Hao2|Abhd1|Mgst3|Elovl6|Acot3|Gstp3|Cyp2c23|Cyp2a22|Ces2c|Ces1b|Akr1c19|Cyp2c69,-5.804810522372414,0,1,0,0,-17.701873541914367,31.392792792792793,
1,1,0,1,0,-8.243200798685685,-7.582831312044945,0.0,-3.455494274547462,0.0,GO:0006690,M11010,3,0,GO Biological Processes,19,icosanoid metabolic process,19_GO:0009987 cellular process,-8.243200798685685,6.812245855489522,8.728738556438811,17423,138,278,15,5.39568345323741,1.355053086905328,13086|13089|13094|13097|13098|13099|13105|17319|66447|225884|226143|233005|234671|432720|100043108,Cyp2a4|Cyp2b13|Cyp2b9|Cyp2c38|Cyp2c39|Cyp2c40|Cyp2d9|Mif|Mgst3|Gstp3|Cyp2c23|Cyp2a22|Ces2c|Akr1c19|Cyp2c69,-5.754872778275192,0,1,0,0,-17.701873541914367,31.392792792792793,
1,1,0,1,0,-3.5084741098196717,-5.244737965670632,0.0,-3.165766554802338,0.0,mmu00590,M11010,3,0,KEGG Pathway,24,Arachidonic acid metabolism - Mus musculus (house mouse),,-5.244737965670632,10.17359025692359,7.6595471008172495,17423,81,148,7,4.72972972972973,1.7448817617664414,13089|13094|13097|13098|13099|226143|100043108,Cyp2b13|Cyp2b9|Cyp2c38|Cyp2c39|Cyp2c40|Cyp2c23|Cyp2c69,-3.2232515607352306,0,1,0,0,-17.701873541914367,31.392792792792793,
1,1,0,1,0,-4.122792663501125,-5.197571937980693,0.0,-3.9438634199286975,0.0,WP4349,M11010,3,0,WikiPathways,27,Eicosanoid metabolism via cytochrome P450 monooxygenases,,-5.197571937980693,31.392792792792793,10.89965204879664,17423,15,148,4,2.7027027027027026,1.3329647619353295,13097|13098|13099|226143,Cyp2c38|Cyp2c39|Cyp2c40|Cyp2c23,-3.186135360362027,0,1,0,0,-17.701873541914367,31.392792792792793,
1,1,0,1,0,-3.0531492451542204,-3.1730310531001726,0.0,-2.9029917239118737,0.0,GO:0046456,M11010,3,0,GO Biological Processes,19,icosanoid biosynthetic process,19_GO:0009987 cellular process,-3.1730310531001726,10.018976423231742,5.730626595851207,17423,47,148,4,2.7027027027027026,1.3329647619353295,13099|66447|226143|100043108,Cyp2c40|Mgst3|Cyp2c23|Cyp2c69,-1.5341332231582974,0,1,0,0,-17.701873541914367,31.392792792792793,
1,1,0,1,0,-2.348546007543735,-3.10425345576113,0.0,-2.1710054800571563,0.0,mmu04726,M11010,3,0,KEGG Pathway,24,Serotonergic synapse - Mus musculus (house mouse),,-3.10425345576113,5.518264358108109,4.748836019824218,17423,128,148,6,4.054054054054054,1.6211650197199552,13097|13098|13099|13105|226143|100043108,Cyp2c38|Cyp2c39|Cyp2c40|Cyp2d9|Cyp2c23|Cyp2c69,-1.4898434720100138,0,1,0,0,-17.701873541914367,31.392792792792793,
