FLT_cluster_02,FLT_cluster_03,FLT_cluster_04,FLT_cluster_05,FLT_cluster_06,FLT_cluster_07,FLT_cluster_08,FLT_cluster_09,FLT_cluster_10,FLT_cluster_11,FLT_cluster_12,FLT_cluster_13,FLT_cluster_14
ENSMUSG00000028430,ENSMUSG00000079658,ENSMUSG00000024483,ENSMUSG00000007815,ENSMUSG00000032350,ENSMUSG00000002015,ENSMUSG00000006462,ENSMUSG00000112129,ENSMUSG00000074207,ENSMUSG00000021069,ENSMUSG00000031461,,
ENSMUSG00000022427,ENSMUSG00000003234,ENSMUSG00000037857,ENSMUSG00000038056,ENSMUSG00000028024,ENSMUSG00000068036,ENSMUSG00000015880,ENSMUSG00000009291,ENSMUSG00000003623,ENSMUSG00000023829,ENSMUSG00000022358,,
ENSMUSG00000002205,ENSMUSG00000026478,ENSMUSG00000031505,ENSMUSG00000024811,ENSMUSG00000029761,ENSMUSG00000051339,ENSMUSG00000044177,ENSMUSG00000026003,ENSMUSG00000008540,ENSMUSG00000001891,ENSMUSG00000069833,,
ENSMUSG00000042446,ENSMUSG00000034345,ENSMUSG00000003308,ENSMUSG00000022210,ENSMUSG00000041237,ENSMUSG00000038145,ENSMUSG00000051397,ENSMUSG00000030530,ENSMUSG00000047215,ENSMUSG00000018574,ENSMUSG00000052374,,
ENSMUSG00000035443,ENSMUSG00000028961,ENSMUSG00000039087,ENSMUSG00000028763,ENSMUSG00000023057,ENSMUSG00000044791,ENSMUSG00000038248,ENSMUSG00000034108,ENSMUSG00000040249,ENSMUSG00000058135,ENSMUSG00000068699,,
ENSMUSG00000031710,ENSMUSG00000030037,ENSMUSG00000002981,ENSMUSG00000037470,ENSMUSG00000022283,ENSMUSG00000000346,ENSMUSG00000037129,ENSMUSG00000027706,ENSMUSG00000027559,ENSMUSG00000000301,ENSMUSG00000038170,,
ENSMUSG00000032387,ENSMUSG00000032590,ENSMUSG00000032777,ENSMUSG00000060657,ENSMUSG00000006333,ENSMUSG00000022636,ENSMUSG00000032487,ENSMUSG00000026031,ENSMUSG00000030088,ENSMUSG00000057666,ENSMUSG00000021798,,
ENSMUSG00000045519,ENSMUSG00000003955,ENSMUSG00000024346,ENSMUSG00000074698,ENSMUSG00000016756,ENSMUSG00000024853,ENSMUSG00000029321,ENSMUSG00000031700,ENSMUSG00000066154,ENSMUSG00000020777,ENSMUSG00000029432,,
ENSMUSG00000012483,ENSMUSG00000025156,ENSMUSG00000046861,ENSMUSG00000026229,ENSMUSG00000026678,ENSMUSG00000022817,ENSMUSG00000021062,ENSMUSG00000039218,ENSMUSG00000033898,ENSMUSG00000027597,ENSMUSG00000047419,,
ENSMUSG00000029439,ENSMUSG00000028809,ENSMUSG00000063904,ENSMUSG00000039063,ENSMUSG00000052738,ENSMUSG00000052914,ENSMUSG00000085614,ENSMUSG00000031886,ENSMUSG00000037254,ENSMUSG00000030168,ENSMUSG00000060147,,
ENSMUSG00000010358,ENSMUSG00000024668,ENSMUSG00000030751,ENSMUSG00000059734,ENSMUSG00000040181,ENSMUSG00000052656,ENSMUSG00000004872,ENSMUSG00000017291,ENSMUSG00000020917,ENSMUSG00000031980,ENSMUSG00000001027,,
ENSMUSG00000044345,ENSMUSG00000070319,ENSMUSG00000028673,ENSMUSG00000038009,ENSMUSG00000059070,ENSMUSG00000060261,ENSMUSG00000029134,ENSMUSG00000027177,ENSMUSG00000030744,ENSMUSG00000070704,ENSMUSG00000031543,,
ENSMUSG00000020694,ENSMUSG00000039219,ENSMUSG00000045210,ENSMUSG00000054733,ENSMUSG00000039682,ENSMUSG00000022347,ENSMUSG00000032091,ENSMUSG00000031960,ENSMUSG00000034994,ENSMUSG00000060407,ENSMUSG00000073557,,
ENSMUSG00000029059,ENSMUSG00000027012,ENSMUSG00000045374,ENSMUSG00000017776,ENSMUSG00000098274,ENSMUSG00000024331,ENSMUSG00000021696,ENSMUSG00000062410,ENSMUSG00000049517,ENSMUSG00000042289,ENSMUSG00000017300,,
ENSMUSG00000015711,ENSMUSG00000035086,ENSMUSG00000029994,ENSMUSG00000026295,ENSMUSG00000011752,ENSMUSG00000024241,ENSMUSG00000017607,ENSMUSG00000022752,ENSMUSG00000063457,ENSMUSG00000052520,ENSMUSG00000056328,,
ENSMUSG00000039246,ENSMUSG00000000827,ENSMUSG00000022905,ENSMUSG00000033629,ENSMUSG00000042248,ENSMUSG00000042460,ENSMUSG00000040428,ENSMUSG00000036606,ENSMUSG00000092837,ENSMUSG00000022821,ENSMUSG00000074218,,
ENSMUSG00000028902,ENSMUSG00000006527,ENSMUSG00000029655,ENSMUSG00000061130,ENSMUSG00000029198,ENSMUSG00000030287,ENSMUSG00000047604,ENSMUSG00000021236,ENSMUSG00000038224,ENSMUSG00000023944,ENSMUSG00000016349,,
ENSMUSG00000024127,ENSMUSG00000005813,ENSMUSG00000034484,ENSMUSG00000026234,ENSMUSG00000028179,ENSMUSG00000028150,ENSMUSG00000049537,ENSMUSG00000054676,ENSMUSG00000028011,ENSMUSG00000036880,ENSMUSG00000062515,,
ENSMUSG00000032112,ENSMUSG00000028868,ENSMUSG00000027502,ENSMUSG00000037487,ENSMUSG00000015714,ENSMUSG00000014606,ENSMUSG00000049336,ENSMUSG00000071644,ENSMUSG00000090137,ENSMUSG00000020368,ENSMUSG00000027940,,
ENSMUSG00000046909,ENSMUSG00000014195,ENSMUSG00000037415,ENSMUSG00000030007,ENSMUSG00000028240,ENSMUSG00000032607,ENSMUSG00000066607,ENSMUSG00000031751,ENSMUSG00000054417,ENSMUSG00000003053,ENSMUSG00000026950,,
ENSMUSG00000015337,ENSMUSG00000025421,ENSMUSG00000019054,ENSMUSG00000021134,ENSMUSG00000068874,ENSMUSG00000036112,ENSMUSG00000015533,ENSMUSG00000022371,ENSMUSG00000028001,ENSMUSG00000030630,ENSMUSG00000031633,,
ENSMUSG00000020868,ENSMUSG00000011305,ENSMUSG00000031392,ENSMUSG00000018102,ENSMUSG00000062949,ENSMUSG00000022770,ENSMUSG00000020866,ENSMUSG00000026553,ENSMUSG00000023070,ENSMUSG00000028494,ENSMUSG00000078486,,
ENSMUSG00000026565,ENSMUSG00000022024,ENSMUSG00000041355,ENSMUSG00000002996,ENSMUSG00000028792,ENSMUSG00000020265,ENSMUSG00000008318,ENSMUSG00000027002,ENSMUSG00000069805,ENSMUSG00000006529,ENSMUSG00000030189,,
ENSMUSG00000017446,ENSMUSG00000024527,ENSMUSG00000065979,ENSMUSG00000036585,ENSMUSG00000038521,ENSMUSG00000027775,ENSMUSG00000050737,ENSMUSG00000035133,ENSMUSG00000002769,ENSMUSG00000055737,ENSMUSG00000073940,,
ENSMUSG00000049173,ENSMUSG00000005580,ENSMUSG00000022200,ENSMUSG00000023367,ENSMUSG00000020850,ENSMUSG00000025240,ENSMUSG00000074637,ENSMUSG00000033684,ENSMUSG00000032554,ENSMUSG00000073988,,,
ENSMUSG00000022946,ENSMUSG00000020697,ENSMUSG00000024122,ENSMUSG00000059890,ENSMUSG00000021000,ENSMUSG00000031703,ENSMUSG00000031394,ENSMUSG00000004980,ENSMUSG00000061808,ENSMUSG00000047797,,,
ENSMUSG00000034274,ENSMUSG00000050390,ENSMUSG00000046671,ENSMUSG00000024431,ENSMUSG00000003970,ENSMUSG00000026872,ENSMUSG00000026825,ENSMUSG00000024899,ENSMUSG00000040564,ENSMUSG00000031672,,,
ENSMUSG00000015749,ENSMUSG00000022674,ENSMUSG00000043279,ENSMUSG00000024290,ENSMUSG00000021218,ENSMUSG00000032263,ENSMUSG00000025900,ENSMUSG00000019232,ENSMUSG00000029455,ENSMUSG00000068823,,,
ENSMUSG00000039599,ENSMUSG00000031918,ENSMUSG00000031537,ENSMUSG00000026434,ENSMUSG00000046959,ENSMUSG00000069520,ENSMUSG00000074604,ENSMUSG00000013593,ENSMUSG00000028356,ENSMUSG00000003721,,,
ENSMUSG00000001627,ENSMUSG00000079426,ENSMUSG00000053774,ENSMUSG00000030096,ENSMUSG00000035530,ENSMUSG00000023022,ENSMUSG00000019359,ENSMUSG00000062181,ENSMUSG00000008682,ENSMUSG00000047631,,,
ENSMUSG00000019797,ENSMUSG00000020706,ENSMUSG00000029221,ENSMUSG00000030909,ENSMUSG00000075700,ENSMUSG00000024456,ENSMUSG00000031776,ENSMUSG00000009376,ENSMUSG00000027187,ENSMUSG00000029695,,,
ENSMUSG00000030822,ENSMUSG00000027309,ENSMUSG00000002365,ENSMUSG00000031844,ENSMUSG00000031996,ENSMUSG00000032393,ENSMUSG00000028435,ENSMUSG00000026189,ENSMUSG00000037071,ENSMUSG00000000326,,,
ENSMUSG00000021589,ENSMUSG00000053838,ENSMUSG00000076435,ENSMUSG00000006005,ENSMUSG00000015846,ENSMUSG00000028572,ENSMUSG00000028259,ENSMUSG00000041408,ENSMUSG00000032518,ENSMUSG00000028088,,,
ENSMUSG00000031979,ENSMUSG00000026028,ENSMUSG00000018932,ENSMUSG00000060429,ENSMUSG00000018417,ENSMUSG00000024354,ENSMUSG00000025932,ENSMUSG00000023019,ENSMUSG00000050440,ENSMUSG00000016942,,,
ENSMUSG00000010097,ENSMUSG00000046447,ENSMUSG00000043535,ENSMUSG00000020585,ENSMUSG00000039114,ENSMUSG00000036138,ENSMUSG00000030911,ENSMUSG00000040385,ENSMUSG00000031231,ENSMUSG00000023010,,,
ENSMUSG00000071647,ENSMUSG00000032309,ENSMUSG00000055839,ENSMUSG00000054766,ENSMUSG00000029571,ENSMUSG00000022389,ENSMUSG00000054662,ENSMUSG00000001211,ENSMUSG00000025153,ENSMUSG00000030711,,,
ENSMUSG00000054648,ENSMUSG00000034485,ENSMUSG00000064215,ENSMUSG00000078622,ENSMUSG00000028692,ENSMUSG00000058022,ENSMUSG00000049281,ENSMUSG00000024052,ENSMUSG00000078964,ENSMUSG00000028127,,,
ENSMUSG00000090266,ENSMUSG00000027198,ENSMUSG00000027952,ENSMUSG00000049339,ENSMUSG00000027184,ENSMUSG00000037876,ENSMUSG00000051113,ENSMUSG00000021751,ENSMUSG00000059908,ENSMUSG00000053898,,,
ENSMUSG00000028268,ENSMUSG00000023243,ENSMUSG00000026926,ENSMUSG00000022255,ENSMUSG00000003429,ENSMUSG00000071533,ENSMUSG00000058773,ENSMUSG00000050445,ENSMUSG00000033860,ENSMUSG00000035875,,,
ENSMUSG00000029817,ENSMUSG00000041560,ENSMUSG00000021840,ENSMUSG00000005677,ENSMUSG00000026024,ENSMUSG00000068086,ENSMUSG00000048387,ENSMUSG00000030834,ENSMUSG00000032080,,,,
ENSMUSG00000002107,ENSMUSG00000026918,ENSMUSG00000027067,ENSMUSG00000025314,ENSMUSG00000034371,ENSMUSG00000002289,ENSMUSG00000070424,ENSMUSG00000092008,ENSMUSG00000021922,,,,
ENSMUSG00000090124,ENSMUSG00000079557,ENSMUSG00000037926,ENSMUSG00000022285,ENSMUSG00000060904,ENSMUSG00000020572,ENSMUSG00000028031,ENSMUSG00000042251,ENSMUSG00000005681,,,,
ENSMUSG00000020679,ENSMUSG00000024566,ENSMUSG00000028759,ENSMUSG00000036241,ENSMUSG00000025794,ENSMUSG00000031523,ENSMUSG00000051839,ENSMUSG00000028639,ENSMUSG00000026715,,,,
ENSMUSG00000017754,ENSMUSG00000030061,ENSMUSG00000028080,ENSMUSG00000057228,ENSMUSG00000035242,ENSMUSG00000056608,ENSMUSG00000022286,ENSMUSG00000057554,ENSMUSG00000026874,,,,
ENSMUSG00000026510,ENSMUSG00000025728,ENSMUSG00000020827,ENSMUSG00000073555,ENSMUSG00000094724,ENSMUSG00000024236,ENSMUSG00000002104,ENSMUSG00000012428,ENSMUSG00000079012,,,,
ENSMUSG00000021635,ENSMUSG00000030126,ENSMUSG00000070544,ENSMUSG00000026176,ENSMUSG00000059434,ENSMUSG00000090935,ENSMUSG00000023064,ENSMUSG00000005312,ENSMUSG00000027513,,,,
ENSMUSG00000041126,ENSMUSG00000063235,ENSMUSG00000041915,ENSMUSG00000071072,ENSMUSG00000023456,ENSMUSG00000006717,ENSMUSG00000028487,ENSMUSG00000038708,ENSMUSG00000020051,,,,
ENSMUSG00000046818,ENSMUSG00000020634,ENSMUSG00000025503,ENSMUSG00000022241,ENSMUSG00000057738,ENSMUSG00000022201,ENSMUSG00000022548,ENSMUSG00000030541,ENSMUSG00000004558,,,,
ENSMUSG00000031161,ENSMUSG00000030091,ENSMUSG00000045767,ENSMUSG00000021957,ENSMUSG00000068587,ENSMUSG00000027206,ENSMUSG00000021702,ENSMUSG00000035150,ENSMUSG00000000563,,,,
ENSMUSG00000023959,ENSMUSG00000030498,ENSMUSG00000020290,ENSMUSG00000048874,ENSMUSG00000031596,ENSMUSG00000074656,ENSMUSG00000078144,ENSMUSG00000020432,ENSMUSG00000019987,,,,
ENSMUSG00000028238,ENSMUSG00000022142,ENSMUSG00000028064,ENSMUSG00000042284,ENSMUSG00000001175,ENSMUSG00000034957,ENSMUSG00000099411,ENSMUSG00000027282,ENSMUSG00000027359,,,,
ENSMUSG00000047547,ENSMUSG00000020496,ENSMUSG00000068877,ENSMUSG00000031545,ENSMUSG00000041028,ENSMUSG00000043962,ENSMUSG00000023411,ENSMUSG00000029998,ENSMUSG00000056978,,,,
ENSMUSG00000039157,ENSMUSG00000039967,ENSMUSG00000046027,ENSMUSG00000024576,ENSMUSG00000022136,ENSMUSG00000053510,ENSMUSG00000041329,ENSMUSG00000052337,ENSMUSG00000075551,,,,
ENSMUSG00000021476,ENSMUSG00000058454,ENSMUSG00000040481,ENSMUSG00000035878,ENSMUSG00000049751,ENSMUSG00000029169,ENSMUSG00000027544,ENSMUSG00000026781,ENSMUSG00000028691,,,,
ENSMUSG00000063952,ENSMUSG00000015290,ENSMUSG00000001229,ENSMUSG00000035473,ENSMUSG00000059447,ENSMUSG00000039168,ENSMUSG00000019124,ENSMUSG00000045962,ENSMUSG00000010064,,,,
ENSMUSG00000026384,ENSMUSG00000039115,ENSMUSG00000003039,ENSMUSG00000003526,ENSMUSG00000024391,ENSMUSG00000052310,ENSMUSG00000021662,ENSMUSG00000037712,ENSMUSG00000005610,,,,
ENSMUSG00000032621,ENSMUSG00000024986,ENSMUSG00000029759,ENSMUSG00000033965,ENSMUSG00000015932,ENSMUSG00000027447,ENSMUSG00000029838,ENSMUSG00000059005,ENSMUSG00000006373,,,,
ENSMUSG00000033326,ENSMUSG00000030890,ENSMUSG00000039067,ENSMUSG00000024975,ENSMUSG00000025492,ENSMUSG00000040648,ENSMUSG00000001865,ENSMUSG00000037458,ENSMUSG00000028967,,,,
ENSMUSG00000025742,ENSMUSG00000026849,ENSMUSG00000053565,ENSMUSG00000033499,ENSMUSG00000070394,ENSMUSG00000029202,ENSMUSG00000001403,ENSMUSG00000025016,ENSMUSG00000050856,,,,
ENSMUSG00000050088,ENSMUSG00000075229,ENSMUSG00000021796,ENSMUSG00000057113,ENSMUSG00000035836,ENSMUSG00000027533,ENSMUSG00000062345,ENSMUSG00000075705,ENSMUSG00000057400,,,,
ENSMUSG00000035173,ENSMUSG00000022711,ENSMUSG00000028837,ENSMUSG00000029656,ENSMUSG00000062908,ENSMUSG00000055447,ENSMUSG00000033544,ENSMUSG00000029545,ENSMUSG00000034892,,,,
ENSMUSG00000031698,ENSMUSG00000015522,ENSMUSG00000020219,ENSMUSG00000032420,ENSMUSG00000032959,ENSMUSG00000000876,ENSMUSG00000027833,ENSMUSG00000037270,ENSMUSG00000025479,,,,
ENSMUSG00000025423,ENSMUSG00000057069,ENSMUSG00000055980,ENSMUSG00000020964,ENSMUSG00000034450,ENSMUSG00000022811,ENSMUSG00000006411,ENSMUSG00000026866,ENSMUSG00000090231,,,,
ENSMUSG00000050965,ENSMUSG00000027374,ENSMUSG00000026880,ENSMUSG00000031232,ENSMUSG00000000740,ENSMUSG00000037523,ENSMUSG00000079428,ENSMUSG00000032458,ENSMUSG00000030895,,,,
ENSMUSG00000071451,ENSMUSG00000025066,ENSMUSG00000026618,ENSMUSG00000055782,ENSMUSG00000025278,ENSMUSG00000022536,ENSMUSG00000024972,ENSMUSG00000060376,ENSMUSG00000026542,,,,
ENSMUSG00000044881,ENSMUSG00000026097,ENSMUSG00000068749,ENSMUSG00000028618,ENSMUSG00000029247,ENSMUSG00000005373,ENSMUSG00000046699,ENSMUSG00000024070,ENSMUSG00000016194,,,,
ENSMUSG00000024293,ENSMUSG00000056268,ENSMUSG00000019943,ENSMUSG00000034243,ENSMUSG00000063683,ENSMUSG00000020182,ENSMUSG00000033590,ENSMUSG00000037780,ENSMUSG00000001435,,,,
ENSMUSG00000020375,ENSMUSG00000026245,ENSMUSG00000044783,ENSMUSG00000096054,ENSMUSG00000042476,ENSMUSG00000033955,ENSMUSG00000016262,ENSMUSG00000049858,ENSMUSG00000029162,,,,
ENSMUSG00000035268,ENSMUSG00000032307,ENSMUSG00000029152,ENSMUSG00000020849,ENSMUSG00000020719,ENSMUSG00000020088,ENSMUSG00000029685,ENSMUSG00000058655,ENSMUSG00000024608,,,,
ENSMUSG00000005370,ENSMUSG00000033735,ENSMUSG00000020429,ENSMUSG00000051652,ENSMUSG00000024039,ENSMUSG00000096145,ENSMUSG00000024736,ENSMUSG00000017453,ENSMUSG00000060126,,,,
ENSMUSG00000054364,ENSMUSG00000039046,ENSMUSG00000033940,ENSMUSG00000066551,ENSMUSG00000062480,ENSMUSG00000026672,ENSMUSG00000043644,ENSMUSG00000062624,ENSMUSG00000027048,,,,
ENSMUSG00000031605,ENSMUSG00000022844,ENSMUSG00000024621,ENSMUSG00000018428,ENSMUSG00000026368,ENSMUSG00000034075,ENSMUSG00000087221,ENSMUSG00000005534,ENSMUSG00000060807,,,,
ENSMUSG00000064604,ENSMUSG00000017615,ENSMUSG00000032536,ENSMUSG00000055538,ENSMUSG00000025196,ENSMUSG00000044627,ENSMUSG00000002266,ENSMUSG00000014867,ENSMUSG00000025393,,,,
ENSMUSG00000029705,ENSMUSG00000047260,ENSMUSG00000026511,ENSMUSG00000036932,ENSMUSG00000055172,ENSMUSG00000027365,ENSMUSG00000007682,ENSMUSG00000054008,ENSMUSG00000009927,,,,
ENSMUSG00000063730,ENSMUSG00000019689,ENSMUSG00000078584,ENSMUSG00000028211,ENSMUSG00000009863,ENSMUSG00000118516,ENSMUSG00000022225,ENSMUSG00000022149,ENSMUSG00000015656,,,,
ENSMUSG00000024617,ENSMUSG00000058709,ENSMUSG00000031665,ENSMUSG00000021910,ENSMUSG00000027248,ENSMUSG00000026991,ENSMUSG00000045136,ENSMUSG00000051223,ENSMUSG00000092341,,,,
ENSMUSG00000040697,ENSMUSG00000041528,ENSMUSG00000020346,ENSMUSG00000030201,ENSMUSG00000001249,ENSMUSG00000032423,ENSMUSG00000036502,ENSMUSG00000025935,ENSMUSG00000079015,,,,
ENSMUSG00000027998,ENSMUSG00000032126,ENSMUSG00000027680,ENSMUSG00000032301,ENSMUSG00000028393,ENSMUSG00000001100,ENSMUSG00000028528,ENSMUSG00000008575,ENSMUSG00000021033,,,,
ENSMUSG00000002428,ENSMUSG00000040028,ENSMUSG00000020530,ENSMUSG00000056492,ENSMUSG00000000753,ENSMUSG00000018293,ENSMUSG00000027377,ENSMUSG00000021282,,,,,
ENSMUSG00000028992,ENSMUSG00000037316,ENSMUSG00000005982,ENSMUSG00000026260,ENSMUSG00000027984,ENSMUSG00000079563,ENSMUSG00000027574,ENSMUSG00000071650,,,,,
ENSMUSG00000034210,ENSMUSG00000065087,ENSMUSG00000030304,ENSMUSG00000033671,ENSMUSG00000026687,ENSMUSG00000031839,ENSMUSG00000058290,ENSMUSG00000024413,,,,,
ENSMUSG00000050002,ENSMUSG00000021843,ENSMUSG00000022574,ENSMUSG00000053329,ENSMUSG00000049152,ENSMUSG00000027195,ENSMUSG00000055745,ENSMUSG00000067889,,,,,
ENSMUSG00000036446,ENSMUSG00000060152,ENSMUSG00000062397,ENSMUSG00000067336,ENSMUSG00000022887,ENSMUSG00000001525,ENSMUSG00000026459,ENSMUSG00000054808,,,,,
ENSMUSG00000026820,ENSMUSG00000025616,ENSMUSG00000021646,ENSMUSG00000035284,ENSMUSG00000033533,ENSMUSG00000060012,ENSMUSG00000007480,ENSMUSG00000093930,,,,,
ENSMUSG00000001134,ENSMUSG00000060512,ENSMUSG00000056537,ENSMUSG00000021486,ENSMUSG00000026568,ENSMUSG00000022742,ENSMUSG00000021904,ENSMUSG00000020361,,,,,
ENSMUSG00000046668,ENSMUSG00000021594,ENSMUSG00000050931,ENSMUSG00000096210,ENSMUSG00000027761,ENSMUSG00000047459,ENSMUSG00000038112,ENSMUSG00000026219,,,,,
ENSMUSG00000026456,ENSMUSG00000021893,ENSMUSG00000022100,ENSMUSG00000042305,ENSMUSG00000022040,ENSMUSG00000037266,ENSMUSG00000039419,ENSMUSG00000024140,,,,,
ENSMUSG00000022505,ENSMUSG00000027698,ENSMUSG00000027087,ENSMUSG00000078680,ENSMUSG00000028132,ENSMUSG00000020671,ENSMUSG00000075394,ENSMUSG00000044393,,,,,
ENSMUSG00000026958,ENSMUSG00000020611,ENSMUSG00000019471,ENSMUSG00000017485,ENSMUSG00000045128,ENSMUSG00000002052,ENSMUSG00000039873,ENSMUSG00000038615,,,,,
ENSMUSG00000087090,ENSMUSG00000031691,ENSMUSG00000066441,ENSMUSG00000029767,ENSMUSG00000028980,ENSMUSG00000028402,ENSMUSG00000039661,ENSMUSG00000051285,,,,,
ENSMUSG00000003346,ENSMUSG00000020075,ENSMUSG00000073422,ENSMUSG00000018286,ENSMUSG00000028367,ENSMUSG00000013701,ENSMUSG00000026069,ENSMUSG00000004535,,,,,
ENSMUSG00000039795,ENSMUSG00000040253,ENSMUSG00000017428,ENSMUSG00000046070,ENSMUSG00000030432,ENSMUSG00000055670,ENSMUSG00000027776,ENSMUSG00000022462,,,,,
ENSMUSG00000028842,ENSMUSG00000057722,ENSMUSG00000030516,ENSMUSG00000062270,ENSMUSG00000063232,ENSMUSG00000030339,ENSMUSG00000029061,ENSMUSG00000026170,,,,,
ENSMUSG00000074466,ENSMUSG00000020173,ENSMUSG00000046879,ENSMUSG00000019082,ENSMUSG00000042770,ENSMUSG00000035757,ENSMUSG00000003545,ENSMUSG00000024065,,,,,
ENSMUSG00000019916,ENSMUSG00000056313,ENSMUSG00000030172,ENSMUSG00000050565,ENSMUSG00000020267,ENSMUSG00000021814,ENSMUSG00000036960,ENSMUSG00000028076,,,,,
ENSMUSG00000005802,ENSMUSG00000003345,ENSMUSG00000074746,ENSMUSG00000020097,ENSMUSG00000030884,ENSMUSG00000025059,ENSMUSG00000036144,ENSMUSG00000025176,,,,,
ENSMUSG00000022552,ENSMUSG00000002455,ENSMUSG00000038764,ENSMUSG00000033863,ENSMUSG00000032314,ENSMUSG00000038298,ENSMUSG00000047591,ENSMUSG00000028517,,,,,
ENSMUSG00000022091,ENSMUSG00000024767,ENSMUSG00000032525,ENSMUSG00000059040,ENSMUSG00000032383,ENSMUSG00000052428,ENSMUSG00000000794,ENSMUSG00000102869,,,,,
ENSMUSG00000013275,ENSMUSG00000045996,ENSMUSG00000022809,ENSMUSG00000021870,ENSMUSG00000038286,ENSMUSG00000026667,ENSMUSG00000000861,ENSMUSG00000021048,,,,,
ENSMUSG00000032046,ENSMUSG00000078923,ENSMUSG00000026858,ENSMUSG00000015755,ENSMUSG00000025993,ENSMUSG00000022562,ENSMUSG00000092035,ENSMUSG00000020091,,,,,
ENSMUSG00000057143,ENSMUSG00000026374,ENSMUSG00000031715,ENSMUSG00000037706,ENSMUSG00000020460,ENSMUSG00000034574,ENSMUSG00000114279,ENSMUSG00000079057,,,,,
ENSMUSG00000034544,ENSMUSG00000027806,ENSMUSG00000028552,ENSMUSG00000037646,ENSMUSG00000025967,ENSMUSG00000001665,ENSMUSG00000006398,ENSMUSG00000030104,,,,,
ENSMUSG00000062526,ENSMUSG00000030225,ENSMUSG00000020640,ENSMUSG00000027312,ENSMUSG00000056234,ENSMUSG00000005069,ENSMUSG00000038253,ENSMUSG00000022841,,,,,
ENSMUSG00000051615,ENSMUSG00000032570,ENSMUSG00000016481,ENSMUSG00000022307,ENSMUSG00000032310,ENSMUSG00000039501,ENSMUSG00000027376,ENSMUSG00000001924,,,,,
ENSMUSG00000029229,ENSMUSG00000025525,ENSMUSG00000006494,ENSMUSG00000025151,ENSMUSG00000036781,ENSMUSG00000004364,ENSMUSG00000024803,ENSMUSG00000056429,,,,,
ENSMUSG00000032123,ENSMUSG00000075232,ENSMUSG00000031877,ENSMUSG00000074582,ENSMUSG00000074264,ENSMUSG00000004798,ENSMUSG00000028841,ENSMUSG00000036110,,,,,
ENSMUSG00000062646,ENSMUSG00000022263,ENSMUSG00000021140,ENSMUSG00000028053,ENSMUSG00000061904,ENSMUSG00000028082,ENSMUSG00000039883,ENSMUSG00000022094,,,,,
ENSMUSG00000018661,ENSMUSG00000031158,ENSMUSG00000019978,ENSMUSG00000022365,ENSMUSG00000032418,ENSMUSG00000030064,ENSMUSG00000022947,ENSMUSG00000033174,,,,,
ENSMUSG00000096727,ENSMUSG00000074521,ENSMUSG00000038459,ENSMUSG00000053460,ENSMUSG00000031010,ENSMUSG00000045441,ENSMUSG00000100599,ENSMUSG00000006818,,,,,
ENSMUSG00000025025,ENSMUSG00000006800,ENSMUSG00000035948,ENSMUSG00000022272,ENSMUSG00000022551,ENSMUSG00000019883,ENSMUSG00000074923,ENSMUSG00000064294,,,,,
ENSMUSG00000041324,ENSMUSG00000027618,ENSMUSG00000030660,ENSMUSG00000027620,ENSMUSG00000020098,ENSMUSG00000032612,ENSMUSG00000084843,ENSMUSG00000045975,,,,,
ENSMUSG00000061313,ENSMUSG00000032407,ENSMUSG00000030447,ENSMUSG00000027673,ENSMUSG00000022565,ENSMUSG00000031626,ENSMUSG00000005950,ENSMUSG00000028124,,,,,
ENSMUSG00000010914,ENSMUSG00000020516,ENSMUSG00000046985,ENSMUSG00000030824,ENSMUSG00000079641,ENSMUSG00000029482,ENSMUSG00000000901,ENSMUSG00000034707,,,,,
ENSMUSG00000021131,ENSMUSG00000024012,ENSMUSG00000051391,ENSMUSG00000036570,ENSMUSG00000033295,ENSMUSG00000020198,ENSMUSG00000061877,ENSMUSG00000030737,,,,,
ENSMUSG00000019948,ENSMUSG00000002778,ENSMUSG00000020076,ENSMUSG00000028559,ENSMUSG00000036309,ENSMUSG00000024735,ENSMUSG00000023047,ENSMUSG00000020150,,,,,
ENSMUSG00000022721,ENSMUSG00000035161,ENSMUSG00000027194,ENSMUSG00000041058,ENSMUSG00000078798,ENSMUSG00000036707,ENSMUSG00000030468,ENSMUSG00000024158,,,,,
ENSMUSG00000020241,ENSMUSG00000044340,ENSMUSG00000007564,ENSMUSG00000003948,ENSMUSG00000024085,ENSMUSG00000017057,ENSMUSG00000032186,ENSMUSG00000022261,,,,,
ENSMUSG00000048706,ENSMUSG00000087370,ENSMUSG00000042073,ENSMUSG00000055730,ENSMUSG00000019818,ENSMUSG00000013997,ENSMUSG00000031398,ENSMUSG00000024588,,,,,
ENSMUSG00000040455,ENSMUSG00000032812,ENSMUSG00000022370,ENSMUSG00000002748,ENSMUSG00000015357,ENSMUSG00000026457,ENSMUSG00000028996,ENSMUSG00000031438,,,,,
ENSMUSG00000052920,ENSMUSG00000042043,ENSMUSG00000025885,ENSMUSG00000021488,ENSMUSG00000038462,ENSMUSG00000009079,ENSMUSG00000001661,ENSMUSG00000030861,,,,,
ENSMUSG00000015776,ENSMUSG00000010110,ENSMUSG00000029833,ENSMUSG00000034908,ENSMUSG00000059743,ENSMUSG00000047187,ENSMUSG00000053398,ENSMUSG00000032115,,,,,
