FLT_cluster_02,FLT_cluster_03,FLT_cluster_04,FLT_cluster_05,FLT_cluster_06,FLT_cluster_07,FLT_cluster_08,FLT_cluster_09,FLT_cluster_10,FLT_cluster_11,FLT_cluster_12,FLT_cluster_13,FLT_cluster_14
ENSMUSG00000031878,ENSMUSG00000028035,ENSMUSG00000022814,ENSMUSG00000059263,ENSMUSG00000034566,ENSMUSG00000030654,ENSMUSG00000025754,ENSMUSG00000024991,ENSMUSG00000000049,ENSMUSG00000029260,ENSMUSG00000042613,ENSMUSG00000067279,ENSMUSG00000059741
ENSMUSG00000020696,ENSMUSG00000023106,ENSMUSG00000028003,ENSMUSG00000031271,ENSMUSG00000020386,ENSMUSG00000068328,ENSMUSG00000052688,ENSMUSG00000030357,ENSMUSG00000021210,ENSMUSG00000048856,ENSMUSG00000030470,ENSMUSG00000049775,ENSMUSG00000027204
ENSMUSG00000022749,ENSMUSG00000036737,ENSMUSG00000003435,ENSMUSG00000030788,ENSMUSG00000078566,ENSMUSG00000028527,ENSMUSG00000074652,ENSMUSG00000029458,ENSMUSG00000035686,ENSMUSG00000030382,ENSMUSG00000019787,ENSMUSG00000042286,ENSMUSG00000030137
ENSMUSG00000067713,ENSMUSG00000030127,ENSMUSG00000027531,ENSMUSG00000036892,ENSMUSG00000039202,ENSMUSG00000026895,ENSMUSG00000041696,ENSMUSG00000006736,ENSMUSG00000002985,ENSMUSG00000024386,ENSMUSG00000024049,ENSMUSG00000029430,ENSMUSG00000055320
ENSMUSG00000026519,ENSMUSG00000038762,ENSMUSG00000001348,ENSMUSG00000053768,ENSMUSG00000022235,ENSMUSG00000028719,ENSMUSG00000042116,ENSMUSG00000021748,ENSMUSG00000031722,ENSMUSG00000023224,ENSMUSG00000061462,ENSMUSG00000001289,ENSMUSG00000033365
ENSMUSG00000026117,ENSMUSG00000027784,ENSMUSG00000019944,ENSMUSG00000039640,ENSMUSG00000035247,ENSMUSG00000028573,ENSMUSG00000036186,ENSMUSG00000032808,ENSMUSG00000057841,ENSMUSG00000054630,ENSMUSG00000028773,ENSMUSG00000065649,ENSMUSG00000006221
ENSMUSG00000039656,ENSMUSG00000039477,ENSMUSG00000034269,ENSMUSG00000002332,ENSMUSG00000049422,ENSMUSG00000068290,ENSMUSG00000028115,ENSMUSG00000022871,ENSMUSG00000037798,ENSMUSG00000020315,ENSMUSG00000064179,ENSMUSG00000031299,ENSMUSG00000007655
ENSMUSG00000024955,ENSMUSG00000061981,ENSMUSG00000033379,ENSMUSG00000030754,ENSMUSG00000018770,ENSMUSG00000036103,ENSMUSG00000021991,ENSMUSG00000022533,ENSMUSG00000024990,ENSMUSG00000025950,ENSMUSG00000068697,ENSMUSG00000089281,ENSMUSG00000033327
ENSMUSG00000069089,ENSMUSG00000028538,ENSMUSG00000060450,ENSMUSG00000023845,ENSMUSG00000060703,ENSMUSG00000030674,ENSMUSG00000041073,ENSMUSG00000057037,ENSMUSG00000030236,ENSMUSG00000063229,ENSMUSG00000013936,ENSMUSG00000022820,ENSMUSG00000018339
ENSMUSG00000055720,ENSMUSG00000026766,ENSMUSG00000017774,ENSMUSG00000051375,ENSMUSG00000062825,ENSMUSG00000066900,ENSMUSG00000015134,ENSMUSG00000020664,ENSMUSG00000029632,ENSMUSG00000022464,ENSMUSG00000038670,ENSMUSG00000028234,ENSMUSG00000034055
ENSMUSG00000034893,ENSMUSG00000030002,ENSMUSG00000031753,ENSMUSG00000063015,ENSMUSG00000045983,ENSMUSG00000022437,ENSMUSG00000059149,ENSMUSG00000047731,ENSMUSG00000026417,ENSMUSG00000043716,ENSMUSG00000007877,ENSMUSG00000020326,ENSMUSG00000062373
ENSMUSG00000027575,ENSMUSG00000009549,ENSMUSG00000025949,ENSMUSG00000030102,ENSMUSG00000026202,ENSMUSG00000037149,ENSMUSG00000042607,ENSMUSG00000004264,ENSMUSG00000061787,ENSMUSG00000004207,ENSMUSG00000039891,ENSMUSG00000032479,ENSMUSG00000031198
ENSMUSG00000006276,ENSMUSG00000026034,ENSMUSG00000032594,ENSMUSG00000021111,ENSMUSG00000010277,ENSMUSG00000047230,ENSMUSG00000003541,ENSMUSG00000019428,ENSMUSG00000040134,ENSMUSG00000021939,ENSMUSG00000030852,ENSMUSG00000028798,ENSMUSG00000001642
ENSMUSG00000057230,ENSMUSG00000027074,ENSMUSG00000015247,ENSMUSG00000019820,ENSMUSG00000024130,ENSMUSG00000059588,ENSMUSG00000027894,ENSMUSG00000038776,ENSMUSG00000061983,ENSMUSG00000030688,ENSMUSG00000032648,ENSMUSG00000028648,ENSMUSG00000028278
ENSMUSG00000066149,ENSMUSG00000044167,ENSMUSG00000024780,ENSMUSG00000008730,ENSMUSG00000020163,ENSMUSG00000029110,ENSMUSG00000085786,ENSMUSG00000036371,ENSMUSG00000022875,ENSMUSG00000025428,ENSMUSG00000030246,ENSMUSG00000016427,ENSMUSG00000021493
ENSMUSG00000032563,ENSMUSG00000021482,ENSMUSG00000040855,ENSMUSG00000040413,ENSMUSG00000047866,ENSMUSG00000023004,ENSMUSG00000042428,ENSMUSG00000022885,ENSMUSG00000034088,ENSMUSG00000003809,ENSMUSG00000060600,ENSMUSG00000026032,ENSMUSG00000056900
ENSMUSG00000027244,ENSMUSG00000078672,ENSMUSG00000033149,ENSMUSG00000073639,ENSMUSG00000100094,ENSMUSG00000019173,ENSMUSG00000050071,ENSMUSG00000036550,ENSMUSG00000026579,ENSMUSG00000070594,ENSMUSG00000040694,ENSMUSG00000044894,ENSMUSG00000057193
ENSMUSG00000022724,ENSMUSG00000049421,ENSMUSG00000070780,ENSMUSG00000020152,ENSMUSG00000057880,ENSMUSG00000037966,ENSMUSG00000018822,ENSMUSG00000015112,ENSMUSG00000027875,ENSMUSG00000031725,ENSMUSG00000024471,ENSMUSG00000015092,ENSMUSG00000027602
ENSMUSG00000022706,ENSMUSG00000032396,ENSMUSG00000021376,ENSMUSG00000037119,ENSMUSG00000005547,ENSMUSG00000037722,ENSMUSG00000020838,ENSMUSG00000021824,ENSMUSG00000028495,ENSMUSG00000033688,ENSMUSG00000005583,ENSMUSG00000096546,ENSMUSG00000039987
ENSMUSG00000025236,ENSMUSG00000058407,ENSMUSG00000078619,ENSMUSG00000022312,ENSMUSG00000026526,ENSMUSG00000055762,ENSMUSG00000056078,ENSMUSG00000025982,ENSMUSG00000032083,ENSMUSG00000029630,ENSMUSG00000031097,ENSMUSG00000000088,ENSMUSG00000034220
ENSMUSG00000035642,ENSMUSG00000028098,ENSMUSG00000029201,ENSMUSG00000019132,ENSMUSG00000027261,ENSMUSG00000030275,ENSMUSG00000022018,ENSMUSG00000046329,ENSMUSG00000032079,ENSMUSG00000031482,ENSMUSG00000026817,ENSMUSG00000008668,ENSMUSG00000061780
ENSMUSG00000101655,ENSMUSG00000008604,ENSMUSG00000020463,ENSMUSG00000001542,ENSMUSG00000036751,ENSMUSG00000038650,ENSMUSG00000063821,ENSMUSG00000028715,ENSMUSG00000093674,ENSMUSG00000024981,ENSMUSG00000044041,ENSMUSG00000035885,ENSMUSG00000079588
ENSMUSG00000024182,ENSMUSG00000020477,ENSMUSG00000026356,ENSMUSG00000039361,ENSMUSG00000041660,ENSMUSG00000024286,ENSMUSG00000021356,ENSMUSG00000030161,ENSMUSG00000062328,ENSMUSG00000020154,ENSMUSG00000002831,ENSMUSG00000033400,ENSMUSG00000018830
ENSMUSG00000045438,ENSMUSG00000020628,ENSMUSG00000041415,ENSMUSG00000056342,ENSMUSG00000070644,ENSMUSG00000040612,ENSMUSG00000041431,ENSMUSG00000020072,ENSMUSG00000063856,ENSMUSG00000024900,ENSMUSG00000027010,ENSMUSG00000038412,ENSMUSG00000043336
ENSMUSG00000024563,ENSMUSG00000057465,ENSMUSG00000003518,ENSMUSG00000025060,ENSMUSG00000059495,ENSMUSG00000002010,ENSMUSG00000020264,ENSMUSG00000056666,ENSMUSG00000074254,ENSMUSG00000025190,ENSMUSG00000025488,ENSMUSG00000025508,ENSMUSG00000033685
ENSMUSG00000086628,ENSMUSG00000027660,ENSMUSG00000030214,ENSMUSG00000039831,ENSMUSG00000063882,ENSMUSG00000029686,ENSMUSG00000055368,ENSMUSG00000028108,ENSMUSG00000051748,ENSMUSG00000031594,ENSMUSG00000038663,ENSMUSG00000028273,ENSMUSG00000024143
ENSMUSG00000027962,ENSMUSG00000029501,ENSMUSG00000076432,ENSMUSG00000025332,ENSMUSG00000028452,ENSMUSG00000053436,ENSMUSG00000090084,ENSMUSG00000022961,ENSMUSG00000071178,ENSMUSG00000024359,ENSMUSG00000055775,ENSMUSG00000032271,ENSMUSG00000024937
ENSMUSG00000046351,ENSMUSG00000027678,ENSMUSG00000025762,ENSMUSG00000014077,ENSMUSG00000085438,ENSMUSG00000032348,ENSMUSG00000068373,ENSMUSG00000036752,ENSMUSG00000017404,ENSMUSG00000067235,ENSMUSG00000031791,ENSMUSG00000039016,ENSMUSG00000024597
ENSMUSG00000002984,ENSMUSG00000032966,ENSMUSG00000026853,ENSMUSG00000066306,ENSMUSG00000032359,ENSMUSG00000026398,ENSMUSG00000069911,ENSMUSG00000033184,ENSMUSG00000003814,ENSMUSG00000008348,ENSMUSG00000018566,ENSMUSG00000019122,ENSMUSG00000044468
ENSMUSG00000029772,ENSMUSG00000035027,ENSMUSG00000023118,ENSMUSG00000040918,ENSMUSG00000037563,ENSMUSG00000034024,ENSMUSG00000030353,ENSMUSG00000039653,ENSMUSG00000073702,ENSMUSG00000020321,ENSMUSG00000032294,ENSMUSG00000090247,ENSMUSG00000068220
ENSMUSG00000030619,ENSMUSG00000037369,ENSMUSG00000063273,ENSMUSG00000019179,ENSMUSG00000025903,ENSMUSG00000093904,ENSMUSG00000005360,ENSMUSG00000027642,ENSMUSG00000026385,ENSMUSG00000032399,ENSMUSG00000032060,ENSMUSG00000029597,ENSMUSG00000041476
ENSMUSG00000045854,ENSMUSG00000020863,ENSMUSG00000009907,ENSMUSG00000005871,ENSMUSG00000075706,ENSMUSG00000052392,ENSMUSG00000021047,ENSMUSG00000027763,ENSMUSG00000017493,ENSMUSG00000028158,ENSMUSG00000072720,ENSMUSG00000067288,ENSMUSG00000030996
ENSMUSG00000040022,ENSMUSG00000036885,ENSMUSG00000039753,ENSMUSG00000027870,ENSMUSG00000040017,ENSMUSG00000057522,ENSMUSG00000020937,ENSMUSG00000022587,ENSMUSG00000024164,ENSMUSG00000031444,ENSMUSG00000007122,ENSMUSG00000013076,ENSMUSG00000052911
ENSMUSG00000038949,ENSMUSG00000079614,ENSMUSG00000020936,ENSMUSG00000038375,ENSMUSG00000029426,ENSMUSG00000021264,ENSMUSG00000050295,ENSMUSG00000034285,ENSMUSG00000020048,ENSMUSG00000028649,ENSMUSG00000030399,ENSMUSG00000078713,ENSMUSG00000006360
ENSMUSG00000068742,ENSMUSG00000020277,ENSMUSG00000031958,ENSMUSG00000021583,ENSMUSG00000038717,ENSMUSG00000017718,ENSMUSG00000037509,ENSMUSG00000029669,ENSMUSG00000024646,ENSMUSG00000021135,ENSMUSG00000048279,ENSMUSG00000060938,ENSMUSG00000027401
ENSMUSG00000024427,ENSMUSG00000002718,ENSMUSG00000024404,ENSMUSG00000033107,ENSMUSG00000019929,ENSMUSG00000002881,ENSMUSG00000022758,ENSMUSG00000020592,ENSMUSG00000046330,ENSMUSG00000022766,ENSMUSG00000059668,ENSMUSG00000008683,ENSMUSG00000021200
ENSMUSG00000002820,ENSMUSG00000005371,ENSMUSG00000002147,ENSMUSG00000032504,ENSMUSG00000020017,ENSMUSG00000031555,ENSMUSG00000034472,ENSMUSG00000003226,ENSMUSG00000032081,ENSMUSG00000032216,ENSMUSG00000061816,ENSMUSG00000047822,ENSMUSG00000078937
ENSMUSG00000030805,ENSMUSG00000022812,ENSMUSG00000044788,ENSMUSG00000032249,ENSMUSG00000109764,ENSMUSG00000024038,ENSMUSG00000030317,ENSMUSG00000021492,ENSMUSG00000054422,ENSMUSG00000024892,ENSMUSG00000033196,ENSMUSG00000021606,ENSMUSG00000029661
ENSMUSG00000031628,ENSMUSG00000025142,ENSMUSG00000027630,ENSMUSG00000031443,ENSMUSG00000000787,ENSMUSG00000064120,ENSMUSG00000032549,ENSMUSG00000039323,ENSMUSG00000003617,ENSMUSG00000060459,ENSMUSG00000028116,ENSMUSG00000058076,ENSMUSG00000091898
ENSMUSG00000033767,ENSMUSG00000006356,ENSMUSG00000022361,ENSMUSG00000052681,ENSMUSG00000037542,ENSMUSG00000026814,ENSMUSG00000033825,ENSMUSG00000074882,ENSMUSG00000006522,ENSMUSG00000001123,ENSMUSG00000026208,ENSMUSG00000004655,
ENSMUSG00000021693,ENSMUSG00000046138,ENSMUSG00000003068,ENSMUSG00000044080,ENSMUSG00000054072,ENSMUSG00000072946,ENSMUSG00000053626,ENSMUSG00000020456,ENSMUSG00000074768,ENSMUSG00000033715,ENSMUSG00000027470,ENSMUSG00000014294,
ENSMUSG00000048772,ENSMUSG00000007338,ENSMUSG00000020064,ENSMUSG00000038127,ENSMUSG00000027809,ENSMUSG00000049090,ENSMUSG00000031962,ENSMUSG00000032232,ENSMUSG00000062647,ENSMUSG00000030747,ENSMUSG00000032366,ENSMUSG00000062683,
ENSMUSG00000025077,ENSMUSG00000037486,ENSMUSG00000041763,ENSMUSG00000019838,ENSMUSG00000021884,ENSMUSG00000031939,ENSMUSG00000003352,ENSMUSG00000040583,ENSMUSG00000022868,ENSMUSG00000021676,ENSMUSG00000018893,ENSMUSG00000033938,
ENSMUSG00000057110,ENSMUSG00000038102,ENSMUSG00000020130,ENSMUSG00000025089,ENSMUSG00000025937,ENSMUSG00000027820,ENSMUSG00000061068,ENSMUSG00000039783,ENSMUSG00000024665,ENSMUSG00000031447,ENSMUSG00000030554,ENSMUSG00000031328,
ENSMUSG00000025920,ENSMUSG00000021792,ENSMUSG00000021779,ENSMUSG00000040963,ENSMUSG00000024073,ENSMUSG00000025486,ENSMUSG00000022203,ENSMUSG00000026775,ENSMUSG00000090733,ENSMUSG00000024863,ENSMUSG00000030592,ENSMUSG00000021764,
ENSMUSG00000073002,ENSMUSG00000024712,ENSMUSG00000027709,ENSMUSG00000035637,ENSMUSG00000033161,ENSMUSG00000028228,ENSMUSG00000049871,ENSMUSG00000028788,ENSMUSG00000001670,ENSMUSG00000029580,ENSMUSG00000020061,ENSMUSG00000036199,
ENSMUSG00000021241,ENSMUSG00000031119,ENSMUSG00000007850,ENSMUSG00000022698,ENSMUSG00000022477,ENSMUSG00000050732,ENSMUSG00000026039,ENSMUSG00000078812,ENSMUSG00000058546,ENSMUSG00000021238,ENSMUSG00000015568,,
ENSMUSG00000005882,ENSMUSG00000037818,ENSMUSG00000037075,ENSMUSG00000029499,ENSMUSG00000026922,ENSMUSG00000061175,ENSMUSG00000031734,ENSMUSG00000022514,ENSMUSG00000076441,ENSMUSG00000010663,ENSMUSG00000004085,,
ENSMUSG00000031511,ENSMUSG00000028229,ENSMUSG00000019731,ENSMUSG00000031731,ENSMUSG00000041798,ENSMUSG00000024843,ENSMUSG00000038600,ENSMUSG00000028465,ENSMUSG00000029368,ENSMUSG00000020884,ENSMUSG00000022519,,
ENSMUSG00000019194,ENSMUSG00000039886,ENSMUSG00000031502,ENSMUSG00000026014,ENSMUSG00000057322,ENSMUSG00000073838,ENSMUSG00000098132,ENSMUSG00000006699,ENSMUSG00000024661,ENSMUSG00000056973,ENSMUSG00000021061,,
ENSMUSG00000019791,ENSMUSG00000046532,ENSMUSG00000056216,ENSMUSG00000072664,ENSMUSG00000024248,ENSMUSG00000029864,ENSMUSG00000020676,ENSMUSG00000041891,ENSMUSG00000025130,ENSMUSG00000000673,ENSMUSG00000030730,,
ENSMUSG00000022151,ENSMUSG00000002602,ENSMUSG00000074064,ENSMUSG00000040170,ENSMUSG00000042118,ENSMUSG00000031278,ENSMUSG00000060843,ENSMUSG00000057074,ENSMUSG00000025290,ENSMUSG00000027227,ENSMUSG00000061723,,
ENSMUSG00000056724,ENSMUSG00000044477,ENSMUSG00000024424,ENSMUSG00000033306,ENSMUSG00000073411,ENSMUSG00000000441,ENSMUSG00000037086,ENSMUSG00000039630,ENSMUSG00000007892,ENSMUSG00000094806,ENSMUSG00000022186,,
ENSMUSG00000024018,ENSMUSG00000035851,ENSMUSG00000028416,ENSMUSG00000026663,ENSMUSG00000032014,ENSMUSG00000021610,ENSMUSG00000071847,ENSMUSG00000074272,ENSMUSG00000021794,ENSMUSG00000032047,ENSMUSG00000042717,,
ENSMUSG00000057406,ENSMUSG00000041571,ENSMUSG00000044408,ENSMUSG00000060317,ENSMUSG00000023176,ENSMUSG00000049502,ENSMUSG00000000126,ENSMUSG00000005683,ENSMUSG00000002588,ENSMUSG00000028737,ENSMUSG00000020475,,
