x,y,z,gene_id,Location,gmm,hdbscan,spectral,consensus
18.880905,7.2268667,6.5918765,AT1G01860,FLT,0,10,15,6
-0.89115685,8.907596,19.81516,AT1G01880,FLT,0,14,9,6
20.429462,0.729185,-0.6110811,AT1G01900,FLT,9,9,17,4
7.115404,-14.833666,12.906392,AT1G01910,FLT,19,4,21,10
-2.9478295,-6.975217,2.6964166,AT1G01920,FLT,12,4,6,12
5.201721,2.3429043,-17.20349,AT1G01930,FLT,9,7,3,14
8.22779,6.777413,-15.92921,AT1G01940,FLT,9,7,22,14
-2.1438468,-6.3829565,4.728646,AT1G01950,FLT,12,4,6,12
-16.804781,9.040413,-17.345829,AT1G01960,FLT,11,3,13,0
14.213133,-3.6624022,-9.433258,AT1G01970,FLT,9,7,20,14
-23.12599,-7.8500504,4.153011,AT1G01980,FLT,8,13,8,1
-4.3176913,-3.8417604,-1.4431303,AT1G01990,FLT,17,5,12,2
7.702354,2.9463174,-17.670677,AT1G02000,FLT,9,7,3,14
14.346253,7.3499746,-14.370071,AT1G02010,FLT,9,7,14,14
11.196138,3.9683433,-16.982986,AT1G02020,FLT,9,7,3,14
-6.1182394,7.052794,15.618577,AT1G02030,FLT,0,14,9,6
-23.155865,-8.058544,2.4429805,AT1G02040,FLT,8,13,8,1
13.583365,4.547463,-15.768245,AT1G02050,FLT,9,7,14,14
12.350316,2.4504669,-16.642601,AT1G02060,FLT,9,7,3,14
-0.040373262,14.091372,10.465475,AT1G02065,FLT,0,14,2,6
-14.0290365,-3.6422093,-4.2841206,AT1G02070,FLT,8,13,19,1
-14.489011,13.893366,-14.647658,AT1G02080,FLT,11,3,13,0
3.5748982,-8.285718,13.111158,AT1G02090,FLT,12,4,6,12
10.69808,-15.084778,5.9989,AT1G02100,FLT,19,4,21,10
0.6995333,-12.29463,13.958086,AT1G02110,FLT,19,4,6,12
-4.853571,-24.565859,-5.148634,AT1G02120,FLT,13,4,10,5
10.588064,-12.658047,6.957907,AT1G02130,FLT,12,4,21,12
-10.973635,-14.167881,-12.32615,AT1G02140,FLT,3,3,10,5
-0.24144995,2.5540063,-12.561716,AT1G02145,FLT,17,6,22,2
-5.405162,7.5406632,-18.319572,AT1G02150,FLT,1,1,4,9
22.742962,4.307179,-2.502285,AT1G02160,FLT,9,9,11,4
-2.1283839,-0.9543751,3.2098422,AT1G02170,FLT,12,4,6,12
8.577362,4.715929,11.540738,AT1G02180,FLT,0,11,0,6
-11.031835,0.32952875,0.46112376,AT1G02190,FLT,0,13,2,1
4.9375596,7.396915,-3.9221964,AT1G02205,FLT,4,7,22,14
3.6721315,6.275442,-3.192626,AT1G02220,FLT,4,6,22,2
-6.1607943,11.235198,11.625259,AT1G02230,FLT,0,14,9,6
-21.152214,-5.7644343,-4.067482,AT1G02250,FLT,8,13,8,1
