x,y,z,gene_id,Location,gmm,hdbscan,spectral,consensus
-2.7028084,3.6943388,-16.548464,AT1G01010,GC,9,10,0,14
-17.72547,-3.1735175,8.862599,AT1G01020,GC,7,16,5,6
4.1779,10.876421,12.8497305,AT1G01030,GC,0,22,2,7
-3.4148855,3.800204,11.182199,AT1G01040,GC,11,6,16,15
-2.382716,5.8141484,-7.2030005,AT1G01050,GC,1,8,1,1
-3.2858982,5.1850524,9.5961895,AT1G01060,GC,11,6,16,15
-7.5864525,5.1856723,-19.687946,AT1G01070,GC,9,10,6,14
-13.174157,-8.459405,5.5772467,AT1G01080,GC,3,16,5,6
10.069225,16.333576,-12.062048,AT1G01090,GC,6,4,14,4
16.187218,13.762284,-7.5916314,AT1G01100,GC,6,0,11,13
-10.518602,-13.888308,-10.885493,AT1G01110,GC,3,13,3,5
-1.2505444,1.5739716,-12.471611,AT1G01120,GC,12,11,0,8
19.889877,-2.058408,-13.597464,AT1G01130,GC,23,27,9,0
6.022735,23.796307,0.011011924,AT1G01140,GC,0,20,19,17
18.508875,-13.784095,4.945366,AT1G01150,GC,23,24,8,0
-2.724166,-5.6854,-2.3481362,AT1G01160,GC,17,7,1,1
-15.774035,-2.277099,9.748421,AT1G01170,GC,7,16,5,6
-7.743236,-15.352742,-6.2028217,AT1G01180,GC,3,13,3,5
0.9097111,4.736909,-9.265046,AT1G01190,GC,22,8,1,1
-16.7761,3.7404566,10.76156,AT1G01200,GC,7,17,18,2
-13.818186,1.727024,-14.237845,AT1G01210,GC,9,9,6,14
5.0510044,-3.065099,2.2008262,AT1G01220,GC,16,6,1,15
-17.402046,-9.275744,2.7916255,AT1G01225,GC,3,15,5,6
5.438555,-2.6402245,4.330314,AT1G01230,GC,16,6,1,15
-12.1015,6.056045,-10.352695,AT1G01240,GC,17,8,6,12
16.948227,-4.9156594,-1.8092983,AT1G01250,GC,23,27,8,0
-4.6438465,-2.038278,-2.852211,AT1G01260,GC,17,7,1,1
-6.37084,4.109896,-20.606205,AT1G01290,GC,9,10,0,14
1.3224294,11.264265,-1.6482141,AT1G01300,GC,20,19,14,4
20.025278,-8.036776,-8.834511,AT1G01310,GC,23,27,9,0
-5.2717967,-8.641919,15.724147,AT1G01320,GC,8,5,16,9
-9.228219,6.2284417,-6.2506404,AT1G01340,GC,17,8,6,12
-10.66746,-2.32522,-6.8781734,AT1G01350,GC,17,7,1,1
15.572048,-6.876197,-3.4969842,AT1G01355,GC,23,24,8,0
-10.075267,6.395795,-7.3297033,AT1G01360,GC,17,8,6,12
-20.170103,-3.7309337,3.5973744,AT1G01370,GC,7,15,5,6
4.408388,10.058021,11.347395,AT1G01380,GC,0,22,2,7
16.86549,-0.25093043,-15.680465,AT1G01390,GC,23,27,9,0
8.924265,16.892864,0.5609547,AT1G01420,GC,0,21,19,17
4.9844613,-2.7985816,2.0203195,AT1G01430,GC,16,6,1,15
-5.236656,-0.5168328,-22.856018,AT1G01440,GC,9,10,0,14
-16.513666,5.984493,10.367306,AT1G01448,GC,7,17,18,2
17.514757,-14.354979,4.377714,AT1G01450,GC,23,24,8,0
-5.6611686,20.911724,-3.0096905,AT1G01453,GC,19,19,7,3
-1.0199353,1.3513052,11.353844,AT1G01470,GC,8,6,16,15
-15.213064,8.832227,8.9913,AT1G01480,GC,19,17,18,2
-4.515668,-9.306534,16.059408,AT1G01490,GC,8,5,16,9
-10.670542,1.2515142,7.037025,AT1G01500,GC,7,17,18,2
-2.8531864,3.905274,4.1507,AT1G01510,GC,11,6,1,15
17.843512,-2.7893782,-1.3920938,AT1G01520,GC,23,25,12,0
16.322542,1.1714941,-14.426412,AT1G01530,GC,23,27,12,0
-6.362429,-16.85299,10.644855,AT1G01540,GC,18,5,4,9
12.652496,16.255419,-9.423958,AT1G01550,GC,6,0,11,13
14.287443,2.803747,17.877337,AT1G01560,GC,0,23,10,7
-10.610745,12.980864,-0.65593415,AT1G01570,GC,19,19,7,3
0.9390213,11.253404,-4.1538453,AT1G01580,GC,24,21,14,4
16.220642,-15.5686655,5.4001503,AT1G01590,GC,23,24,8,0
-20.392282,-1.7995187,4.9443727,AT1G01600,GC,7,16,5,6
-10.30052,1.1935579,2.7479703,AT1G01610,GC,20,17,14,4
26.434002,7.4748225,12.0292225,AT1G01620,GC,5,2,15,11
4.012659,-7.331964,12.419352,AT1G01630,GC,16,5,16,9
-9.683136,1.5781134,-4.236807,AT1G01640,GC,17,7,6,12
4.075397,-13.735494,8.2932825,AT1G01650,GC,16,5,4,9
-12.263482,19.144733,0.12667954,AT1G01660,GC,19,19,7,3
-10.774904,9.258929,4.9790263,AT1G01670,GC,19,18,18,3
17.597271,-9.427853,-14.5427065,AT1G01680,GC,23,27,9,0
-15.178683,-12.406806,-4.099564,AT1G01690,GC,3,14,5,6
20.141975,-10.670633,5.0598273,AT1G01695,GC,23,24,8,0
13.359921,5.689944,12.414062,AT1G01700,GC,0,23,2,7
3.718852,0.82937723,4.7195187,AT1G01710,GC,16,6,1,15
8.83525,7.194901,16.314806,AT1G01715,GC,0,23,2,7
-1.887061,2.3700712,11.182336,AT1G01720,GC,8,6,16,15
8.181807,15.278391,6.3522196,AT1G01725,GC,0,21,19,17
-1.0893155,-4.588273,-20.681717,AT1G01730,GC,14,11,0,8
-11.399073,7.4895606,7.3857517,AT1G01740,GC,7,17,18,2
-7.3861275,-1.0617056,-22.782742,AT1G01750,GC,9,10,0,14
-3.8874807,21.773169,-2.6080446,AT1G01760,GC,19,19,7,3
-5.2115326,4.2598844,-19.928833,AT1G01770,GC,9,10,0,14
-0.84519047,-6.5916696,-10.771993,AT1G01780,GC,14,13,3,5
3.2105663,-2.6883438,11.620783,AT1G01790,GC,16,6,16,15
-3.2828188,2.6198447,-12.751937,AT1G01800,GC,12,10,0,8
15.065264,-5.811292,15.406971,AT1G01810,GC,23,23,10,7
0.39452884,-17.521301,11.728811,AT1G01820,GC,18,5,4,9
-5.9278355,-6.2545834,-21.981382,AT1G01830,GC,14,11,0,8
14.648021,-2.721805,14.793032,AT1G01840,GC,0,23,10,7
-13.757459,11.419333,5.5708356,AT1G01860,GC,19,18,18,3
9.216927,21.004768,5.885604,AT1G01880,GC,0,21,19,17
-2.2651758,16.518747,-3.1530466,AT1G01900,GC,19,19,7,3
-2.9613347,-16.73251,13.432944,AT1G01910,GC,8,5,4,9
3.762357,-0.97622025,0.7184526,AT1G01920,GC,16,6,1,15
-5.2775126,0.45805272,-22.636583,AT1G01930,GC,9,10,0,14
-12.689767,2.1744757,-17.632755,AT1G01940,GC,9,9,6,14
4.947308,-10.872019,6.4632173,AT1G01950,GC,16,5,1,9
14.260673,15.254792,-8.102827,AT1G01960,GC,6,0,11,13
-14.798155,-3.8617043,9.050119,AT1G01970,GC,7,16,5,6
-4.1598563,-13.765696,-9.321641,AT1G01990,GC,14,13,3,5
-2.7419043,-10.370321,-18.946424,AT1G02000,GC,14,12,0,8
-12.514473,-14.501333,-6.1406126,AT1G02010,GC,3,14,3,5
-14.473949,9.23565,8.547544,AT1G02020,GC,19,18,18,3
8.598957,7.2233396,14.932315,AT1G02030,GC,0,23,2,7
18.901957,-7.8528533,-14.746583,AT1G02040,GC,23,27,9,0
-17.199617,-5.6779947,7.764335,AT1G02050,GC,7,16,5,6
-8.945974,-12.837916,-14.200368,AT1G02060,GC,14,12,3,5
10.95806,6.067518,-16.256285,AT1G02065,GC,23,0,13,0
18.811037,-11.169347,11.377682,AT1G02070,GC,23,24,10,0
14.339693,15.082193,-7.297759,AT1G02080,GC,6,0,11,13
-0.43266052,-20.58504,3.6562319,AT1G02090,GC,18,5,4,9
-4.518532,-12.4690075,15.197123,AT1G02100,GC,18,5,16,9
3.1142623,-15.827061,8.485703,AT1G02110,GC,18,5,4,9
-3.8232367,7.073143,7.3128033,AT1G02120,GC,11,6,16,15
0.82081634,-8.204312,15.648424,AT1G02130,GC,8,5,16,9
-14.106958,-0.18973772,3.0058877,AT1G02140,GC,12,16,14,18
3.0114427,-2.3265326,-0.7235434,AT1G02145,GC,16,6,1,15
5.294329,-7.801813,9.268974,AT1G02150,GC,16,5,16,9
-18.72802,-7.166926,4.2468724,AT1G02160,GC,7,15,5,6
3.7119274,-13.374586,10.412675,AT1G02170,GC,18,5,4,9
9.737154,21.03281,4.8382387,AT1G02180,GC,0,21,19,17
17.391405,-2.701638,-16.378857,AT1G02190,GC,23,27,9,0
0.12080391,-6.9215293,-17.104559,AT1G02205,GC,14,11,0,8
-7.4089823,-14.049794,-12.855563,AT1G02220,GC,14,13,3,5
7.802835,7.3361783,14.605447,AT1G02230,GC,0,23,2,7
13.041762,-14.796817,-0.718789,AT1G02250,GC,23,24,8,0
-0.4867953,21.224804,-2.650826,AT1G02260,GC,19,19,7,3
-5.359663,-11.898828,-4.331199,AT1G02270,GC,3,13,3,5
-2.0415132,-6.0481844,16.114632,AT1G02280,GC,8,5,16,9
-8.963373,-13.087789,-0.7004992,AT1G02290,GC,3,14,3,5
-8.250743,-15.533835,-7.7042737,AT1G02300,GC,3,13,3,5
0.14767359,-0.1446712,8.689355,AT1G02305,GC,11,6,16,15
-15.819187,14.627193,2.799476,AT1G02310,GC,19,18,18,3
-3.981728,3.7276065,-19.478863,AT1G02330,GC,9,10,0,14
-5.851452,-7.1358366,-21.688131,AT1G02335,GC,14,12,0,8
8.528285,16.455488,0.33034936,AT1G02340,GC,19,21,19,17
17.999094,-14.293611,7.8147597,AT1G02350,GC,23,24,8,0
-10.879088,2.070931,-20.307775,AT1G02360,GC,9,10,6,14
-9.138845,-12.774791,-14.171954,AT1G02370,GC,14,12,3,5
11.399495,6.002537,9.125801,AT1G02380,GC,0,23,2,7
8.697938,16.606972,6.9323573,AT1G02390,GC,0,21,19,17
-9.028432,-9.155645,2.4036038,AT1G02400,GC,3,14,5,6
14.970221,-9.769799,-6.4497504,AT1G02405,GC,23,27,8,0
-9.868499,4.2757072,-4.8722453,AT1G02410,GC,17,8,6,12
4.185861,11.546184,13.421525,AT1G02420,GC,0,22,2,7
