x,y,z,gene_id,Location,gmm,hdbscan,spectral,consensus
18.568,-3.488837,-1.0536778,AT1G01010,GC,14,9,0,14
1.420355,12.804853,-4.8373594,AT1G01020,GC,7,7,3,6
-6.6143026,2.3614736,-0.19738004,AT1G01030,GC,16,13,16,2
-6.4523005,7.8218465,15.191362,AT1G01040,GC,0,17,12,10
16.302887,1.6912024,10.902765,AT1G01050,GC,13,14,13,18
-11.047067,3.9959362,-17.043926,AT1G01060,GC,15,2,19,7
10.564937,10.689529,10.384001,AT1G01070,GC,13,11,3,6
-20.133291,0.50112104,-12.272338,AT1G01080,GC,22,4,7,4
-3.702949,20.042418,-16.950434,AT1G01090,GC,17,1,8,9
-3.778778,20.667412,-18.709764,AT1G01100,GC,17,1,8,9
18.220095,-0.19624944,0.9169943,AT1G01110,GC,14,14,14,14
15.934835,-11.351482,-2.164571,AT1G01120,GC,14,9,0,14
-13.352408,-10.353723,7.363823,AT1G01130,GC,12,13,9,2
-21.463327,2.9606054,-13.424932,AT1G01140,GC,22,4,7,4
-11.319175,-13.884571,-7.583981,AT1G01150,GC,3,13,18,2
-0.7427354,-7.0458183,15.40495,AT1G01160,GC,21,17,4,16
-15.621498,11.020378,-7.1303506,AT1G01170,GC,20,3,2,0
12.422245,1.3116136,14.028991,AT1G01180,GC,21,14,13,18
12.249096,-8.06206,-11.79224,AT1G01190,GC,19,9,0,14
14.990546,7.6657925,-8.766612,AT1G01200,GC,13,5,14,3
12.674342,5.635264,12.931012,AT1G01210,GC,21,14,13,18
-6.4241,0.008767963,14.660219,AT1G01220,GC,0,17,4,10
11.020754,7.096303,-5.583305,AT1G01225,GC,13,11,14,3
4.8627677,-16.326971,8.268732,AT1G01230,GC,6,18,15,13
8.858286,-4.998479,16.697634,AT1G01240,GC,21,15,13,18
-10.679593,-11.436246,-0.9711073,AT1G01250,GC,3,13,16,2
10.624156,-8.36149,14.7691555,AT1G01260,GC,21,16,13,18
12.490423,5.196577,13.251027,AT1G01290,GC,21,14,13,18
0.3641824,9.877337,-14.006878,AT1G01300,GC,11,0,6,15
-13.911469,-16.708668,13.490011,AT1G01310,GC,12,13,9,2
-4.095477,2.8715215,-20.078941,AT1G01320,GC,15,2,19,7
9.841907,-13.7362175,-3.8799763,AT1G01340,GC,14,9,15,13
2.9453065,-15.516983,6.5089836,AT1G01350,GC,6,18,15,13
