x,y,gene_id,Location,gmm,hdbscan,spectral,consensus
-31.961319,77.15907,AT1G69080,0,14,9,8,10
12.732274,-53.318077,AT1G69085,0,2,14,7,5
-39.86264,-21.674982,AT1G69150,0,2,13,1,12
-36.006153,-18.28583,AT1G69160,0,2,13,1,12
-25.95289,67.66219,AT1G69170,0,14,9,12,10
-4.6779637,-20.219486,AT1G69200,0,20,15,17,9
-35.127895,78.84234,AT1G69210,0,14,9,8,10
88.093094,-3.9557493,AT1G69220,0,3,0,6,0
-37.988644,-5.5245166,AT1G69240,0,2,13,1,12
62.842335,40.054375,AT1G69250,0,24,6,14,4
47.71374,21.005432,AT1G69252,0,9,4,10,11
-29.33713,42.713913,AT1G69260,0,20,11,12,14
5.8032775,83.9419,AT1G69270,0,7,8,2,2
-11.994617,8.607972,AT1G69280,0,20,12,5,8
-26.387163,-19.797262,AT1G69290,0,20,13,17,12
76.67389,-33.78851,AT1G69295,0,19,2,19,13
-32.631836,-24.265764,AT1G69310,0,2,13,16,12
-26.056541,59.19785,AT1G69325,0,20,10,12,14
56.3642,54.361404,AT1G69330,0,0,6,13,4
80.3439,25.310017,AT1G69340,0,21,6,14,4
0.3194614,-34.72041,AT1G69350,0,20,15,17,9
-40.359432,51.279747,AT1G69360,0,20,10,12,14
-56.272255,31.063196,AT1G69370,0,20,12,11,8
-53.950756,53.436367,AT1G69380,0,14,10,11,6
49.003227,51.887512,AT1G69390,0,24,6,13,4
-6.759223,4.1767316,AT1G69400,0,20,12,5,8
26.846512,9.9491005,AT1G69410,0,15,4,10,11
77.191635,30.666159,AT1G69420,0,21,6,14,4
8.3463125,-72.671684,AT1G69430,0,2,14,7,5
7.629647,-44.985687,AT1G69440,0,2,14,17,9
31.646944,52.172302,AT1G69450,0,7,6,13,4
57.597908,-26.344835,AT1G69460,0,8,3,4,1
-45.5789,-80.11647,AT1G69470,0,2,13,0,12
10.880585,-41.03531,AT1G69480,0,2,14,17,9
-26.053354,5.2891407,AT1G69485,0,20,13,5,8
15.691767,-26.977327,AT1G69490,0,20,15,17,9
26.127073,1.443008,AT1G69510,0,15,4,15,7
-3.6006918,69.58015,AT1G69520,0,14,8,8,10
-31.198553,-5.835706,AT1G69523,0,20,13,1,12
27.769468,0.61564815,AT1G69526,0,15,4,15,7
-7.248287,42.88934,AT1G69530,0,20,12,3,8
-13.944577,-55.77946,AT1G69540,0,2,15,16,5
-10.649259,-23.370312,AT1G69550,0,20,15,17,9
-17.166706,50.888382,AT1G69570,0,20,11,12,14
-11.44979,25.654861,AT1G69572,0,20,12,3,8
4.741053,78.23621,AT1G69580,0,14,7,2,10
-21.23741,88.32214,AT1G69587,0,14,9,8,10
-12.968123,-35.284412,AT1G69588,0,2,15,17,9
33.85282,4.180227,AT1G69600,0,9,4,15,7
-34.015224,11.243684,AT1G69610,0,20,13,1,12
29.75905,-15.959666,AT1G69620,0,15,5,15,7
-52.201912,-41.270554,AT1G69630,0,2,13,9,12
89.37034,-25.178183,AT1G69640,0,6,1,6,0
-7.402063,28.435608,AT1G69670,0,20,12,3,8
2.0866985,71.04778,AT1G69680,0,14,8,2,10
4.774071,12.158243,AT1G69690,0,20,12,11,8
29.988567,13.511771,AT1G69700,0,15,4,10,11
4.1181483,-50.14418,AT1G69710,0,2,15,7,5
2.8297899,-82.274635,AT1G69730,0,2,14,18,5
89.71639,-1.2388572,AT1G69740,0,3,0,6,0
56.731422,-17.456556,AT1G69750,0,8,3,4,1
56.714893,-0.2429946,AT1G69760,0,18,4,4,11
21.97719,52.16999,AT1G69770,0,7,6,2,2
89.51318,20.018972,AT1G69780,0,5,6,14,4
-30.320843,-11.610218,AT1G69790,0,20,13,1,12
-28.080708,39.498486,AT1G69800,0,20,12,3,8
0.86309046,64.25428,AT1G69810,0,0,8,11,6
-9.61765,-5.7488146,AT1G69830,0,20,12,5,8
0.77417976,64.98251,AT1G69840,0,0,8,11,6
65.922066,-41.364674,AT1G69850,0,1,2,19,13
-33.261433,-68.23288,AT1G69870,0,2,13,0,12
-7.9268165,-21.447382,AT1G69880,0,20,15,17,9
-22.32801,20.964972,AT1G69890,0,20,12,3,8
-22.362211,13.714329,AT1G69900,0,20,12,5,8
-37.526344,62.016926,AT1G69910,0,20,10,12,14
-18.191687,-9.353225,AT1G69920,0,20,13,5,8
-6.571731,-3.660328,AT1G69930,0,20,12,5,8
-26.20292,9.97895,AT1G69935,0,20,13,5,8
80.0439,-27.770248,AT1G69960,0,19,1,6,0
-52.33217,3.6028047,AT1G69970,0,20,13,1,12
84.80611,-26.114462,AT1G69980,0,19,1,6,0
-57.08453,-49.280888,AT1G69990,0,2,13,9,12
-28.811132,80.27105,AT1G70000,0,14,9,8,10
-20.191515,87.91146,AT1G70060,0,14,9,8,10
-1.3584656,-29.457642,AT1G70070,0,20,15,17,9
-34.026257,57.48846,AT1G70080,0,20,10,12,14
27.595396,63.985554,AT1G70090,0,7,6,2,2
-12.643192,16.723238,AT1G70100,0,20,12,3,8
-10.632623,-95.94419,AT1G70110,0,2,0,18,5
-8.032747,13.42921,AT1G70140,0,20,12,5,8
-11.737319,80.53333,AT1G70150,0,14,8,8,10
66.19697,-43.89893,AT1G70160,0,1,2,19,13
-23.223772,-6.7001324,AT1G70170,0,20,13,5,8
-28.715055,-68.831314,AT1G70175,0,2,13,0,12
34.800076,59.631966,AT1G70180,0,7,6,13,4
-45.269417,-16.226456,AT1G70185,0,2,13,1,12
58.641727,-30.35735,AT1G70190,0,13,2,19,13
2.6916416,-21.80646,AT1G70200,0,20,15,17,9
-23.459892,76.41854,AT1G70210,0,14,9,8,10
-11.71475,-96.55325,AT1G70220,0,2,0,18,5
-55.594086,42.043316,AT1G70230,0,14,11,11,6
-48.29096,-45.289085,AT1G70250,0,2,13,16,12
-28.256891,-53.708252,AT1G70260,0,2,13,16,12
6.742711,-81.86866,AT1G70270,0,2,14,7,5
92.23305,-8.7639,AT1G70280,0,3,0,6,0
57.044125,-16.588331,AT1G70290,0,8,3,4,1
54.281757,-16.627216,AT1G70300,0,8,3,4,1
27.30846,4.250139,AT1G70310,0,15,4,15,7
56.633137,8.103485,AT1G70320,0,12,4,10,11
83.8619,-31.920618,AT1G70330,0,19,1,6,0
-25.868486,65.248955,AT1G70340,0,14,10,12,10
59.385883,-8.865178,AT1G70350,0,22,3,4,1
-5.67803,15.173575,AT1G70360,0,20,12,3,8
58.02946,41.477596,AT1G70370,0,24,6,13,4
-66.05275,-31.407816,AT1G70390,0,2,13,9,12
-23.616243,-65.41083,AT1G70400,0,2,15,16,5
62.693806,-0.4599307,AT1G70410,0,11,0,14,3
-9.5522785,44.973225,AT1G70420,0,20,12,3,8
4.9661484,-33.76369,AT1G70430,0,20,15,17,9
-24.45846,-46.593647,AT1G70440,0,2,13,16,12
-59.336353,-39.13455,AT1G70450,0,2,13,9,12
-44.76068,-6.1185737,AT1G70460,0,2,13,1,12
-6.8295727,13.028843,AT1G70470,0,20,12,5,8
-21.548006,-84.40233,AT1G70475,0,2,15,18,5
4.7085457,77.568474,AT1G70480,0,14,7,2,10
22.6569,0.21886246,AT1G70490,0,15,4,15,7
-8.61748,-4.2404366,AT1G70500,0,20,12,5,8
-36.024925,5.3325973,AT1G70505,0,20,13,1,12
-49.3407,-2.6872761,AT1G70510,0,2,13,1,12
-8.467737,-15.382333,AT1G70518,0,20,13,17,12
-33.26428,57.01731,AT1G70520,0,20,10,12,14
4.480788,77.00214,AT1G70530,0,14,7,2,10
19.889221,69.248886,AT1G70550,0,7,6,2,2
8.564965,80.53149,AT1G70560,0,7,7,2,2
32.57848,51.206337,AT1G70570,0,7,6,13,4
-60.55384,36.535904,AT1G70580,0,0,12,11,6
-24.263947,-39.77514,AT1G70581,0,2,13,16,12
2.3734598,90.092865,AT1G70590,0,7,8,2,2
28.092735,-16.524391,AT1G70600,0,15,5,15,7
-5.8516245,-14.437779,AT1G70610,0,20,13,17,12
59.473923,32.47372,AT1G70620,0,12,6,14,4
-46.89673,-20.006021,AT1G70630,0,2,13,1,12
5.887218,-40.93196,AT1G70640,0,2,15,17,9
-24.532265,10.002655,AT1G70650,0,20,12,5,8
49.17436,-23.966965,AT1G70660,0,8,3,4,1
75.90705,-43.2499,AT1G70670,0,1,2,19,13
-37.557873,1.2963512,AT1G70680,0,20,13,1,12
-49.045166,41.938847,AT1G70690,0,14,11,11,6
