gene_id	pc1	pc2	pc3	inspection_cluster
ENSMUSG00000033862	-0.24181396	-0.026551865	-0.014975587	2
ENSMUSG00000021278	-0.33681622	-0.042714655	-0.019092983	2
ENSMUSG00000027971	-0.33693168	-0.04271875	-0.019133069	2
ENSMUSG00000024758	-0.03145163	-0.06421267	0.0011480092	2
ENSMUSG00000044921	-0.33227497	-0.04228435	-0.019705141	2
ENSMUSG00000054387	-0.1262984	-0.018528273	-0.014571796	2
ENSMUSG00000062822	-0.22907764	-0.03097787	-0.010817475	2
ENSMUSG00000028013	-0.03826471	0.021413151	-0.021414323	2
ENSMUSG00000042846	-0.3365086	-0.042567734	-0.019230386	2
ENSMUSG00000025403	0.2426545	-0.08472248	0.07906346	2
ENSMUSG00000031831	-0.33686537	-0.04271025	-0.019059172	2
ENSMUSG00000030739	-0.21642153	-0.073311575	0.0008344865	2
ENSMUSG00000037235	0.054127865	0.0032787423	0.02754891	2
ENSMUSG00000021559	0.32972458	-0.14615002	0.04270246	2
ENSMUSG00000049252	-0.3369513	-0.042749956	-0.019103618	2
ENSMUSG00000035805	-0.33696154	-0.04274129	-0.019100318	2
ENSMUSG00000035262	-0.33679312	-0.04271842	-0.019102119	2
ENSMUSG00000046791	-0.31586647	-0.039659534	-0.017155472	2
ENSMUSG00000022451	0.042188887	0.0028193807	0.0023128544	2
ENSMUSG00000041852	0.266199	0.001210351	-0.0014421446	2
ENSMUSG00000024776	-0.3255975	-0.039622527	-0.019132245	2
ENSMUSG00000056035	1.0124004	0.27550742	-0.14159869	2
ENSMUSG00000020000	-0.3368962	-0.04273851	-0.019108066	2
ENSMUSG00000037946	-0.32804307	-0.041967593	-0.019049197	2
ENSMUSG00000073982	-0.28603083	-0.045500536	-0.011418894	2
ENSMUSG00000024393	0.10015539	-0.11715445	0.08626545	2
ENSMUSG00000025433	-0.3367279	-0.042623553	-0.019096194	2
ENSMUSG00000070972	-0.17549281	-0.018226868	-0.0074218437	2
