location,epoch,loss,best_loss,elapsed_seconds,elapsed,epoch_seconds
GC,1,0.15772045,0.15772045,2.205,2s,2.005
GC,2,0.15637524,0.15637524,4.179,4s,1.973
GC,3,0.15629291,0.15629291,6.147,6s,1.967
GC,4,0.15618988,0.15618988,8.1,8s,1.953
GC,5,0.15624023,0.15618988,10.087,10s,1.986
GC,6,0.1561534,0.1561534,12.096,12s,2.008
GC,7,0.15601862,0.15601862,14.045,14s,1.949
GC,8,0.1560653,0.15601862,16.009,16s,1.963
GC,9,0.15593035,0.15593035,17.946,17s,1.937
GC,10,0.15594493,0.15593035,19.912,19s,1.965
GC,11,0.15590775,0.15590775,21.849,21s,1.937
GC,12,0.15584173,0.15584173,23.808,23s,1.958
GC,13,0.15587065,0.15584173,25.784,25s,1.975
GC,14,0.15601541,0.15584173,27.781,27s,1.997
GC,15,0.15598959,0.15584173,29.795,29s,2.013
GC,16,0.15583946,0.15583946,31.769,31s,1.974
GC,17,0.15597558,0.15583946,33.679,33s,1.91
GC,18,0.15585743,0.15583946,35.657,35s,1.977
GC,19,0.15589552,0.15583946,37.606,37s,1.949
GC,20,0.15622188,0.15583946,39.564,39s,1.957
GC,21,0.15581096,0.15581096,41.515,41s,1.95
GC,22,0.15588911,0.15581096,43.46,43s,1.945
GC,23,0.15582893,0.15581096,45.396,45s,1.936
GC,24,0.15583456,0.15581096,47.362,47s,1.966
GC,25,0.15586875,0.15581096,49.29,49s,1.927
GC,26,0.15582096,0.15581096,51.239,51s,1.949
GC,27,0.15583558,0.15581096,53.178,53s,1.938
GC,28,0.15580788,0.15580788,55.126,55s,1.948
GC,29,0.15586895,0.15580788,57.123,57s,1.996
GC,30,0.1558286,0.15580788,59.092,59s,1.968
