feature	cohort	age	profile	animal_number	location
ISS-T_OLD_rep01	ISS-T	OLD	RR8_LVR_FLT_ISS-T_OLD_FI11	11	FLT
ISS-T_OLD_rep02	ISS-T	OLD	RR8_LVR_FLT_ISS-T_OLD_FI12	12	FLT
ISS-T_OLD_rep03	ISS-T	OLD	RR8_LVR_FLT_ISS-T_OLD_FI13	13	FLT
ISS-T_OLD_rep04	ISS-T	OLD	RR8_LVR_FLT_ISS-T_OLD_FI14	14	FLT
ISS-T_OLD_rep05	ISS-T	OLD	RR8_LVR_FLT_ISS-T_OLD_FI15	15	FLT
ISS-T_OLD_rep08	ISS-T	OLD	RR8_LVR_FLT_ISS-T_OLD_FI18	18	FLT
ISS-T_OLD_rep09	ISS-T	OLD	RR8_LVR_FLT_ISS-T_OLD_FI19	19	FLT
ISS-T_OLD_rep10	ISS-T	OLD	RR8_LVR_FLT_ISS-T_OLD_FI20	20	FLT
ISS-T_YNG_rep01	ISS-T	YNG	RR8_LVR_FLT_ISS-T_YNG_FI1	1	FLT
ISS-T_YNG_rep02	ISS-T	YNG	RR8_LVR_FLT_ISS-T_YNG_FI2	2	FLT
ISS-T_YNG_rep03	ISS-T	YNG	RR8_LVR_FLT_ISS-T_YNG_FI3	3	FLT
ISS-T_YNG_rep04	ISS-T	YNG	RR8_LVR_FLT_ISS-T_YNG_FI4	4	FLT
ISS-T_YNG_rep05	ISS-T	YNG	RR8_LVR_FLT_ISS-T_YNG_FI5	5	FLT
ISS-T_YNG_rep06	ISS-T	YNG	RR8_LVR_FLT_ISS-T_YNG_FI6	6	FLT
ISS-T_YNG_rep07	ISS-T	YNG	RR8_LVR_FLT_ISS-T_YNG_FI7	7	FLT
ISS-T_YNG_rep08	ISS-T	YNG	RR8_LVR_FLT_ISS-T_YNG_FI8	8	FLT
LAR_OLD_rep01	LAR	OLD	RR8_LVR_FLT_LAR_OLD_FL3	3	FLT
LAR_OLD_rep02	LAR	OLD	RR8_LVR_FLT_LAR_OLD_FL4	4	FLT
LAR_OLD_rep03	LAR	OLD	RR8_LVR_FLT_LAR_OLD_FL7	7	FLT
LAR_OLD_rep07	LAR	OLD	RR8_LVR_FLT_LAR_OLD_FL16	16	FLT
LAR_YNG_rep01	LAR	YNG	RR8_LVR_FLT_LAR_YNG_FL1	1	FLT
LAR_YNG_rep03	LAR	YNG	RR8_LVR_FLT_LAR_YNG_FL5	5	FLT
LAR_YNG_rep04	LAR	YNG	RR8_LVR_FLT_LAR_YNG_FL6	6	FLT
