profile	id.accession	investigation.study.comment.project type	investigation.study assays.study assay technology type	source_profile_index	condition_inferred	official_sample_name	official_source_name	official_material_type	official_tissue_type	official_tissue	sample_name_tissue_inferred	official_vs_inferred_match	tissue_final	tissue_source	official_sample_match_method	official_study_url	official_api_url
RR8_LVR_BSL_ISS-T_YNG_BI16	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1634	baseline_control	RR8_LVR_BSL_ISS-T_YNG_BI16	BL_ISS_16	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379
RR8_LVR_BSL_ISS-T_YNG_BI17	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1635	baseline_control	RR8_LVR_BSL_ISS-T_YNG_BI17	BL_ISS_17	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379
RR8_LVR_BSL_ISS-T_YNG_BI18	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1636	baseline_control	RR8_LVR_BSL_ISS-T_YNG_BI18	BL_ISS_18	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379
RR8_LVR_BSL_ISS-T_YNG_BI19	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1637	baseline_control	RR8_LVR_BSL_ISS-T_YNG_BI19	BL_ISS_19	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379
RR8_LVR_BSL_ISS-T_YNG_BI20	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1638	baseline_control	RR8_LVR_BSL_ISS-T_YNG_BI20	BL_ISS_20	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379
RR8_LVR_BSL_LAR_OLD_BL11	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1639	baseline_control	RR8_LVR_BSL_LAR_OLD_BL11	BL_LAR_11	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379
RR8_LVR_BSL_LAR_OLD_BL12	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1640	baseline_control	RR8_LVR_BSL_LAR_OLD_BL12	BL_LAR_12	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379
RR8_LVR_BSL_LAR_OLD_BL13	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1641	baseline_control	RR8_LVR_BSL_LAR_OLD_BL13	BL_LAR_13	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379
RR8_LVR_BSL_LAR_OLD_BL14	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1642	baseline_control	RR8_LVR_BSL_LAR_OLD_BL14	BL_LAR_14	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379
RR8_LVR_BSL_LAR_OLD_BL15	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1643	baseline_control	RR8_LVR_BSL_LAR_OLD_BL15	BL_LAR_15	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379
RR8_LVR_BSL_LAR_OLD_BL16	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1644	baseline_control	RR8_LVR_BSL_LAR_OLD_BL16	BL_LAR_16	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379
RR8_LVR_BSL_LAR_OLD_BL17	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1645	baseline_control	RR8_LVR_BSL_LAR_OLD_BL17	BL_LAR_17	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379
RR8_LVR_BSL_LAR_OLD_BL18	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1646	baseline_control	RR8_LVR_BSL_LAR_OLD_BL18	BL_LAR_18	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379
