gene_id	latent_1	latent_2	latent_3	latent_4	latent_5	latent_6	latent_7	latent_8	latent_9	latent_10	latent_11	latent_12	latent_13	latent_14	latent_15	latent_16
ENSMUSG00000031156	-0.6524103	-0.035738163	-0.07893312	0.5259801	-0.15152743	-0.33058518	1.1373851	-0.022300739	-0.22846302	0.47300947	-0.46589506	0.016227927	1.2782948	-0.5603131	1.1132507	0.42034134
ENSMUSG00000028871	-0.65087765	-0.0389145	-0.079442985	0.5306828	-0.15315601	-0.3290495	1.1451375	-0.024786158	-0.23100227	0.46109423	-0.46215066	0.011479635	1.2762431	-0.5682142	1.103257	0.44059384
ENSMUSG00000024191	-0.6545762	-0.029259782	-0.07672347	0.5238905	-0.14678249	-0.3368838	1.1164851	-0.019648142	-0.22649899	0.4999952	-0.47693014	0.019244496	1.2853873	-0.5400009	1.12698	0.36620522
ENSMUSG00000020485	-0.65897375	-0.04272786	-0.07538668	0.5131913	-0.14236762	-0.34040776	1.1073905	-0.019675104	-0.23820572	0.53696233	-0.49109036	0.015955597	1.2841976	-0.5199395	1.120462	0.2995162
ENSMUSG00000039523	-0.65173775	-0.0268825	-0.07750124	0.5319299	-0.14952306	-0.33466998	1.1253381	-0.02174856	-0.22449985	0.47771606	-0.46917355	0.016198989	1.2844654	-0.5530121	1.1210284	0.4047622
ENSMUSG00000021807	-0.66725844	-0.012521626	-0.068517186	0.43722644	-0.122528896	-0.34740615	0.9938643	0.01123707	-0.20946987	0.65675384	-0.51989067	0.07233713	1.2703196	-0.39599618	1.2030057	0.061939567
ENSMUSG00000024327	-0.65524757	0.020103524	-0.069774255	0.5102195	-0.13311337	-0.35130844	1.030398	-0.0027027142	-0.19402151	0.5571113	-0.49506378	0.04932841	1.2997957	-0.4701603	1.1971152	0.23433337
ENSMUSG00000021806	-0.6515259	-0.030219054	-0.07790112	0.5324834	-0.15029176	-0.33363974	1.1302097	-0.022874536	-0.2267181	0.4741367	-0.4679452	0.014106587	1.2828263	-0.55663353	1.115643	0.41227987
ENSMUSG00000030559	-0.6510816	-0.039575636	-0.07971426	0.5286674	-0.1534731	-0.32819116	1.146458	-0.024339074	-0.23073709	0.4606416	-0.46138635	0.012729652	1.2750921	-0.56897885	1.1038251	0.44304648
ENSMUSG00000022329	-0.6540511	-0.02779042	-0.07850879	0.51750255	-0.14984407	-0.33145326	1.1259611	-0.017375762	-0.22104797	0.48518503	-0.46826613	0.026628844	1.2800902	-0.55051297	1.1320772	0.40095285
ENSMUSG00000099146	-0.6575303	-0.029408166	-0.07654349	0.51032126	-0.14480036	-0.3368896	1.108201	-0.015294868	-0.2245744	0.51965183	-0.4816481	0.028064579	1.283812	-0.5280156	1.1391324	0.3359712
ENSMUSG00000102752	-0.6527027	-0.030658444	-0.07897962	0.52224165	-0.1513489	-0.33018857	1.1332965	-0.019750444	-0.2234505	0.47426006	-0.46496743	0.022074398	1.2786237	-0.5580674	1.1230291	0.41967025
ENSMUSG00000035237	-0.6166623	0.20385514	-0.047444157	0.29379237	-0.069857635	-0.34781095	0.5255549	0.09021489	0.014608625	0.71082324	-0.50819856	0.20164898	1.1242543	0.04890319	1.3810285	-0.26262704
ENSMUSG00000026005	-0.65839964	-0.013604382	-0.07475954	0.5028076	-0.14093412	-0.3404911	1.082767	-0.008729789	-0.21297494	0.5380798	-0.48651943	0.040749647	1.2880443	-0.50734174	1.1652861	0.2974724
ENSMUSG00000091405	-0.6536967	-0.0421347	-0.07928674	0.5217696	-0.15148836	-0.32974514	1.1411108	-0.022669405	-0.23254935	0.47871888	-0.46763438	0.015390083	1.2759271	-0.55982256	1.1088399	0.41366968
ENSMUSG00000000581	-0.6635001	-0.047009274	-0.0674696	0.4941712	-0.12554036	-0.35567945	1.0355579	-0.01515544	-0.24966024	0.6291898	-0.5263381	0.012567036	1.2838997	-0.435782	1.1224973	0.09562111
