accession	location	cluster	cluster_genes	tested_dgea_genes	significant_padj05_genes	significant_padj05_abs_lfc_genes	significant_fraction	mean_log2fc_tested	mean_log2fc_sig	mean_abs_stat_tested	mean_latent_shift_tested	fisher_odds_ratio	fisher_p_value	top_significant_genes	fisher_fdr_bh
OSD-379	FLT	3	2811	2810	381	22	0.13558718861209965	0.04908357809400859	0.24597964404853262	1.4900740027806956	0.4916185326958773	1.432041451849778	1.3451612123719276e-08	Slc22a5,Inhba,Leo1,Cars,Tmie,Gm11437,Arhgap24,Pde9a,Cd9,Arntl	1.7487095760835058e-07
OSD-379	FLT	1	3362	3346	377	35	0.11267184698147041	0.016398400832083958	0.18833361512205368	1.3929803280743909	0.32506155572295176	1.1004827663635344	0.0669309334717641	Dhrs9,Praf2,Lhx6,Ift81,Il22ra1,Rfc3,Zbtb7c,Ggct,Erbb4,Adcy1	0.14501702252215554
OSD-379	FLT	5	1580	1578	203	9	0.12864385297845374	0.05582505426378612	0.250993153104999	1.4867865432679626	0.9576676154315594	1.2884628099173554	0.0011410852796683991	Avpr1a,Bach1,Asb13,Usp6nl,Irf6,Ola1,Trim2,Fam126b,Rdh11,Pmvk	0.004398268200786435
OSD-379	FLT	6	1334	1333	196	3	0.14703675918979744	0.03709628777890995	0.15655033042730193	1.582902431707284	1.7788835693555032	1.5258233509851593	4.631404813682827e-07	Svil,Pter,Tars,Gpcpd1,Tubb2a,Ppp1r3c,St3gal1,Acaa1a,Tab2,Ern1	3.0104131288938372e-06
OSD-379	FLT	2	3129	3053	145	17	0.04749426793318048	-0.03689148777178308	-0.016765155936042806	1.1207097975135643	0.36439003428108896	0.36632188746473904	1.0	1700010I14Rik,Gngt1,Pde6c,Gm15441,Ulbp1,Efna3,Gpx6,Asb5,Lck,Tmem169	1.0
OSD-379	FLT	8	874	874	120	2	0.13729977116704806	0.016710270868953103	0.11912194818175349	1.4849844575960347	5.814958183352593	1.3780035107919768	0.001353313292549672	1810008I18Rik,Upp2,Dsp,Sc5d,4932438A13Rik,Slc25a47,Slc7a2,Cyp2c70,Cpt1a,Abcb11	0.004398268200786435
OSD-379	FLT	7	1040	1025	99	18	0.09658536585365854	0.012602774150096321	0.40725493088276665	1.3207699494738974	0.3582716367612065	0.9008500331135689	0.8437663380428638	Slc34a2,Bag2,C1ql3,Slc41a3,Mypn,Trpv2,Rab34,Lad1,Clic3,Itgb7	1.0
OSD-379	FLT	9	621	621	71	0	0.1143317230273752	0.019472987125653155	0.10392277653837767	1.356408763450737	0.2964028591100861	1.0993951116581677	0.24905960031654148	Rhbdd2,Acad12,Setd6,Paxx,Kctd3,Kifap3,Agtpbp1,Stk3,Ankrd26,Mmab	0.4625392577307199
OSD-379	FLT	11	100	100	20	14	0.2	0.27016891666351944	1.2860149868331088	1.7593085021740165	0.6252447728138775	2.1346754057428217	0.0035554106676784075	Npas2,Ankrd23,Hspb1,Cox8b,Nrap,Rfx4,Pgam2,Srl,Wee1,Ppard	0.00924406773596386
OSD-379	FLT	0	3691	638	10	1	0.01567398119122257	-0.1797733912961659	-0.851763256428179	1.0443439339414733	0.36915231659091813	0.12970989868976307	1.0	Tmem116,Oscar,Olfr282,Xlr4b,Olfr93,Olfr293,Lhx4,Cd8b1,Esr2,Rbm46os	1.0
OSD-379	FLT	10	494	1	0	0	0.0	-1.13078130995377		1.07402505197943	0.37071920585975165	0.0	1.0		1.0
OSD-379	FLT	14	1	1	0	0	0.0	0.0941338589379788		0.313236014288334	29.49996157027917	0.0	1.0		1.0
OSD-379	FLT	15	1	1	0	0	0.0	-0.102326627711896		0.21979545409845	42.42341435118975	0.0	1.0		1.0
OSD-379	GC	4	2182	2182	282	3	0.12923923006416133	0.031340116795333564	0.14497013446984514	1.4748414109379937	0.4024950193253894	1.3135263157894737	7.913397194705885e-05	Inhba,Cars,Tmie,Pde9a,Trim2,Cd9,Erbb4,Chka,Pdcl3,Ston2	0.00040291257782820586
OSD-379	GC	5	1984	1984	273	2	0.1376008064516129	0.02741100149667107	0.09708703143313235	1.5280689753025094	1.6255829824408319	1.4250025670031137	8.022669803057694e-07	Svil,Pter,Tars,Gpcpd1,1810008I18Rik,Tubb2a,Ppp1r3c,Dsp,4932438A13Rik,Fam126b	1.203400470458654e-05
OSD-379	GC	3	2240	2240	243	7	0.10848214285714286	-0.008446839653387548	0.055850676258995126	1.3836067881155312	0.3265886492085033	1.0378751593670419	0.3181500596491431	Praf2,Lhx6,Ift81,Il22ra1,Rfc3,Ggct,Arntl,Ralgps1,Ttn,Il27ra	0.4772250894737146
OSD-379	GC	6	1810	1810	208	1	0.11491712707182321	0.026558194221155032	0.10918417399855557	1.427080293407767	0.808582146658884	1.1162920465401276	0.08879921321820929	Avpr1a,Slc22a5,Bach1,Asb13,Usp6nl,Irf6,Ola1,Rdh11,Pmvk,Plxna2	0.2219980330455232
OSD-379	GC	7	1440	1440	180	4	0.125	0.026102024682096027	0.12558829967576182	1.437427610922803	0.3073845984933815	1.2382603526847633	0.007236604013516433	Leo1,Gm11437,Arhgap24,Slc41a2,Gabpb1,Asap2,Pcsk4,Mad2l2,Ciart,Tpgs2	0.021709812040549302
