accession	location	cluster	cluster_genes	tested_dgea_genes	significant_padj05_genes	significant_padj05_abs_lfc_genes	significant_fraction	mean_log2fc_tested	mean_log2fc_sig	mean_abs_stat_tested	mean_latent_shift_tested	fisher_odds_ratio	fisher_p_value	top_significant_genes	fisher_fdr_bh
OSD-168	FLT	2	2752	2752	3	1	0.0010901162790697674	-0.023535469714659932	0.4039498342735624	0.9600977233157689	0.30228239772525073	4.941433248453984	0.06396564576334772	Slc10a2,Slc23a2,Mx2	0.9594846864502158
OSD-168	FLT	4	2312	2312	1	1	0.00043252595155709344	-0.07061581750172125	-1.01981768068958	1.0178067235473929	0.9493901900765881	1.2135006490696667	0.5997141731837201	Gm4952	1.0
OSD-168	FLT	6	1791	1244	1	1	0.0008038585209003215	0.4313217307025165	-1.79225264879801	0.9467685362280471	0.1605786019221941	2.427996781979083	0.37825399685015987	Apol7c	1.0
OSD-168	FLT	7	850	850	1	0	0.001176470588235294	-0.10825617360888246	0.742106738066321	1.126099701997335	3.7677341232721333	3.647585394581861	0.2742859069049632	Ppp1r3b	1.0
OSD-168	FLT	0	3439	3428	0	0	0.0	0.5199891607421064		1.3317879240660553	0.14720456882403415	0.0	1.0		1.0
OSD-168	FLT	3	2683	2683	0	0	0.0	0.2254699066269839		1.1427922670237805	0.1287805329432193	0.0	1.0		1.0
OSD-168	FLT	5	2220	2220	0	0	0.0	0.04223176327354557		1.011899568148856	0.11795872623104388	0.0	1.0		1.0
OSD-168	FLT	8	723	723	0	0	0.0	0.06720064437442673		0.9308633106120706	0.21073753778430948	0.0	1.0		1.0
OSD-168	FLT	10	310	34	0	0	0.0	0.030822181931205308		0.40650199085977873	0.16381679093638818	0.0	1.0		1.0
OSD-168	FLT	9	430	31	0	0	0.0	-0.17568422208309598		0.5379777846323405	0.1662707463590615	0.0	1.0		1.0
OSD-168	FLT	13	17	17	0	0	0.0	-0.2856991471645803		0.6833025251065877	0.20454887460044485	0.0	1.0		1.0
OSD-168	FLT	14	16	16	0	0	0.0	0.020990740255794803		0.45275322884664865	0.3025825472548383	0.0	1.0		1.0
OSD-168	FLT	1	3127	15	0	0	0.0	-0.19599177055306352		0.5752434787681018	0.16382217958964537	0.0	1.0		1.0
OSD-168	FLT	11	270	12	0	0	0.0	-0.4253964790586378		0.4383975548268249	0.16465195340541183	0.0	1.0		1.0
OSD-168	FLT	15	2	2	0	0	0.0	-0.6776760016631374		0.7856478512699648	0.6882786875720759	0.0	1.0		1.0
OSD-168	GC	3	2244	2244	2	1	0.00089126559714795	0.04521294128898545	0.936574706613377	0.9663110883308699	0.13196781082561843	3.142506690454951	0.19416186759795726	Slc10a2,Mx2	1.0
OSD-168	GC	5	1841	1841	2	1	0.0010863661053775121	-0.09370896935924497	-0.8405587955478235	1.0513215022806026	0.9666551669641024	3.9407286568787385	0.1400153666959734	Gm4952,Slc23a2	1.0
OSD-168	GC	0	3641	3641	1	1	0.00027464982147761604	0.46387103487497033	-1.79225264879801	1.3334776343178225	0.14208818436160933	0.6974175824175824	0.7797353786041787	Apol7c	1.0
OSD-168	GC	8	989	989	1	0	0.0010111223458038423	-0.14856099487310911	0.742106738066321	1.15639940530391	3.294676943080626	3.1062753036437245	0.31250151127007747	Ppp1r3b	1.0
OSD-168	GC	4	2194	2194	0	0	0.0	-0.04199532378783202		0.9214770052641906	0.41468040920235266	0.0	1.0		1.0
OSD-168	GC	6	1611	1611	0	0	0.0	0.15989111345845278		1.0572290328007072	0.13323577743093887	0.0	1.0		1.0
OSD-168	GC	1	3023	1575	0	0	0.0	0.6802979566037971		1.2055616559206248	0.1575727503617511	0.0	1.0		1.0
OSD-168	GC	7	1215	1215	0	0	0.0	-0.020223307113992357		0.8742382420608807	0.22710052735073158	0.0	1.0		1.0
OSD-168	GC	9	696	696	0	0	0.0	-0.015817618786503326		0.9327015068761374	0.15099987765664538	0.0	1.0		1.0
OSD-168	GC	12	218	218	0	0	0.0	0.2517728731507741		1.0475380746723593	0.13699881209381307	0.0	1.0		1.0
OSD-168	GC	13	111	111	0	0	0.0	-0.009780121552463966		0.6440532207351848	0.2702701978861119	0.0	1.0		1.0
OSD-168	GC	14	3	3	0	0	0.0	-0.27705669419461		2.0163860987191233	17.739550631549108	0.0	1.0		1.0
OSD-168	GC	10	418	1	0	0	0.0	2.72030018735684		2.35979355892123	0.1619532304686057	0.0	1.0		1.0
