accession	n_flight	n_ground	deseq2_design	deseq2_dispersion_fit	genes_in_glare	genes_tested_dgea	significant_padj05	significant_padj05_abs_lfc	significant_up	significant_down	deg_enriched_glare_clusters_fdr05	abs_lfc_vs_latent_shift_spearman_rho	abs_lfc_vs_latent_shift_spearman_p	abs_stat_vs_latent_shift_spearman_rho	abs_stat_vs_latent_shift_spearman_p	latent_shift_deg_roc_auc	deg_latent_shift_mannwhitney_p	flt_gc_cluster_ari	flt_gc_cluster_nmi	rank_pathway_glare_overlaps
OSD-379	31	31	~ stratum + condition	default	21010	15381	1622	121	1051	571	10	0.05863389941265058	3.401745449823552e-13	0.07816210967253029	2.79456491614302e-22	0.5620508544614538	1.3336714178173444e-16	0.5453324442693627	0.6881056572001104	148
OSD-245	18	19	~ stratum + condition	default	21010	15798	700	54	338	362	8	-0.01109544083753594	0.16316075929896695	0.023030974176920092	0.003792549000447591	0.5976558863047139	1.0715897729420567e-18	0.39899668706867003	0.6140442470637091	61
OSD-463	12	10	~ condition	default	21010	15362	2704	472	1473	1231	11	-0.07639534525471078	2.4994130492514747e-21	0.20822869798813728	4.3767741647231025e-150	0.6441457199927824	4.013414346039933e-123	0.3225746253871972	0.5723058327759428	81
OSD-168	9	9	~ condition	default	21010	16339	6	3	3	3	0	-0.07445083736753409	1.5863843376387798e-21	-0.030662290131434712	8.854847392441528e-05	0.859895099899998	0.0004918392554609295	0.5167241096730478	0.6526059781445083	227
OSD-48	7	7	~ condition	default	21010	13691	82	42	35	47	1	0.027978293184483666	0.001060210813741458	0.03584744132068336	2.723635593013522e-05	0.7134616797707399	1.2303502811939669e-11	0.3850447956918825	0.5685410556208482	62
OSD-137	5	6	~ condition	default	21010	14625	1	0	1	0	0	-0.09941019658193055	1.918642131046668e-33	-0.06675703707282389	6.396855345277548e-16	0.41165207877461707	0.5883760683760915	0.4181062703507291	0.6452921901546345	101
