direction	term	clean_term	study_count	accessions	best_dgea_fdr_bh	best_glare_fdr_bh	mean_wald_stat_shift_mean	example_glare_clusters
up_in_flight	REACTOME_CDK_MEDIATED_PHOSPHORYLATION_AND_REMOVAL_OF_CDC6	Cdk Mediated Phosphorylation And Removal Of Cdc6	4	OSD-137,OSD-379,OSD-463,OSD-48	1.026502604443171e-05	9.420229564309022e-21	0.7599189193272553	GC3;FLT7;FLT5;FLT10;GC5;FLT6;FLT5;GC4;FLT4;FLT6;FLT8;GC6;GC8;FLT3;GC7
up_in_flight	REACTOME_P53_INDEPENDENT_G1_S_DNA_DAMAGE_CHECKPOINT	P53 Independent G1 S Dna Damage Checkpoint	4	OSD-137,OSD-379,OSD-463,OSD-48	1.892348846467322e-05	8.743560527666278e-20	0.7414938288745501	GC3;FLT7;FLT5;GC5;FLT6;FLT5;GC4;FLT4;FLT6;FLT8;GC6;GC8;FLT3
up_in_flight	REACTOME_CELL_CYCLE_CHECKPOINTS	Cell Cycle Checkpoints	4	OSD-137,OSD-379,OSD-463,OSD-48	1.9493492607929858e-05	2.4066656439389587e-10	0.42294510423568826	FLT7;GC3;GC5;FLT6;FLT3;FLT4;GC4;GC8;FLT8;GC6;FLT3;GC2;GC4;FLT4
up_in_flight	REACTOME_AUTODEGRADATION_OF_CDH1_BY_CDH1_APC_C	Autodegradation Of Cdh1 By Cdh1 Apc C	4	OSD-137,OSD-379,OSD-463,OSD-48	2.51329434146217e-05	2.1011144561595268e-17	0.744222761892652	GC5;FLT6;GC6;FLT3;FLT5;GC3;FLT7;FLT5;FLT4;GC4;GC7;FLT6;FLT2;FLT8;GC8;GC6;FLT3
up_in_flight	REACTOME_CDT1_ASSOCIATION_WITH_THE_CDC6_ORC_ORIGIN_COMPLEX	Cdt1 Association With The Cdc6 Orc Origin Complex	4	OSD-137,OSD-379,OSD-463,OSD-48	3.610724125482564e-05	2.2654211232782647e-17	0.6888262541178622	GC3;FLT7;FLT5;GC5;FLT6;GC4;FLT4;FLT6;FLT8;GC8;GC6;FLT3
up_in_flight	REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1	Apc C Cdh1 Mediated Degradation Of Cdc20 And Other Apc C Cdh1 Targeted Proteins In Late Mitosis Early G1	4	OSD-137,OSD-379,OSD-463,OSD-48	4.892543632788475e-05	5.187607577391746e-17	0.6863162485697949	GC5;FLT6;GC6;FLT7;GC3;FLT5;FLT4;GC4;GC7;FLT2;FLT6;FLT8;GC8;GC6;FLT3
up_in_flight	REACTOME_REGULATION_OF_ORNITHINE_DECARBOXYLASE_ODC	Regulation Of Ornithine Decarboxylase Odc	4	OSD-137,OSD-379,OSD-463,OSD-48	8.052771673545272e-05	8.743560527666278e-20	0.7215523467397917	GC3;FLT7;FLT5;GC5;FLT6;FLT5;GC4;FLT4;FLT6;FLT8;GC6;GC8;FLT3;GC7
up_in_flight	REACTOME_SIGNALING_BY_WNT	Signaling By Wnt	4	OSD-137,OSD-379,OSD-463,OSD-48	0.00013422190039730293	8.587653755820882e-21	0.6705733544012228	GC3;FLT7;FLT5;FLT10;GC5;FLT6;FLT5;GC4;FLT4;FLT6;GC7;GC6;FLT8;FLT3;GC8;GC9;GC7
up_in_flight	REACTOME_DESTABILIZATION_OF_MRNA_BY_AUF1_HNRNP_D0	Destabilization Of Mrna By Auf1 Hnrnp D0	4	OSD-137,OSD-379,OSD-463,OSD-48	0.0002293276655933534	5.813625785425096e-22	0.6154533533648608	GC3;FLT7;FLT10;FLT5;GC4;FLT4;FLT6;GC5;FLT6;FLT8;FLT8;GC6;GC8;FLT3
down_in_flight	REACTOME_BIOLOGICAL_OXIDATIONS	Biological Oxidations	4	OSD-137,OSD-168,OSD-245,OSD-379	0.0011388819880185305	1.6410692943085096e-26	-0.36713515605751607	GC8;FLT7;FLT4;GC5;GC7;FLT8;FLT10;FLT8;GC9;GC5;FLT6;GC10;FLT8;FLT3;GC6;GC9;GC8
down_in_flight	REACTOME_XENOBIOTICS	Xenobiotics	4	OSD-137,OSD-168,OSD-245,OSD-379	0.0014895034769478457	6.526591708195653e-15	-1.0440482195929752	GC8;FLT7;GC7;FLT8;GC9;FLT8;GC10;FLT8;GC6;FLT3
down_in_flight	REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	Abc Family Proteins Mediated Transport	4	OSD-137,OSD-168,OSD-379,OSD-48	0.0015408098309573843	0.0001502641241723	-0.7540071578805673	GC8;FLT7;GC10;FLT3;FLT8;FLT6;GC9;GC5;FLT8;GC3;FLT7
down_in_flight	REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	Cell Surface Interactions At The Vascular Wall	4	OSD-137,OSD-168,OSD-245,OSD-463	0.001591729359940008	0.0049613112578213	-0.5151266666844341	FLT4;GC9;GC3;GC7;FLT2;GC7;GC5;FLT4;GC6
down_in_flight	REACTOME_COMMON_PATHWAY	Common Pathway	4	OSD-137,OSD-168,OSD-245,OSD-463	0.0032488355656103843	4.351589552618467e-12	-1.1511255894927628	GC10;FLT3;FLT6;GC4;FLT7;GC8;FLT8;GC7
up_in_flight	REACTOME_OLFACTORY_SIGNALING_PATHWAY	Olfactory Signaling Pathway	3	OSD-137,OSD-168,OSD-245	5.964132147182516e-55	1.5241883134352047e-101	0.8482604368625446	GC0;FLT1;FLT5;FLT0;FLT10;GC1;GC4;FLT0;FLT2;GC10;FLT6;GC2;FLT1;GC1;FLT0;FLT9;GC0;FLT10;FLT6
