accession	direction	term	clean_term	description	query_genes	overlap	term_genes_in_universe	universe_genes	p_value	overlap_genes	fdr_bh	glare_best_fdr_bh	glare_cluster_count	glare_locations	glare_example_clusters
OSD-245	down_in_flight	REACTOME_NONSENSE_MEDIATED_DECAY_ENHANCED_BY_THE_EXON_JUNCTION_COMPLEX	Nonsense Mediated Decay Enhanced By The Exon Junction Complex	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_NONSENSE_MEDIATED_DECAY_ENHANCED_BY_THE_EXON_JUNCTION_COMPLEX	362	7	71	13960	0.002380821560444129	ENSMUSG00000008683,ENSMUSG00000020460,ENSMUSG00000028936,ENSMUSG00000039001,ENSMUSG00000043716,ENSMUSG00000060636,ENSMUSG00000079435	0.018613695836199554	1.636503945093515e-48	2	FLT,GC	GC7;FLT8
OSD-245	down_in_flight	REACTOME_3_UTR_MEDIATED_TRANSLATIONAL_REGULATION	3 Utr Mediated Translational Regulation	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_3_UTR_MEDIATED_TRANSLATIONAL_REGULATION	362	7	73	13960	0.002791368275540461	ENSMUSG00000008683,ENSMUSG00000020460,ENSMUSG00000028936,ENSMUSG00000039001,ENSMUSG00000043716,ENSMUSG00000060636,ENSMUSG00000079435	0.020004805974706635	5.444926373715635e-59	2	FLT,GC	GC7;FLT8
OSD-245	up_in_flight	REACTOME_CIRCADIAN_REPRESSION_OF_EXPRESSION_BY_REV_ERBA	Circadian Repression Of Expression By Rev Erba	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_CIRCADIAN_REPRESSION_OF_EXPRESSION_BY_REV_ERBA	338	6	22	13960	1.0359250400740497e-05	ENSMUSG00000018501,ENSMUSG00000020647,ENSMUSG00000022521,ENSMUSG00000029238,ENSMUSG00000038754,ENSMUSG00000055116	0.0009219732856659042	0.0047687362523633	3	FLT,GC	FLT3;GC9;GC6
OSD-245	up_in_flight	REACTOME_CIRCADIAN_CLOCK	Circadian Clock	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_CIRCADIAN_CLOCK	338	7	49	13960	0.00016421650440863009	ENSMUSG00000018501,ENSMUSG00000020647,ENSMUSG00000022521,ENSMUSG00000025217,ENSMUSG00000029238,ENSMUSG00000038754,ENSMUSG00000055116	0.00562993430939418	0.0003927165575071	5	FLT,GC	FLT8;GC9;GC7;FLT3;GC5
OSD-245	up_in_flight	REACTOME_RORA_ACTIVATES_CIRCADIAN_EXPRESSION	Rora Activates Circadian Expression	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_RORA_ACTIVATES_CIRCADIAN_EXPRESSION	338	5	23	13960	0.00018977306660879258	ENSMUSG00000018501,ENSMUSG00000020647,ENSMUSG00000022521,ENSMUSG00000029238,ENSMUSG00000055116	0.00562993430939418	0.0058307154593133	4	FLT,GC	GC9;FLT3;FLT8;GC6
OSD-245	up_in_flight	REACTOME_BMAL1_CLOCK_NPAS2_ACTIVATES_CIRCADIAN_EXPRESSION	Bmal1 Clock Npas2 Activates Circadian Expression	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_BMAL1_CLOCK_NPAS2_ACTIVATES_CIRCADIAN_EXPRESSION	338	5	33	13960	0.0010976874884646214	ENSMUSG00000018501,ENSMUSG00000020647,ENSMUSG00000022521,ENSMUSG00000029238,ENSMUSG00000055116	0.024423546618337826	0.0194989070480631	4	FLT,GC	GC5;FLT3;GC9;FLT8
OSD-379	down_in_flight	REACTOME_METABOLISM_OF_LIPIDS_AND_LIPOPROTEINS	Metabolism Of Lipids And Lipoproteins	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_METABOLISM_OF_LIPIDS_AND_LIPOPROTEINS	571	36	408	15073	2.2418335737119994e-06	ENSMUSG00000004207,ENSMUSG00000004455,ENSMUSG00000010651,ENSMUSG00000015776,ENSMUSG00000017307,ENSMUSG00000017754,ENSMUSG00000020901,ENSMUSG00000022383,ENSMUSG00000024052,ENSMUSG00000024132,ENSMUSG00000024900,ENSMUSG00000025059,ENSMUSG00000026623,ENSMUSG00000027035,ENSMUSG00000027346,ENSMUSG00000027359,ENSMUSG00000027999,ENSMUSG00000028223,ENSMUSG00000028672,ENSMUSG00000028712,ENSMUSG00000030236,ENSMUSG00000030545,ENSMUSG00000030747,ENSMUSG00000032079,ENSMUSG00000032602,ENSMUSG00000032715,ENSMUSG00000033174,ENSMUSG00000033871,ENSMUSG00000036138,ENSMUSG00000038768,ENSMUSG00000042476,ENSMUSG00000046027,ENSMUSG00000052160,ENSMUSG00000059447,ENSMUSG00000063929,ENSMUSG00000070644	0.00021969969022377593	9.872202812949012e-36	8	FLT,GC	FLT8;GC9;GC5;FLT6;GC11;FLT5;GC6;FLT3
OSD-379	down_in_flight	REACTOME_FATTY_ACID_TRIACYLGLYCEROL_AND_KETONE_BODY_METABOLISM	Fatty Acid Triacylglycerol And Ketone Body Metabolism	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_FATTY_ACID_TRIACYLGLYCEROL_AND_KETONE_BODY_METABOLISM	571	18	162	15073	4.285535331547841e-05	ENSMUSG00000015776,ENSMUSG00000022383,ENSMUSG00000024052,ENSMUSG00000024132,ENSMUSG00000024900,ENSMUSG00000025059,ENSMUSG00000028223,ENSMUSG00000028672,ENSMUSG00000028712,ENSMUSG00000030545,ENSMUSG00000030747,ENSMUSG00000032079,ENSMUSG00000032602,ENSMUSG00000032715,ENSMUSG00000033871,ENSMUSG00000042476,ENSMUSG00000059447,ENSMUSG00000063929	0.002099912312458442	1.8391438489069136e-23	4	FLT,GC	FLT8;GC9;GC5;FLT6
OSD-379	down_in_flight	REACTOME_XENOBIOTICS	Xenobiotics	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_XENOBIOTICS	571	6	24	15073	0.00021612159550216928	ENSMUSG00000005547,ENSMUSG00000025479,ENSMUSG00000029630,ENSMUSG00000061292,ENSMUSG00000061740,ENSMUSG00000118516	0.00705997211973753	4.699942203627794e-12	2	FLT,GC	GC9;FLT8
OSD-379	down_in_flight	REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS	Glycerophospholipid Biosynthesis	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS	571	9	64	15073	0.0006470845966603925	ENSMUSG00000024052,ENSMUSG00000026623,ENSMUSG00000027346,ENSMUSG00000027999,ENSMUSG00000030747,ENSMUSG00000033174,ENSMUSG00000052160,ENSMUSG00000059447,ENSMUSG00000070644	0.015579185941488636	9.388745081713348e-06	4	FLT,GC	GC9;FLT8;GC5;FLT6
OSD-379	down_in_flight	REACTOME_CYTOCHROME_P450_ARRANGED_BY_SUBSTRATE_TYPE	Cytochrome P450 Arranged By Substrate Type	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_CYTOCHROME_P450_ARRANGED_BY_SUBSTRATE_TYPE	571	8	53	15073	0.0007948564255861549	ENSMUSG00000005547,ENSMUSG00000025479,ENSMUSG00000028712,ENSMUSG00000029630,ENSMUSG00000061292,ENSMUSG00000061740,ENSMUSG00000063929,ENSMUSG00000118516	0.015579185941488636	1.1231980384269731e-09	2	FLT,GC	FLT8;GC9
OSD-379	down_in_flight	REACTOME_PHASE1_FUNCTIONALIZATION_OF_COMPOUNDS	Phase1 Functionalization Of Compounds	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_PHASE1_FUNCTIONALIZATION_OF_COMPOUNDS	571	9	69	15073	0.0011264248068948003	ENSMUSG00000005547,ENSMUSG00000025479,ENSMUSG00000026691,ENSMUSG00000028712,ENSMUSG00000029630,ENSMUSG00000061292,ENSMUSG00000061740,ENSMUSG00000063929,ENSMUSG00000118516	0.018398271845948406	3.5330184400343487e-14	3	FLT,GC	FLT8;GC9;FLT6
