accession	direction	term	clean_term	description	query_genes	overlap	term_genes_in_universe	universe_genes	p_value	overlap_genes	fdr_bh	glare_best_fdr_bh	glare_cluster_count	glare_locations	glare_example_clusters
OSD-379	up_in_flight	REACTOME_REGULATION_OF_MRNA_STABILITY_BY_PROTEINS_THAT_BIND_AU_RICH_ELEMENTS	Regulation Of Mrna Stability By Proteins That Bind Au Rich Elements	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_REGULATION_OF_MRNA_STABILITY_BY_PROTEINS_THAT_BIND_AU_RICH_ELEMENTS	1051	15	75	15073	0.00017556518095811815	ENSMUSG00000002102,ENSMUSG00000004951,ENSMUSG00000017428,ENSMUSG00000018286,ENSMUSG00000020720,ENSMUSG00000021127,ENSMUSG00000027752,ENSMUSG00000028322,ENSMUSG00000028837,ENSMUSG00000030591,ENSMUSG00000030603,ENSMUSG00000032249,ENSMUSG00000032301,ENSMUSG00000034321,ENSMUSG00000039067	0.004857303339841269	3.814688554187045e-19	3	FLT,GC	GC5;FLT6;FLT5
OSD-379	up_in_flight	REACTOME_APOPTOSIS	Apoptosis	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_APOPTOSIS	1051	21	129	15073	0.00022333000808328845	ENSMUSG00000000303,ENSMUSG00000001440,ENSMUSG00000002102,ENSMUSG00000009013,ENSMUSG00000017428,ENSMUSG00000018286,ENSMUSG00000020720,ENSMUSG00000021559,ENSMUSG00000022789,ENSMUSG00000024812,ENSMUSG00000028837,ENSMUSG00000029106,ENSMUSG00000030591,ENSMUSG00000030603,ENSMUSG00000031628,ENSMUSG00000032301,ENSMUSG00000032380,ENSMUSG00000039067,ENSMUSG00000040760,ENSMUSG00000054889,ENSMUSG00000063410	0.005560917201273882	2.6388952756495133e-18	5	FLT,GC	GC5;FLT6;FLT5;FLT3;GC6
OSD-379	up_in_flight	REACTOME_MITOTIC_G2_G2_M_PHASES	Mitotic G2 G2 M Phases	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_MITOTIC_G2_G2_M_PHASES	1051	14	70	15073	0.0002860999356105911	ENSMUSG00000001525,ENSMUSG00000009013,ENSMUSG00000019971,ENSMUSG00000020849,ENSMUSG00000026202,ENSMUSG00000027012,ENSMUSG00000031592,ENSMUSG00000035198,ENSMUSG00000036403,ENSMUSG00000036752,ENSMUSG00000039298,ENSMUSG00000040407,ENSMUSG00000043987,ENSMUSG00000063810	0.006476262178821563	0.0023761662743666	2	GC	GC7;GC5
OSD-379	up_in_flight	REACTOME_FATTY_ACYL_COA_BIOSYNTHESIS	Fatty Acyl Coa Biosynthesis	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_FATTY_ACYL_COA_BIOSYNTHESIS	1051	6	16	15073	0.0004938528033458184	ENSMUSG00000020532,ENSMUSG00000020917,ENSMUSG00000024981,ENSMUSG00000025153,ENSMUSG00000032883,ENSMUSG00000041220	0.0095799763797397	4.55215874163862e-08	2	FLT,GC	FLT8;GC9
OSD-379	up_in_flight	REACTOME_ER_PHAGOSOME_PATHWAY	Er Phagosome Pathway	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_ER_PHAGOSOME_PATHWAY	1051	11	50	15073	0.0005386332101058466	ENSMUSG00000002102,ENSMUSG00000003814,ENSMUSG00000017428,ENSMUSG00000018286,ENSMUSG00000020720,ENSMUSG00000027248,ENSMUSG00000028837,ENSMUSG00000030591,ENSMUSG00000030603,ENSMUSG00000032301,ENSMUSG00000039067	0.0095799763797397	1.2396319866421733e-18	3	FLT,GC	GC5;FLT6;FLT8
OSD-379	up_in_flight	REACTOME_P53_DEPENDENT_G1_DNA_DAMAGE_RESPONSE	P53 Dependent G1 Dna Damage Response	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_P53_DEPENDENT_G1_DNA_DAMAGE_RESPONSE	1051	11	50	15073	0.0005386332101058466	ENSMUSG00000002102,ENSMUSG00000017428,ENSMUSG00000018286,ENSMUSG00000020184,ENSMUSG00000020720,ENSMUSG00000023067,ENSMUSG00000028837,ENSMUSG00000030591,ENSMUSG00000030603,ENSMUSG00000032301,ENSMUSG00000039067	0.0095799763797397	1.409668736800839e-17	2	FLT,GC	GC5;FLT6
OSD-379	up_in_flight	REACTOME_SYNTHESIS_OF_DNA	Synthesis Of Dna	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_SYNTHESIS_OF_DNA	1051	15	84	15073	0.000633007090236868	ENSMUSG00000002102,ENSMUSG00000006678,ENSMUSG00000017428,ENSMUSG00000018286,ENSMUSG00000020720,ENSMUSG00000023067,ENSMUSG00000024833,ENSMUSG00000025395,ENSMUSG00000028837,ENSMUSG00000029730,ENSMUSG00000030591,ENSMUSG00000030603,ENSMUSG00000032301,ENSMUSG00000033970,ENSMUSG00000039067	0.010507917697932008	4.53406892926613e-10	3	FLT,GC	GC5;FLT6;GC3
OSD-379	up_in_flight	REACTOME_SIGNALING_BY_HIPPO	Signaling By Hippo	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_SIGNALING_BY_HIPPO	1051	6	17	15073	0.0007184583852894734	ENSMUSG00000018209,ENSMUSG00000020849,ENSMUSG00000022329,ENSMUSG00000024812,ENSMUSG00000031628,ENSMUSG00000041688	0.011181008621067431	0.0087358106278061	2	FLT,GC	GC5;FLT3
OSD-379	up_in_flight	REACTOME_PREFOLDIN_MEDIATED_TRANSFER_OF_SUBSTRATE_TO_CCT_TRIC	Prefoldin Mediated Transfer Of Substrate To Cct Tric	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_PREFOLDIN_MEDIATED_TRANSFER_OF_SUBSTRATE_TO_CCT_TRIC	1051	7	24	15073	0.0009485196532667369	ENSMUSG00000001289,ENSMUSG00000022234,ENSMUSG00000026202,ENSMUSG00000029580,ENSMUSG00000036752,ENSMUSG00000043091,ENSMUSG00000058672	0.013893023156671618	7.150350160879924e-07	2	FLT,GC	GC5;FLT6
OSD-379	up_in_flight	REACTOME_FORMATION_OF_TUBULIN_FOLDING_INTERMEDIATES_BY_CCT_TRIC	Formation Of Tubulin Folding Intermediates By Cct Tric	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_FORMATION_OF_TUBULIN_FOLDING_INTERMEDIATES_BY_CCT_TRIC	1051	6	18	15073	0.001014564753439566	ENSMUSG00000022234,ENSMUSG00000023004,ENSMUSG00000026202,ENSMUSG00000036752,ENSMUSG00000043091,ENSMUSG00000058672	0.014034812422580664	1.045524498867104e-08	2	FLT,GC	GC5;FLT6
OSD-379	up_in_flight	REACTOME_M_G1_TRANSITION	M G1 Transition	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_M_G1_TRANSITION	1051	13	74	15073	0.0016632659603281216	ENSMUSG00000002102,ENSMUSG00000006678,ENSMUSG00000017428,ENSMUSG00000018286,ENSMUSG00000020720,ENSMUSG00000024833,ENSMUSG00000025395,ENSMUSG00000028837,ENSMUSG00000029730,ENSMUSG00000030591,ENSMUSG00000030603,ENSMUSG00000032301,ENSMUSG00000039067	0.02179753811166854	8.157507834013399e-12	2	FLT,GC	GC5;FLT6
OSD-379	up_in_flight	REACTOME_DESTABILIZATION_OF_MRNA_BY_AUF1_HNRNP_D0	Destabilization Of Mrna By Auf1 Hnrnp D0	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_DESTABILIZATION_OF_MRNA_BY_AUF1_HNRNP_D0	1051	10	49	15073	0.0017567794577564636	ENSMUSG00000002102,ENSMUSG00000004951,ENSMUSG00000017428,ENSMUSG00000018286,ENSMUSG00000020720,ENSMUSG00000028837,ENSMUSG00000030591,ENSMUSG00000030603,ENSMUSG00000032301,ENSMUSG00000039067	0.021871904249067972	6.4659227908093906e-18	3	FLT,GC	GC5;FLT6;FLT8
OSD-379	up_in_flight	REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS	Host Interactions Of Hiv Factors	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS	1051	16	103	15073	0.001990600085593652	ENSMUSG00000001440,ENSMUSG00000002102,ENSMUSG00000003033,ENSMUSG00000005732,ENSMUSG00000006005,ENSMUSG00000017428,ENSMUSG00000018286,ENSMUSG00000020720,ENSMUSG00000022142,ENSMUSG00000028484,ENSMUSG00000028837,ENSMUSG00000030591,ENSMUSG00000030603,ENSMUSG00000032301,ENSMUSG00000039067,ENSMUSG00000079614	0.02360282958632473	3.6811682810076106e-15	4	FLT,GC	GC5;FLT6;FLT5;GC6
OSD-379	up_in_flight	REACTOME_CELL_CYCLE_MITOTIC	Cell Cycle Mitotic	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_CELL_CYCLE_MITOTIC	1051	33	280	15073	0.0021262092181846665	ENSMUSG00000001525,ENSMUSG00000002102,ENSMUSG00000006678,ENSMUSG00000009013,ENSMUSG00000017428,ENSMUSG00000018286,ENSMUSG00000019971,ENSMUSG00000020720,ENSMUSG00000020849,ENSMUSG00000023067,ENSMUSG00000024833,ENSMUSG00000024974,ENSMUSG00000025395,ENSMUSG00000026202,ENSMUSG00000026491,ENSMUSG00000027012,ENSMUSG00000028837,ENSMUSG00000029730,ENSMUSG00000029910,ENSMUSG00000030591,ENSMUSG00000030603,ENSMUSG00000031592,ENSMUSG00000032301,ENSMUSG00000033970,ENSMUSG00000035198,ENSMUSG00000036403,ENSMUSG00000036752,ENSMUSG00000039067,ENSMUSG00000039298,ENSMUSG00000040407,ENSMUSG00000043987,ENSMUSG00000063810,ENSMUSG00000079614	0.024064822514908272	1.0551790004373312e-09	8	FLT,GC	GC5;FLT6;GC3;FLT1;FLT3;FLT5;FLT9;GC4
OSD-379	up_in_flight	REACTOME_CELL_CYCLE	Cell Cycle	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_CELL_CYCLE	1051	37	326	15073	0.00231191430639053	ENSMUSG00000001525,ENSMUSG00000002102,ENSMUSG00000006678,ENSMUSG00000009013,ENSMUSG00000017428,ENSMUSG00000018286,ENSMUSG00000019971,ENSMUSG00000020184,ENSMUSG00000020720,ENSMUSG00000020849,ENSMUSG00000023067,ENSMUSG00000024833,ENSMUSG00000024974,ENSMUSG00000025395,ENSMUSG00000026202,ENSMUSG00000026491,ENSMUSG00000027012,ENSMUSG00000028837,ENSMUSG00000029730,ENSMUSG00000029910,ENSMUSG00000030591,ENSMUSG00000030603,ENSMUSG00000031403,ENSMUSG00000031592,ENSMUSG00000032065,ENSMUSG00000032301,ENSMUSG00000033970,ENSMUSG00000035198,ENSMUSG00000036403,ENSMUSG00000036752,ENSMUSG00000039067,ENSMUSG00000039298,ENSMUSG00000040407,ENSMUSG00000043987,ENSMUSG00000063810,ENSMUSG00000079614,ENSMUSG00000096054	0.02497228613960707	7.376031223584181e-09	8	FLT,GC	GC5;FLT6;GC3;FLT1;FLT3;FLT5;GC7;FLT9
OSD-379	up_in_flight	REACTOME_SCFSKP2_MEDIATED_DEGRADATION_OF_P27_P21	Scfskp2 Mediated Degradation Of P27 P21	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_SCFSKP2_MEDIATED_DEGRADATION_OF_P27_P21	1051	10	51	15073	0.0024069673387573077	ENSMUSG00000002102,ENSMUSG00000017428,ENSMUSG00000018286,ENSMUSG00000020720,ENSMUSG00000023067,ENSMUSG00000028837,ENSMUSG00000030591,ENSMUSG00000030603,ENSMUSG00000032301,ENSMUSG00000039067	0.02497228613960707	5.187607577391746e-17	2	FLT,GC	GC5;FLT6
OSD-379	up_in_flight	REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES	Cross Presentation Of Soluble Exogenous Antigens Endosomes	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES	1051	9	44	15073	0.002898662975367992	ENSMUSG00000002102,ENSMUSG00000017428,ENSMUSG00000018286,ENSMUSG00000020720,ENSMUSG00000028837,ENSMUSG00000030591,ENSMUSG00000030603,ENSMUSG00000032301,ENSMUSG00000039067	0.025777395745236787	1.3312435005680872e-19	3	FLT,GC	GC5;FLT6;FLT5
OSD-379	up_in_flight	REACTOME_CDK_MEDIATED_PHOSPHORYLATION_AND_REMOVAL_OF_CDC6	Cdk Mediated Phosphorylation And Removal Of Cdc6	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_CDK_MEDIATED_PHOSPHORYLATION_AND_REMOVAL_OF_CDC6	1051	9	44	15073	0.002898662975367992	ENSMUSG00000002102,ENSMUSG00000017428,ENSMUSG00000018286,ENSMUSG00000020720,ENSMUSG00000028837,ENSMUSG00000030591,ENSMUSG00000030603,ENSMUSG00000032301,ENSMUSG00000039067	0.025777395745236787	1.3312435005680872e-19	3	FLT,GC	GC5;FLT6;FLT5
OSD-379	up_in_flight	REACTOME_AUTODEGRADATION_OF_THE_E3_UBIQUITIN_LIGASE_COP1	Autodegradation Of The E3 Ubiquitin Ligase Cop1	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_AUTODEGRADATION_OF_THE_E3_UBIQUITIN_LIGASE_COP1	1051	9	44	15073	0.002898662975367992	ENSMUSG00000002102,ENSMUSG00000017428,ENSMUSG00000018286,ENSMUSG00000020720,ENSMUSG00000028837,ENSMUSG00000030591,ENSMUSG00000030603,ENSMUSG00000032301,ENSMUSG00000039067	0.025777395745236787	1.3312435005680872e-19	3	FLT,GC	GC5;FLT6;FLT5
OSD-379	up_in_flight	REACTOME_VIF_MEDIATED_DEGRADATION_OF_APOBEC3G	Vif Mediated Degradation Of Apobec3G	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_VIF_MEDIATED_DEGRADATION_OF_APOBEC3G	1051	9	44	15073	0.002898662975367992	ENSMUSG00000002102,ENSMUSG00000017428,ENSMUSG00000018286,ENSMUSG00000020720,ENSMUSG00000028837,ENSMUSG00000030591,ENSMUSG00000030603,ENSMUSG00000032301,ENSMUSG00000039067	0.025777395745236787	1.3312435005680872e-19	4	FLT,GC	GC5;FLT6;FLT5;GC6
OSD-379	up_in_flight	REACTOME_ORC1_REMOVAL_FROM_CHROMATIN	Orc1 Removal From Chromatin	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_ORC1_REMOVAL_FROM_CHROMATIN	1051	11	62	15073	0.003407694549940177	ENSMUSG00000002102,ENSMUSG00000017428,ENSMUSG00000018286,ENSMUSG00000020720,ENSMUSG00000023067,ENSMUSG00000028837,ENSMUSG00000029730,ENSMUSG00000030591,ENSMUSG00000030603,ENSMUSG00000032301,ENSMUSG00000039067	0.0282016154118672	4.6509259526013155e-14	2	FLT,GC	GC5;FLT6
OSD-379	up_in_flight	REACTOME_HIV_INFECTION	Hiv Infection	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_HIV_INFECTION	1051	21	160	15073	0.003744020287931	ENSMUSG00000001440,ENSMUSG00000002102,ENSMUSG00000002658,ENSMUSG00000003033,ENSMUSG00000005732,ENSMUSG00000006005,ENSMUSG00000017428,ENSMUSG00000018286,ENSMUSG00000020720,ENSMUSG00000022142,ENSMUSG00000028274,ENSMUSG00000028484,ENSMUSG00000028837,ENSMUSG00000029387,ENSMUSG00000030591,ENSMUSG00000030603,ENSMUSG00000032301,ENSMUSG00000035726,ENSMUSG00000036980,ENSMUSG00000039067,ENSMUSG00000079614	0.028280409034619907	1.6439479001227882e-10	8	FLT,GC	GC5;FLT6;FLT5;GC6;GC4;FLT9;FLT3;GC7
OSD-379	up_in_flight	REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION	Antigen Processing Cross Presentation	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION	1051	11	63	15073	0.003874437927019832	ENSMUSG00000002102,ENSMUSG00000003814,ENSMUSG00000017428,ENSMUSG00000018286,ENSMUSG00000020720,ENSMUSG00000027248,ENSMUSG00000028837,ENSMUSG00000030591,ENSMUSG00000030603,ENSMUSG00000032301,ENSMUSG00000039067	0.028280409034619907	1.3312435005680872e-19	4	FLT,GC	GC5;FLT6;FLT8;FLT5
OSD-379	up_in_flight	REACTOME_P53_INDEPENDENT_G1_S_DNA_DAMAGE_CHECKPOINT	P53 Independent G1 S Dna Damage Checkpoint	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_P53_INDEPENDENT_G1_S_DNA_DAMAGE_CHECKPOINT	1051	9	46	15073	0.003975157896432517	ENSMUSG00000002102,ENSMUSG00000017428,ENSMUSG00000018286,ENSMUSG00000020720,ENSMUSG00000028837,ENSMUSG00000030591,ENSMUSG00000030603,ENSMUSG00000032301,ENSMUSG00000039067	0.028280409034619907	6.920457833988576e-19	3	FLT,GC	GC5;FLT6;FLT5
OSD-379	up_in_flight	REACTOME_REGULATION_OF_ORNITHINE_DECARBOXYLASE_ODC	Regulation Of Ornithine Decarboxylase Odc	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_REGULATION_OF_ORNITHINE_DECARBOXYLASE_ODC	1051	9	46	15073	0.003975157896432517	ENSMUSG00000002102,ENSMUSG00000017428,ENSMUSG00000018286,ENSMUSG00000020720,ENSMUSG00000028837,ENSMUSG00000030591,ENSMUSG00000030603,ENSMUSG00000032301,ENSMUSG00000039067	0.028280409034619907	1.0957544144218627e-19	3	FLT,GC	GC5;FLT6;FLT5
OSD-379	up_in_flight	REACTOME_S_PHASE	S Phase	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_S_PHASE	1051	15	101	15073	0.004208636334629028	ENSMUSG00000002102,ENSMUSG00000006678,ENSMUSG00000017428,ENSMUSG00000018286,ENSMUSG00000020720,ENSMUSG00000023067,ENSMUSG00000024833,ENSMUSG00000025395,ENSMUSG00000028837,ENSMUSG00000029730,ENSMUSG00000030591,ENSMUSG00000030603,ENSMUSG00000032301,ENSMUSG00000033970,ENSMUSG00000039067	0.02910973464785077	3.142436583608918e-09	3	FLT,GC	GC5;FLT6;GC3
OSD-379	up_in_flight	REACTOME_SCF_BETA_TRCP_MEDIATED_DEGRADATION_OF_EMI1	Scf Beta Trcp Mediated Degradation Of Emi1	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_SCF_BETA_TRCP_MEDIATED_DEGRADATION_OF_EMI1	1051	9	47	15073	0.0046190532943300505	ENSMUSG00000002102,ENSMUSG00000017428,ENSMUSG00000018286,ENSMUSG00000020720,ENSMUSG00000028837,ENSMUSG00000030591,ENSMUSG00000030603,ENSMUSG00000032301,ENSMUSG00000039067	0.031084980278058987	1.3312435005680872e-19	3	FLT,GC	GC5;FLT6;FLT5
OSD-379	up_in_flight	REACTOME_POL_SWITCHING	Pol Switching	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_POL_SWITCHING	1051	4	11	15073	0.005215232986252982	ENSMUSG00000006678,ENSMUSG00000024833,ENSMUSG00000025395,ENSMUSG00000033970	0.03417350035728928	0.0013184969442678	2	FLT,GC	FLT1;GC3
OSD-379	up_in_flight	REACTOME_UNFOLDED_PROTEIN_RESPONSE	Unfolded Protein Response	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_UNFOLDED_PROTEIN_RESPONSE	1051	11	67	15073	0.006274092591878875	ENSMUSG00000003814,ENSMUSG00000004460,ENSMUSG00000020048,ENSMUSG00000020429,ENSMUSG00000020715,ENSMUSG00000021427,ENSMUSG00000027752,ENSMUSG00000028322,ENSMUSG00000029106,ENSMUSG00000034321,ENSMUSG00000042406	0.04005766808661128	1.403592693000463e-05	5	FLT,GC	GC5;FLT6;FLT8;GC9;FLT3
OSD-379	up_in_flight	REACTOME_TRIGLYCERIDE_BIOSYNTHESIS	Triglyceride Biosynthesis	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_TRIGLYCERIDE_BIOSYNTHESIS	1051	7	33	15073	0.006757341698879523	ENSMUSG00000020532,ENSMUSG00000020917,ENSMUSG00000024981,ENSMUSG00000025153,ENSMUSG00000026922,ENSMUSG00000032883,ENSMUSG00000041220	0.042064452075525026	1.30745864818665e-11	3	FLT,GC	FLT8;GC9;GC5
OSD-379	up_in_flight	REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES	Metabolism Of Amino Acids And Derivatives	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES	1051	20	160	15073	0.007894986144476604	ENSMUSG00000002102,ENSMUSG00000017428,ENSMUSG00000018286,ENSMUSG00000020182,ENSMUSG00000020664,ENSMUSG00000020720,ENSMUSG00000021622,ENSMUSG00000025464,ENSMUSG00000026348,ENSMUSG00000026866,ENSMUSG00000027261,ENSMUSG00000028837,ENSMUSG00000030399,ENSMUSG00000030591,ENSMUSG00000030603,ENSMUSG00000032301,ENSMUSG00000032350,ENSMUSG00000039067,ENSMUSG00000041324,ENSMUSG00000064254	0.0477734241907187	4.369228976812594e-30	4	FLT,GC	FLT8;GC9;GC5;FLT6
OSD-379	up_in_flight	REACTOME_ASSEMBLY_OF_THE_PRE_REPLICATIVE_COMPLEX	Assembly Of The Pre Replicative Complex	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_ASSEMBLY_OF_THE_PRE_REPLICATIVE_COMPLEX	1051	10	60	15073	0.008058167935783877	ENSMUSG00000002102,ENSMUSG00000017428,ENSMUSG00000018286,ENSMUSG00000020720,ENSMUSG00000028837,ENSMUSG00000029730,ENSMUSG00000030591,ENSMUSG00000030603,ENSMUSG00000032301,ENSMUSG00000039067	0.0477734241907187	8.959518085118586e-15	2	FLT,GC	GC5;FLT6
OSD-379	up_in_flight	REACTOME_ACTIVATION_OF_GENES_BY_ATF4	Activation Of Genes By Atf4	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_ACTIVATION_OF_GENES_BY_ATF4	1051	5	19	15073	0.00833092123598389	ENSMUSG00000020429,ENSMUSG00000027752,ENSMUSG00000028322,ENSMUSG00000034321,ENSMUSG00000042406	0.04824184622697648	0.0074349971936586	1	GC	GC7
OSD-379	up_in_flight	REACTOME_APOPTOTIC_EXECUTION_PHASE	Apoptotic Execution Phase	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_APOPTOTIC_EXECUTION_PHASE	1051	8	43	15073	0.008851765674645426	ENSMUSG00000000303,ENSMUSG00000001440,ENSMUSG00000022789,ENSMUSG00000024812,ENSMUSG00000029106,ENSMUSG00000031628,ENSMUSG00000054889,ENSMUSG00000063410	0.04945074840072496	0.0022140169920764	4	FLT,GC	GC5;GC6;FLT5;FLT6
OSD-379	up_in_flight	REACTOME_CYCLIN_E_ASSOCIATED_EVENTS_DURING_G1_S_TRANSITION_	Cyclin E Associated Events During G1 S Transition 	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_CYCLIN_E_ASSOCIATED_EVENTS_DURING_G1_S_TRANSITION_	1051	10	61	15073	0.009052496560008328	ENSMUSG00000002102,ENSMUSG00000017428,ENSMUSG00000018286,ENSMUSG00000020720,ENSMUSG00000023067,ENSMUSG00000028837,ENSMUSG00000030591,ENSMUSG00000030603,ENSMUSG00000032301,ENSMUSG00000039067	0.04945074840072496	2.7474022608804562e-14	2	FLT,GC	GC5;FLT6
OSD-379	up_in_flight	REACTOME_CDT1_ASSOCIATION_WITH_THE_CDC6_ORC_ORIGIN_COMPLEX	Cdt1 Association With The Cdc6 Orc Origin Complex	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_CDT1_ASSOCIATION_WITH_THE_CDC6_ORC_ORIGIN_COMPLEX	1051	9	52	15073	0.009135479624230313	ENSMUSG00000002102,ENSMUSG00000017428,ENSMUSG00000018286,ENSMUSG00000020720,ENSMUSG00000028837,ENSMUSG00000030591,ENSMUSG00000030603,ENSMUSG00000032301,ENSMUSG00000039067	0.04945074840072496	5.187607577391746e-17	2	FLT,GC	GC5;FLT6
OSD-463	down_in_flight	REACTOME_IMMUNE_SYSTEM	Immune System	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_IMMUNE_SYSTEM	1231	103	737	15362	1.3383999817272602e-08	ENSMUSG00000000290,ENSMUSG00000001281,ENSMUSG00000004040,ENSMUSG00000004043,ENSMUSG00000005087,ENSMUSG00000009013,ENSMUSG00000009293,ENSMUSG00000009406,ENSMUSG00000016496,ENSMUSG00000018899,ENSMUSG00000019850,ENSMUSG00000020048,ENSMUSG00000020227,ENSMUSG00000020368,ENSMUSG00000020700,ENSMUSG00000020941,ENSMUSG00000021277,ENSMUSG00000021408,ENSMUSG00000021457,ENSMUSG00000021754,ENSMUSG00000021756,ENSMUSG00000022149,ENSMUSG00000022181,ENSMUSG00000022504,ENSMUSG00000022884,ENSMUSG00000023944,ENSMUSG00000023973,ENSMUSG00000023977,ENSMUSG00000024235,ENSMUSG00000024371,ENSMUSG00000024610,ENSMUSG00000024789,ENSMUSG00000025017,ENSMUSG00000025225,ENSMUSG00000025958,ENSMUSG00000026072,ENSMUSG00000026073,ENSMUSG00000026395,ENSMUSG00000026480,ENSMUSG00000026581,ENSMUSG00000026864,ENSMUSG00000026874,ENSMUSG00000026981,ENSMUSG00000026999,ENSMUSG00000027248,ENSMUSG00000027398,ENSMUSG00000027540,ENSMUSG00000027995,ENSMUSG00000028270,ENSMUSG00000028530,ENSMUSG00000028757,ENSMUSG00000030165,ENSMUSG00000030427,ENSMUSG00000030560,ENSMUSG00000030598,ENSMUSG00000030830,ENSMUSG00000031304,ENSMUSG00000031367,ENSMUSG00000031897,ENSMUSG00000032000,ENSMUSG00000032041,ENSMUSG00000032307,ENSMUSG00000032508,ENSMUSG00000032557,ENSMUSG00000032690,ENSMUSG00000033933,ENSMUSG00000034343,ENSMUSG00000034438,ENSMUSG00000034826,ENSMUSG00000035031,ENSMUSG00000036712,ENSMUSG00000037405,ENSMUSG00000037649,ENSMUSG00000037942,ENSMUSG00000038037,ENSMUSG00000038521,ENSMUSG00000038642,ENSMUSG00000040033,ENSMUSG00000040264,ENSMUSG00000040522,ENSMUSG00000041135,ENSMUSG00000041515,ENSMUSG00000041538,ENSMUSG00000042228,ENSMUSG00000042903,ENSMUSG00000043932,ENSMUSG00000049103,ENSMUSG00000051439,ENSMUSG00000052013,ENSMUSG00000052593,ENSMUSG00000053044,ENSMUSG00000053113,ENSMUSG00000055737,ENSMUSG00000057367,ENSMUSG00000059089,ENSMUSG00000059883,ENSMUSG00000064061,ENSMUSG00000071713,ENSMUSG00000079363,ENSMUSG00000079547,ENSMUSG00000090231,ENSMUSG00000105096,ENSMUSG00000105504	3.2121599561454245e-06	1.199054604715333e-12	7	FLT,GC	GC4;GC7;FLT4;FLT2;FLT6;GC9;GC3
OSD-463	down_in_flight	REACTOME_INTERFERON_GAMMA_SIGNALING	Interferon Gamma Signaling	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_INTERFERON_GAMMA_SIGNALING	1231	17	48	15362	8.056433614259106e-08	ENSMUSG00000005087,ENSMUSG00000018899,ENSMUSG00000022504,ENSMUSG00000024789,ENSMUSG00000027540,ENSMUSG00000028270,ENSMUSG00000028530,ENSMUSG00000032690,ENSMUSG00000034438,ENSMUSG00000037405,ENSMUSG00000038037,ENSMUSG00000040264,ENSMUSG00000041515,ENSMUSG00000053113,ENSMUSG00000079363,ENSMUSG00000105096,ENSMUSG00000105504	9.667720337110926e-06	0.0097497277463235	1	GC	GC3
