tissue	old_model_available	common_active_pathways	old_new_spearman_rho	old_new_direction_agreement	old_new_top_decile_jaccard
kidney	True	230	0.49124936199172	0.6434782608695652	0.2972972972972973
spleen	True	259	0.20020513741443974	0.555984555984556	0.15555555555555556
