scheme	fold	train_rows	test_rows	accuracy	f1	roc_auc
random_kfold_glare	1	26484	6622	0.9267592872244035	0.9265262838963794	0.9799706375838928
random_kfold_glare	2	26485	6621	0.930977193777375	0.9310188679245283	0.9810337839416144
random_kfold_glare	3	26485	6621	0.9284096057997281	0.928935532233883	0.9812882349012173
random_kfold_glare	4	26485	6621	0.9300709862558526	0.9310293460449873	0.9811108481122667
random_kfold_glare	5	26485	6621	0.9220661531490711	0.922289156626506	0.975237567663351
gene_grouped_kfold	1	26484	6622	0.9341588643914225	0.9344163658243081	0.9818208909995977
gene_grouped_kfold	2	26484	6622	0.9287224403503473	0.9288728149487643	0.9807868411501124
gene_grouped_kfold	3	26484	6622	0.9306855934762911	0.9311534423278836	0.9815870986774177
gene_grouped_kfold	4	26486	6620	0.9265861027190332	0.9265861027190332	0.9796298409105431
gene_grouped_kfold	5	26486	6620	0.9193353474320242	0.9193353474320242	0.9773224961437007
