gene_id	location	flight_probability	mean_absolute_shap	sum_signed_shap
ENSMUSG00000002500	GC	1.623519e-08	1.1080499	-17.937735
ENSMUSG00000027022	GC	2.954423e-07	1.1058838	-15.036429
ENSMUSG00000027470	GC	2.735369e-10	1.1049455	-22.021238
ENSMUSG00000038239	FLT	1.0	1.1040658	27.24062
ENSMUSG00000052374	FLT	1.0	1.103792	23.386929
ENSMUSG00000024471	FLT	1.0	1.1036823	26.87728
ENSMUSG00000040287	GC	4.973922e-10	1.101647	-21.42329
ENSMUSG00000048416	GC	4.5848867e-09	1.1005511	-19.202152
ENSMUSG00000067653	GC	8.582789e-08	1.0972499	-16.27256
ENSMUSG00000042045	FLT	1.0	1.0948455	25.668415
ENSMUSG00000031461	FLT	1.0	1.0926259	27.115576
ENSMUSG00000026407	FLT	1.0	1.0920806	25.250654
ENSMUSG00000049134	FLT	1.0	1.0915303	29.157417
ENSMUSG00000030621	GC	7.80414e-09	1.0915202	-18.670267
ENSMUSG00000062077	GC	4.658667e-10	1.0885612	-21.488771
ENSMUSG00000038239	GC	3.0569436e-09	1.0880527	-19.60752
ENSMUSG00000031312	GC	3.6547836e-09	1.0871888	-19.428865
ENSMUSG00000028773	FLT	1.0	1.0866514	25.180286
ENSMUSG00000071540	GC	2.476892e-09	1.0866095	-19.817924
ENSMUSG00000053093	FLT	1.0	1.0821697	23.724062
ENSMUSG00000030785	FLT	1.0	1.07885	29.097565
ENSMUSG00000068699	GC	3.08258e-11	1.0787671	-24.204334
ENSMUSG00000025488	FLT	1.0	1.0786444	25.20227
ENSMUSG00000031543	FLT	1.0	1.0775471	25.50115
ENSMUSG00000013936	FLT	1.0	1.074862	19.75101
ENSMUSG00000020067	GC	4.4135865e-07	1.0723858	-14.635046
ENSMUSG00000006221	GC	1.949032e-09	1.0720781	-20.057575
ENSMUSG00000059824	FLT	1.0	1.0706716	20.574402
ENSMUSG00000056900	GC	2.488318e-09	1.0706657	-19.813309
ENSMUSG00000001027	FLT	1.0	1.0670184	27.318092
ENSMUSG00000028116	FLT	1.0	1.0664219	24.536352
ENSMUSG00000026817	FLT	1.0	1.0658858	21.560505
ENSMUSG00000096688	FLT	0.99992406	1.0658563	9.483948
ENSMUSG00000027861	GC	2.9053359e-08	1.0643426	-17.355783
ENSMUSG00000059741	GC	6.3029476e-10	1.0620337	-21.186491
ENSMUSG00000024049	GC	5.779322e-10	1.062024	-21.273232
ENSMUSG00000067653	FLT	1.0	1.0618569	24.711248
ENSMUSG00000065087	FLT	1.0	1.061845	19.55367
ENSMUSG00000040694	FLT	1.0	1.0617821	27.251146
ENSMUSG00000042828	GC	1.1022238e-08	1.0603888	-18.325008
ENSMUSG00000071540	FLT	1.0	1.0590914	22.907635
ENSMUSG00000032495	GC	6.113517e-09	1.056309	-18.914427
ENSMUSG00000041476	FLT	1.0	1.0552247	25.85786
ENSMUSG00000042717	FLT	1.0	1.0548725	24.05307
ENSMUSG00000040752	GC	1.8396205e-09	1.0487959	-20.115383
ENSMUSG00000066705	GC	2.2028128e-09	1.0472231	-19.93518
ENSMUSG00000026418	GC	2.768814e-08	1.0471673	-17.403925
ENSMUSG00000026100	GC	1.789358e-09	1.0461987	-20.143055
ENSMUSG00000030996	FLT	1.0	1.0440053	23.294714
ENSMUSG00000017817	FLT	1.0	1.0439832	24.542095
ENSMUSG00000017817	GC	1.1457965e-09	1.0433011	-20.588814
ENSMUSG00000027470	FLT	1.0	1.043171	25.157085
ENSMUSG00000030672	GC	8.1254075e-07	1.0422918	-14.024747
ENSMUSG00000030401	FLT	1.0	1.0420948	25.018362
ENSMUSG00000055489	GC	5.759619e-08	1.0412308	-16.671455
ENSMUSG00000078486	FLT	1.0	1.0400183	26.129953
ENSMUSG00000040666	GC	1.1168321e-08	1.038802	-18.311832
ENSMUSG00000029361	GC	4.4983963e-08	1.0377167	-16.918617
ENSMUSG00000068699	FLT	1.0	1.0377122	23.666908
ENSMUSG00000018566	FLT	1.0	1.036918	25.007433
ENSMUSG00000028834	GC	7.833687e-08	1.0362501	-16.363894
ENSMUSG00000061527	FLT	1.0	1.0361662	27.370794
ENSMUSG00000038663	FLT	1.0	1.0355359	25.628231
ENSMUSG00000027868	GC	1.02959055e-08	1.0348195	-18.393175
ENSMUSG00000079243	GC	5.9139524e-09	1.0340834	-18.947601
ENSMUSG00000027499	GC	5.2038834e-10	1.0321796	-21.378113
ENSMUSG00000085779	GC	1.0535141e-06	1.0273792	-13.765027
ENSMUSG00000030401	GC	1.5230902e-09	1.027187	-20.304182
ENSMUSG00000027077	FLT	1.0	1.026864	24.47529
ENSMUSG00000065087	GC	4.3527204e-10	1.0240636	-21.556694
ENSMUSG00000043795	GC	2.476213e-08	1.0209403	-17.515621
ENSMUSG00000041984	FLT	1.0	1.0154674	25.503178
ENSMUSG00000035296	GC	5.6781275e-08	1.0129267	-16.685713
ENSMUSG00000059741	FLT	1.0	1.0125868	26.279608
ENSMUSG00000000628	GC	3.368491e-10	1.0114828	-21.813053
ENSMUSG00000079588	FLT	1.0	1.0107567	27.06512
ENSMUSG00000018566	GC	4.1340186e-06	1.0107461	-12.397892
ENSMUSG00000042717	GC	4.9337885e-08	1.009605	-16.826208
ENSMUSG00000014846	GC	4.2855097e-09	1.006369	-19.269674
ENSMUSG00000028348	GC	1.0093467e-09	1.0058986	-20.715622
ENSMUSG00000032786	FLT	0.9978409	1.0042776	6.134239
ENSMUSG00000079243	FLT	1.0	1.0040946	24.76305
ENSMUSG00000006221	FLT	1.0	1.0030587	27.048252
ENSMUSG00000033044	GC	1.08065965e-08	1.0027958	-18.344774
ENSMUSG00000059668	FLT	1.0	1.0024389	26.746794
ENSMUSG00000029882	GC	7.747226e-05	1.0021043	-9.467156
ENSMUSG00000027887	GC	8.724003e-08	1.0011396	-16.256247
ENSMUSG00000055775	FLT	1.0	1.000627	17.320248
ENSMUSG00000026564	GC	3.126442e-09	1.0006242	-19.585037
ENSMUSG00000042895	FLT	1.0	0.99943763	26.847021
ENSMUSG00000061780	FLT	1.0	0.9991623	22.042498
ENSMUSG00000020216	GC	5.056803e-09	0.99354565	-19.104187
ENSMUSG00000038204	GC	4.4086996e-06	0.9924762	-12.33357
ENSMUSG00000032942	GC	1.939162e-08	0.99242795	-17.760092
ENSMUSG00000031757	FLT	1.0	0.99156845	25.87096
ENSMUSG00000031519	GC	2.0711335e-07	0.99155647	-15.3916445
