GO,Description,_LogP_DESeq2_meta_sig_12filter,_LogP_FLT_cluster_13_muscle_contractile,_LogP_FLT_cluster_14_liver_secreted,_LogP_FLT_cluster_15_contractile_mito,_LogP_FLT_cluster_3_mixed_stress,_LogP_GC_cluster_1_DE_enriched
GO:0060537,muscle tissue development,0.0,-7.532592914005695,0.0,-7.591890885951822,0.0,0.0
GO:0014819,regulation of skeletal muscle contraction,0.0,-2.4359554991631103,0.0,-3.758619948279801,0.0,0.0
mmu04972,Pancreatic secretion - Mus musculus (house mouse),0.0,-4.986371418367628,0.0,-3.6739646521152993,0.0,-3.7154587804789525
mmu04974,Protein digestion and absorption - Mus musculus (house mouse),0.0,-3.537405830031769,0.0,-5.46769134577276,0.0,-2.700828688402069
GO:0090257,regulation of muscle system process,-2.2992307599827213,-7.394954514561299,0.0,-2.942321901946961,0.0,0.0
R-MMU-8935690,Digestion,0.0,-4.174817765639102,0.0,0.0,0.0,0.0
GO:0070296,sarcoplasmic reticulum calcium ion transport,0.0,-4.315210226235495,0.0,0.0,0.0,0.0
GO:0032970,regulation of actin filament-based process,0.0,-4.95214176234679,0.0,0.0,0.0,0.0
mmu05414,Dilated cardiomyopathy - Mus musculus (house mouse),0.0,-6.97206395155614,0.0,0.0,0.0,0.0
GO:0048662,negative regulation of smooth muscle cell proliferation,0.0,-2.9900756249065075,0.0,0.0,0.0,0.0
R-MMU-445355,Smooth Muscle Contraction,0.0,-2.944001938478824,0.0,0.0,0.0,0.0
GO:0043502,regulation of muscle adaptation,0.0,-3.844479592110025,0.0,0.0,0.0,0.0
GO:0043462,regulation of ATP-dependent activity,0.0,-3.191082980092954,0.0,0.0,0.0,0.0
GO:2000050,regulation of non-canonical Wnt signaling pathway,0.0,-3.069197363761456,0.0,0.0,0.0,0.0
GO:0120255,olefinic compound biosynthetic process,0.0,-3.0422944977985376,0.0,0.0,0.0,0.0
GO:0014850,response to muscle activity,0.0,-3.629104480291683,0.0,0.0,0.0,0.0
GO:0002407,dendritic cell chemotaxis,0.0,-3.4442732207647127,0.0,0.0,0.0,0.0
GO:1902307,positive regulation of sodium ion transmembrane transport,0.0,-3.279545342660666,0.0,0.0,0.0,0.0
WP385,Myometrial relaxation and contraction pathways,-2.2429070143581513,-3.1478099388618364,0.0,0.0,0.0,0.0
GO:0043501,skeletal muscle adaptation,0.0,0.0,0.0,-6.7151403442368895,0.0,-2.952623826949292
GO:0043269,regulation of monoatomic ion transport,0.0,0.0,0.0,-2.281084931657315,0.0,-4.348947283298967
R-MMU-2142712,Synthesis of 12-eicosatetraenoic acid derivatives,0.0,0.0,0.0,-5.7398571091361354,0.0,0.0
mmu04382,Cornified envelope formation - Mus musculus (house mouse),0.0,0.0,0.0,-5.608328500453859,0.0,0.0
GO:0010832,negative regulation of myotube differentiation,0.0,0.0,0.0,-4.071196727826985,0.0,0.0
GO:0007155,cell adhesion,0.0,0.0,0.0,-5.607189853440672,0.0,0.0
GO:0010880,regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum,0.0,0.0,0.0,-4.302245628691945,0.0,0.0
GO:0072189,ureter development,0.0,0.0,0.0,-3.758619948279801,0.0,0.0
mmu04614,Renin-angiotensin system - Mus musculus (house mouse),0.0,0.0,0.0,-3.7413483808714703,0.0,0.0
R-MMU-5423646,Aflatoxin activation and detoxification,0.0,0.0,-7.317780518646429,0.0,0.0,0.0
GO:0035634,response to stilbenoid,0.0,0.0,-8.047961745040364,0.0,0.0,0.0
GO:0007623,circadian rhythm,0.0,0.0,-6.474692596217456,0.0,0.0,0.0
GO:0006790,sulfur compound metabolic process,0.0,0.0,-9.87942194284071,0.0,0.0,0.0
mmu04976,Bile secretion - Mus musculus (house mouse),0.0,0.0,-4.6802477543423535,0.0,0.0,0.0
GO:0045721,negative regulation of gluconeogenesis,0.0,0.0,-4.389337707188447,0.0,0.0,0.0
GO:0120161,regulation of cold-induced thermogenesis,0.0,0.0,-4.725751198079654,0.0,0.0,0.0
GO:0044283,small molecule biosynthetic process,0.0,0.0,-5.269405935002547,0.0,0.0,0.0
mmu00983,Drug metabolism - other enzymes - Mus musculus (house mouse),0.0,0.0,-4.056617258616976,0.0,0.0,0.0
R-MMU-556833,Metabolism of lipids,0.0,0.0,-5.544181406664779,0.0,0.0,0.0
GO:0006805,xenobiotic metabolic process,0.0,0.0,-17.701873541914367,0.0,0.0,0.0
GO:0008202,steroid metabolic process,0.0,0.0,-14.366525690672903,0.0,0.0,0.0
WP163,Cytoplasmic ribosomal proteins,0.0,0.0,-16.838337709519728,0.0,0.0,0.0
GO:0007595,lactation,0.0,0.0,-3.487584331358058,0.0,0.0,0.0
GO:0071353,cellular response to interleukin-4,0.0,0.0,-3.918450099118038,0.0,0.0,0.0
GO:0055086,nucleobase-containing small molecule metabolic process,0.0,0.0,-3.5589481298966064,0.0,0.0,0.0
GO:0046942,carboxylic acid transport,0.0,0.0,-3.901945339306359,0.0,0.0,0.0
GO:0043086,negative regulation of catalytic activity,0.0,0.0,-3.305910396441788,0.0,0.0,0.0
GO:0042908,xenobiotic transport,0.0,0.0,-3.0531492451542204,0.0,0.0,0.0
mmu05216,Thyroid cancer - Mus musculus (house mouse),0.0,0.0,-3.600611478658313,0.0,0.0,0.0
R-MMU-73621,Pyrimidine catabolism,0.0,0.0,-3.352805044996045,0.0,0.0,0.0
