GO,Description,_LogP_DESeq2_meta_sig_12filter,_LogP_FLT_cluster_13_muscle_contractile,_LogP_FLT_cluster_14_liver_secreted,_LogP_FLT_cluster_15_contractile_mito,_LogP_FLT_cluster_3_mixed_stress,_LogP_GC_cluster_1_DE_enriched
GO:0040011,locomotion,0.0,-3.4442732207647127,0.0,0.0,-2.4411824946097505,-2.3729300756029783
GO:0040007,growth,0.0,0.0,0.0,0.0,0.0,-2.024084114002193
GO:0022414,reproductive process,0.0,0.0,0.0,0.0,-10.227766280172903,-8.410696815433498
GO:0098754,detoxification,0.0,0.0,-2.6562418262087233,0.0,0.0,0.0
GO:0048511,rhythmic process,0.0,0.0,-6.474692596217456,0.0,0.0,0.0
GO:0044419,biological process involved in interspecies interaction between organisms,0.0,0.0,-2.9585668150128805,0.0,-2.0635339383881366,0.0
GO:0002376,immune system process,-2.2099974965451272,-2.4359554991631103,-2.24760922316744,0.0,-2.2449343659206074,-2.442515010480331
GO:0048518,positive regulation of biological process,-3.592977424786004,-2.6580200508883585,-2.875552135166427,-2.0570698834673107,-2.1660783663212357,-2.060574671893555
GO:0065007,biological regulation,-2.703535261288764,-3.191082980092954,-5.764454051352917,0.0,-6.104499900947503,-7.066503377012843
GO:0042592,homeostatic process,0.0,-2.0446465673296266,-4.725751198079654,0.0,-2.8038176812925513,-2.727588473982486
GO:0050896,response to stimulus,-3.5668699795469054,-3.629104480291683,-17.701873541914367,-2.764722878876869,-4.537807405092718,-4.182134313354568
GO:0050789,regulation of biological process,-2.8784820569972904,-4.95214176234679,-9.192768453089196,-2.764722878876869,-7.105084741206485,-6.066778196981599
GO:0051179,localization,-2.7928905511508653,-4.315210226235495,-3.901945339306359,-4.302245628691945,-10.86704965356364,-11.711414181974137
GO:0032502,developmental process,-6.325606188622769,-18.671680726572596,-10.159564561594726,-8.617289092732914,-3.3944261970199414,-4.4014462600734205
GO:0032501,multicellular organismal process,-5.988798241655268,-21.755864090675892,-6.284304668961896,-6.7151403442368895,-3.4053189991379234,-5.494626310694698
GO:0009987,cellular process,-6.424787172560969,-14.534826366439324,-14.366525690672903,-5.607189853440672,-11.951290243331533,-9.740371879251208
GO:0048519,negative regulation of biological process,-2.4640495862587963,-4.346938316150665,-12.162381346360466,-4.071196727826985,-2.112811647708325,0.0
