flt_cluster	eligible_genes	significant_genes	significant_fraction	fisher_odds_ratio	fisher_p_value	mean_meta_log2fc_sig	mean_abs_meta_log2fc_sig	mean_latent_shift_sig	top_significant_genes	fisher_fdr_bh
0	1749	15	0.008576329331046312	5.017301038062284	8.881637719181738e-06	-0.15139672317524663	1.336829515110712	0.20694926648407425	Sdr16c5,Trpm5,4931429L15Rik,Cdk3,Dio2,1700027J07Rik,Il6,Ebf2,Prtn3,Mab21l4	0.00012434292806854432
1	4073	10	0.0024551927326295114	0.9837303843770953	0.5787732031217142	0.7804436009489469	1.427627511234541	0.6373175172369346	Barx2,Shox2,Moxd1,Treh,Pitx3,Ckmt1,Zdbf2,Trim80,Npnt,Npas2	1.0
5	1495	5	0.0033444816053511705	1.3979470983024083	0.31265143619304936	1.8891800413970121	1.8891800413970121	29.84215720425837	Tnnt3,Xirp2,Myh4,Myh1,Acta1	0.7295200177837818
11	491	3	0.006109979633401222	2.5898224043715845	0.12193761759055974	0.47016613967212	1.1935462491794866	19.182136589169218	Apoa4,Cyp4a14,Mup16	0.3414253292535673
14	7	2	0.2857142857142857	169.17837837837837	0.00012539145623491284	-1.597947149892855	1.597947149892855	16.53365623109579	Mup15,Mup17	0.0008777401936443899
12	41	2	0.04878048780487805	21.64241164241164	0.004642017973538693	2.55117312623121	2.55117312623121	5.9357961725929895	Myot,Trdn	0.021662750543180568
13	6	1	0.16666666666666666	82.36315789473684	0.014821117754786575	3.37804442619013	3.37804442619013	0.2606048006375063	Tg	0.05187391214175301
4	1533	1	0.0006523157208088715	0.2425793596262196	0.9819403256175349	1.22499327671746	1.22499327671746	0.7581741072432068	Sult1e1	1.0
3	2110	0	0.0	0.0	1.0	NA	NA	NA		1.0
6	1123	0	0.0	0.0	1.0	NA	NA	NA		1.0
7	1086	0	0.0	0.0	1.0	NA	NA	NA		1.0
8	1006	0	0.0	0.0	1.0	NA	NA	NA		1.0
9	972	0	0.0	0.0	1.0	NA	NA	NA		1.0
15	1	0	0.0	0.0	1.0	NA	NA	NA		1.0
