gc_cluster	eligible_genes	significant_genes	significant_fraction	fisher_odds_ratio	fisher_p_value	mean_meta_log2fc_sig	mean_abs_meta_log2fc_sig	mean_latent_shift_sig	top_significant_genes	fisher_fdr_bh
0	2934	16	0.0054533060668029995	3.036266650773311	0.0010115668000940355	0.06724517541975747	1.4624572738128438	0.2028319853227803	Tg,Sdr16c5,Trpm5,4931429L15Rik,Cdk3,Dio2,Il6,Ebf2,Ckmt1,Prtn3	0.0070809676006582485
1	4379	9	0.0020552637588490525	0.7746453089244851	0.8006685540782399	1.046858611648552	1.3889131896148967	0.30341150170084563	Barx2,Shox2,Treh,Pitx3,Sult1e1,Trim80,Npnt,Acsl6,Npas2	1.0
9	64	5	0.078125	38.87088733798604	4.978026759227489e-07	1.8891800413970121	1.8891800413970121	29.84215720425837	Tnnt3,Xirp2,Myh4,Myh1,Acta1	6.969237462918484e-06
5	1043	5	0.004793863854266539	2.0707242434546074	0.11424907855849424	-0.35707917615387	1.3553066094648343	18.122744445939844	Mup15,Apoa4,Mup17,Cyp4a14,Mup16	0.44137710623043785
7	248	2	0.008064516129032258	3.3856295319709955	0.12610774463726795	2.55117312623121	2.55117312623121	5.9357961725929895	Myot,Trdn	0.44137710623043785
3	1958	1	0.0005107252298263534	0.18418363230508566	0.9945064081407715	-1.69667395057942	1.69667395057942	4.299350151080474	Moxd1	1.0
6	300	1	0.0033333333333333335	1.351434606583348	0.5293758971146629	1.33554650379469	1.33554650379469	0.2208276459586025	1700027J07Rik	1.0
2	2759	0	0.0	0.0	1.0	NA	NA	NA		1.0
4	1818	0	0.0	0.0	1.0	NA	NA	NA		1.0
8	161	0	0.0	0.0	1.0	NA	NA	NA		1.0
10	1	0	0.0	0.0	1.0	NA	NA	NA		1.0
11	18	0	0.0	0.0	1.0	NA	NA	NA		1.0
13	8	0	0.0	0.0	1.0	NA	NA	NA		1.0
14	2	0	0.0	0.0	1.0	NA	NA	NA		1.0
