sample	original_feature	condition	accession	mission	library_selection	library_layout	sex	strain	sequencing_instrument
OSD-379_RR8_LVR_FLT_ISS-T_YNG_FI6	OSD-379_RR8_LVR_FLT_ISS-T_YNG_FI6	FLT	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
OSD-379_RR8_LVR_FLT_ISS-T_YNG_FI7	OSD-379_RR8_LVR_FLT_ISS-T_YNG_FI7	FLT	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
OSD-379_RR8_LVR_FLT_ISS-T_YNG_FI8	OSD-379_RR8_LVR_FLT_ISS-T_YNG_FI8	FLT	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
OSD-379_RR8_LVR_FLT_ISS-T_YNG_FI9	OSD-379_RR8_LVR_FLT_ISS-T_YNG_FI9	FLT	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
OSD-379_RR8_LVR_FLT_LAR_OLD_FL11	OSD-379_RR8_LVR_FLT_LAR_OLD_FL11	FLT	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
OSD-379_RR8_LVR_FLT_LAR_OLD_FL15	OSD-379_RR8_LVR_FLT_LAR_OLD_FL15	FLT	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
OSD-379_RR8_LVR_FLT_LAR_OLD_FL16	OSD-379_RR8_LVR_FLT_LAR_OLD_FL16	FLT	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
OSD-379_RR8_LVR_FLT_LAR_OLD_FL3	OSD-379_RR8_LVR_FLT_LAR_OLD_FL3	FLT	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
OSD-379_RR8_LVR_FLT_LAR_OLD_FL4	OSD-379_RR8_LVR_FLT_LAR_OLD_FL4	FLT	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
OSD-379_RR8_LVR_FLT_LAR_OLD_FL7	OSD-379_RR8_LVR_FLT_LAR_OLD_FL7	FLT	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
