h5_accession	condition_label	ercc_biological_key	profile	ercc_status	duplicate_group	retained	decision
OSD-379	FLT	RR8_LVR_FLT_ISS-T_OLD_FI11	RR8_LVR_FLT_ISS-T_OLD_FI11	not_annotated	False	True	kept_unannotated
OSD-379	FLT	RR8_LVR_FLT_ISS-T_OLD_FI12	RR8_LVR_FLT_ISS-T_OLD_FI12	not_annotated	False	True	kept_unannotated
OSD-379	FLT	RR8_LVR_FLT_ISS-T_OLD_FI13	RR8_LVR_FLT_ISS-T_OLD_FI13	not_annotated	False	True	kept_unannotated
OSD-379	FLT	RR8_LVR_FLT_ISS-T_OLD_FI14	RR8_LVR_FLT_ISS-T_OLD_FI14	not_annotated	False	True	kept_unannotated
OSD-379	FLT	RR8_LVR_FLT_ISS-T_OLD_FI15	RR8_LVR_FLT_ISS-T_OLD_FI15	not_annotated	False	True	kept_unannotated
OSD-379	FLT	RR8_LVR_FLT_ISS-T_OLD_FI18	RR8_LVR_FLT_ISS-T_OLD_FI18	not_annotated	False	True	kept_unannotated
OSD-379	FLT	RR8_LVR_FLT_ISS-T_OLD_FI19	RR8_LVR_FLT_ISS-T_OLD_FI19	not_annotated	False	True	kept_unannotated
OSD-379	FLT	RR8_LVR_FLT_ISS-T_OLD_FI20	RR8_LVR_FLT_ISS-T_OLD_FI20	not_annotated	False	True	kept_unannotated
OSD-379	FLT	RR8_LVR_FLT_ISS-T_YNG_FI1	RR8_LVR_FLT_ISS-T_YNG_FI1	not_annotated	False	True	kept_unannotated
OSD-379	FLT	RR8_LVR_FLT_ISS-T_YNG_FI2	RR8_LVR_FLT_ISS-T_YNG_FI2	not_annotated	False	True	kept_unannotated
OSD-379	FLT	RR8_LVR_FLT_ISS-T_YNG_FI3	RR8_LVR_FLT_ISS-T_YNG_FI3	not_annotated	False	True	kept_unannotated
OSD-379	FLT	RR8_LVR_FLT_ISS-T_YNG_FI4	RR8_LVR_FLT_ISS-T_YNG_FI4	not_annotated	False	True	kept_unannotated
OSD-379	FLT	RR8_LVR_FLT_ISS-T_YNG_FI5	RR8_LVR_FLT_ISS-T_YNG_FI5	not_annotated	False	True	kept_unannotated
OSD-379	FLT	RR8_LVR_FLT_ISS-T_YNG_FI6	RR8_LVR_FLT_ISS-T_YNG_FI6	not_annotated	False	True	kept_unannotated
OSD-379	FLT	RR8_LVR_FLT_ISS-T_YNG_FI7	RR8_LVR_FLT_ISS-T_YNG_FI7	not_annotated	False	True	kept_unannotated
OSD-379	FLT	RR8_LVR_FLT_ISS-T_YNG_FI8	RR8_LVR_FLT_ISS-T_YNG_FI8	not_annotated	False	True	kept_unannotated
OSD-379	FLT	RR8_LVR_FLT_LAR_OLD_FL11	RR8_LVR_FLT_LAR_OLD_FL11	not_annotated	False	True	kept_unannotated
OSD-379	FLT	RR8_LVR_FLT_LAR_OLD_FL15	RR8_LVR_FLT_LAR_OLD_FL15	not_annotated	False	True	kept_unannotated
OSD-379	FLT	RR8_LVR_FLT_LAR_OLD_FL16	RR8_LVR_FLT_LAR_OLD_FL16	not_annotated	False	True	kept_unannotated
OSD-379	FLT	RR8_LVR_FLT_LAR_OLD_FL3	RR8_LVR_FLT_LAR_OLD_FL3	not_annotated	False	True	kept_unannotated
OSD-379	FLT	RR8_LVR_FLT_LAR_OLD_FL4	RR8_LVR_FLT_LAR_OLD_FL4	not_annotated	False	True	kept_unannotated
OSD-379	FLT	RR8_LVR_FLT_LAR_OLD_FL7	RR8_LVR_FLT_LAR_OLD_FL7	not_annotated	False	True	kept_unannotated
OSD-379	FLT	RR8_LVR_FLT_LAR_OLD_FL8	RR8_LVR_FLT_LAR_OLD_FL8	not_annotated	False	True	kept_unannotated
OSD-379	FLT	RR8_LVR_FLT_LAR_YNG_FL1	RR8_LVR_FLT_LAR_YNG_FL1	not_annotated	False	True	kept_unannotated
OSD-379	FLT	RR8_LVR_FLT_LAR_YNG_FL13	RR8_LVR_FLT_LAR_YNG_FL13	not_annotated	False	True	kept_unannotated
OSD-379	FLT	RR8_LVR_FLT_LAR_YNG_FL14	RR8_LVR_FLT_LAR_YNG_FL14	not_annotated	False	True	kept_unannotated
OSD-379	FLT	RR8_LVR_FLT_LAR_YNG_FL17	RR8_LVR_FLT_LAR_YNG_FL17	not_annotated	False	True	kept_unannotated
