algorithm	n_clusters	noise_genes	silhouette	adjusted_mutual_info_vs_consensus
gmm	15	0	0.29404139518737793	0.7848962614864587
hdbscan	2	3695	0.8193458914756775	0.2472836334352613
spectral	15	0	0.06704653054475784	0.8750325359475195
consensus	15	0	0.015234744176268578	1.0
