consensus_cluster	n_genes	latent_centroid_norm	pc1_mean	pc2_mean
0	1781	3.379077196121216	3.3536292665356546	0.1398971050839753
1	1679	3.9353277683258057	3.845622271113758	0.4733829067182847
2	2356	3.718672513961792	3.65801262139219	0.3371384177415111
3	2013	2.3407702445983887	2.23945810817536	-0.31290595817968203
4	1945	15.631044387817383	-15.360433951559383	1.0849520385583546
5	1047	12.221208572387695	-11.120038042865328	1.2561210487419294
6	2120	3.830861806869507	-2.4204702024710847	-2.626175199020377
7	1516	3.8596270084381104	3.780022525	0.42064987335092346
8	566	3.9502170085906982	3.858359159540637	0.4804955386572438
9	967	1.8143833875656128	1.0544014355881075	-1.0594031533215098
10	956	2.9542224407196045	2.9428958800209206	-0.12949088073232218
11	559	8.315054893493652	-6.082177308228981	0.03464526839016099
12	1634	3.913121223449707	3.8261618451652386	0.457227938506732
13	611	2.7120206356048584	2.684351141080197	-0.31934670061214404
14	1260	3.944026231765747	3.8529285624603173	0.4769285682857143
