GeneList	Category	Description	LogP	Enrichment	Hits
FLT14_not_GC8	Reactome Gene Sets	PELO:HBS1L and ABCE1 dissociate a ribosome on a non-stop mRNA	-7.0	14.0	Rps2|Rpl27|Rpl28|Rpl29|Rps29|Rplp2|Rpl39|Rpl22l1
FLT14_not_GC8	Reactome Gene Sets	SRP-dependent cotranslational protein targeting to membrane	-6.9	14.0	Rps2|Rpl27|Rpl28|Rpl29|Rps29|Rplp2|Rpl39|Rpl22l1
FLT14_not_GC8	GO Biological Processes	negative regulation of syncytium formation by plasma membrane fusion	-6.8	17.0	Rpl27|Rpl28|Rpl29|Rpl30|Rpl35|Rplp2|Rpl39
FLT14_not_GC8	Reactome Gene Sets	Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)	-6.8	13.0	Rps2|Rpl27|Rpl28|Rpl29|Rps29|Rplp2|Rpl39|Rpl22l1
FLT14_not_GC8	Reactome Gene Sets	ZNF598 and the Ribosome-associated Quality Trigger (RQT) complex dissociate a ribosome stalled on a no-go mRNA	-6.8	13.0	Rps2|Rpl27|Rpl28|Rpl29|Rps29|Rplp2|Rpl39|Rpl22l1
FLT14_not_GC8	GO Biological Processes	cytoplasmic translation	-6.6	7.6	Rps2|Rpl27|Rpl28|Rpl29|Rpl30|Rps29|Rpl35|Rplp2|Rpl39|Rpl22l1|Rnf152
GC8_all	KEGG Pathway	Retinol metabolism - Mus musculus (house mouse)	-8.5	4.2	Cyp2a4|Cyp2b13|Cyp2b9|Cyp2c38|Cyp2c39|Cyp2c40|Cyp3a11|Cyp3a13|Cyp3a16|Cyp4a12b|Cyp4a14|Hsd17b6|Cyp3a41a|Ugt2b37|Rdh16f2|Cyp2c23|Cyp26b1|Cyp4a12a|Cyp3a44|Ugt1a7c|Cyp4a31|Cyp3a59|Cyp2c69
GC8_all	Reactome Gene Sets	Miscellaneous substrates	-7.6	8.0	Cyp3a11|Cyp3a13|Cyp3a16|Cyp4a12b|Cyp4a14|Cyp4b1|Cyp3a41a|Cyp4a12a|Cyp3a44|Cyp4a31|Cyp3a59
GC8_all	GO Biological Processes	oxidative demethylation	-6.4	8.2	Cyp2c40|Cyp3a11|Cyp3a13|Cyp3a16|Cyp3a41a|Alkbh1|Cyp3a44|Cyp3a59|Cyp2c69
GC8_all	GO Biological Processes	xenobiotic metabolic process	-6.0	3.0	Cyp2a4|Cyp2b13|Cyp2b9|Cyp2c38|Cyp2c39|Cyp2c40|Cyp2d9|Cyp3a11|Cyp3a16|Cyp4b1|Fmo3|Gstp2|Guk1|Slco1a1|Cyp3a41a|Cyp2j9|Upp2|Abhd10|Cyp2c23|Cyp26b1|Cyp2r1|Cyp3a44|Sult2a7|Cyp2c69
GC8_all	Reactome Gene Sets	Cytochrome P450 - arranged by substrate type	-6.0	4.1	Cyp2a4|Cyp3a11|Cyp3a13|Cyp3a16|Cyp4a12b|Cyp4a14|Cyp4b1|Cyp51|Tbxas1|Cyp3a41a|Cyp26b1|Cyp2r1|Cyp4a12a|Cyp3a44|Cyp4a31|Cyp3a59
GC8_all	GO Biological Processes	demethylation	-5.8	7.1	Cyp2c40|Cyp3a11|Cyp3a13|Cyp3a16|Cyp3a41a|Alkbh1|Cyp3a44|Cyp3a59|Cyp2c69
GC8_all	Reactome Gene Sets	Anchoring of the basal body to the plasma membrane	-5.7	3.6	Sclt1|Cep70|Cep192|Cep97|Haus8|Sfi1|Cep152|Ccp110|Haus1|Haus6|Haus3|Alms1|Ofd1|Rpgrip1l|Iqcb1|Tmem67|Cep135|Cep162
GC8_all	GO Biological Processes	DNA metabolic process	-5.6	1.8	Blm|Brca1|Ccne2|Cdk2|Dffa|Ezh2|Fancc|Smc2|Hmga1|Hus1|Mcm4|Mcm6|Orc2|Prim2|Rad1|Rad52|Recql|Rrm2|Tdg|Dntt|Terf1|Top2a|Polk|Polg2|Orc6|Gmnn|Afg2a|Donson|Tipin|Inip|Aste1|Etaa1|Rpa3|Nsmce2|Rfc3|Abraxas1|Endod1|Chchd4|Hpf1|Shld1|Ttf2|Setmar|Mnd1|Apex2|Apobec3|Nfkbiz|Pot1a|Fancm|Fbxo4|Fam111a|Ddb2|Dclre1b|Nme7|Helq|Alkbh1|Spidr|Pms1|Dclre1c|Brip1|Spata22|Rrm2b|Primpol
GC8_not_FLT14	GO Biological Processes	DNA metabolic process	-8.0	2.2	Blm|Brca1|Ccne2|Cdk2|Dffa|Ezh2|Fancc|Smc2|Hmga1|Hus1|Mcm4|Mcm6|Orc2|Prim2|Rad1|Rad52|Recql|Rrm2|Tdg|Dntt|Terf1|Top2a|Polk|Polg2|Orc6|Gmnn|Afg2a|Donson|Tipin|Inip|Aste1|Etaa1|Rpa3|Nsmce2|Rfc3|Abraxas1|Endod1|Chchd4|Hpf1|Shld1|Ttf2|Setmar|Mnd1|Apex2|Apobec3|Nfkbiz|Pot1a|Fancm|Fbxo4|Fam111a|Ddb2|Dclre1b|Nme7|Helq|Alkbh1|Spidr|Pms1|Dclre1c|Brip1|Spata22|Rrm2b|Primpol
GC8_not_FLT14	GO Biological Processes	DNA-templated DNA replication	-6.2	3.5	Blm|Brca1|Ccne2|Cdk2|Mcm4|Mcm6|Orc2|Prim2|Recql|Polg2|Orc6|Gmnn|Donson|Tipin|Etaa1|Rfc3|Setmar|Fancm|Fam111a|Rrm2b|Primpol
GC8_not_FLT14	Reactome Gene Sets	Assembly of the 9+0 primary cilium	-6.1	2.9	Sclt1|Ift74|Cep70|Ift80|Cep192|Bbs7|Ift70b|Ttc21b|Cep97|Wdr35|Ttc8|Haus8|Ift38|Cep152|Ccp110|Wdr19|Haus1|Haus6|Haus3|Alms1|Ofd1|Rpgrip1l|Iqcb1|Tmem67|Cep135|Cep162
GC8_not_FLT14	Reactome Gene Sets	Cilium Assembly	-6.1	2.9	Sclt1|Ift74|Cep70|Ift80|Cep192|Bbs7|Ift70b|Ttc21b|Cep97|Wdr35|Ttc8|Haus8|Ift38|Cep152|Ccp110|Wdr19|Haus1|Haus6|Haus3|Alms1|Ofd1|Rpgrip1l|Iqcb1|Tmem67|Cep135|Cep162
GC8_not_FLT14	Reactome Gene Sets	Anchoring of the basal body to the plasma membrane	-6.0	3.9	Sclt1|Cep70|Cep192|Cep97|Haus8|Cep152|Ccp110|Haus1|Haus6|Haus3|Alms1|Ofd1|Rpgrip1l|Iqcb1|Tmem67|Cep135|Cep162
GC8_not_FLT14	GO Biological Processes	DNA damage response	-5.8	1.9	Bcl2|Bcl2l11|Blm|Brca1|Btg2|Casp2|Cdk2|Plk3|Fancc|Smc2|Hmga1|Hus1|Mcm4|Mcm6|Rad1|Rad52|Recql|Rrm2|Stxbp4|Suv39h1|Tdg|Dntt|Top2a|Vrk1|Polk|Polg2|Ppm1d|Vav3|Donson|Tipin|Inip|Aste1|Etaa1|Rpa3|Nsmce2|Rfc3|Vrk2|Abraxas1|Endod1|Chchd4|Hpf1|Shld1|Ttf2|Setmar|Ddit4|Apex2|Fancm|Slf1|Fam111a|Ddb2|Dclre1b|Helq|Alkbh1|Ttc5|Spidr|Pms1|Dclre1c|Usp28|Brip1|Wdr76|Spata22|Rrm2b|Primpol
GC8_not_FLT14	GO Biological Processes	DNA replication	-5.7	2.9	Blm|Brca1|Ccne2|Cdk2|Mcm4|Mcm6|Orc2|Prim2|Recql|Polk|Polg2|Orc6|Gmnn|Afg2a|Donson|Tipin|Etaa1|Rpa3|Rfc3|Setmar|Fancm|Fam111a|Rrm2b|Primpol
GC8_not_FLT14	GO Biological Processes	DNA repair	-5.6	2.2	Blm|Brca1|Fancc|Smc2|Hmga1|Hus1|Mcm4|Mcm6|Rad1|Rad52|Recql|Rrm2|Tdg|Dntt|Polk|Polg2|Inip|Aste1|Rpa3|Nsmce2|Rfc3|Abraxas1|Endod1|Chchd4|Hpf1|Ttf2|Setmar|Apex2|Fancm|Fam111a|Ddb2|Dclre1b|Helq|Alkbh1|Spidr|Pms1|Dclre1c|Brip1|Spata22|Rrm2b|Primpol
