gene	raw_pca_2d_kmeans_cluster	ftsae_pca_2d_kmeans_cluster	ftsae_latent_kmeans_cluster	raw_pca_10d_kmeans_cluster	ftsae_pca_10d_kmeans_cluster
ENSMUSG00000035547	0	3	3	0	0
ENSMUSG00000037788	0	3	3	0	0
ENSMUSG00000050334	0	3	3	0	0
ENSMUSG00000078672	4	13	14	3	6
ENSMUSG00000045968	0	3	3	0	0
ENSMUSG00000022346	0	3	3	0	0
ENSMUSG00000021381	0	3	3	0	0
ENSMUSG00000058407	12	6	11	0	3
ENSMUSG00000057110	12	9	11	0	3
ENSMUSG00000058028	0	3	3	0	0
ENSMUSG00000021070	0	3	3	0	0
ENSMUSG00000110253	0	3	3	0	0
ENSMUSG00000043831	0	12	3	0	0
ENSMUSG00000055811	0	3	3	0	0
ENSMUSG00000005882	12	7	11	0	3
ENSMUSG00000066262	0	3	3	0	0
ENSMUSG00000019791	12	9	11	0	3
ENSMUSG00000080115	0	3	3	0	0
ENSMUSG00000105279	0	3	3	0	0
ENSMUSG00000118298	0	3	3	0	0
ENSMUSG00000053334	0	3	3	0	0
ENSMUSG00000056724	0	12	3	0	0
ENSMUSG00000029810	8	5	2	11	9
ENSMUSG00000063919	0	3	3	0	0
ENSMUSG00000055301	12	9	11	0	3
ENSMUSG00000030493	0	3	3	0	0
ENSMUSG00000033623	12	9	11	0	3
ENSMUSG00000024650	0	3	3	0	0
ENSMUSG00000097908	0	3	3	0	0
ENSMUSG00000046846	0	3	3	0	0
ENSMUSG00000037134	0	0	0	0	14
ENSMUSG00000021622	0	10	7	0	8
ENSMUSG00000022965	0	0	0	0	14
ENSMUSG00000097652	0	3	3	0	0
ENSMUSG00000052180	0	3	3	0	0
ENSMUSG00000033053	0	3	3	0	0
ENSMUSG00000003518	12	2	5	0	5
ENSMUSG00000087152	0	3	3	0	0
ENSMUSG00000023066	0	12	0	0	14
ENSMUSG00000074250	0	3	3	0	0
ENSMUSG00000061353	5	4	13	11	2
ENSMUSG00000117328	0	3	3	0	0
ENSMUSG00000030214	12	6	6	0	7
ENSMUSG00000085972	0	3	3	0	0
ENSMUSG00000058628	0	3	3	0	0
ENSMUSG00000020982	12	9	11	0	3
ENSMUSG00000094985	0	3	3	0	0
ENSMUSG00000046589	0	3	3	0	0
ENSMUSG00000096537	0	3	3	0	0
ENSMUSG00000031681	0	0	0	0	14
ENSMUSG00000098134	0	3	3	0	0
ENSMUSG00000037369	12	9	11	0	3
ENSMUSG00000040601	0	3	3	0	0
ENSMUSG00000001909	0	12	0	0	14
ENSMUSG00000093839	0	3	3	0	0
ENSMUSG00000042810	0	12	0	0	14
ENSMUSG00000026047	0	12	3	0	0
ENSMUSG00000099907	0	3	3	0	0
ENSMUSG00000025375	0	3	3	0	0
ENSMUSG00000031303	0	3	3	0	0
ENSMUSG00000046717	0	3	3	0	0
ENSMUSG00000024145	0	3	3	0	0
ENSMUSG00000021756	5	4	13	11	2
ENSMUSG00000061518	8	4	2	11	2
ENSMUSG00000018593	12	2	6	0	7
ENSMUSG00000073914	0	3	3	0	0
ENSMUSG00000030194	0	3	3	0	0
ENSMUSG00000020386	5	14	10	11	4
ENSMUSG00000012483	0	12	0	0	14
ENSMUSG00000021113	0	12	3	0	0
ENSMUSG00000030165	0	3	3	0	0
ENSMUSG00000029439	0	12	0	0	14
ENSMUSG00000044345	12	0	8	0	14
ENSMUSG00000031952	0	3	3	0	0
