representation	n_rows_evaluated	n_features	n_clusters	kmeans_inertia	silhouette	knn_cv_accuracy_mean	knn_cv_accuracy_std	trustworthiness_vs_raw_expression
ftsae_latent	5000	64	15	47158.19921875	0.5674754977226257	0.8168	0.015302287410710819	0.9318552780327097
ftsae_pca_10d	5000	10	15	47072.046875	0.5721318125724792	0.8112	0.013013838787997912	0.9315841355453582
ftsae_pca_2d	5000	2	15	9436.234375	0.6070324778556824	0.7876000000000001	0.013558761005342646	0.8903913846805507
raw_pca_10d	5000	10	15	105703.75	0.8221649527549744	0.9246000000000001	0.008138795979750328	0.9692193458995176
raw_pca_2d	5000	2	15	20919.8828125	0.7437084317207336	0.8488	0.011956588142108109	0.9217846225673608
