library	gene_cluster	term	description	overlap	cluster_genes_in_universe	term_genes_in_universe	universe_genes	p_value	enrichment_ratio	overlap_genes	fdr_bh
reactome	1	REACTOME_SPHINGOLIPID_METABOLISM	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_SPHINGOLIPID_METABOLISM	5	436	56	5218	0.5076602783823251	1.0685615989515072	ENSMUSG00000019822,ENSMUSG00000020604,ENSMUSG00000021263,ENSMUSG00000034000,ENSMUSG00000045019	0.7379886573422448
reactome	1	REACTOME_AMINE_LIGAND_BINDING_RECEPTORS	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_AMINE_LIGAND_BINDING_RECEPTORS	3	436	32	5218	0.5076631691877137	1.1219896788990826	ENSMUSG00000021478,ENSMUSG00000032259,ENSMUSG00000033717	0.7379886573422448
reactome	1	REACTOME_CLASS_B_2_SECRETIN_FAMILY_RECEPTORS	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_CLASS_B_2_SECRETIN_FAMILY_RECEPTORS	7	436	80	5218	0.507694324554594	1.0471903669724771	ENSMUSG00000006538,ENSMUSG00000021303,ENSMUSG00000023439,ENSMUSG00000025127,ENSMUSG00000038811,ENSMUSG00000049928,ENSMUSG00000054136	0.7379886573422448
reactome	1	REACTOME_METABOLISM_OF_PROTEINS	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_METABOLISM_OF_PROTEINS	30	436	357	5218	0.516570150930933	1.0057050343073008	ENSMUSG00000004788,ENSMUSG00000020604,ENSMUSG00000020843,ENSMUSG00000022561,ENSMUSG00000022793,ENSMUSG00000025816,ENSMUSG00000026994,ENSMUSG00000028454,ENSMUSG00000028541,ENSMUSG00000029145,ENSMUSG00000029388,ENSMUSG00000031158,ENSMUSG00000031381,ENSMUSG00000031803,ENSMUSG00000036632,ENSMUSG00000038383,ENSMUSG00000041718,ENSMUSG00000043257,ENSMUSG00000046223,ENSMUSG00000048007,ENSMUSG00000048355,ENSMUSG00000052033,ENSMUSG00000052423,ENSMUSG00000056131,ENSMUSG00000064068,ENSMUSG00000067338,ENSMUSG00000071229,ENSMUSG00000073792,ENSMUSG00000074004,ENSMUSG00000079469	0.7470399105770414
reactome	1	REACTOME_OPIOID_SIGNALLING	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_OPIOID_SIGNALLING	6	436	69	5218	0.5223062828994123	1.0406860789788592	ENSMUSG00000009108,ENSMUSG00000021303,ENSMUSG00000022220,ENSMUSG00000022376,ENSMUSG00000023439,ENSMUSG00000038811	0.7514814886613992
reactome	1	REACTOME_P75_NTR_RECEPTOR_MEDIATED_SIGNALLING	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_P75_NTR_RECEPTOR_MEDIATED_SIGNALLING	6	436	70	5218	0.5367721171344216	1.0258191349934471	ENSMUSG00000000120,ENSMUSG00000018697,ENSMUSG00000019822,ENSMUSG00000025265,ENSMUSG00000032508,ENSMUSG00000063434	0.7683742996543498
reactome	1	REACTOME_ACTIVATED_TLR4_SIGNALLING	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_ACTIVATED_TLR4_SIGNALLING	7	436	83	5218	0.5478314414336035	1.0093401127445563	ENSMUSG00000001034,ENSMUSG00000022414,ENSMUSG00000024901,ENSMUSG00000032508,ENSMUSG00000051439,ENSMUSG00000053137,ENSMUSG00000059883	0.7801366522657606
reactome	1	REACTOME_DIABETES_PATHWAYS	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_DIABETES_PATHWAYS	11	436	132	5218	0.5505219638329303	0.9973241590214068	ENSMUSG00000006215,ENSMUSG00000013415,ENSMUSG00000026628,ENSMUSG00000027714,ENSMUSG00000027752,ENSMUSG00000039356,ENSMUSG00000046070,ENSMUSG00000046873,ENSMUSG00000048355,ENSMUSG00000061286,ENSMUSG00000069668	0.7801366522657606
reactome	1	REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION	15	436	181	5218	0.553944804763969	0.9918140807947692	ENSMUSG00000016308,ENSMUSG00000020305,ENSMUSG00000026171,ENSMUSG00000026792,ENSMUSG00000029440,ENSMUSG00000030509,ENSMUSG00000030966,ENSMUSG00000031382,ENSMUSG00000031519,ENSMUSG00000034883,ENSMUSG00000036977,ENSMUSG00000038037,ENSMUSG00000039483,ENSMUSG00000054115,ENSMUSG00000058317	0.7810621747171963
reactome	1	REACTOME_METABOLISM_OF_RNA	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_METABOLISM_OF_RNA	17	436	206	5218	0.559939772406211	0.9876414001959563	ENSMUSG00000002210,ENSMUSG00000007050,ENSMUSG00000020495,ENSMUSG00000021645,ENSMUSG00000026999,ENSMUSG00000027714,ENSMUSG00000027752,ENSMUSG00000027905,ENSMUSG00000029440,ENSMUSG00000034192,ENSMUSG00000034826,ENSMUSG00000035351,ENSMUSG00000036678,ENSMUSG00000039356,ENSMUSG00000052798,ENSMUSG00000053137,ENSMUSG00000061286	0.7855871433758781
reactome	1	REACTOME_PI3K_EVENTS_IN_ERBB4_SIGNALING	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_PI3K_EVENTS_IN_ERBB4_SIGNALING	3	436	35	5218	0.5696456044780109	1.0258191349934471	ENSMUSG00000024142,ENSMUSG00000028914,ENSMUSG00000032311	0.7952478240732628
reactome	1	REACTOME_NRAGE_SIGNALS_DEATH_THROUGH_JNK	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_NRAGE_SIGNALS_DEATH_THROUGH_JNK	3	436	36	5218	0.5892090191421622	0.9973241590214068	ENSMUSG00000000120,ENSMUSG00000018697,ENSMUSG00000025265	0.8103300821299135
reactome	1	REACTOME_NETRIN1_SIGNALING	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_NETRIN1_SIGNALING	3	436	36	5218	0.5892090191421622	0.9973241590214068	ENSMUSG00000036840,ENSMUSG00000040749,ENSMUSG00000060534	0.8103300821299135
